Fol_2018-05-05.12_22_22.1_6.txt     Output is probe cell, reduced cell, NCDist distance between
37    -2733.43855  62.44418 -2581.20238 -2173.85035 619.55230 -1823.42308     (-1961.650,-1554.298) (-557.108,-619.552) (-2113.886,-1203.871) 1066.01
38    -2702.56701  37.66209 -2562.50974 -2149.06826 569.98811 -1798.64099     (-1992.522,-1579.080) (-532.326,-569.988) (-2132.579,-1228.653) 1075.46
39    -2671.69547  12.88000 -2543.81709 -2124.28617 520.42393 -1773.85889     (-2023.393,-1603.862) (-507.544,-520.424) (-2151.272,-1253.435) 1089.99
40    -2640.82393 -11.90209 -2525.12445 -2099.50407 470.85975 -1749.07680     (-2054.265,-1628.644) (-482.762,-470.860) (-2169.964,-1278.217) 1109.38
41    -2609.95239 -36.68419 -2506.43180 -2074.72198 421.29556 -1724.29471     (-2085.136,-1653.426) (-457.980,-421.296) (-2188.657,-1302.999) 1133.4
42    -2579.08086 -61.46628 -2487.73916 -2049.93989 371.73138 -1699.51262     (-2116.008,-1678.209) (-433.198,-371.731) (-2207.349,-1327.781) 1147.82
43    -2548.20932 -86.24837 -2469.04651 -2025.15780 322.16719 -1674.73053     (-2146.879,-1702.991) (-408.416,-322.167) (-2226.042,-1352.563) 1156.23
44    -2517.33778 -111.03046 -2450.35387 -2000.37571 272.60301 -1649.94844     (-2177.751,-1727.773) (-383.633,-272.603) (-2244.735,-1377.345) 1169.38
45    -2486.46624 -135.81255 -2431.66122 -1975.59361 223.03883 -1625.16634     (-2208.622,-1752.555) (-358.851,-223.039) (-2263.427,-1402.128) 1187.12
46    -2455.59470 -160.59465 -2412.96858 -1950.81152 173.47464 -1600.38425     (-2239.494,-1777.337) (-334.069,-173.475) (-2282.120,-1426.910) 1209.23
47    -2424.72316 -185.37674 -2394.27593 -1926.02943 123.91046 -1575.60216     (-2270.365,-1802.119) (-309.287,-123.910) (-2300.813,-1451.692) 1235.48
48    -2393.85163 -210.15883 -2375.58329 -1901.24734  74.34628 -1550.82007     (-2301.237,-1826.901) (-284.505,-74.346) (-2319.505,-1476.474) 1265.63
49    -2362.98009 -234.94092 -2356.89064 -1876.46525  24.78209 -1526.03798     (-2332.109,-1851.683) (-259.723,-24.782) (-2338.198,-1501.256) 1299.39
