Fol_2018-05-05.09_56_59.1_28.txt     Output is probe cell, reduced cell, NCDist distance between
0    -55.67948  79.45340  18.16616 -246.36981 -232.73415 -315.57357     (-156.667,-18.166) (-79.453,-196.402) (-51.131,-55.679) 0
1    -56.69955  77.84829  17.46619 -244.06472 -232.36716 -312.94838     (-157.252,-17.466) (-77.848,-197.435) (-53.436,-56.700) 3.29083
2    -57.71963  76.24317  16.76623 -241.75963 -232.00016 -310.32319     (-157.837,-16.766) (-76.243,-198.468) (-55.741,-57.720) 6.58167
3    -58.73970  74.63805  16.06626 -239.45454 -231.63317 -307.69800     (-158.422,-16.066) (-74.638,-199.501) (-58.046,-58.740) 9.8725
4    -59.75977  73.03293  15.36629 -237.14946 -231.26618 -305.07280     (-159.007,-15.366) (-73.033,-200.534) (-60.351,-59.760) 13.1633
5    -60.77985  71.42781  14.66632 -234.84437 -230.89918 -302.44761     (-159.592,-14.666) (-71.428,-201.567) (-62.656,-60.780) 16.4542
6    -61.79992  69.82269  13.96635 -232.53928 -230.53219 -299.82242     (-160.177,-13.966) (-69.823,-202.599) (-64.961,-61.800) 19.745
7    -62.81999  68.21757  13.26639 -230.23419 -230.16520 -297.19722     (-160.762,-13.266) (-68.218,-203.632) (-67.266,-62.820) 23.0358
8    -63.84007  66.61245  12.56642 -227.92911 -229.79820 -294.57203     (-161.347,-12.566) (-66.612,-204.665) (-69.571,-63.840) 26.3267
9    -64.86014  65.00733  11.86645 -225.62402 -229.43121 -291.94684     (-161.932,-11.866) (-65.007,-205.698) (-71.876,-64.860) 29.6175
10    -65.88021  63.40221  11.16648 -223.31893 -229.06422 -289.32165     (-162.517,-11.166) (-63.402,-206.731) (-74.182,-65.880) 32.9083
11    -66.90029  61.79709  10.46651 -221.01384 -228.69723 -286.69645     (-163.102,-10.467) (-61.797,-207.764) (-76.487,-66.900) 35.197
12    -67.92036  60.19197   9.76655 -218.70876 -228.33023 -284.07126     (-163.687,-9.767) (-60.192,-208.797) (-78.792,-67.920) 34.8648
13    -68.94044  58.58685   9.06658 -216.40367 -227.96324 -281.44607     (-164.272,-9.067) (-58.587,-209.830) (-81.097,-68.940) 34.8416
14    -69.96051  56.98173   8.36661 -214.09858 -227.59625 -278.82087     (-164.857,-8.367) (-56.982,-210.863) (-83.402,-69.961) 35.128
15    -70.98058  55.37662   7.66664 -211.79350 -227.22925 -276.19568     (-165.442,-7.667) (-55.377,-211.896) (-85.707,-70.981) 35.7166
16    -72.00066  53.77150   6.96667 -209.48841 -226.86226 -273.57049     (-166.027,-6.967) (-53.771,-212.929) (-88.012,-72.001) 36.5928
17    -73.02073  52.16638   6.26671 -207.18332 -226.49527 -270.94530     (-166.613,-6.267) (-52.166,-213.962) (-90.317,-73.021) 37.7366
18    -74.04080  50.56126   5.56674 -204.87823 -226.12827 -268.32010     (-167.198,-5.567) (-50.561,-214.995) (-92.622,-74.041) 39.1245
19    -75.06088  48.95614   4.86677 -202.57315 -225.76128 -265.69491     (-167.783,-4.867) (-48.956,-216.028) (-94.927,-75.061) 40.7316
20    -76.08095  47.35102   4.16680 -200.26806 -225.39429 -263.06972     (-168.368,-4.167) (-47.351,-217.061) (-97.232,-76.081) 42.533
21    -77.10102  45.74590   3.46683 -197.96297 -225.02729 -260.44452     (-168.953,-3.467) (-45.746,-218.094) (-99.538,-77.101) 44.5052
22    -78.12110  44.14078   2.76687 -195.65788 -224.66030 -257.81933     (-169.538,-2.767) (-44.141,-219.127) (-101.843,-78.121) 46.6265
23    -79.14117  42.53566   2.06690 -193.35280 -224.29331 -255.19414     (-170.123,-2.067) (-42.536,-220.160) (-104.148,-79.141) 48.8774
24    -80.16124  40.93054   1.36693 -191.04771 -223.92631 -252.56894     (-170.708,-1.367) (-40.931,-221.192) (-106.453,-80.161) 51.2409
25    -81.18132  39.32542   0.66696 -188.74262 -223.55932 -249.94375     (-171.293,-0.667) (-39.325,-222.225) (-108.758,-81.181) 53.7022
26    -82.20139  37.72030  -0.03301 -186.43754 -223.19233 -247.31856     (-171.911,-0.033) (-111.030,-223.225) (-37.687,-82.168) 56.2153
27    -83.22147  36.11518  -0.73297 -184.13245 -222.82533 -244.69337     (-173.196,-0.733) (-112.635,-223.558) (-35.382,-82.488) 58.1581
28    -84.24154  34.51006  -1.43294 -181.82736 -222.45834 -242.06817     (-174.481,-1.433) (-114.240,-223.891) (-33.077,-82.809) 60.2084
29    -85.26161  32.90495  -2.13291 -179.52227 -222.09135 -239.44298     (-175.766,-2.133) (-115.845,-224.224) (-30.772,-83.129) 62.3557
30    -86.28169  31.29983  -2.83288 -177.21719 -221.72436 -236.81779     (-177.051,-2.833) (-117.450,-224.557) (-28.467,-83.449) 64.5903
31    -87.30176  29.69471  -3.53285 -174.91210 -221.35736 -234.19259     (-178.336,-3.533) (-119.056,-224.890) (-26.162,-83.769) 66.9034
32    -88.32183  28.08959  -4.23281 -172.60701 -220.99037 -231.56740     (-179.621,-4.233) (-120.661,-225.223) (-23.857,-84.089) 69.2872
33    -89.34191  26.48447  -4.93278 -170.30192 -220.62338 -228.94221     (-180.906,-4.933) (-122.266,-225.556) (-21.552,-84.409) 71.7346
34    -90.36198  24.87935  -5.63275 -167.99684 -220.25638 -226.31702     (-182.191,-5.633) (-123.871,-225.889) (-19.247,-84.729) 74.2393
35    -91.38205  23.27423  -6.33272 -165.69175 -219.88939 -223.69182     (-183.476,-6.333) (-125.476,-226.222) (-16.942,-85.049) 76.7957
36    -92.40213  21.66911  -7.03269 -163.38666 -219.52240 -221.06663     (-184.761,-7.033) (-127.081,-226.555) (-14.636,-85.369) 79.3989
37    -93.42220  20.06399  -7.73265 -161.08157 -219.15540 -218.44144     (-186.046,-7.733) (-128.686,-226.888) (-12.331,-85.690) 82.0444
38    -94.44227  18.45887  -8.43262 -158.77649 -218.78841 -215.81624     (-187.331,-8.433) (-130.291,-227.221) (-10.026,-86.010) 84.7282
39    -95.46235  16.85375  -9.13259 -156.47140 -218.42142 -213.19105     (-188.616,-9.133) (-131.896,-227.554) (-7.721,-86.330) 87.4467
40    -96.48242  15.24863  -9.83256 -154.16631 -218.05442 -210.56586     (-189.901,-9.833) (-133.502,-227.887) (-5.416,-86.650) 90.1969
41    -97.50250  13.64351 -10.53253 -151.86123 -217.68743 -207.94067     (-191.186,-10.533) (-135.107,-228.220) (-3.111,-86.970) 92.976
42    -98.52257  12.03839 -11.23249 -149.55614 -217.32044 -205.31547     (-192.471,-11.232) (-136.712,-228.553) (-0.806,-87.290) 95.7813
43    -99.54264  10.43328 -11.93246 -147.25105 -216.95344 -202.69028     (-192.257,-136.818) (-10.433,-227.387) (-1.499,-89.109) 97.2865
44    -100.56272   8.82816 -12.63243 -144.94596 -216.58645 -200.06509     (-191.237,-136.118) (-8.828,-225.415) (-3.804,-91.735) 98.2482
45    -101.58279   7.22304 -13.33240 -142.64088 -216.21946 -197.43989     (-190.217,-135.418) (-7.223,-223.442) (-6.109,-94.360) 99.404
