PointDistanceFollower   Mar 23 2020   mode =  LINE3 
Fol_2020-03-23.17_12_38.31_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  58   CS6Dist 2   LMDist  1875
PointDistanceFollower  Mar 23 2020  mode = LINE3
Fol_2020-03-23.17_12_38.31_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
34    -31.48478 -55.34658 -22.32259  -4.94492   1.07144 -38.24682     (-21.251,-3.873) (-56.418,-1.071) (-30.413,-37.175)      37.2828  38.0452  38.0452  
35    -31.15395 -55.62598 -22.28271  -4.98463   0.31910 -37.84359     (-21.964,-4.666) (-55.945,-0.319) (-30.835,-37.524)      37.6829  37.9816  38.0018  
36    -30.82313 -55.90538 -22.24283  -5.02434  -0.43324 -37.44035     (-30.823,-5.024) (-55.905,-0.433) (-22.243,-37.440)      37.695  37.695  37.695  
37    -30.49230 -56.18478 -22.20295  -5.06406  -1.18558 -37.03711     (-30.492,-5.064) (-56.185,-1.186) (-22.203,-37.037)      37.4102  37.4102  37.4102  
38    -30.16148 -56.46418 -22.16306  -5.10377  -1.93792 -36.63387     (-30.161,-5.104) (-56.464,-1.938) (-22.163,-36.634)      37.148  37.148  37.148  
39    -29.83065 -56.74358 -22.12318  -5.14349  -2.69026 -36.23063     (-29.831,-5.143) (-56.744,-2.690) (-22.123,-36.231)      36.9088  36.9088  36.9088  
40    -29.49983 -57.02298 -22.08330  -5.18320  -3.44260 -35.82739     (-29.500,-5.183) (-57.023,-3.443) (-22.083,-35.827)      36.6932  36.6932  36.6932  
41    -29.16900 -57.30238 -22.04342  -5.22291  -4.19494 -35.42415     (-29.169,-5.223) (-57.302,-4.195) (-22.043,-35.424)      36.5015  36.5015  36.5015  
42    -28.83818 -57.58178 -22.00354  -5.26263  -4.94728 -35.02092     (-28.838,-5.263) (-57.582,-4.947) (-22.004,-35.021)      36.334  36.334  36.334  
43    -28.50735 -57.86118 -21.96366  -5.30234  -5.69961 -34.61768     (-28.507,-5.302) (-57.861,-5.700) (-21.964,-34.618)      36.1912  36.1912  36.1912  
44    -28.17652 -58.14058 -21.92378  -5.34205  -6.45195 -34.21444     (-28.177,-5.342) (-58.141,-6.452) (-21.924,-34.214)      36.0734  36.0734  36.0734  
45    -27.84570 -58.41998 -21.88390  -5.38177  -7.20429 -33.81120     (-27.846,-5.382) (-58.420,-7.204) (-21.884,-33.811)      35.9807  35.9807  35.9807  
46    -27.51487 -58.69938 -21.84402  -5.42148  -7.95663 -33.40796     (-27.515,-5.421) (-58.699,-7.957) (-21.844,-33.408)      35.9133  35.9133  35.9133  
47    -27.18405 -58.97878 -21.80414  -5.46119  -8.70897 -33.00472     (-27.184,-5.461) (-58.979,-8.709) (-21.804,-33.005)      35.8715  35.8715  35.8715  
48    -26.85322 -59.25818 -21.76426  -5.50091  -9.46131 -32.60148     (-26.853,-5.501) (-59.258,-9.461) (-21.764,-32.601)      35.8553  35.8553  35.8553  
49    -26.52240 -59.53758 -21.72437  -5.54062 -10.21365 -32.19825     (-26.522,-5.541) (-59.538,-10.214) (-21.724,-32.198)      35.8647  35.8647  35.8647  
50    -26.19157 -59.81698 -21.68449  -5.58033 -10.96599 -31.79501     (-26.192,-5.580) (-59.817,-10.966) (-21.684,-31.795)      35.8997  35.8997  35.8997  
51    -25.86074 -60.09638 -21.64461  -5.62005 -11.71833 -31.39177     (-25.861,-5.620) (-60.096,-11.718) (-21.645,-31.392)      35.9603  35.9603  35.9603  
52    -25.52992 -60.37578 -21.60473  -5.65976 -12.47067 -30.98853     (-25.530,-5.660) (-60.376,-12.471) (-21.605,-30.989)      36.0463  36.0463  36.0463  
53    -25.19909 -60.65518 -21.56485  -5.69947 -13.22301 -30.58529     (-25.199,-5.699) (-60.655,-13.223) (-21.565,-30.585)      36.1575  36.1575  36.1575  
54    -24.86827 -60.93458 -21.52497  -5.73919 -13.97535 -30.18205     (-24.868,-5.739) (-60.935,-13.975) (-21.525,-30.182)      36.2937  36.2937  36.2937  
55    -24.53744 -61.21398 -21.48509  -5.77890 -14.72768 -29.77881     (-24.537,-5.779) (-61.214,-14.728) (-21.485,-29.779)      36.4546  36.4546  36.4546  
56    -24.20662 -61.49338 -21.44521  -5.81861 -15.48002 -29.37558     (-24.207,-5.819) (-61.493,-15.480) (-21.445,-29.376)      36.6399  36.6399  36.6399  
57    -23.87579 -61.77278 -21.40533  -5.85833 -16.23236 -28.97234     (-23.876,-5.858) (-61.773,-16.232) (-21.405,-28.972)      36.8493  36.8493  36.8493  
58    -23.54497 -62.05218 -21.36545  -5.89804 -16.98470 -28.56910     (-23.545,-5.898) (-62.052,-16.985) (-21.365,-28.569)      37.0822  37.0822  37.0822  
59    -23.21414 -62.33158 -21.32556  -5.93775 -17.73704 -28.16586     (-23.214,-5.938) (-62.332,-17.737) (-21.326,-28.166)      37.3383  37.3383  37.3383  
60    -22.88331 -62.61098 -21.28568  -5.97747 -18.48938 -27.76262     (-22.883,-5.977) (-62.611,-18.489) (-21.286,-27.763)      37.6172  37.6172  37.6172  
61    -22.55249 -62.89038 -21.24580  -6.01718 -19.24172 -27.35938     (-22.552,-6.017) (-62.890,-19.242) (-21.246,-27.359)      37.9182  37.9182  37.9182  
62    -22.22166 -63.16978 -21.20592  -6.05689 -19.99406 -26.95615     (-22.222,-6.057) (-63.170,-19.994) (-21.206,-26.956)      38.2409  38.2409  38.2409  
63    -21.89084 -63.44918 -21.16604  -6.09661 -20.74640 -26.55291     (-21.891,-6.097) (-63.449,-20.746) (-21.166,-26.553)      38.5847  38.5847  38.5847  
64    -21.56001 -63.72858 -21.12616  -6.13632 -21.49874 -26.14967     (-21.560,-6.136) (-63.729,-21.499) (-21.126,-26.150)      38.9491  38.9491  38.9491  
65    -21.22919 -64.00798 -21.08628  -6.17603 -22.25108 -25.74643     (-21.229,-6.176) (-64.008,-22.251) (-21.086,-25.746)      39.3335  39.3335  39.3335  
66    -20.89836 -64.28738 -21.04640  -6.21575 -23.00342 -25.34319     (-20.898,-6.216) (-64.287,-23.003) (-21.046,-25.343)      39.7374  39.7374  39.7374  
67    -20.56754 -64.56678 -21.00652  -6.25546 -23.75575 -24.93995     (-20.568,-6.255) (-64.567,-23.756) (-21.007,-24.940)      40.16  40.16  40.16  
68    -20.23671 -64.84618 -20.96664  -6.29517 -24.50809 -24.53671     (-20.237,-6.295) (-64.846,-24.508) (-20.967,-24.537)      40.6009  40.6009  40.6009  
69    -19.90588 -65.12558 -20.92675  -6.33489 -25.26043 -24.13348     (-19.906,-6.335) (-65.126,-25.260) (-20.927,-24.133)      41.0595  41.0595  41.0595  
70    -19.57506 -65.40498 -20.88687  -6.37460 -26.01277 -23.73024     (-19.575,-6.375) (-65.405,-26.013) (-20.887,-23.730)      41.5351  41.5351  41.5351  
71    -19.24423 -65.68438 -20.84699  -6.41431 -26.76511 -23.32700     (-19.244,-6.414) (-65.684,-26.765) (-20.847,-23.327)      42.0273  42.0273  42.0273  
72    -18.91341 -65.96378 -20.80711  -6.45403 -27.51745 -22.92376     (-18.913,-6.454) (-65.964,-27.517) (-20.807,-22.924)      42.3042  42.5353  42.5353  
