Fol_2018-05-05.09_47_28.1_11.txt     Output is probe cell, reduced cell, NCDist distance between
0    -59.79949 -32.41523  76.91733 -254.13068 -261.29643 -267.90368     (-27.384,-44.502) (-32.415,-139.877) (-132.711,-300.319) 0
1    -59.47207 -32.41523  74.79986 -252.01322 -260.06997 -268.23111     (-27.057,-42.385) (-32.415,-142.885) (-134.829,-300.646) 4.26996
2    -59.14464 -32.41523  72.68240 -249.89576 -258.84351 -268.55854     (-26.729,-40.267) (-32.415,-145.894) (-136.946,-300.974) 8.53992
3    -58.81721 -32.41523  70.56494 -247.77830 -257.61705 -268.88596     (-26.402,-38.150) (-32.415,-148.902) (-139.064,-301.301) 12.8099
4    -58.48979 -32.41523  68.44748 -245.66084 -256.39059 -269.21339     (-26.075,-36.032) (-32.415,-151.911) (-141.181,-301.629) 17.0798
5    -58.16236 -32.41523  66.33002 -243.54338 -255.16413 -269.54082     (-25.747,-33.915) (-32.415,-154.919) (-143.299,-301.956) 21.3498
6    -57.83493 -32.41523  64.21256 -241.42592 -253.93767 -269.86824     (-25.420,-31.797) (-32.415,-157.928) (-145.416,-302.283) 25.6197
7    -57.50751 -32.41523  62.09510 -239.30846 -252.71122 -270.19567     (-25.092,-29.680) (-32.415,-160.936) (-147.533,-302.611) 29.8897
8    -57.18008 -32.41523  59.97764 -237.19100 -251.48476 -270.52310     (-24.765,-27.562) (-32.415,-163.945) (-149.651,-302.938) 34.1597
9    -56.85265 -32.41523  57.86018 -235.07354 -250.25830 -270.85052     (-24.437,-25.445) (-32.415,-166.953) (-151.768,-303.266) 38.4296
10    -56.52523 -32.41523  55.74272 -232.95608 -249.03184 -271.17795     (-24.110,-23.327) (-32.415,-169.962) (-153.886,-303.593) 42.6996
11    -56.19780 -32.41523  53.62526 -230.83861 -247.80538 -271.50538     (-23.783,-21.210) (-32.415,-172.970) (-156.003,-303.921) 46.9695
12    -55.87037 -32.41523  51.50780 -228.72115 -246.57892 -271.83280     (-23.455,-19.093) (-32.415,-175.979) (-158.121,-304.248) 51.2395
