PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.17_25_10.1_26.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
0      5.68605 -61.97284   8.01253 -20.00927 -63.80075  -5.56011     (-0.126,-26.936) (-55.909,-1.828) (-9.917,-5.812)      0  0  0  0  
1      5.62734 -61.91159   7.83142 -20.07924 -63.17476  -5.56266     (-0.065,-28.014) (-56.090,-1.276) (-10.843,-5.692)      1.54098  1.24668  2.99377  1.54098  
2      5.56863 -61.85034   7.65031 -20.14921 -62.54877  -5.56520     (-0.003,-29.092) (-56.271,-0.723) (-11.769,-5.572)      3.08196  2.49336  5.98755  3.08196  
3      5.50992 -61.78909   7.46920 -20.21918 -61.92278  -5.56774     (-0.058,-30.228) (-56.395,-12.636) (-0.114,-5.394)      4.6488  3.74004  9.00418  4.70469  
4      5.45122 -61.72783   7.28810 -20.28915 -61.29679  -5.57029     (-0.381,-56.396) (-30.486,-0.119) (-12.620,-5.332)      4.74021  3.67303  9.54651  4.74021     glitch
5      5.39251 -61.66658   7.10699 -20.35911 -60.67080  -5.57283     (-0.933,-56.454) (-30.460,-0.180) (-12.319,-5.212)      4.43236  3.34794  9.48201  4.43236  
6      5.33380 -61.60533   6.92588 -20.42908 -60.04481  -5.57538     (-1.485,-56.513) (-30.433,-0.242) (-12.018,-5.092)      4.2021  3.46911  9.516  4.2021  
7      5.27510 -61.54408   6.74477 -20.49905 -59.41882  -5.57792     (-2.037,-56.572) (-30.407,-0.303) (-11.717,-4.972)      4.06264  3.99614  9.64744  4.06264     glitch
8      5.21639 -61.48283   6.56367 -20.56902 -58.79283  -5.58046     (-2.589,-56.631) (-30.380,-0.364) (-11.416,-4.852)      4.02344  4.79708  9.87243  4.02344  
9      5.15768 -61.42158   6.38256 -20.63899 -58.16684  -5.58301     (-3.142,-56.689) (-30.354,-0.425) (-11.115,-4.732)      4.08737  5.75875  10.1848  4.08737  
10      5.09898 -61.36033   6.20145 -20.70895 -57.54085  -5.58555     (-3.694,-56.748) (-30.328,-0.487) (-10.814,-4.612)      4.24979  6.81344  10.5767  4.24979  
11      5.04027 -61.29908   6.02034 -20.77892 -56.91487  -5.58810     (-4.246,-56.807) (-30.301,-0.548) (-10.513,-4.492)      4.50005  7.92408  11.0399  4.50005  
12      4.98156 -61.23783   5.83924 -20.84889 -56.28888  -5.59064     (-4.798,-56.865) (-30.275,-0.609) (-10.212,-4.372)      4.82449  9.07015  11.5656  4.82449  
13      4.92286 -61.17658   5.65813 -20.91886 -55.66289  -5.59318     (-5.350,-56.924) (-30.248,-0.670) (-9.911,-4.253)      5.20927  10.2398  12.1458  5.20927  
14      4.86415 -61.11532   5.47702 -20.98883 -55.03690  -5.59573     (-5.902,-56.983) (-30.222,-0.732) (-9.610,-4.133)      5.64207  11.4257  12.773  5.64207  
15      4.80544 -61.05407   5.29591 -21.05879 -54.41091  -5.59827     (-6.454,-57.041) (-30.196,-0.793) (-9.309,-4.013)      6.11268  12.6233  13.4407  6.11268  
16      4.74674 -60.99282   5.11481 -21.12876 -53.78492  -5.60082     (-7.006,-57.100) (-30.169,-0.854) (-9.007,-3.893)      6.61305  13.8296  14.1432  6.61305  
17      4.68803 -60.93157   4.93370 -21.19873 -53.15893  -5.60336     (-7.559,-57.159) (-30.143,-0.915) (-8.706,-3.773)      7.13692  15.0425  14.8754  7.13692  
18      4.62932 -60.87032   4.75259 -21.26870 -52.53294  -5.60591     (-8.111,-57.218) (-30.116,-0.977) (-8.405,-3.653)      7.67947  16.2605  15.6333  7.67947  
19      4.57062 -60.80907   4.57148 -21.33867 -51.90695  -5.60845     (-8.663,-57.276) (-30.090,-1.038) (-8.104,-3.533)      7.70279  17.3883  15.8951  7.81071  
20      4.51191 -60.74782   4.39038 -21.40863 -51.28096  -5.61099     (-57.335,-9.215) (-30.064,-1.099) (-3.413,-7.803)      7.43437  17.6879  15.8926  7.54059  
21      4.45320 -60.68657   4.20927 -21.47860 -50.65497  -5.61354     (-57.394,-9.767) (-30.037,-1.160) (-3.293,-7.502)      7.21404  17.2882  15.9633  7.31858  
22      4.39449 -60.62532   4.02816 -21.54857 -50.02898  -5.61608     (-57.452,-10.319) (-30.011,-1.222) (-3.173,-7.201)      7.0463  16.9089  16.1048  7.14924  
23      4.33579 -60.56407   3.84705 -21.61854 -49.40299  -5.61863     (-57.511,-10.871) (-29.984,-1.283) (-3.053,-6.900)      6.93498  16.5515  16.3141  7.03643  
24      4.27708 -60.50281   3.66595 -21.68851 -48.77700  -5.62117     (-57.570,-11.424) (-29.958,-1.344) (-2.933,-6.599)      6.88281  16.2174  16.5276  6.98296  
25      4.21837 -60.44156   3.48484 -21.75848 -48.15101  -5.62371     (-57.629,-11.976) (-29.932,-1.405) (-2.813,-6.298)      6.89115  15.9081  16.7905  6.99019  
26      4.15967 -60.38031   3.30373 -21.82844 -47.52502  -5.62626     (-57.687,-12.528) (-29.905,-1.467) (-2.693,-5.997)      6.95976  15.6251  17.1047  7.05796  
27      4.10096 -60.31906   3.12262 -21.89841 -46.89903  -5.62880     (-57.746,-13.080) (-29.879,-1.528) (-2.573,-5.696)      7.0869  15.3697  17.4675  7.1845  
28      4.04225 -60.25781   2.94152 -21.96838 -46.27304  -5.63135     (-57.805,-13.632) (-29.852,-1.589) (-2.453,-5.395)      7.26949  15.1435  17.8758  7.36675  
29      3.98355 -60.19656   2.76041 -22.03835 -45.64705  -5.63389     (-57.863,-14.184) (-29.826,-1.650) (-2.333,-5.094)      7.5035  14.9476  18.3266  7.60063  
30      3.92484 -60.13531   2.57930 -22.10832 -45.02106  -5.63643     (-57.922,-14.736) (-29.800,-1.712) (-2.213,-4.793)      7.78429  14.7835  18.8168  7.88146  
31      3.86613 -60.07406   2.39819 -22.17828 -44.39507  -5.63898     (-57.981,-15.289) (-29.773,-1.773) (-2.093,-4.491)      8.10699  14.652  19.3434  8.20436  
32      3.80743 -60.01281   2.21709 -22.24825 -43.76908  -5.64152     (-58.039,-15.841) (-29.747,-1.834) (-1.973,-4.190)      8.46682  14.5541  19.9035  8.56449  
33      3.74872 -59.95156   2.03598 -22.31822 -43.14309  -5.64407     (-58.098,-16.393) (-29.720,-1.895) (-1.853,-3.889)      8.85925  14.4904  20.4942  8.95731  
34      3.69001 -59.89030   1.85487 -22.38819 -42.51710  -5.64661     (-58.157,-16.945) (-29.694,-1.957) (-1.733,-3.588)      9.28015  14.4615  21.113  9.37864  
35      3.63131 -59.82905   1.67376 -22.45816 -41.89111  -5.64916     (-58.216,-17.497) (-29.668,-2.018) (-1.613,-3.287)      9.72583  14.4675  21.7575  9.82478  
36      3.57260 -59.76780   1.49266 -22.52812 -41.26512  -5.65170     (-58.274,-18.049) (-29.641,-2.079) (-1.493,-2.986)      10.193  14.5084  22.4255  10.2925  
37      3.51389 -59.70655   1.31155 -22.59809 -40.63913  -5.65424     (-58.333,-18.601) (-29.615,-2.140) (-1.374,-2.685)      10.6789  14.5839  23.1148  10.7788  
38      3.45518 -59.64530   1.13044 -22.66806 -40.01314  -5.65679     (-58.392,-19.154) (-29.588,-2.202) (-1.254,-2.384)      11.1811  14.6934  23.8237  11.2815  
39      3.39648 -59.58405   0.94933 -22.73803 -39.38715  -5.65933     (-58.450,-19.706) (-29.562,-2.263) (-1.134,-2.083)      11.6974  14.8362  24.5503  11.7983  
40      3.33777 -59.52280   0.76823 -22.80800 -38.76116  -5.66188     (-58.509,-20.258) (-29.536,-2.324) (-1.014,-1.782)      12.2261  15.0114  25.2933  12.3274  
41      3.27906 -59.46155   0.58712 -22.87796 -38.13517  -5.66442     (-58.568,-20.810) (-29.509,-2.385) (-0.894,-1.481)      12.7656  15.2178  26.0511  12.8674  
42      3.22036 -59.40030   0.40601 -22.94793 -37.50918  -5.66696     (-58.627,-21.362) (-29.483,-2.447) (-0.774,-1.180)      13.3147  15.4542  26.8225  13.4169  
43      3.16165 -59.33905   0.22490 -23.01790 -36.88319  -5.66951     (-58.685,-21.914) (-29.456,-2.508) (-0.654,-0.879)      13.8721  15.7192  27.6064  13.9747  
