Fol_2018-05-05.09_49_38.1_15.txt     Output is probe cell, reduced cell, NCDist distance between
0     -5.08591 -15.52629   8.21406 -221.53691 -198.85861 -205.06302     (-3.128,-10.440) (-210.195,-5.086) (-187.516,-210.149) 0
1     -5.06613 -17.49264   6.23698 -219.40462 -196.90131 -205.11439     (-1.171,-12.427) (-211.997,-5.066) (-189.493,-210.181) 3.86438
2     -5.04636 -19.45899   4.25991 -217.27234 -194.94401 -205.16577     (-0.786,-15.199) (-213.012,-190.684) (-4.260,-209.426) 6.90191
3     -5.02658 -21.42533   2.28283 -215.14005 -192.98671 -205.21714     (-2.744,-19.143) (-212.857,-190.704) (-2.283,-207.500) 10.4158
4     -5.00681 -23.39168   0.30576 -213.00776 -191.02941 -205.26851     (-4.701,-23.086) (-212.702,-190.724) (-0.306,-205.574) 14.9461
5     -4.98703 -25.35803  -1.67132 -210.87547 -189.07211 -205.31988     (-4.987,-210.875) (-25.358,-189.072) (-1.671,-205.320) 17.2732
6     -4.96726 -27.32438  -3.64840 -208.74318 -187.11481 -205.37126     (-4.967,-208.743) (-27.324,-187.115) (-3.648,-205.371) 19.752
7     -4.94748 -29.29073  -5.62547 -206.61089 -185.15751 -205.42263     (-4.947,-206.611) (-29.291,-185.158) (-5.625,-205.423) 22.4274
8     -4.92771 -31.25707  -7.60255 -204.47861 -183.20021 -205.47400     (-4.928,-204.479) (-31.257,-183.200) (-7.603,-205.474) 25.0357
9     -4.90793 -33.22342  -9.57962 -202.34632 -181.24291 -205.52538     (-4.908,-202.346) (-33.223,-181.243) (-9.580,-205.525) 27.9803
10     -4.88816 -35.18977 -11.55670 -200.21403 -179.28561 -205.57675     (-4.888,-200.214) (-35.190,-179.286) (-11.557,-205.577) 31.166
11     -4.86838 -37.15612 -13.53377 -198.08174 -177.32831 -205.62812     (-4.868,-198.082) (-37.156,-177.328) (-13.534,-205.628) 34.5261
12     -4.84861 -39.12246 -15.51085 -195.94945 -175.37101 -205.67949     (-4.849,-195.949) (-39.122,-175.371) (-15.511,-205.679) 38.0145
13     -4.82883 -41.08881 -17.48792 -193.81717 -173.41371 -205.73087     (-4.829,-193.817) (-41.089,-173.414) (-17.488,-205.731) 41.5988
14     -4.80905 -43.05516 -19.46500 -191.68488 -171.45641 -205.78224     (-4.809,-191.685) (-43.055,-171.456) (-19.465,-205.782) 45.2563
15     -4.78928 -45.02151 -21.44207 -189.55259 -169.49911 -205.83361     (-4.789,-189.553) (-45.022,-169.499) (-21.442,-205.834) 48.9706
16     -4.76950 -46.98785 -23.41915 -187.42030 -167.54181 -205.88499     (-4.770,-187.420) (-46.988,-167.542) (-23.419,-205.885) 52.7296
17     -4.74973 -48.95420 -25.39622 -185.28801 -165.58451 -205.93636     (-4.750,-185.288) (-48.954,-165.585) (-25.396,-205.936) 56.5245
18     -4.72995 -50.92055 -27.37330 -183.15572 -163.62721 -205.98773     (-4.730,-183.156) (-50.921,-163.627) (-27.373,-205.988) 60.3485
19     -4.71018 -52.88690 -29.35037 -181.02344 -161.66991 -206.03910     (-4.710,-181.023) (-52.887,-161.670) (-29.350,-206.039) 64.1963
20     -4.69040 -54.85324 -31.32745 -178.89115 -159.71261 -206.09048     (-4.690,-178.891) (-54.853,-159.713) (-31.327,-206.090) 68.064
21     -4.67063 -56.81959 -33.30453 -176.75886 -157.75531 -206.14185     (-4.671,-176.759) (-56.820,-157.755) (-33.305,-206.142) 71.9484
