Fol_2018-05-05.12_21_19.1_4.txt     Output is probe cell, reduced cell, NCDist distance between
0    -1772.73128 -3079.80907 1557.79201 -1790.24147 -2392.60702 -611.77074     (-214.939,-1522.017) (-232.449,-834.815) (-1557.792,-2169.563) 0
1    -1756.99601 -3051.04786 1526.32147 -1787.53213 -2376.87175 -627.50601     (-230.675,-1524.726) (-261.211,-850.550) (-1526.321,-2153.827) 50.6729
2    -1741.26073 -3022.28665 1494.85092 -1784.82279 -2361.13648 -643.24128     (-246.410,-1527.436) (-289.972,-866.286) (-1494.851,-2138.092) 101.346
3    -1725.52546 -2993.52544 1463.38038 -1782.11345 -2345.40120 -658.97656     (-262.145,-1530.145) (-318.733,-882.021) (-1463.380,-2122.357) 152.019
4    -1709.79019 -2964.76424 1431.90983 -1779.40412 -2329.66593 -674.71183     (-277.880,-1532.854) (-347.494,-897.756) (-1431.910,-2106.622) 202.691
5    -1694.05492 -2936.00303 1400.43928 -1776.69478 -2313.93066 -690.44710     (-293.616,-1535.564) (-376.255,-913.491) (-1400.439,-2090.886) 253.364
6    -1678.31964 -2907.24182 1368.96874 -1773.98544 -2298.19539 -706.18238     (-309.351,-1538.273) (-405.017,-929.227) (-1368.969,-2075.151) 304.037
7    -1662.58437 -2878.48061 1337.49819 -1771.27610 -2282.46011 -721.91765     (-325.086,-1540.982) (-433.778,-944.962) (-1337.498,-2059.416) 354.71
8    -1646.84910 -2849.71940 1306.02765 -1768.56677 -2266.72484 -737.65292     (-340.821,-1543.692) (-462.539,-960.697) (-1306.028,-2043.681) 405.383
9    -1631.11382 -2820.95819 1274.55710 -1765.85743 -2250.98957 -753.38819     (-356.557,-1546.401) (-491.300,-976.432) (-1274.557,-2027.945) 456.056
10    -1615.37855 -2792.19699 1243.08656 -1763.14809 -2235.25429 -769.12347     (-372.292,-1549.110) (-520.062,-992.168) (-1243.087,-2012.210) 506.729
11    -1599.64328 -2763.43578 1211.61601 -1760.43876 -2219.51902 -784.85874     (-388.027,-1551.820) (-548.823,-1007.903) (-1211.616,-1996.475) 557.402
12    -1583.90801 -2734.67457 1180.14546 -1757.72942 -2203.78375 -800.59401     (-403.763,-1554.529) (-577.584,-1023.638) (-1180.145,-1980.739) 608.074
13    -1568.17273 -2705.91336 1148.67492 -1755.02008 -2188.04848 -816.32929     (-419.498,-1557.238) (-606.345,-1039.374) (-1148.675,-1965.004) 658.747
14    -1552.43746 -2677.15215 1117.20437 -1752.31074 -2172.31320 -832.06456     (-435.233,-1559.948) (-635.106,-1055.109) (-1117.204,-1949.269) 709.42
15    -1536.70219 -2648.39094 1085.73383 -1749.60141 -2156.57793 -847.79983     (-450.968,-1562.657) (-663.868,-1070.844) (-1085.734,-1933.534) 760.093
16    -1520.96691 -2619.62974 1054.26328 -1746.89207 -2140.84266 -863.53510     (-466.704,-1565.366) (-692.629,-1086.579) (-1054.263,-1917.798) 810.766
17    -1505.23164 -2590.86853 1022.79274 -1744.18273 -2125.10738 -879.27038     (-482.439,-1568.076) (-721.390,-1102.315) (-1022.793,-1902.063) 861.439
18    -1489.49637 -2562.10732 991.32219 -1741.47339 -2109.37211 -895.00565     (-498.174,-1570.785) (-750.151,-1118.050) (-991.322,-1886.328) 912.112
19    -1473.76110 -2533.34611 959.85164 -1738.76406 -2093.63684 -910.74092     (-513.909,-1573.494) (-778.912,-1133.785) (-959.852,-1870.593) 962.784
20    -1458.02582 -2504.58490 928.38110 -1736.05472 -2077.90157 -926.47620     (-529.645,-1576.204) (-807.674,-1149.520) (-928.381,-1854.857) 1013.46
21    -1442.29055 -2475.82370 896.91055 -1733.34538 -2062.16629 -942.21147     (-545.380,-1578.913) (-836.435,-1165.256) (-896.911,-1839.122) 1064.13
22    -1426.55528 -2447.06249 865.44001 -1730.63604 -2046.43102 -957.94674     (-561.115,-1581.622) (-865.196,-1180.991) (-865.440,-1823.387) 1114.8
23    -1410.82000 -2418.30128 833.96946 -1727.92671 -2030.69575 -973.68201     (-576.851,-1584.332) (-893.957,-1196.726) (-833.969,-1807.651) 1153.15
24    -1395.08473 -2389.54007 802.49892 -1725.21737 -2014.96047 -989.41729     (-592.586,-1587.041) (-922.718,-1212.462) (-802.499,-1791.916) 1181.4
25    -1379.34946 -2360.77886 771.02837 -1722.50803 -1999.22520 -1005.15256     (-608.321,-1589.750) (-951.480,-1228.197) (-771.028,-1776.181) 1172.03
26    -1363.61419 -2332.01765 739.55782 -1719.79869 -1983.48993 -1020.88783     (-624.056,-1592.460) (-980.241,-1243.932) (-739.558,-1760.446) 1148.66
27    -1347.87891 -2303.25645 708.08728 -1717.08936 -1967.75466 -1036.62311     (-639.792,-1595.169) (-1009.002,-1259.667) (-708.087,-1744.710) 1127.08
28    -1332.14364 -2274.49524 676.61673 -1714.38002 -1952.01938 -1052.35838     (-655.527,-1597.879) (-1037.763,-1275.403) (-676.617,-1728.975) 1107.4
29    -1316.40837 -2245.73403 645.14619 -1711.67068 -1936.28411 -1068.09365     (-671.262,-1600.588) (-1066.524,-1291.138) (-645.146,-1713.240) 1089.73
30    -1300.67309 -2216.97282 613.67564 -1708.96134 -1920.54884 -1083.82892     (-686.997,-1603.297) (-1095.286,-1306.873) (-613.676,-1697.505) 1074.15
31    -1284.93782 -2188.21161 582.20510 -1706.25201 -1904.81356 -1099.56420     (-702.733,-1606.007) (-1124.047,-1322.608) (-582.205,-1681.769) 1060.78
32    -1269.20255 -2159.45041 550.73455 -1703.54267 -1889.07829 -1115.29947     (-718.468,-1608.716) (-1152.808,-1338.344) (-550.735,-1666.034) 1049.67
33    -1253.46728 -2130.68920 519.26400 -1700.83333 -1873.34302 -1131.03474     (-734.203,-1611.425) (-1181.569,-1354.079) (-519.264,-1650.299) 1040.92
34    -1237.73200 -2101.92799 487.79346 -1698.12399 -1857.60775 -1146.77002     (-749.939,-1614.135) (-1210.331,-1369.814) (-487.793,-1634.563) 1034.58
35    -1221.99673 -2073.16678 456.32291 -1695.41466 -1841.87247 -1162.50529     (-765.674,-1616.844) (-1239.092,-1385.550) (-456.323,-1618.828) 1030.7
36    -1206.26146 -2044.40557 424.85237 -1692.70532 -1826.13720 -1178.24056     (-781.409,-1619.553) (-1267.853,-1401.285) (-424.852,-1603.093) 1029.3
37    -1190.52618 -2015.64436 393.38182 -1689.99598 -1810.40193 -1193.97583     (-797.144,-1622.263) (-1296.614,-1417.020) (-393.382,-1587.358) 1030.39
38    -1174.79091 -1986.88316 361.91128 -1687.28664 -1794.66665 -1209.71111     (-812.880,-1624.972) (-1325.375,-1432.755) (-361.911,-1571.622) 1033.97
39    -1159.05564 -1958.12195 330.44073 -1684.57731 -1778.93138 -1225.44638     (-828.615,-1627.681) (-1354.137,-1448.491) (-330.441,-1555.887) 1040
40    -1143.32037 -1929.36074 298.97018 -1681.86797 -1763.19611 -1241.18165     (-844.350,-1630.391) (-1382.898,-1464.226) (-298.970,-1540.152) 1048.46
41    -1127.58509 -1900.59953 267.49964 -1679.15863 -1747.46084 -1256.91693     (-860.085,-1633.100) (-1411.659,-1479.961) (-267.500,-1524.417) 1059.27
42    -1111.84982 -1871.83832 236.02909 -1676.44929 -1731.72556 -1272.65220     (-875.821,-1635.809) (-1440.420,-1495.696) (-236.029,-1508.681) 1072.37
43    -1096.11455 -1843.07711 204.55855 -1673.73996 -1715.99029 -1288.38747     (-891.556,-1638.519) (-1469.181,-1511.432) (-204.559,-1492.946) 1087.06
44    -1080.37927 -1814.31591 173.08800 -1671.03062 -1700.25502 -1304.12274     (-907.291,-1641.228) (-1497.943,-1527.167) (-173.088,-1477.211) 1085.49
45    -1064.64400 -1785.55470 141.61746 -1668.32128 -1684.51974 -1319.85802     (-923.027,-1643.937) (-1526.704,-1542.902) (-141.617,-1461.475) 1086.29
46    -1048.90873 -1756.79349 110.14691 -1665.61194 -1668.78447 -1335.59329     (-938.762,-1646.647) (-1555.465,-1558.638) (-110.147,-1445.740) 1089.45
47    -1033.17346 -1728.03228  78.67636 -1662.90261 -1653.04920 -1351.32856     (-954.497,-1649.356) (-1584.226,-1574.373) (-78.676,-1430.005) 1094.94
48    -1017.43818 -1699.27107  47.20582 -1660.19327 -1637.31393 -1367.06384     (-970.232,-1652.065) (-1612.987,-1590.108) (-47.206,-1414.270) 1102.74
49    -1001.70291 -1670.50987  15.73527 -1657.48393 -1621.57865 -1382.79911     (-985.968,-1654.775) (-1641.749,-1605.843) (-15.735,-1398.534) 1112.79
