PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.1_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  65   CS6Dist 6   LMDist  104243
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
34    -24.47917  -0.91917 -27.92124  -7.16372   7.04217 -21.20703     (-20.879,-0.122) (-7.961,-7.042) (-17.437,-14.165)      11.778  11.8713  11.8334  
35    -23.91158  -0.97604 -28.15383  -7.05194   6.66655 -21.06645     (-21.487,-0.385) (-7.643,-6.667) (-17.245,-14.400)      12.2552  12.5501  12.4047  
36    -23.34399  -1.03290 -28.38642  -6.94015   6.29092 -20.92587     (-22.095,-0.649) (-7.324,-6.291) (-17.053,-14.635)      12.7752  13.2711  12.986  
37    -22.77639  -1.08976 -28.61900  -6.82837   5.91530 -20.78529     (-22.704,-0.913) (-7.005,-5.915) (-16.861,-14.870)      13.3331  14.0299  13.5762  
38    -22.20880  -1.14662 -28.85159  -6.71659   5.53967 -20.64471     (-23.312,-1.177) (-6.686,-5.540) (-16.669,-15.105)      13.9243  14.8225  14.1741  
39    -21.64121  -1.20349 -29.08417  -6.60480   5.16405 -20.50413     (-23.920,-1.441) (-6.368,-5.164) (-16.477,-15.340)      14.5447  15.4655  14.7788  
40    -21.07361  -1.26035 -29.31676  -6.49302   4.78843 -20.36354     (-24.528,-1.705) (-6.049,-4.788) (-16.285,-15.575)      15.1908  16.0671  15.3894  
41    -20.50602  -1.31721 -29.54935  -6.38123   4.41280 -20.22296     (-25.137,-1.968) (-5.730,-4.413) (-16.093,-15.810)      15.8594  16.6485  16.0054  
42    -19.93843  -1.37408 -29.78193  -6.26945   4.03718 -20.08238     (-25.745,-2.232) (-5.411,-4.037) (-15.901,-16.045)      16.5283  16.8315  16.6067  
43    -19.37083  -1.43094 -30.01452  -6.15766   3.66155 -19.94180     (-26.353,-2.496) (-5.092,-3.662) (-15.709,-16.280)      17.1324  15.9177  17.1298  
44    -18.80324  -1.48780 -30.24710  -6.04588   3.28593 -19.80122     (-26.961,-2.760) (-4.774,-3.286) (-15.517,-16.515)      17.7596  15.8187  17.6633  
45    -18.23565  -1.54466 -30.47969  -5.93409   2.91030 -19.66064     (-27.569,-3.024) (-4.455,-2.910) (-15.325,-16.750)      18.4075  15.7631  18.2064  
46    -17.66805  -1.60153 -30.71228  -5.82231   2.53468 -19.52005     (-28.178,-3.288) (-4.136,-2.535) (-15.133,-16.985)      19.074  19.369  18.7581     glitch
47    -17.10046  -1.65839 -30.94486  -5.71052   2.15905 -19.37947     (-28.786,-3.551) (-3.817,-2.159) (-14.941,-17.220)      19.7572  19.985  19.3178  
48    -16.53287  -1.71525 -31.17745  -5.59874   1.78343 -19.23889     (-29.394,-3.815) (-3.499,-1.783) (-14.749,-17.455)      20.4555  20.5622  19.8847  
49    -15.96527  -1.77212 -31.41003  -5.48695   1.40780 -19.09831     (-30.002,-4.079) (-3.180,-1.408) (-14.557,-17.691)      21.1673  20.7201  20.4583  
50    -15.39768  -1.82898 -31.64262  -5.37517   1.03218 -18.95773     (-30.610,-4.343) (-2.861,-1.032) (-14.366,-17.926)      21.8913  20.8956  21.038  
51    -14.83009  -1.88584 -31.87521  -5.26338   0.65655 -18.81715     (-31.219,-4.607) (-2.542,-0.657) (-14.174,-18.161)      22.6243  21.0871  21.6234  
52    -14.26249  -1.94270 -32.10779  -5.15160   0.28093 -18.67657     (-31.827,-4.871) (-2.224,-0.281) (-13.982,-18.396)      23.3205  21.2936  22.2139  
