Fol_2018-02-25.13_35_19.70_.txt     Output is probe cell, reduced cell, NCDist distance between
0    1572.62716 -1811.37588 -5917.02703 1082.83338 -4017.20942 -4630.64327       (-1572.627,-489.794) (-238.749,-4344.400) (-2444.582,-3058.016)      1.01685e-12
1    1569.47875 -1809.80168 -5913.55111 1081.25917 -4017.53694 -4629.06907       (-1569.479,-488.220) (-240.323,-4344.072) (-2448.058,-3059.590)      5.43471
2    1566.33035 -1808.22748 -5910.07519 1079.68497 -4017.86445 -4627.49487       (-1566.330,-486.645) (-241.897,-4343.745) (-2451.534,-3061.165)      10.8694
3    1563.18195 -1806.65327 -5906.59927 1078.11077 -4018.19197 -4625.92066       (-1563.182,-485.071) (-243.471,-4343.417) (-2455.010,-3062.739)      16.3041
4    1560.03355 -1805.07907 -5903.12335 1076.53657 -4018.51949 -4624.34646       (-1560.034,-483.497) (-245.046,-4343.090) (-2458.486,-3064.313)      21.7388
5    1556.88514 -1803.50487 -5899.64743 1074.96237 -4018.84701 -4622.77226       (-1556.885,-481.923) (-246.620,-4342.762) (-2461.962,-3065.887)      27.1735
6    1553.73674 -1801.93067 -5896.17151 1073.38817 -4019.17453 -4621.19806       (-1553.737,-480.349) (-248.194,-4342.435) (-2465.438,-3067.461)      32.6083
7    1550.58834 -1800.35647 -5892.69559 1071.81397 -4019.50204 -4619.62386       (-1550.588,-478.774) (-249.768,-4342.107) (-2468.914,-3069.036)      38.043
8    1547.43993 -1798.78227 -5889.21966 1070.23976 -4019.82956 -4618.04966       (-1547.440,-477.200) (-251.342,-4341.780) (-2472.390,-3070.610)      43.4777
9    1544.29153 -1797.20807 -5885.74374 1068.66556 -4020.15708 -4616.47546       (-1544.292,-475.626) (-252.917,-4341.452) (-2475.866,-3072.184)      48.9124
10    1541.14313 -1795.63386 -5882.26782 1067.09136 -4020.48460 -4614.90125       (-1541.143,-474.052) (-254.491,-4341.125) (-2479.341,-3073.758)      54.3471
11    1537.99473 -1794.05966 -5878.79190 1065.51716 -4020.81212 -4613.32705       (-1537.995,-472.478) (-256.065,-4340.797) (-2482.817,-3075.332)      59.7818
12    1534.84632 -1792.48546 -5875.31598 1063.94296 -4021.13963 -4611.75285       (-1534.846,-470.903) (-257.639,-4340.470) (-2486.293,-3076.907)      65.2165
13    1531.69792 -1790.91126 -5871.84006 1062.36876 -4021.46715 -4610.17865       (-1531.698,-469.329) (-259.213,-4340.142) (-2489.769,-3078.481)      70.6512
14    1528.54952 -1789.33706 -5868.36414 1060.79456 -4021.79467 -4608.60445       (-1528.550,-467.755) (-260.788,-4339.815) (-2493.245,-3080.055)      76.0859
15    1525.40112 -1787.76286 -5864.88822 1059.22036 -4022.12219 -4607.03025       (-1525.401,-466.181) (-262.362,-4339.487) (-2496.721,-3081.629)      81.5206
16    1522.25271 -1786.18866 -5861.41230 1057.64615 -4022.44971 -4605.45605       (-1522.253,-464.607) (-263.936,-4339.160) (-2500.197,-3083.203)      86.9553
17    1519.10431 -1784.61445 -5857.93638 1056.07195 -4022.77722 -4603.88184       (-1519.104,-463.032) (-265.510,-4338.832) (-2503.673,-3084.778)      92.3901
18    1515.95591 -1783.04025 -5854.46046 1054.49775 -4023.10474 -4602.30764       (-1515.956,-461.458) (-267.084,-4338.505) (-2507.149,-3086.352)      97.8248
19    1512.80750 -1781.46605 -5850.98454 1052.92355 -4023.43226 -4600.73344       (-1512.808,-459.884) (-268.659,-4338.177) (-2510.625,-3087.926)      103.259
