Fol_2018-03-05.09_12_20.18_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -0.81391 -31.88392 -10.80452 -32.13147   5.37363 -44.78142       (-0.871,-32.698) (-22.198,-0.814) (-4.560,-43.968)      1.42109e-14
1     -0.81397 -31.87422 -10.79827 -32.13204   5.36744 -44.78061       (-0.877,-32.688) (-22.211,-0.814) (-4.553,-43.967)      0.01845
2     -0.81403 -31.86452 -10.79202 -32.13260   5.36125 -44.77979       (-0.884,-32.679) (-22.224,-0.814) (-4.547,-43.966)      0.0368999
3     -0.81409 -31.85483 -10.78577 -32.13317   5.35505 -44.77898       (-0.890,-32.669) (-22.237,-0.814) (-4.541,-43.965)      0.0553499
4     -0.81414 -31.84513 -10.77952 -32.13374   5.34886 -44.77816       (-0.896,-32.659) (-22.250,-0.814) (-4.535,-43.964)      0.0737999
5     -0.81420 -31.83544 -10.77327 -32.13430   5.34267 -44.77735       (-0.902,-32.650) (-22.263,-0.814) (-4.528,-43.963)      0.0922499
6     -0.81426 -31.82574 -10.76701 -32.13487   5.33647 -44.77654       (-0.908,-32.640) (-22.276,-0.814) (-4.522,-43.962)      0.1107
7     -0.81432 -31.81605 -10.76076 -32.13544   5.33028 -44.77572       (-0.915,-32.630) (-22.289,-0.814) (-4.516,-43.961)      0.12915
8     -0.81437 -31.80635 -10.75451 -32.13600   5.32408 -44.77491       (-0.921,-32.621) (-22.302,-0.814) (-4.510,-43.961)      0.1476
9     -0.81443 -31.79666 -10.74826 -32.13657   5.31789 -44.77409       (-0.927,-32.611) (-22.315,-0.814) (-4.503,-43.960)      0.16605
10     -0.81449 -31.78696 -10.74201 -32.13714   5.31170 -44.77328       (-0.933,-32.601) (-22.328,-0.814) (-4.497,-43.959)      0.1845
11     -0.81454 -31.77726 -10.73576 -32.13771   5.30550 -44.77246       (-0.939,-32.592) (-22.341,-0.815) (-4.491,-43.958)      0.20295
12     -0.81460 -31.76757 -10.72951 -32.13827   5.29931 -44.77165       (-0.945,-32.582) (-22.354,-0.815) (-4.485,-43.957)      0.2214
13     -0.81466 -31.75787 -10.72326 -32.13884   5.29312 -44.77083       (-0.952,-32.573) (-22.367,-0.815) (-4.478,-43.956)      0.23985
14     -0.81472 -31.74818 -10.71701 -32.13941   5.28692 -44.77002       (-0.958,-32.563) (-22.380,-0.815) (-4.472,-43.955)      0.2583
15     -0.81477 -31.73848 -10.71076 -32.13997   5.28073 -44.76920       (-0.964,-32.553) (-22.393,-0.815) (-4.466,-43.954)      0.27675
16     -0.81483 -31.72879 -10.70450 -32.14054   5.27453 -44.76839       (-0.970,-32.544) (-22.406,-0.815) (-4.460,-43.954)      0.2952
17     -0.81489 -31.71909 -10.69825 -32.14111   5.26834 -44.76757       (-0.976,-32.534) (-22.419,-0.815) (-4.453,-43.953)      0.313649
18     -0.81495 -31.70940 -10.69200 -32.14167   5.26215 -44.76676       (-0.983,-32.524) (-22.432,-0.815) (-4.447,-43.952)      0.332099
19     -0.81500 -31.69970 -10.68575 -32.14224   5.25595 -44.76594       (-0.989,-32.515) (-22.445,-0.815) (-4.441,-43.951)      0.350549
20     -0.81506 -31.69001 -10.67950 -32.14281   5.24976 -44.76513       (-0.995,-32.505) (-22.458,-0.815) (-4.435,-43.950)      0.368999
21     -0.81512 -31.68031 -10.67325 -32.14337   5.24357 -44.76431       (-1.001,-32.495) (-22.471,-0.815) (-4.428,-43.949)      0.387449
22     -0.81518 -31.67061 -10.66700 -32.14394   5.23737 -44.76350       (-1.007,-32.486) (-22.484,-0.815) (-4.422,-43.948)      0.405899
23     -0.81523 -31.66092 -10.66075 -32.14451   5.23118 -44.76268       (-1.014,-32.476) (-22.497,-0.815) (-4.416,-43.947)      0.424349
24     -0.81529 -31.65122 -10.65450 -32.14508   5.22498 -44.76187       (-1.020,-32.467) (-22.510,-0.815) (-4.410,-43.947)      0.442799
25     -0.81535 -31.64153 -10.64824 -32.14564   5.21879 -44.76106       (-1.026,-32.457) (-22.523,-0.815) (-4.403,-43.946)      0.461249
26     -0.81540 -31.63183 -10.64199 -32.14621   5.21260 -44.76024       (-1.032,-32.447) (-22.536,-0.815) (-4.397,-43.945)      0.479699
27     -0.81546 -31.62214 -10.63574 -32.14678   5.20640 -44.75943       (-1.038,-32.438) (-22.549,-0.815) (-4.391,-43.944)      0.498149
28     -0.81552 -31.61244 -10.62949 -32.14734   5.20021 -44.75861       (-1.045,-32.428) (-22.562,-0.816) (-4.385,-43.943)      0.516599
29     -0.81558 -31.60275 -10.62324 -32.14791   5.19402 -44.75780       (-1.051,-32.418) (-22.575,-0.816) (-4.378,-43.942)      0.535049
30     -0.81563 -31.59305 -10.61699 -32.14848   5.18782 -44.75698       (-1.057,-32.409) (-22.588,-0.816) (-4.372,-43.941)      0.553499
31     -0.81569 -31.58335 -10.61074 -32.14904   5.18163 -44.75617       (-1.063,-32.399) (-22.601,-0.816) (-4.366,-43.940)      0.571949
32     -0.81575 -31.57366 -10.60449 -32.14961   5.17543 -44.75535       (-1.069,-32.389) (-22.614,-0.816) (-4.360,-43.940)      0.590399
33     -0.81581 -31.56396 -10.59824 -32.15018   5.16924 -44.75454       (-1.076,-32.380) (-22.628,-0.816) (-4.353,-43.939)      0.608849
34     -0.81586 -31.55427 -10.59199 -32.15074   5.16305 -44.75372       (-1.082,-32.370) (-22.641,-0.816) (-4.347,-43.938)      0.627299
35     -0.81592 -31.54457 -10.58573 -32.15131   5.15685 -44.75291       (-1.088,-32.360) (-22.654,-0.816) (-4.341,-43.937)      0.645749
36     -0.81598 -31.53488 -10.57948 -32.15188   5.15066 -44.75209       (-1.094,-32.351) (-22.667,-0.816) (-4.335,-43.936)      0.664199
37     -0.81603 -31.52518 -10.57323 -32.15245   5.14447 -44.75128       (-1.100,-32.341) (-22.680,-0.816) (-4.328,-43.935)      0.682649
38     -0.81609 -31.51549 -10.56698 -32.15301   5.13827 -44.75046       (-1.107,-32.332) (-22.693,-0.816) (-4.322,-43.934)      0.701099
39     -0.81615 -31.50579 -10.56073 -32.15358   5.13208 -44.74965       (-1.113,-32.322) (-22.706,-0.816) (-4.316,-43.933)      0.719549
40     -0.81621 -31.49610 -10.55448 -32.15415   5.12588 -44.74883       (-1.119,-32.312) (-22.719,-0.816) (-4.310,-43.933)      0.737999
41     -0.81626 -31.48640 -10.54823 -32.15471   5.11969 -44.74802       (-1.125,-32.303) (-22.732,-0.816) (-4.303,-43.932)      0.756449
42     -0.81632 -31.47670 -10.54198 -32.15528   5.11350 -44.74720       (-1.131,-32.293) (-22.745,-0.816) (-4.297,-43.931)      0.774899
43     -0.81638 -31.46701 -10.53573 -32.15585   5.10730 -44.74639       (-1.137,-32.283) (-22.758,-0.816) (-4.291,-43.930)      0.793349
44     -0.81644 -31.45731 -10.52947 -32.15641   5.10111 -44.74558       (-1.144,-32.274) (-22.771,-0.816) (-4.285,-43.929)      0.811799
