10PERCENT_2018-03-07.11_27_28.728_.txt     Output is probe cell, reduced cell, NCDist distance between
0      1.12597 -16.11653 -35.45788   6.31501 -43.96263   3.47539       (-9.790,-3.438) (-4.601,-20.906) (-3.475,-10.150)      1.08052e-14
1      1.11468 -16.10500 -35.42583   6.30521 -43.93955   3.46211       (-9.767,-3.489) (-4.577,-20.943) (-3.462,-10.200)      0.0878616
2      1.10340 -16.09347 -35.39377   6.29541 -43.91647   3.44883       (-9.744,-3.540) (-4.552,-20.979) (-3.449,-10.250)      0.175723
3      1.09211 -16.08195 -35.36172   6.28561 -43.89339   3.43556       (-9.721,-3.591) (-4.528,-21.015) (-3.436,-10.300)      0.263585
4      1.08082 -16.07042 -35.32967   6.27581 -43.87031   3.42228       (-9.698,-3.642) (-4.503,-21.052) (-3.422,-10.350)      0.351446
5      1.06954 -16.05889 -35.29762   6.26601 -43.84723   3.40900       (-9.675,-3.693) (-4.479,-21.088) (-3.409,-10.400)      0.439308
6      1.05825 -16.04737 -35.26557   6.25621 -43.82415   3.39572       (-9.652,-3.744) (-4.454,-21.125) (-3.396,-10.449)      0.527169
7      1.04696 -16.03584 -35.23352   6.24641 -43.80107   3.38244       (-9.629,-3.795) (-4.429,-21.161) (-3.382,-10.499)      0.615031
8      1.03567 -16.02431 -35.20146   6.23661 -43.77800   3.36916       (-9.606,-3.845) (-4.405,-21.197) (-3.369,-10.549)      0.702893
9      1.02439 -16.01279 -35.16941   6.22681 -43.75492   3.35588       (-9.583,-3.896) (-4.380,-21.234) (-3.356,-10.599)      0.790754
10      1.01310 -16.00126 -35.13736   6.21701 -43.73184   3.34260       (-9.560,-3.947) (-4.356,-21.270) (-3.343,-10.649)      0.878616
11      1.00181 -15.98973 -35.10531   6.20721 -43.70876   3.32932       (-9.537,-3.998) (-4.331,-21.306) (-3.329,-10.699)      0.966477
12      0.99053 -15.97821 -35.07326   6.19741 -43.68568   3.31604       (-9.513,-4.049) (-4.307,-21.343) (-3.316,-10.749)      1.05434
13      0.97924 -15.96668 -35.04121   6.18761 -43.66260   3.30277       (-9.490,-4.100) (-4.282,-21.379) (-3.303,-10.799)      1.1422
14      0.96795 -15.95515 -35.00916   6.17781 -43.63952   3.28949       (-9.467,-4.151) (-4.257,-21.415) (-3.289,-10.849)      1.23006
15      0.95667 -15.94363 -34.97710   6.16801 -43.61644   3.27621       (-9.444,-4.202) (-4.233,-21.452) (-3.276,-10.899)      1.31792
16      0.94538 -15.93210 -34.94505   6.15821 -43.59336   3.26293       (-9.421,-4.253) (-4.208,-21.488) (-3.263,-10.949)      1.40579
17      0.93409 -15.92057 -34.91300   6.14841 -43.57028   3.24965       (-9.398,-4.303) (-4.184,-21.525) (-3.250,-10.999)      1.49365
18      0.92280 -15.90905 -34.88095   6.13861 -43.54720   3.23637       (-9.375,-4.354) (-4.159,-21.561) (-3.236,-11.049)      1.58151
19      0.91152 -15.89752 -34.84890   6.12881 -43.52412   3.22309       (-9.352,-4.405) (-4.135,-21.597) (-3.223,-11.099)      1.66937
20      0.90023 -15.88599 -34.81685   6.11901 -43.50104   3.20981       (-9.329,-4.456) (-4.110,-21.634) (-3.210,-11.149)      1.75723
21      0.88894 -15.87447 -34.78480   6.10921 -43.47796   3.19653       (-9.306,-4.507) (-4.085,-21.670) (-3.197,-11.199)      1.84509
22      0.87766 -15.86294 -34.75274   6.09941 -43.45489   3.18325       (-9.283,-4.558) (-4.061,-21.706) (-3.183,-11.249)      1.93295
23      0.86637 -15.85141 -34.72069   6.08961 -43.43181   3.16997       (-9.260,-4.609) (-4.036,-21.743) (-3.170,-11.299)      2.02082
24      0.85508 -15.83989 -34.68864   6.07981 -43.40873   3.15670       (-9.237,-4.660) (-4.012,-21.779) (-3.157,-11.349)      2.10868
