Fol_2018-03-05.14_04_43.580_.txt     Output is probe cell, reduced cell, NCDist distance between
0     11.95032 -27.00324 -27.40965 -63.20678 -40.64916   2.60691       (-0.496,-55.882) (-9.839,-1.398) (-42.760,-2.111)      1.55875e-14
1     11.93624 -26.97670 -27.38361 -63.18632 -40.66441   2.59445       (-0.510,-55.913) (-9.852,-1.426) (-42.749,-2.085)      0.0544561
2     11.92217 -26.95017 -27.35757 -63.16585 -40.67966   2.58199       (-0.524,-55.944) (-9.864,-1.455) (-42.738,-2.058)      0.108912
3     11.90809 -26.92363 -27.33153 -63.14538 -40.69490   2.56953       (-0.538,-55.975) (-9.876,-1.484) (-42.727,-2.032)      0.163368
4     11.89402 -26.89710 -27.30549 -63.12492 -40.71015   2.55708       (-0.552,-56.006) (-9.889,-1.512) (-42.715,-2.005)      0.217824
5     11.87994 -26.87056 -27.27946 -63.10445 -40.72540   2.54462       (-0.566,-56.037) (-9.901,-1.541) (-42.704,-1.979)      0.27228
6     11.86586 -26.84403 -27.25342 -63.08398 -40.74065   2.53216       (-0.580,-56.068) (-9.914,-1.570) (-42.693,-1.952)      0.326736
7     11.85179 -26.81750 -27.22738 -63.06352 -40.75590   2.51970       (-0.594,-56.099) (-9.926,-1.598) (-42.681,-1.925)      0.381193
8     11.83771 -26.79096 -27.20134 -63.04305 -40.77114   2.50724       (-0.608,-56.130) (-9.939,-1.627) (-42.670,-1.899)      0.435649
9     11.82364 -26.76443 -27.17530 -63.02258 -40.78639   2.49478       (-0.622,-56.161) (-9.951,-1.656) (-42.659,-1.872)      0.490105
10     11.80956 -26.73789 -27.14927 -63.00212 -40.80164   2.48233       (-0.636,-56.192) (-9.964,-1.684) (-42.648,-1.846)      0.544561
11     11.79549 -26.71136 -27.12323 -62.98165 -40.81689   2.46987       (-0.651,-56.223) (-9.976,-1.713) (-42.636,-1.819)      0.599017
12     11.78141 -26.68483 -27.09719 -62.96118 -40.83214   2.45741       (-0.665,-56.254) (-9.989,-1.742) (-42.625,-1.793)      0.653473
13     11.76733 -26.65829 -27.07115 -62.94071 -40.84738   2.44495       (-0.679,-56.285) (-10.001,-1.770) (-42.614,-1.766)      0.707929
14     11.75326 -26.63176 -27.04511 -62.92025 -40.86263   2.43249       (-0.693,-56.316) (-10.014,-1.799) (-42.602,-1.740)      0.762385
15     11.73918 -26.60522 -27.01908 -62.89978 -40.87788   2.42003       (-0.707,-56.347) (-10.026,-1.828) (-42.591,-1.713)      0.816841
16     11.72511 -26.57869 -26.99304 -62.87931 -40.89313   2.40757       (-0.721,-56.377) (-10.038,-1.856) (-42.580,-1.687)      0.871297
17     11.71103 -26.55216 -26.96700 -62.85885 -40.90837   2.39512       (-0.735,-56.408) (-10.051,-1.885) (-42.569,-1.660)      0.925753
18     11.69696 -26.52562 -26.94096 -62.83838 -40.92362   2.38266       (-0.749,-56.439) (-10.063,-1.913) (-42.557,-1.634)      0.980209
19     11.68288 -26.49909 -26.91493 -62.81791 -40.93887   2.37020       (-0.763,-56.470) (-10.076,-1.942) (-42.546,-1.607)      1.03467
20     11.66881 -26.47255 -26.88889 -62.79745 -40.95412   2.35774       (-0.777,-56.501) (-10.088,-1.971) (-42.535,-1.581)      1.08912
21     11.65473 -26.44602 -26.86285 -62.77698 -40.96937   2.34528       (-0.791,-56.532) (-10.101,-1.999) (-42.523,-1.554)      1.14358
22     11.64065 -26.41949 -26.83681 -62.75651 -40.98461   2.33282       (-0.805,-56.563) (-10.113,-2.028) (-42.512,-1.527)      1.19803
23     11.62658 -26.39295 -26.81077 -62.73605 -40.99986   2.32037       (-0.819,-56.594) (-10.126,-2.057) (-42.501,-1.501)      1.25249
24     11.61250 -26.36642 -26.78474 -62.71558 -41.01511   2.30791       (-0.834,-56.625) (-10.138,-2.085) (-42.490,-1.474)      1.30695
25     11.59843 -26.33988 -26.75870 -62.69511 -41.03036   2.29545       (-0.848,-56.656) (-10.151,-2.114) (-42.478,-1.448)      1.3614
26     11.58435 -26.31335 -26.73266 -62.67465 -41.04560   2.28299       (-0.862,-56.687) (-10.163,-2.143) (-42.467,-1.421)      1.41586
27     11.57028 -26.28682 -26.70662 -62.65418 -41.06085   2.27053       (-0.876,-56.718) (-10.175,-2.171) (-42.456,-1.395)      1.47031
