10PERCENT_2018-03-07.11_27_52.990_.txt     Output is probe cell, reduced cell, NCDist distance between
0      4.47624 -20.99850   7.62215 -54.98712 -37.74137   3.59442       (-12.098,-0.381) (-9.068,-8.071) (-19.125,-4.476)      9.72951e-15
1      4.45965 -20.98655   7.59538 -54.93246 -37.71167   3.58634       (-12.055,-0.435) (-9.142,-8.046) (-19.190,-4.460)      0.123697
2      4.44306 -20.97461   7.56860 -54.87780 -37.68197   3.57826       (-12.012,-0.489) (-9.216,-8.021) (-19.255,-4.443)      0.247393
3      4.42646 -20.96267   7.54183 -54.82313 -37.65227   3.57019       (-11.968,-0.543) (-9.289,-7.997) (-19.320,-4.426)      0.37109
4      4.40987 -20.95073   7.51505 -54.76847 -37.62257   3.56211       (-11.925,-0.597) (-9.363,-7.972) (-19.385,-4.410)      0.494786
5      4.39328 -20.93879   7.48828 -54.71381 -37.59287   3.55403       (-11.882,-0.651) (-9.436,-7.947) (-19.449,-4.393)      0.618483
6      4.37669 -20.92684   7.46151 -54.65915 -37.56317   3.54595       (-11.838,-0.705) (-9.510,-7.923) (-19.514,-4.377)      0.74218
7      4.36010 -20.91490   7.43473 -54.60449 -37.53347   3.53787       (-11.795,-0.759) (-9.584,-7.898) (-19.579,-4.360)      0.865876
8      4.34351 -20.90296   7.40796 -54.54983 -37.50377   3.52979       (-11.751,-0.813) (-9.657,-7.873) (-19.644,-4.344)      0.989573
9      4.32692 -20.89102   7.38118 -54.49517 -37.47407   3.52171       (-11.708,-0.867) (-9.731,-7.849) (-19.709,-4.327)      1.11327
10      4.31033 -20.87908   7.35441 -54.44051 -37.44437   3.51363       (-11.665,-0.921) (-9.805,-7.824) (-19.773,-4.310)      1.23697
11      4.29373 -20.86713   7.32764 -54.38585 -37.41467   3.50556       (-11.621,-0.975) (-9.878,-7.799) (-19.838,-4.294)      1.36066
12      4.27714 -20.85519   7.30086 -54.33119 -37.38497   3.49748       (-11.578,-1.029) (-9.952,-7.775) (-19.903,-4.277)      1.48436
13      4.26055 -20.84325   7.27409 -54.27653 -37.35527   3.48940       (-11.535,-1.083) (-10.025,-7.750) (-19.968,-4.261)      1.60806
14      4.24396 -20.83131   7.24731 -54.22187 -37.32557   3.48132       (-11.491,-1.137) (-10.099,-7.725) (-20.033,-4.244)      1.73175
15      4.22737 -20.81936   7.22054 -54.16720 -37.29587   3.47324       (-11.448,-1.191) (-10.173,-7.701) (-20.098,-4.227)      1.85545
16      4.21078 -20.80742   7.19376 -54.11254 -37.26616   3.46516       (-11.405,-1.245) (-10.246,-7.676) (-20.162,-4.211)      1.97915
17      4.19419 -20.79548   7.16699 -54.05788 -37.23646   3.45708       (-11.361,-1.299) (-10.320,-7.651) (-20.227,-4.194)      2.10284
18      4.17760 -20.78354   7.14022 -54.00322 -37.20676   3.44900       (-11.318,-1.353) (-10.394,-7.627) (-20.292,-4.178)      2.22654
19      4.16100 -20.77160   7.11344 -53.94856 -37.17706   3.44093       (-11.274,-1.407) (-10.467,-7.602) (-20.357,-4.161)      2.35024
20      4.14441 -20.75965   7.08667 -53.89390 -37.14736   3.43285       (-11.231,-1.461) (-10.541,-7.577) (-20.422,-4.144)      2.47393
21      4.12782 -20.74771   7.05989 -53.83924 -37.11766   3.42477       (-11.188,-1.515) (-10.614,-7.553) (-20.486,-4.128)      2.59763
22      4.11123 -20.73577   7.03312 -53.78458 -37.08796   3.41669       (-11.144,-1.569) (-10.688,-7.528) (-20.551,-4.111)      2.72133
23      4.09464 -20.72383   7.00635 -53.72992 -37.05826   3.40861       (-11.101,-1.623) (-10.762,-7.503) (-20.616,-4.095)      2.84502
24      4.07805 -20.71189   6.97957 -53.67526 -37.02856   3.40053       (-11.058,-1.677) (-10.835,-7.479) (-20.681,-4.078)      2.96872
25      4.06146 -20.69994   6.95280 -53.62060 -36.99886   3.39245       (-11.014,-1.731) (-10.909,-7.454) (-20.746,-4.061)      3.09242
26      4.04487 -20.68800   6.92602 -53.56594 -36.96916   3.38437       (-10.971,-1.785) (-10.983,-7.429) (-20.811,-4.045)      3.20514
27      4.02827 -20.67606   6.89925 -53.51127 -36.93946   3.37630       (-10.928,-1.839) (-11.056,-7.405) (-20.875,-4.028)      3.22101
28      4.01168 -20.66412   6.87247 -53.45661 -36.90976   3.36822       (-10.884,-1.893) (-11.130,-7.380) (-20.940,-4.012)      3.24153
29      3.99509 -20.65218   6.84570 -53.40195 -36.88006   3.36014       (-10.841,-1.947) (-11.203,-7.355) (-21.005,-3.995)      3.2666
30      3.97850 -20.64023   6.81893 -53.34729 -36.85036   3.35206       (-10.797,-2.001) (-11.277,-7.331) (-21.070,-3.979)      3.29613
31      3.96191 -20.62829   6.79215 -53.29263 -36.82066   3.34398       (-10.754,-2.055) (-11.351,-7.306) (-21.135,-3.962)      3.33
32      3.94532 -20.61635   6.76538 -53.23797 -36.79096   3.33590       (-10.711,-2.109) (-11.424,-7.281) (-21.199,-3.945)      3.36807
33      3.92873 -20.60441   6.73860 -53.18331 -36.76126   3.32782       (-10.667,-2.163) (-11.498,-7.257) (-21.264,-3.929)      3.41021
34      3.91214 -20.59247   6.71183 -53.12865 -36.73156   3.31975       (-10.624,-2.217) (-11.571,-7.232) (-21.329,-3.912)      3.45626
35      3.89555 -20.58052   6.68506 -53.07399 -36.70186   3.31167       (-10.581,-2.271) (-11.645,-7.207) (-21.394,-3.896)      3.50607
36      3.87895 -20.56858   6.65828 -53.01933 -36.67216   3.30359       (-10.537,-2.325) (-11.719,-7.183) (-21.459,-3.879)      3.55949
37      3.86236 -20.55664   6.63151 -52.96467 -36.64246   3.29551       (-10.494,-2.379) (-11.792,-7.158) (-21.524,-3.862)      3.61635
38      3.84577 -20.54470   6.60473 -52.91001 -36.61276   3.28743       (-10.451,-2.433) (-11.866,-7.133) (-21.588,-3.846)      3.67649
39      3.82918 -20.53275   6.57796 -52.85534 -36.58306   3.27935       (-10.407,-2.487) (-11.940,-7.109) (-21.653,-3.829)      3.73976
40      3.81259 -20.52081   6.55118 -52.80068 -36.55335   3.27127       (-10.364,-2.541) (-12.013,-7.084) (-21.718,-3.813)      3.806
41      3.79600 -20.50887   6.52441 -52.74602 -36.52365   3.26319       (-10.320,-2.594) (-12.087,-7.059) (-21.783,-3.796)      3.87505
42      3.77941 -20.49693   6.49764 -52.69136 -36.49395   3.25512       (-10.277,-2.648) (-12.160,-7.035) (-21.848,-3.779)      3.94678
43      3.76282 -20.48499   6.47086 -52.63670 -36.46425   3.24704       (-10.234,-2.702) (-12.234,-7.010) (-21.912,-3.763)      4.02103
44      3.74622 -20.47304   6.44409 -52.58204 -36.43455   3.23896       (-10.190,-2.756) (-12.308,-6.985) (-21.977,-3.746)      4.09767
45      3.72963 -20.46110   6.41731 -52.52738 -36.40485   3.23088       (-10.147,-2.810) (-12.381,-6.961) (-22.042,-3.730)      4.17657
46      3.71304 -20.44916   6.39054 -52.47272 -36.37515   3.22280       (-10.104,-2.864) (-12.455,-6.936) (-22.107,-3.713)      4.2576
47      3.69645 -20.43722   6.36377 -52.41806 -36.34545   3.21472       (-10.060,-2.918) (-12.529,-6.911) (-22.172,-3.696)      4.34064
48      3.67986 -20.42528   6.33699 -52.36340 -36.31575   3.20664       (-10.017,-2.972) (-12.602,-6.887) (-22.237,-3.680)      4.42559
49      3.66327 -20.41333   6.31022 -52.30874 -36.28605   3.19856       (-9.973,-3.026) (-12.676,-6.862) (-22.301,-3.663)      4.51232
50      3.64668 -20.40139   6.28344 -52.25408 -36.25635   3.19049       (-9.930,-3.080) (-12.749,-6.837) (-22.366,-3.647)      4.60075
51      3.63009 -20.38945   6.25667 -52.19941 -36.22665   3.18241       (-9.887,-3.134) (-12.823,-6.812) (-22.431,-3.630)      4.69077
52      3.61349 -20.37751   6.22989 -52.14475 -36.19695   3.17433       (-9.843,-3.188) (-12.897,-6.788) (-22.496,-3.613)      4.7823
53      3.59690 -20.36557   6.20312 -52.09009 -36.16725   3.16625       (-9.800,-3.242) (-12.970,-6.763) (-22.561,-3.597)      4.87524
54      3.58031 -20.35362   6.17635 -52.03543 -36.13755   3.15817       (-9.757,-3.296) (-13.044,-6.738) (-22.625,-3.580)      4.96953
55      3.56372 -20.34168   6.14957 -51.98077 -36.10785   3.15009       (-9.713,-3.350) (-13.118,-6.714) (-22.690,-3.564)      5.06508
