Fol_2018-03-05.14_03_03.230_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -26.11241 -16.88298  14.71641  -9.76044 -25.17493 -39.56201       (-52.112,-2.789) (-6.971,-12.625) (-2.167,-3.651)      0
1    -26.08992 -16.87305  14.69889  -9.75284 -25.16237 -39.57457       (-52.099,-2.772) (-6.981,-12.638) (-2.174,-3.673)      0.0358394
2    -26.06744 -16.86313  14.68136  -9.74524 -25.14980 -39.58714       (-52.087,-2.754) (-6.991,-12.650) (-2.182,-3.696)      0.0716788
3    -26.04496 -16.85321  14.66384  -9.73764 -25.13724 -39.59970       (-52.074,-2.737) (-7.001,-12.663) (-2.189,-3.718)      0.107518
4    -26.02247 -16.84329  14.64632  -9.73004 -25.12468 -39.61226       (-52.062,-2.719) (-7.011,-12.675) (-2.197,-3.741)      0.143358
5    -25.99999 -16.83337  14.62879  -9.72243 -25.11212 -39.62482       (-52.049,-2.702) (-7.021,-12.688) (-2.205,-3.763)      0.179197
6    -25.97750 -16.82345  14.61127  -9.71483 -25.09955 -39.63739       (-52.036,-2.684) (-7.031,-12.700) (-2.212,-3.786)      0.215036
7    -25.95502 -16.81352  14.59375  -9.70723 -25.08699 -39.64995       (-52.024,-2.667) (-7.040,-12.713) (-2.220,-3.808)      0.250876
8    -25.93253 -16.80360  14.57622  -9.69963 -25.07443 -39.66251       (-52.011,-2.649) (-7.050,-12.726) (-2.227,-3.831)      0.286715
9    -25.91005 -16.79368  14.55870  -9.69203 -25.06187 -39.67507       (-51.999,-2.632) (-7.060,-12.738) (-2.235,-3.853)      0.322555
10    -25.88757 -16.78376  14.54118  -9.68443 -25.04930 -39.68763       (-51.986,-2.614) (-7.070,-12.751) (-2.243,-3.875)      0.358394
11    -25.86508 -16.77384  14.52365  -9.67683 -25.03674 -39.70020       (-51.974,-2.597) (-7.080,-12.763) (-2.250,-3.898)      0.394234
12    -25.84260 -16.76391  14.50613  -9.66922 -25.02418 -39.71276       (-51.961,-2.579) (-7.090,-12.776) (-2.258,-3.920)      0.430073
13    -25.82011 -16.75399  14.48861  -9.66162 -25.01162 -39.72532       (-51.949,-2.562) (-7.100,-12.788) (-2.265,-3.943)      0.465912
14    -25.79763 -16.74407  14.47108  -9.65402 -24.99905 -39.73788       (-51.936,-2.544) (-7.110,-12.801) (-2.273,-3.965)      0.501752
15    -25.77514 -16.73415  14.45356  -9.64642 -24.98649 -39.75045       (-51.923,-2.527) (-7.120,-12.814) (-2.281,-3.988)      0.537591
16    -25.75266 -16.72423  14.43604  -9.63882 -24.97393 -39.76301       (-51.911,-2.509) (-7.130,-12.826) (-2.288,-4.010)      0.573431
17    -25.73018 -16.71430  14.41851  -9.63122 -24.96137 -39.77557       (-51.898,-2.492) (-7.140,-12.839) (-2.296,-4.033)      0.60927
18    -25.70769 -16.70438  14.40099  -9.62361 -24.94880 -39.78813       (-51.886,-2.474) (-7.150,-12.851) (-2.303,-4.055)      0.645109
19    -25.68521 -16.69446  14.38347  -9.61601 -24.93624 -39.80070       (-51.873,-2.456) (-7.160,-12.864) (-2.311,-4.078)      0.680949
20    -25.66272 -16.68454  14.36594  -9.60841 -24.92368 -39.81326       (-51.861,-2.439) (-7.169,-12.876) (-2.319,-4.100)      0.716788
21    -25.64024 -16.67462  14.34842  -9.60081 -24.91112 -39.82582       (-51.848,-2.421) (-7.179,-12.889) (-2.326,-4.123)      0.752628
22    -25.61775 -16.66470  14.33090  -9.59321 -24.89855 -39.83838       (-51.835,-2.404) (-7.189,-12.901) (-2.334,-4.145)      0.788467
23    -25.59527 -16.65477  14.31337  -9.58561 -24.88599 -39.85095       (-51.823,-2.386) (-7.199,-12.914) (-2.341,-4.168)      0.824306
24    -25.57279 -16.64485  14.29585  -9.57801 -24.87343 -39.86351       (-51.810,-2.369) (-7.209,-12.927) (-2.349,-4.190)      0.860146
25    -25.55030 -16.63493  14.27833  -9.57040 -24.86087 -39.87607       (-51.798,-2.351) (-7.219,-12.939) (-2.357,-4.213)      0.895985
26    -25.52782 -16.62501  14.26080  -9.56280 -24.84831 -39.88863       (-51.785,-2.334) (-7.229,-12.952) (-2.364,-4.235)      0.931825
27    -25.50533 -16.61509  14.24328  -9.55520 -24.83574 -39.90120       (-51.773,-2.316) (-7.239,-12.964) (-2.372,-4.258)      0.967664
28    -25.48285 -16.60516  14.22576  -9.54760 -24.82318 -39.91376       (-51.760,-2.299) (-7.249,-12.977) (-2.379,-4.280)      1.0035
29    -25.46036 -16.59524  14.20823  -9.54000 -24.81062 -39.92632       (-51.748,-2.281) (-7.259,-12.989) (-2.387,-4.303)      1.03934
30    -25.43788 -16.58532  14.19071  -9.53240 -24.79806 -39.93888       (-51.735,-2.264) (-7.269,-13.002) (-2.395,-4.325)      1.07518
31    -25.41540 -16.57540  14.17319  -9.52480 -24.78549 -39.95145       (-51.722,-2.246) (-7.279,-13.015) (-2.402,-4.348)      1.11102
32    -25.39291 -16.56548  14.15566  -9.51719 -24.77293 -39.96401       (-51.710,-2.229) (-7.289,-13.027) (-2.410,-4.370)      1.14686
33    -25.37043 -16.55555  14.13814  -9.50959 -24.76037 -39.97657       (-51.697,-2.211) (-7.298,-13.040) (-2.417,-4.393)      1.1827
34    -25.34794 -16.54563  14.12062  -9.50199 -24.74781 -39.98913       (-51.685,-2.194) (-7.308,-13.052) (-2.425,-4.415)      1.21854
35    -25.32546 -16.53571  14.10309  -9.49439 -24.73524 -40.00170       (-51.672,-2.176) (-7.318,-13.065) (-2.433,-4.438)      1.25438
36    -25.30297 -16.52579  14.08557  -9.48679 -24.72268 -40.01426       (-51.660,-2.159) (-7.328,-13.077) (-2.440,-4.460)      1.29022
37    -25.28049 -16.51587  14.06805  -9.47919 -24.71012 -40.02682       (-51.647,-2.141) (-7.338,-13.090) (-2.448,-4.483)      1.32606
38    -25.25801 -16.50595  14.05052  -9.47159 -24.69756 -40.03938       (-51.634,-2.124) (-7.348,-13.102) (-2.455,-4.505)      1.3619
39    -25.23552 -16.49602  14.03300  -9.46398 -24.68499 -40.05194       (-51.622,-2.106) (-7.358,-13.115) (-2.463,-4.528)      1.39774
40    -25.21304 -16.48610  14.01548  -9.45638 -24.67243 -40.06451       (-51.609,-2.088) (-7.368,-13.128) (-2.471,-4.550)      1.43358
41    -25.19055 -16.47618  13.99795  -9.44878 -24.65987 -40.07707       (-51.597,-2.071) (-7.378,-13.140) (-2.478,-4.572)      1.46942
42    -25.16807 -16.46626  13.98043  -9.44118 -24.64731 -40.08963       (-51.584,-2.053) (-7.388,-13.153) (-2.486,-4.595)      1.50526
43    -25.14558 -16.45634  13.96291  -9.43358 -24.63474 -40.10219       (-51.572,-2.036) (-7.398,-13.165) (-2.493,-4.617)      1.54109
44    -25.12310 -16.44641  13.94538  -9.42598 -24.62218 -40.11476       (-51.559,-2.018) (-7.408,-13.178) (-2.501,-4.640)      1.57693
45    -25.10062 -16.43649  13.92786  -9.41837 -24.60962 -40.12732       (-51.547,-2.001) (-7.418,-13.190) (-2.509,-4.662)      1.61277
46    -25.07813 -16.42657  13.91034  -9.41077 -24.59706 -40.13988       (-51.534,-1.983) (-7.427,-13.203) (-2.516,-4.685)      1.64861
47    -25.05565 -16.41665  13.89281  -9.40317 -24.58449 -40.15244       (-51.521,-1.966) (-7.437,-13.216) (-2.524,-4.707)      1.68445
48    -25.03316 -16.40673  13.87529  -9.39557 -24.57193 -40.16501       (-51.509,-1.948) (-7.447,-13.228) (-2.531,-4.730)      1.72029
49    -25.01068 -16.39681  13.85777  -9.38797 -24.55937 -40.17757       (-51.496,-1.931) (-7.457,-13.241) (-2.539,-4.752)      1.75613
50    -24.98819 -16.38688  13.84024  -9.38037 -24.54681 -40.19013       (-51.484,-1.913) (-7.467,-13.253) (-2.547,-4.775)      1.79197
51    -24.96571 -16.37696  13.82272  -9.37277 -24.53425 -40.20269       (-51.471,-1.896) (-7.477,-13.266) (-2.554,-4.797)      1.82781
52    -24.94323 -16.36704  13.80520  -9.36516 -24.52168 -40.21526       (-51.459,-1.878) (-7.487,-13.278) (-2.562,-4.820)      1.86365
53    -24.92074 -16.35712  13.78767  -9.35756 -24.50912 -40.22782       (-51.446,-1.861) (-7.497,-13.291) (-2.569,-4.842)      1.89949
54    -24.89826 -16.34720  13.77015  -9.34996 -24.49656 -40.24038       (-51.433,-1.843) (-7.507,-13.303) (-2.577,-4.865)      1.93533
55    -24.87577 -16.33727  13.75263  -9.34236 -24.48400 -40.25294       (-51.421,-1.826) (-7.517,-13.316) (-2.585,-4.887)      1.97117
56    -24.85329 -16.32735  13.73510  -9.33476 -24.47143 -40.26551       (-51.408,-1.808) (-7.527,-13.329) (-2.592,-4.910)      2.00701
57    -24.83080 -16.31743  13.71758  -9.32716 -24.45887 -40.27807       (-51.396,-1.791) (-7.537,-13.341) (-2.600,-4.932)      2.04285
58    -24.80832 -16.30751  13.70006  -9.31956 -24.44631 -40.29063       (-51.383,-1.773) (-7.547,-13.354) (-2.607,-4.955)      2.07869
59    -24.78584 -16.29759  13.68253  -9.31195 -24.43375 -40.30319       (-51.371,-1.756) (-7.556,-13.366) (-2.615,-4.977)      2.11453
60    -24.76335 -16.28766  13.66501  -9.30435 -24.42118 -40.31576       (-51.358,-1.738) (-7.566,-13.379) (-2.623,-5.000)      2.15036
61    -24.74087 -16.27774  13.64749  -9.29675 -24.40862 -40.32832       (-51.346,-1.720) (-7.576,-13.391) (-2.630,-5.022)      2.1862
62    -24.71838 -16.26782  13.62996  -9.28915 -24.39606 -40.34088       (-51.333,-1.703) (-7.586,-13.404) (-2.638,-5.045)      2.22204
63    -24.69590 -16.25790  13.61244  -9.28155 -24.38350 -40.35344       (-51.320,-1.685) (-7.596,-13.417) (-2.645,-5.067)      2.25788
64    -24.67341 -16.24798  13.59492  -9.27395 -24.37093 -40.36600       (-51.308,-1.668) (-7.606,-13.429) (-2.653,-5.090)      2.29372
65    -24.65093 -16.23806  13.57739  -9.26635 -24.35837 -40.37857       (-51.295,-1.650) (-7.616,-13.442) (-2.661,-5.112)      2.32956
66    -24.62845 -16.22813  13.55987  -9.25874 -24.34581 -40.39113       (-51.283,-1.633) (-7.626,-13.454) (-2.668,-5.135)      2.3654
67    -24.60596 -16.21821  13.54235  -9.25114 -24.33325 -40.40369       (-51.270,-1.615) (-7.636,-13.467) (-2.676,-5.157)      2.40124
68    -24.58348 -16.20829  13.52482  -9.24354 -24.32068 -40.41625       (-51.258,-1.598) (-7.646,-13.479) (-2.683,-5.180)      2.43708
69    -24.56099 -16.19837  13.50730  -9.23594 -24.30812 -40.42882       (-51.245,-1.580) (-7.656,-13.492) (-2.691,-5.202)      2.47292
70    -24.53851 -16.18845  13.48978  -9.22834 -24.29556 -40.44138       (-51.232,-1.563) (-7.666,-13.504) (-2.699,-5.225)      2.50876
71    -24.51603 -16.17852  13.47225  -9.22074 -24.28300 -40.45394       (-51.220,-1.545) (-7.675,-13.517) (-2.706,-5.247)      2.5446
72    -24.49354 -16.16860  13.45473  -9.21313 -24.27043 -40.46650       (-51.207,-1.528) (-7.685,-13.530) (-2.714,-5.269)      2.58044
73    -24.47106 -16.15868  13.43721  -9.20553 -24.25787 -40.47907       (-51.195,-1.510) (-7.695,-13.542) (-2.721,-5.292)      2.61628
74    -24.44857 -16.14876  13.41968  -9.19793 -24.24531 -40.49163       (-51.182,-1.493) (-7.705,-13.555) (-2.729,-5.314)      2.65212
75    -24.42609 -16.13884  13.40216  -9.19033 -24.23275 -40.50419       (-51.170,-1.475) (-7.715,-13.567) (-2.737,-5.337)      2.68796
76    -24.40360 -16.12891  13.38464  -9.18273 -24.22019 -40.51675       (-51.157,-1.458) (-7.725,-13.580) (-2.744,-5.359)      2.7238
77    -24.38112 -16.11899  13.36711  -9.17513 -24.20762 -40.52932       (-51.145,-1.440) (-7.735,-13.592) (-2.752,-5.382)      2.75963
