2BOUNDS_2018-03-07.14_41_49.549_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -31.71199 -26.52526 -23.49046 -52.60037  16.94315   5.55506       (-9.339,-2.792) (-18.524,-7.604) (-13.159,-2.227)      0
1    -31.68248 -26.51725 -23.46974 -52.56089  16.91858   5.54015       (-9.275,-2.724) (-18.591,-7.643) (-13.184,-2.346)      0.171164
2    -31.65296 -26.50924 -23.44902 -52.52141  16.89401   5.52524       (-9.211,-2.656) (-18.658,-7.683) (-13.208,-2.464)      0.342328
3    -31.62345 -26.50123 -23.42830 -52.48193  16.86944   5.51033       (-9.147,-2.588) (-18.725,-7.722) (-13.233,-2.582)      0.513493
4    -31.59394 -26.49322 -23.40758 -52.44245  16.84486   5.49542       (-9.083,-2.520) (-18.792,-7.762) (-13.257,-2.700)      0.684657
5    -31.56442 -26.48521 -23.38686 -52.40297  16.82029   5.48051       (-9.019,-2.452) (-18.858,-7.801) (-13.282,-2.818)      0.855821
6    -31.53491 -26.47721 -23.36614 -52.36349  16.79572   5.46560       (-8.955,-2.384) (-18.925,-7.841) (-13.306,-2.936)      1.02699
7    -31.50539 -26.46920 -23.34542 -52.32401  16.77115   5.45070       (-8.891,-2.317) (-18.992,-7.880) (-13.331,-3.054)      1.19815
8    -31.47588 -26.46119 -23.32470 -52.28453  16.74658   5.43579       (-8.827,-2.249) (-19.059,-7.920) (-13.356,-3.173)      1.36931
9    -31.44637 -26.45318 -23.30398 -52.24505  16.72201   5.42088       (-8.763,-2.181) (-19.126,-7.959) (-13.380,-3.291)      1.54048
10    -31.41685 -26.44517 -23.28326 -52.20557  16.69743   5.40597       (-8.699,-2.113) (-19.192,-7.999) (-13.405,-3.409)      1.71164
11    -31.38734 -26.43716 -23.26254 -52.16609  16.67286   5.39106       (-8.635,-2.045) (-19.259,-8.038) (-13.429,-3.527)      1.88281
12    -31.35782 -26.42915 -23.24182 -52.12660  16.64829   5.37615       (-8.571,-1.977) (-19.326,-8.078) (-13.454,-3.645)      2.05397
13    -31.32831 -26.42114 -23.22110 -52.08712  16.62372   5.36124       (-8.507,-1.909) (-19.393,-8.117) (-13.478,-3.763)      2.22513
14    -31.29880 -26.41313 -23.20039 -52.04764  16.59915   5.34633       (-8.442,-1.841) (-19.460,-8.157) (-13.503,-3.881)      2.3963
15    -31.26928 -26.40512 -23.17967 -52.00816  16.57458   5.33142       (-8.378,-1.773) (-19.526,-8.196) (-13.528,-3.999)      2.56746
16    -31.23977 -26.39712 -23.15895 -51.96868  16.55000   5.31651       (-8.314,-1.705) (-19.593,-8.236) (-13.552,-4.118)      2.73863
17    -31.21025 -26.38911 -23.13823 -51.92920  16.52543   5.30160       (-8.250,-1.638) (-19.660,-8.275) (-13.577,-4.236)      2.90979
18    -31.18074 -26.38110 -23.11751 -51.88972  16.50086   5.28669       (-8.186,-1.570) (-19.727,-8.315) (-13.601,-4.354)      3.08096
19    -31.15123 -26.37309 -23.09679 -51.85024  16.47629   5.27179       (-8.122,-1.502) (-19.794,-8.354) (-13.626,-4.472)      3.25212
20    -31.12171 -26.36508 -23.07607 -51.81076  16.45172   5.25688       (-8.058,-1.434) (-19.861,-8.394) (-13.650,-4.590)      3.42328
21    -31.09220 -26.35707 -23.05535 -51.77128  16.42715   5.24197       (-7.994,-1.366) (-19.927,-8.433) (-13.675,-4.708)      3.59445
22    -31.06268 -26.34906 -23.03463 -51.73180  16.40257   5.22706       (-7.930,-1.298) (-19.994,-8.473) (-13.700,-4.826)      3.76561
23    -31.03317 -26.34105 -23.01391 -51.69232  16.37800   5.21215       (-7.866,-1.230) (-20.061,-8.512) (-13.724,-4.945)      3.93678
24    -31.00365 -26.33304 -22.99319 -51.65283  16.35343   5.19724       (-7.802,-1.162) (-20.128,-8.551) (-13.749,-5.063)      4.10794
25    -30.97414 -26.32503 -22.97247 -51.61335  16.32886   5.18233       (-7.738,-1.094) (-20.195,-8.591) (-13.773,-5.181)      4.27911
26    -30.94463 -26.31703 -22.95175 -51.57387  16.30429   5.16742       (-7.674,-1.026) (-20.261,-8.630) (-13.798,-5.299)      4.45027
27    -30.91511 -26.30902 -22.93103 -51.53439  16.27972   5.15251       (-7.610,-0.958) (-20.328,-8.670) (-13.822,-5.417)      4.62143
28    -30.88560 -26.30101 -22.91032 -51.49491  16.25514   5.13760       (-7.546,-0.891) (-20.395,-8.709) (-13.847,-5.535)      4.7926
29    -30.85608 -26.29300 -22.88960 -51.45543  16.23057   5.12269       (-7.482,-0.823) (-20.462,-8.749) (-13.872,-5.653)      4.96376
30    -30.82657 -26.28499 -22.86888 -51.41595  16.20600   5.10778       (-7.418,-0.755) (-20.529,-8.788) (-13.896,-5.772)      5.13493
31    -30.79706 -26.27698 -22.84816 -51.37647  16.18143   5.09288       (-7.354,-0.687) (-20.596,-8.828) (-13.921,-5.890)      5.30609
32    -30.76754 -26.26897 -22.82744 -51.33699  16.15686   5.07797       (-7.290,-0.619) (-20.662,-8.867) (-13.945,-6.008)      5.47726
33    -30.73803 -26.26096 -22.80672 -51.29751  16.13229   5.06306       (-7.225,-0.551) (-20.729,-8.907) (-13.970,-6.126)      5.64842
34    -30.70851 -26.25295 -22.78600 -51.25803  16.10771   5.04815       (-7.161,-0.483) (-20.796,-8.946) (-13.994,-6.244)      5.81958
35    -30.67900 -26.24494 -22.76528 -51.21855  16.08314   5.03324       (-7.097,-0.415) (-20.863,-8.986) (-14.019,-6.362)      5.99075
36    -30.64949 -26.23694 -22.74456 -51.17906  16.05857   5.01833       (-7.033,-0.347) (-20.930,-9.025) (-14.044,-6.480)      6.16191
37    -30.61997 -26.22893 -22.72384 -51.13958  16.03400   5.00342       (-6.969,-0.279) (-20.996,-9.065) (-14.068,-6.599)      6.33308
38    -30.59046 -26.22092 -22.70312 -51.10010  16.00943   4.98851       (-6.905,-0.212) (-21.063,-9.104) (-14.093,-6.717)      6.50424
39    -30.56094 -26.21291 -22.68240 -51.06062  15.98486   4.97360       (-6.841,-0.144) (-21.130,-9.144) (-14.117,-6.835)      6.6754
40    -30.53143 -26.20490 -22.66168 -51.02114  15.96028   4.95869       (-6.777,-0.076) (-21.197,-9.183) (-14.142,-6.953)      6.84657
41    -30.50191 -26.19689 -22.64096 -50.98166  15.93571   4.94378       (-6.713,-0.008) (-21.264,-9.223) (-14.166,-7.071)      7.01773
42    -30.47240 -26.18888 -22.62025 -50.94218  15.91114   4.92887       (-6.709,-0.060) (-14.131,-9.202) (-21.270,-7.129)      6.48082    *****
43    -30.44289 -26.18087 -22.59953 -50.90270  15.88657   4.91397       (-6.713,-0.128) (-14.088,-9.174) (-21.269,-7.179)      6.52349
44    -30.41337 -26.17286 -22.57881 -50.86322  15.86200   4.89906       (-6.717,-0.196) (-14.044,-9.145) (-21.268,-7.230)      6.56738
45    -30.38386 -26.16485 -22.55809 -50.82374  15.83743   4.88415       (-6.721,-0.264) (-14.001,-9.117) (-21.267,-7.280)      6.61247
46    -30.35434 -26.15684 -22.53737 -50.78426  15.81285   4.86924       (-6.725,-0.332) (-13.958,-9.088) (-21.266,-7.330)      6.65873
47    -30.32483 -26.14884 -22.51665 -50.74477  15.78828   4.85433       (-6.728,-0.400) (-13.914,-9.060) (-21.265,-7.380)      6.70614
48    -30.29532 -26.14083 -22.49593 -50.70529  15.76371   4.83942       (-6.732,-0.468) (-13.871,-9.031) (-21.264,-7.430)      6.75467
