10PERCENT_2018-03-07.11_27_24.686_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -17.82105 -13.33151   0.30240   1.13364 -33.42482   1.07754       (-11.660,-1.134) (-2.211,-9.326) (-27.869,-1.436)      1.5913e-14
1    -17.81489 -13.32038   0.27420   1.13137 -33.40070   1.07502       (-11.722,-1.131) (-2.206,-9.378) (-27.857,-1.406)      0.0875911
2    -17.80872 -13.30924   0.24600   1.12911 -33.37658   1.07251       (-11.784,-1.129) (-2.202,-9.430) (-27.844,-1.375)      0.175182
3    -17.80255 -13.29811   0.21780   1.12684 -33.35245   1.06999       (-11.846,-1.127) (-2.197,-9.482) (-27.832,-1.345)      0.262773
4    -17.79639 -13.28698   0.18960   1.12457 -33.32833   1.06747       (-11.909,-1.125) (-2.192,-9.534) (-27.820,-1.314)      0.350364
5    -17.79022 -13.27585   0.16140   1.12230 -33.30421   1.06496       (-11.971,-1.122) (-2.187,-9.586) (-27.807,-1.284)      0.437956
6    -17.78405 -13.26472   0.13320   1.12003 -33.28008   1.06244       (-12.033,-1.120) (-2.182,-9.638) (-27.795,-1.253)      0.525547
7    -17.77789 -13.25359   0.10500   1.11776 -33.25596   1.05993       (-12.095,-1.118) (-2.178,-9.690) (-27.783,-1.223)      0.613138
8    -17.77172 -13.24246   0.07680   1.11549 -33.23184   1.05741       (-12.157,-1.115) (-2.173,-9.742) (-27.771,-1.192)      0.700729
9    -17.76555 -13.23132   0.04861   1.11322 -33.20771   1.05489       (-12.219,-1.113) (-2.168,-9.794) (-27.758,-1.162)      0.78832
10    -17.75938 -13.22019   0.02041   1.11095 -33.18359   1.05238       (-12.281,-1.111) (-2.163,-9.847) (-27.746,-1.131)      0.875911
11    -17.75322 -13.20906  -0.00779   1.10868 -33.15947   1.04986       (-12.343,-1.109) (-2.159,-9.899) (-27.734,-1.101)      0.963502
12    -17.74705 -13.19793  -0.03599   1.10641 -33.13535   1.04734       (-12.405,-1.106) (-2.154,-9.951) (-27.721,-1.070)      1.05109
13    -17.74088 -13.18680  -0.06419   1.10414 -33.11122   1.04483       (-12.467,-1.104) (-2.149,-10.003) (-27.709,-1.040)      1.13868
14    -17.73472 -13.17567  -0.09239   1.10187 -33.08710   1.04231       (-12.529,-1.102) (-2.144,-10.055) (-27.697,-1.009)      1.22628
15    -17.72855 -13.16454  -0.12059   1.09960 -33.06298   1.03980       (-12.591,-1.100) (-2.139,-10.107) (-27.685,-0.979)      1.31387
16    -17.72238 -13.15340  -0.14879   1.09733 -33.03885   1.03728       (-12.653,-1.097) (-2.135,-10.159) (-27.672,-0.949)      1.40146
17    -17.71622 -13.14227  -0.17699   1.09506 -33.01473   1.03476       (-12.715,-1.095) (-2.130,-10.211) (-27.660,-0.918)      1.48905
18    -17.71005 -13.13114  -0.20519   1.09279 -32.99061   1.03225       (-12.778,-1.093) (-2.125,-10.263) (-27.648,-0.888)      1.57664
19    -17.70388 -13.12001  -0.23339   1.09052 -32.96648   1.02973       (-12.840,-1.091) (-2.120,-10.315) (-27.635,-0.857)      1.66423
20    -17.69771 -13.10888  -0.26159   1.08825 -32.94236   1.02722       (-12.902,-1.088) (-2.115,-10.367) (-27.623,-0.827)      1.75182
21    -17.69155 -13.09775  -0.28979   1.08598 -32.91824   1.02470       (-12.964,-1.086) (-2.111,-10.419) (-27.611,-0.796)      1.83941
22    -17.68538 -13.08662  -0.31799   1.08371 -32.89411   1.02218       (-13.026,-1.084) (-2.106,-10.471) (-27.599,-0.766)      1.927
23    -17.67921 -13.07548  -0.34619   1.08144 -32.86999   1.01967       (-13.088,-1.081) (-2.101,-10.524) (-27.586,-0.735)      2.0146
24    -17.67305 -13.06435  -0.37439   1.07918 -32.84587   1.01715       (-13.150,-1.079) (-2.096,-10.576) (-27.574,-0.705)      2.10219
25    -17.66688 -13.05322  -0.40259   1.07691 -32.82174   1.01464       (-13.212,-1.077) (-2.092,-10.628) (-27.562,-0.674)      2.18978
26    -17.66071 -13.04209  -0.43078   1.07464 -32.79762   1.01212       (-13.274,-1.075) (-2.087,-10.680) (-27.549,-0.644)      2.27737
27    -17.65455 -13.03096  -0.45898   1.07237 -32.77350   1.00960       (-13.336,-1.072) (-2.082,-10.732) (-27.537,-0.613)      2.36496
28    -17.64838 -13.01983  -0.48718   1.07010 -32.74937   1.00709       (-13.398,-1.070) (-2.077,-10.784) (-27.525,-0.583)      2.45255
29    -17.64221 -13.00870  -0.51538   1.06783 -32.72525   1.00457       (-13.460,-1.068) (-2.072,-10.836) (-27.513,-0.552)      2.54014
30    -17.63605 -12.99756  -0.54358   1.06556 -32.70113   1.00206       (-13.522,-1.066) (-2.068,-10.888) (-27.500,-0.522)      2.62773
31    -17.62988 -12.98643  -0.57178   1.06329 -32.67701   0.99954       (-13.584,-1.063) (-2.063,-10.940) (-27.488,-0.492)      2.71532
32    -17.62371 -12.97530  -0.59998   1.06102 -32.65288   0.99702       (-13.647,-1.061) (-2.058,-10.992) (-27.476,-0.461)      2.80292
33    -17.61754 -12.96417  -0.62818   1.05875 -32.62876   0.99451       (-13.709,-1.059) (-2.053,-11.044) (-27.463,-0.431)      2.89051
34    -17.61138 -12.95304  -0.65638   1.05648 -32.60464   0.99199       (-13.771,-1.056) (-2.048,-11.096) (-27.451,-0.400)      2.9781
35    -17.60521 -12.94191  -0.68458   1.05421 -32.58051   0.98947       (-13.833,-1.054) (-2.044,-11.148) (-27.439,-0.370)      3.06569
36    -17.59904 -12.93077  -0.71278   1.05194 -32.55639   0.98696       (-13.895,-1.052) (-2.039,-11.201) (-27.427,-0.339)      3.15328
37    -17.59288 -12.91964  -0.74098   1.04967 -32.53227   0.98444       (-13.957,-1.050) (-2.034,-11.253) (-27.414,-0.309)      3.24087
38    -17.58671 -12.90851  -0.76918   1.04740 -32.50814   0.98193       (-14.019,-1.047) (-2.029,-11.305) (-27.402,-0.278)      3.32846
39    -17.58054 -12.89738  -0.79738   1.04513 -32.48402   0.97941       (-14.081,-1.045) (-2.025,-11.357) (-27.390,-0.248)      3.41605
40    -17.57438 -12.88625  -0.82558   1.04286 -32.45990   0.97689       (-14.143,-1.043) (-2.020,-11.409) (-27.378,-0.217)      3.50364
41    -17.56821 -12.87512  -0.85378   1.04059 -32.43577   0.97438       (-14.205,-1.041) (-2.015,-11.461) (-27.365,-0.187)      3.59124
42    -17.56204 -12.86399  -0.88198   1.03832 -32.41165   0.97186       (-14.267,-1.038) (-2.010,-11.513) (-27.353,-0.156)      3.67883
43    -17.55587 -12.85285  -0.91017   1.03605 -32.38753   0.96935       (-14.329,-1.036) (-2.005,-11.565) (-27.341,-0.126)      3.76642
44    -17.54971 -12.84172  -0.93837   1.03378 -32.36340   0.96683       (-14.391,-1.034) (-2.001,-11.617) (-27.328,-0.095)      3.85401
45    -17.54354 -12.83059  -0.96657   1.03151 -32.33928   0.96431       (-14.454,-1.032) (-1.996,-11.669) (-27.316,-0.065)      3.9416
46    -17.53737 -12.81946  -0.99477   1.02924 -32.31516   0.96180       (-14.516,-1.029) (-1.991,-11.721) (-27.304,-0.034)      4.02919
47    -17.53121 -12.80833  -1.02297   1.02698 -32.29103   0.95928       (-14.578,-1.027) (-1.986,-11.773) (-27.292,-0.004)      4.11678
48    -17.52504 -12.79720  -1.05117   1.02471 -32.26691   0.95677       (-1.955,-0.998) (-14.613,-11.799) (-27.306,-0.026)      4.15029
49    -17.51887 -12.78607  -1.07937   1.02244 -32.24279   0.95425       (-1.920,-0.966) (-14.645,-11.821) (-27.324,-0.057)      4.17661
50    -17.51271 -12.77493  -1.10757   1.02017 -32.21866   0.95173       (-1.884,-0.933) (-14.676,-11.842) (-27.342,-0.087)      4.20396
51    -17.50654 -12.76380  -1.13577   1.01790 -32.19454   0.94922       (-1.849,-0.900) (-14.708,-11.864) (-27.360,-0.118)      4.23232
52    -17.50037 -12.75267  -1.16397   1.01563 -32.17042   0.94670       (-1.814,-0.867) (-14.740,-11.885) (-27.378,-0.148)      4.26168
53    -17.49420 -12.74154  -1.19217   1.01336 -32.14630   0.94418       (-1.779,-0.835) (-14.771,-11.907) (-27.397,-0.179)      4.29201
54    -17.48804 -12.73041  -1.22037   1.01109 -32.12217   0.94167       (-1.743,-0.802) (-14.803,-11.929) (-27.415,-0.209)      4.32329
55    -17.48187 -12.71928  -1.24857   1.00882 -32.09805   0.93915       (-1.708,-0.769) (-14.834,-11.950) (-27.433,-0.240)      4.35551
56    -17.47570 -12.70815  -1.27677   1.00655 -32.07393   0.93664       (-1.673,-0.736) (-14.866,-11.972) (-27.451,-0.270)      4.38863
57    -17.46954 -12.69701  -1.30497   1.00428 -32.04980   0.93412       (-1.638,-0.704) (-14.898,-11.993) (-27.469,-0.301)      4.42265
58    -17.46337 -12.68588  -1.33317   1.00201 -32.02568   0.93160       (-1.602,-0.671) (-14.929,-12.015) (-27.488,-0.331)      4.45754
59    -17.45720 -12.67475  -1.36137   0.99974 -32.00156   0.92909       (-1.567,-0.638) (-14.961,-12.037) (-27.506,-0.362)      4.49328
60    -17.45104 -12.66362  -1.38956   0.99747 -31.97743   0.92657       (-1.532,-0.605) (-14.993,-12.058) (-27.524,-0.392)      4.52985
61    -17.44487 -12.65249  -1.41776   0.99520 -31.95331   0.92406       (-1.497,-0.573) (-15.024,-12.080) (-27.542,-0.423)      4.56724
62    -17.43870 -12.64136  -1.44596   0.99293 -31.92919   0.92154       (-1.461,-0.540) (-15.056,-12.101) (-27.560,-0.453)      4.60541
63    -17.43253 -12.63023  -1.47416   0.99066 -31.90506   0.91902       (-1.426,-0.507) (-15.087,-12.123) (-27.579,-0.484)      4.64435
64    -17.42637 -12.61909  -1.50236   0.98839 -31.88094   0.91651       (-1.391,-0.474) (-15.119,-12.145) (-27.597,-0.514)      4.68405
65    -17.42020 -12.60796  -1.53056   0.98612 -31.85682   0.91399       (-1.356,-0.442) (-15.151,-12.166) (-27.615,-0.544)      4.72448
66    -17.41403 -12.59683  -1.55876   0.98385 -31.83269   0.91148       (-1.320,-0.409) (-15.182,-12.188) (-27.633,-0.575)      4.76562
67    -17.40787 -12.58570  -1.58696   0.98158 -31.80857   0.90896       (-1.285,-0.376) (-15.214,-12.209) (-27.651,-0.605)      4.80746
68    -17.40170 -12.57457  -1.61516   0.97931 -31.78445   0.90644       (-1.250,-0.343) (-15.245,-12.231) (-27.669,-0.636)      4.84998
69    -17.39553 -12.56344  -1.64336   0.97704 -31.76032   0.90393       (-1.215,-0.311) (-15.277,-12.253) (-27.688,-0.666)      4.89316
70    -17.38937 -12.55231  -1.67156   0.97478 -31.73620   0.90141       (-1.179,-0.278) (-15.309,-12.274) (-27.706,-0.697)      4.93698
71    -17.38320 -12.54117  -1.69976   0.97251 -31.71208   0.89890       (-1.144,-0.245) (-15.340,-12.296) (-27.724,-0.727)      4.98143
72    -17.37703 -12.53004  -1.72796   0.97024 -31.68795   0.89638       (-1.109,-0.213) (-15.372,-12.318) (-27.742,-0.758)      5.02649
73    -17.37087 -12.51891  -1.75616   0.96797 -31.66383   0.89386       (-1.074,-0.180) (-15.403,-12.339) (-27.760,-0.788)      5.07214
74    -17.36470 -12.50778  -1.78436   0.96570 -31.63971   0.89135       (-1.038,-0.147) (-15.435,-12.361) (-27.779,-0.819)      5.11837
75    -17.35853 -12.49665  -1.81256   0.96343 -31.61559   0.88883       (-1.003,-0.114) (-15.467,-12.382) (-27.797,-0.849)      5.16516
76    -17.35236 -12.48552  -1.84076   0.96116 -31.59146   0.88631       (-0.968,-0.082) (-15.498,-12.404) (-27.815,-0.880)      5.2125
77    -17.34620 -12.47439  -1.86896   0.95889 -31.56734   0.88380       (-0.933,-0.049) (-15.530,-12.426) (-27.833,-0.910)      5.26037
78    -17.34003 -12.46325  -1.89715   0.95662 -31.54322   0.88128       (-0.897,-0.016) (-15.561,-12.447) (-27.851,-0.941)      5.30875
79    -17.33386 -12.45212  -1.92535   0.95435 -31.51909   0.87877       (-0.017,-0.879) (-12.452,-27.853) (-15.576,-0.954)      5.76713    *****
80    -17.32770 -12.44099  -1.95355   0.95208 -31.49497   0.87625       (-0.049,-0.876) (-12.441,-27.838) (-15.575,-0.952)      5.75217
81    -17.32153 -12.42986  -1.98175   0.94981 -31.47085   0.87373       (-0.082,-0.874) (-12.430,-27.824) (-15.574,-0.950)      5.73742
82    -17.31536 -12.41873  -2.00995   0.94754 -31.44672   0.87122       (-0.115,-0.871) (-12.419,-27.809) (-15.573,-0.948)      5.72288
83    -17.30920 -12.40760  -2.03815   0.94527 -31.42260   0.86870       (-0.148,-0.869) (-12.408,-27.795) (-15.572,-0.945)      5.70855
84    -17.30303 -12.39646  -2.06635   0.94300 -31.39848   0.86619       (-0.180,-0.866) (-12.396,-27.780) (-15.571,-0.943)      5.69443
85    -17.29686 -12.38533  -2.09455   0.94073 -31.37435   0.86367       (-0.213,-0.864) (-12.385,-27.766) (-15.570,-0.941)      5.68053
86    -17.29069 -12.37420  -2.12275   0.93846 -31.35023   0.86115       (-0.246,-0.861) (-12.374,-27.751) (-15.568,-0.938)      5.66685
87    -17.28453 -12.36307  -2.15095   0.93619 -31.32611   0.85864       (-0.279,-0.859) (-12.363,-27.736) (-15.567,-0.936)      5.65338
88    -17.27836 -12.35194  -2.17915   0.93392 -31.30198   0.85612       (-0.311,-0.856) (-12.352,-27.722) (-15.566,-0.934)      5.64014
89    -17.27219 -12.34081  -2.20735   0.93165 -31.27786   0.85361       (-0.344,-0.854) (-12.341,-27.707) (-15.565,-0.932)      5.62711
90    -17.26603 -12.32968  -2.23555   0.92938 -31.25374   0.85109       (-0.377,-0.851) (-12.330,-27.693) (-15.564,-0.929)      5.61431
91    -17.25986 -12.31854  -2.26375   0.92711 -31.22961   0.84857       (-0.410,-0.849) (-12.319,-27.678) (-15.563,-0.927)      5.60174
92    -17.25369 -12.30741  -2.29195   0.92485 -31.20549   0.84606       (-0.442,-0.846) (-12.307,-27.664) (-15.562,-0.925)      5.58938
93    -17.24753 -12.29628  -2.32015   0.92258 -31.18137   0.84354       (-0.475,-0.844) (-12.296,-27.649) (-15.560,-0.923)      5.57726
94    -17.24136 -12.28515  -2.34835   0.92031 -31.15725   0.84102       (-0.508,-0.841) (-12.285,-27.635) (-15.559,-0.920)      5.56536
95    -17.23519 -12.27402  -2.37654   0.91804 -31.13312   0.83851       (-0.540,-0.839) (-12.274,-27.620) (-15.558,-0.918)      5.5537
96    -17.22902 -12.26289  -2.40474   0.91577 -31.10900   0.83599       (-0.573,-0.836) (-12.263,-27.605) (-15.557,-0.916)      5.54226
97    -17.22286 -12.25176  -2.43294   0.91350 -31.08488   0.83348       (-0.606,-0.833) (-12.252,-27.591) (-15.556,-0.913)      5.53106
98    -17.21669 -12.24062  -2.46114   0.91123 -31.06075   0.83096       (-0.639,-0.831) (-12.241,-27.576) (-15.555,-0.911)      5.5201
99    -17.21052 -12.22949  -2.48934   0.90896 -31.03663   0.82844       (-0.671,-0.828) (-12.229,-27.562) (-15.554,-0.909)      5.50937
100    -17.20436 -12.21836  -2.51754   0.90669 -31.01251   0.82593       (-0.704,-0.826) (-12.218,-27.547) (-15.553,-0.907)      5.49888
101    -17.19819 -12.20723  -2.54574   0.90442 -30.98838   0.82341       (-0.737,-0.823) (-12.207,-27.533) (-15.551,-0.904)      5.48862
102    -17.19202 -12.19610  -2.57394   0.90215 -30.96426   0.82090       (-0.770,-0.821) (-12.196,-27.518) (-15.550,-0.902)      5.47861
103    -17.18586 -12.18497  -2.60214   0.89988 -30.94014   0.81838       (-0.802,-0.818) (-12.185,-27.504) (-15.549,-0.900)      5.46884
104    -17.17969 -12.17384  -2.63034   0.89761 -30.91601   0.81586       (-0.835,-0.816) (-12.174,-27.489) (-15.548,-0.898)      5.45931
105    -17.17352 -12.16270  -2.65854   0.89534 -30.89189   0.81335       (-0.868,-0.813) (-12.163,-27.475) (-15.547,-0.895)      5.45002
106    -17.16736 -12.15157  -2.68674   0.89307 -30.86777   0.81083       (-0.901,-0.811) (-12.152,-27.460) (-15.546,-0.893)      5.44098
107    -17.16119 -12.14044  -2.71494   0.89080 -30.84364   0.80832       (-0.933,-0.808) (-12.140,-27.445) (-15.545,-0.891)      5.43218
108    -17.15502 -12.12931  -2.74314   0.88853 -30.81952   0.80580       (-0.966,-0.806) (-12.129,-27.431) (-15.543,-0.889)      5.42364
109    -17.14885 -12.11818  -2.77134   0.88626 -30.79540   0.80328       (-0.999,-0.803) (-12.118,-27.416) (-15.542,-0.886)      5.41534
110    -17.14269 -12.10705  -2.79954   0.88399 -30.77127   0.80077       (-1.032,-0.801) (-12.107,-27.402) (-15.541,-0.884)      5.40729
111    -17.13652 -12.09592  -2.82774   0.88172 -30.74715   0.79825       (-1.064,-0.798) (-12.096,-27.387) (-15.540,-0.882)      5.3995
112    -17.13035 -12.08478  -2.85593   0.87945 -30.72303   0.79573       (-1.097,-0.796) (-12.085,-27.373) (-15.539,-0.879)      5.39195
113    -17.12419 -12.07365  -2.88413   0.87718 -30.69890   0.79322       (-1.130,-0.793) (-12.074,-27.358) (-15.538,-0.877)      5.38466
114    -17.11802 -12.06252  -2.91233   0.87491 -30.67478   0.79070       (-1.163,-0.791) (-12.063,-27.344) (-15.537,-0.875)      5.37762
115    -17.11185 -12.05139  -2.94053   0.87265 -30.65066   0.78819       (-1.195,-0.788) (-12.051,-27.329) (-15.535,-0.873)      5.37084
116    -17.10569 -12.04026  -2.96873   0.87038 -30.62654   0.78567       (-1.228,-0.786) (-12.040,-27.314) (-15.534,-0.870)      5.36431
117    -17.09952 -12.02913  -2.99693   0.86811 -30.60241   0.78315       (-1.261,-0.783) (-12.029,-27.300) (-15.533,-0.868)      5.35804
118    -17.09335 -12.01800  -3.02513   0.86584 -30.57829   0.78064       (-1.293,-0.781) (-12.018,-27.285) (-15.532,-0.866)      5.35203
119    -17.08718 -12.00686  -3.05333   0.86357 -30.55417   0.77812       (-1.326,-0.778) (-12.007,-27.271) (-15.531,-0.864)      5.34628
120    -17.08102 -11.99573  -3.08153   0.86130 -30.53004   0.77561       (-1.359,-0.776) (-11.996,-27.256) (-15.530,-0.861)      5.34079
121    -17.07485 -11.98460  -3.10973   0.85903 -30.50592   0.77309       (-1.392,-0.773) (-11.985,-27.242) (-15.529,-0.859)      5.33556
122    -17.06868 -11.97347  -3.13793   0.85676 -30.48180   0.77057       (-1.424,-0.771) (-11.973,-27.227) (-15.528,-0.857)      5.33059
123    -17.06252 -11.96234  -3.16613   0.85449 -30.45767   0.76806       (-1.457,-0.768) (-11.962,-27.213) (-15.526,-0.854)      5.32588
124    -17.05635 -11.95121  -3.19433   0.85222 -30.43355   0.76554       (-1.490,-0.766) (-11.951,-27.198) (-15.525,-0.852)      5.32143
125    -17.05018 -11.94008  -3.22253   0.84995 -30.40943   0.76303       (-1.523,-0.763) (-11.940,-27.183) (-15.524,-0.850)      5.31725
126    -17.04402 -11.92894  -3.25073   0.84768 -30.38530   0.76051       (-1.555,-0.761) (-11.929,-27.169) (-15.523,-0.848)      5.31333
127    -17.03785 -11.91781  -3.27893   0.84541 -30.36118   0.75799       (-1.588,-0.758) (-11.918,-27.154) (-15.522,-0.845)      5.30968
128    -17.03168 -11.90668  -3.30713   0.84314 -30.33706   0.75548       (-1.621,-0.755) (-11.907,-27.140) (-15.521,-0.843)      5.30629
129    -17.02551 -11.89555  -3.33532   0.84087 -30.31293   0.75296       (-1.654,-0.753) (-11.896,-27.125) (-15.520,-0.841)      5.30317
130    -17.01935 -11.88442  -3.36352   0.83860 -30.28881   0.75045       (-1.686,-0.750) (-11.884,-27.111) (-15.518,-0.839)      5.30031
131    -17.01318 -11.87329  -3.39172   0.83633 -30.26469   0.74793       (-1.719,-0.748) (-11.873,-27.096) (-15.517,-0.836)      5.29772
132    -17.00701 -11.86216  -3.41992   0.83406 -30.24056   0.74541       (-1.752,-0.745) (-11.862,-27.082) (-15.516,-0.834)      5.2954
133    -17.00085 -11.85102  -3.44812   0.83179 -30.21644   0.74290       (-1.785,-0.743) (-11.851,-27.067) (-15.515,-0.832)      5.29334
134    -16.99468 -11.83989  -3.47632   0.82952 -30.19232   0.74038       (-1.817,-0.740) (-11.840,-27.053) (-15.514,-0.830)      5.29156
135    -16.98851 -11.82876  -3.50452   0.82725 -30.16820   0.73786       (-1.850,-0.738) (-11.829,-27.038) (-15.513,-0.827)      5.29003
136    -16.98235 -11.81763  -3.53272   0.82498 -30.14407   0.73535       (-1.883,-0.735) (-11.818,-27.023) (-15.512,-0.825)      5.28878
137    -16.97618 -11.80650  -3.56092   0.82271 -30.11995   0.73283       (-1.915,-0.733) (-11.806,-27.009) (-15.511,-0.823)      5.2878
138    -16.97001 -11.79537  -3.58912   0.82045 -30.09583   0.73032       (-1.948,-0.730) (-11.795,-26.994) (-15.509,-0.820)      5.28708
139    -16.96384 -11.78423  -3.61732   0.81818 -30.07170   0.72780       (-1.981,-0.728) (-11.784,-26.980) (-15.508,-0.818)      5.28664
140    -16.95768 -11.77310  -3.64552   0.81591 -30.04758   0.72528       (-2.014,-0.725) (-11.773,-26.965) (-15.507,-0.816)      5.28646
141    -16.95151 -11.76197  -3.67372   0.81364 -30.02346   0.72277       (-2.046,-0.723) (-11.762,-26.951) (-15.506,-0.814)      5.28655
142    -16.94534 -11.75084  -3.70192   0.81137 -29.99933   0.72025       (-2.079,-0.720) (-11.751,-26.936) (-15.505,-0.811)      5.28691
143    -16.93918 -11.73971  -3.73012   0.80910 -29.97521   0.71774       (-2.112,-0.718) (-11.740,-26.922) (-15.504,-0.809)      5.28753
144    -16.93301 -11.72858  -3.75832   0.80683 -29.95109   0.71522       (-2.145,-0.715) (-11.729,-26.907) (-15.503,-0.807)      5.28843
145    -16.92684 -11.71745  -3.78652   0.80456 -29.92696   0.71270       (-2.177,-0.713) (-11.717,-26.892) (-15.501,-0.805)      5.2896
146    -16.92068 -11.70631  -3.81471   0.80229 -29.90284   0.71019       (-2.210,-0.710) (-11.706,-26.878) (-15.500,-0.802)      5.29103
147    -16.91451 -11.69518  -3.84291   0.80002 -29.87872   0.70767       (-2.243,-0.708) (-11.695,-26.863) (-15.499,-0.800)      5.29273
148    -16.90834 -11.68405  -3.87111   0.79775 -29.85459   0.70516       (-2.276,-0.705) (-11.684,-26.849) (-15.498,-0.798)      5.2947
149    -16.90218 -11.67292  -3.89931   0.79548 -29.83047   0.70264       (-2.308,-0.703) (-11.673,-26.834) (-15.497,-0.795)      5.29693
150    -16.89601 -11.66179  -3.92751   0.79321 -29.80635   0.70012       (-2.341,-0.700) (-11.662,-26.820) (-15.496,-0.793)      5.29943
151    -16.88984 -11.65066  -3.95571   0.79094 -29.78222   0.69761       (-2.374,-0.698) (-11.651,-26.805) (-15.495,-0.791)      5.3022
