2BOUNDS_2018-03-07.14_44_32.618_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -21.80371   1.18008 -17.06097 -18.56098  21.91005 -36.57731       (-2.154,-2.048) (-1.407,-11.665) (-2.907,-9.845)      5.72858e-14
1    -21.78329   1.16904 -17.04595 -18.55408  21.88521 -36.54285       (-2.091,-1.989) (-1.444,-11.759) (-2.952,-9.912)      0.156113
2    -21.76287   1.15801 -17.03092 -18.54717  21.86037 -36.50839       (-2.027,-1.930) (-1.481,-11.854) (-2.997,-9.979)      0.312227
3    -21.74246   1.14697 -17.01589 -18.54027  21.83552 -36.47394       (-1.964,-1.871) (-1.518,-11.948) (-3.042,-10.046)      0.46834
4    -21.72204   1.13593 -17.00086 -18.53337  21.81068 -36.43948       (-1.900,-1.811) (-1.555,-12.043) (-3.087,-10.114)      0.624454
5    -21.70162   1.12490 -16.98583 -18.52646  21.78584 -36.40502       (-1.836,-1.752) (-1.591,-12.137) (-3.132,-10.181)      0.780567
6    -21.68121   1.11386 -16.97081 -18.51956  21.76100 -36.37056       (-1.773,-1.693) (-1.628,-12.232) (-3.177,-10.248)      0.93668
7    -21.66079   1.10283 -16.95578 -18.51266  21.73615 -36.33611       (-1.709,-1.634) (-1.665,-12.326) (-3.222,-10.315)      1.09279
8    -21.64037   1.09179 -16.94075 -18.50575  21.71131 -36.30165       (-1.646,-1.575) (-1.702,-12.421) (-3.267,-10.383)      1.21488
9    -21.61996   1.08075 -16.92572 -18.49885  21.68647 -36.26719       (-1.582,-1.516) (-1.739,-12.515) (-3.312,-10.450)      1.31918
10    -21.59954   1.06972 -16.91069 -18.49195  21.66163 -36.23273       (-1.518,-1.456) (-1.775,-12.610) (-3.357,-10.517)      1.43293
11    -21.57912   1.05868 -16.89567 -18.48504  21.63679 -36.19828       (-1.455,-1.397) (-1.812,-12.704) (-3.402,-10.584)      1.55405
12    -21.55870   1.04765 -16.88064 -18.47814  21.61194 -36.16382       (-1.391,-1.338) (-1.849,-12.799) (-3.446,-10.652)      1.68096
