Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
41    -38.98520 133.97055 814.77802 -7244.11108 -1613.03462 -401.16370       (-5330.093,-798.257) (-16.521,-150.492) (-22.464,-116.701)      988.537
42    -38.96330 129.27537 813.90468 -7237.32502 -1611.44297 -400.83330       (-5334.599,-797.538) (-16.366,-145.642) (-22.597,-125.916)      993.219
43    -38.94140 124.58020 813.03135 -7230.53896 -1609.85133 -400.50290       (-5339.105,-796.820) (-16.211,-140.792) (-22.730,-135.131)      998.009
44    -38.91950 119.88502 812.15801 -7223.75291 -1608.25968 -400.17249       (-5343.610,-796.102) (-16.056,-135.941) (-22.863,-144.346)      1002.9
45    -38.89760 115.18984 811.28468 -7216.96685 -1606.66803 -399.84209       (-5348.116,-795.383) (-15.901,-131.091) (-22.996,-153.561)      1007.91
46    -38.87570 110.49467 810.41134 -7210.18080 -1605.07639 -399.51169       (-5352.622,-794.665) (-15.746,-126.241) (-23.129,-162.776)      1013.01
47    -38.85380 105.79949 809.53801 -7203.39474 -1603.48474 -399.18129       (-5357.128,-793.947) (-15.591,-121.391) (-23.263,-171.991)      1018.21
48    -38.83190 101.10431 808.66467 -7196.60868 -1601.89309 -398.85088       (-5361.634,-793.228) (-15.436,-116.541) (-23.396,-181.206)      1023.21
49    -38.81000  96.40914 807.79134 -7189.82263 -1600.30145 -398.52048       (-5366.140,-792.510) (-15.281,-111.690) (-23.529,-190.421)      1027.51
50    -38.78811  91.71396 806.91800 -7183.03657 -1598.70980 -398.19008       (-5370.646,-791.792) (-15.126,-106.840) (-23.662,-199.636)      1031.91
51    -38.76621  87.01879 806.04466 -7176.25052 -1597.11816 -397.85967       (-5375.152,-791.073) (-14.971,-101.990) (-23.795,-208.851)      1036.42
52    -38.74431  82.32361 805.17133 -7169.46446 -1595.52651 -397.52927       (-5379.658,-790.355) (-14.816,-97.140) (-23.928,-218.066)      1041.04
53    -38.72241  77.62843 804.29799 -7162.67840 -1593.93486 -397.19887       (-5384.164,-789.637) (-14.661,-92.290) (-24.061,-227.281)      1045.76
54    -38.70051  72.93326 803.42466 -7155.89235 -1592.34322 -396.86847       (-5388.670,-788.919) (-14.506,-87.439) (-24.194,-236.496)      1050.58
55    -38.67861  68.23808 802.55132 -7149.10629 -1590.75157 -396.53806       (-5393.176,-788.200) (-14.351,-82.589) (-24.328,-245.711)      1055.5
56    -38.65671  63.54290 801.67799 -7142.32024 -1589.15992 -396.20766       (-5397.682,-787.482) (-14.196,-77.739) (-24.461,-254.926)      1060.52
57    -38.63481  58.84773 800.80465 -7135.53418 -1587.56828 -395.87726       (-5402.188,-786.764) (-14.041,-72.889) (-24.594,-264.141)      1065.64
58    -38.61291  54.15255 799.93132 -7128.74812 -1585.97663 -395.54686       (-5406.694,-786.045) (-13.886,-68.039) (-24.727,-273.356)      1070.85
59    -38.59101  49.45737 799.05798 -7121.96207 -1584.38499 -395.21645       (-5411.200,-785.327) (-13.731,-63.188) (-24.860,-282.571)      1076.16
60    -38.56911  44.76220 798.18464 -7115.17601 -1582.79334 -394.88605       (-5415.706,-784.609) (-13.576,-58.338) (-24.993,-291.786)      1081.57
61    -38.54721  40.06702 797.31131 -7108.38996 -1581.20169 -394.55565       (-5420.212,-783.890) (-13.421,-53.488) (-25.126,-301.001)      1087.06
62    -38.52531  35.37184 796.43797 -7101.60390 -1579.61005 -394.22524       (-5424.718,-783.172) (-13.266,-48.638) (-25.259,-310.216)      1092.65
63    -38.50341  30.67667 795.56464 -7094.81784 -1578.01840 -393.89484       (-5429.224,-782.454) (-13.111,-43.788) (-25.393,-319.431)      1098.32
64    -38.48151  25.98149 794.69130 -7088.03179 -1576.42675 -393.56444       (-5433.730,-781.735) (-12.956,-38.937) (-25.526,-328.646)      1104.08
65    -38.45962  21.28632 793.81797 -7081.24573 -1574.83511 -393.23404       (-5438.236,-781.017) (-12.801,-34.087) (-25.659,-337.861)      1109.93
66    -38.43772  16.59114 792.94463 -7074.45968 -1573.24346 -392.90363       (-5442.742,-780.299) (-12.646,-29.237) (-25.792,-347.076)      1115.87
67    -38.41582  11.89596 792.07130 -7067.67362 -1571.65181 -392.57323       (-5447.248,-779.581) (-12.491,-24.387) (-25.925,-356.291)      1121.89
68    -38.39392   7.20079 791.19796 -7060.88756 -1570.06017 -392.24283       (-5451.754,-778.862) (-12.336,-19.537) (-26.058,-365.506)      1127.99
69    -38.37202   2.50561 790.32462 -7054.10151 -1568.46852 -391.91243       (-5456.260,-778.144) (-12.181,-14.686) (-26.191,-374.720)      1134.17
70    -38.35012  -2.18957 789.45129 -7047.31545 -1566.87688 -391.58202       (-5460.766,-777.426) (-12.026,-9.836) (-26.324,-383.935)      1140.43
