10PERCENT_2018-03-07.11_27_17.598_.txt     Output is probe cell, reduced cell, NCDist distance between
0      1.43059 -12.73429 -13.13227 -35.30054   6.02814 -31.34843       (-1.431,-21.104) (-8.443,-0.355) (-3.888,-32.779)      3.55271e-15
1      1.42773 -12.72999 -13.12302 -35.28633   6.02175 -31.34986       (-1.428,-21.119) (-8.447,-0.348) (-3.898,-32.778)      0.0188966
2      1.42486 -12.72570 -13.11376 -35.27212   6.01536 -31.35130       (-1.425,-21.133) (-8.451,-0.342) (-3.907,-32.776)      0.0377933
3      1.42200 -12.72140 -13.10451 -35.25791   6.00897 -31.35273       (-1.422,-21.147) (-8.455,-0.335) (-3.916,-32.775)      0.0566899
4      1.41913 -12.71711 -13.09526 -35.24370   6.00258 -31.35416       (-1.419,-21.161) (-8.460,-0.329) (-3.925,-32.773)      0.0755865
5      1.41627 -12.71281 -13.08600 -35.22949   5.99619 -31.35559       (-1.416,-21.176) (-8.464,-0.323) (-3.935,-32.772)      0.0944832
6      1.41341 -12.70851 -13.07675 -35.21528   5.98980 -31.35702       (-1.413,-21.190) (-8.468,-0.316) (-3.944,-32.770)      0.11338
7      1.41054 -12.70422 -13.06750 -35.20107   5.98341 -31.35846       (-1.411,-21.204) (-8.473,-0.310) (-3.953,-32.769)      0.132276
8      1.40768 -12.69992 -13.05824 -35.18686   5.97702 -31.35989       (-1.408,-21.218) (-8.477,-0.303) (-3.962,-32.768)      0.151173
9      1.40481 -12.69563 -13.04899 -35.17265   5.97063 -31.36132       (-1.405,-21.232) (-8.481,-0.297) (-3.972,-32.766)      0.17007
10      1.40195 -12.69133 -13.03974 -35.15844   5.96424 -31.36275       (-1.402,-21.247) (-8.485,-0.291) (-3.981,-32.765)      0.188966
11      1.39908 -12.68703 -13.03048 -35.14423   5.95786 -31.36418       (-1.399,-21.261) (-8.490,-0.284) (-3.990,-32.763)      0.207863
12      1.39622 -12.68274 -13.02123 -35.13002   5.95147 -31.36562       (-1.396,-21.275) (-8.494,-0.278) (-3.999,-32.762)      0.22676
13      1.39336 -12.67844 -13.01198 -35.11581   5.94508 -31.36705       (-1.393,-21.289) (-8.498,-0.272) (-4.009,-32.760)      0.245656
14      1.39049 -12.67415 -13.00272 -35.10160   5.93869 -31.36848       (-1.390,-21.303) (-8.503,-0.265) (-4.018,-32.759)      0.264553
15      1.38763 -12.66985 -12.99347 -35.08739   5.93230 -31.36991       (-1.388,-21.318) (-8.507,-0.259) (-4.027,-32.758)      0.28345
16      1.38476 -12.66555 -12.98422 -35.07318   5.92591 -31.37134       (-1.385,-21.332) (-8.511,-0.252) (-4.036,-32.756)      0.302346
17      1.38190 -12.66126 -12.97496 -35.05897   5.91952 -31.37278       (-1.382,-21.346) (-8.516,-0.246) (-4.046,-32.755)      0.321243
18      1.37904 -12.65696 -12.96571 -35.04476   5.91313 -31.37421       (-1.379,-21.360) (-8.520,-0.240) (-4.055,-32.753)      0.340139
19      1.37617 -12.65267 -12.95646 -35.03055   5.90674 -31.37564       (-1.376,-21.374) (-8.524,-0.233) (-4.064,-32.752)      0.359036
20      1.37331 -12.64837 -12.94721 -35.01634   5.90035 -31.37707       (-1.373,-21.389) (-8.528,-0.227) (-4.073,-32.750)      0.377933
21      1.37044 -12.64407 -12.93795 -35.00213   5.89396 -31.37850       (-1.370,-21.403) (-8.533,-0.220) (-4.083,-32.749)      0.396829
22      1.36758 -12.63978 -12.92870 -34.98792   5.88758 -31.37994       (-1.368,-21.417) (-8.537,-0.214) (-4.092,-32.748)      0.415726
23      1.36472 -12.63548 -12.91945 -34.97371   5.88119 -31.38137       (-1.365,-21.431) (-8.541,-0.208) (-4.101,-32.746)      0.434623
24      1.36185 -12.63119 -12.91019 -34.95950   5.87480 -31.38280       (-1.362,-21.446) (-8.546,-0.201) (-4.110,-32.745)      0.453519
25      1.35899 -12.62689 -12.90094 -34.94529   5.86841 -31.38423       (-1.359,-21.460) (-8.550,-0.195) (-4.120,-32.743)      0.472416
26      1.35612 -12.62259 -12.89169 -34.93108   5.86202 -31.38566       (-1.356,-21.474) (-8.554,-0.188) (-4.129,-32.742)      0.491313
27      1.35326 -12.61830 -12.88243 -34.91687   5.85563 -31.38710       (-1.353,-21.488) (-8.559,-0.182) (-4.138,-32.740)      0.510209
28      1.35040 -12.61400 -12.87318 -34.90266   5.84924 -31.38853       (-1.350,-21.502) (-8.563,-0.176) (-4.147,-32.739)      0.529106
29      1.34753 -12.60970 -12.86393 -34.88845   5.84285 -31.38996       (-1.348,-21.517) (-8.567,-0.169) (-4.157,-32.737)      0.548002
30      1.34467 -12.60541 -12.85467 -34.87424   5.83646 -31.39139       (-1.345,-21.531) (-8.571,-0.163) (-4.166,-32.736)      0.566899
31      1.34180 -12.60111 -12.84542 -34.86003   5.83007 -31.39282       (-1.342,-21.545) (-8.576,-0.157) (-4.175,-32.735)      0.585796
