Fol_2018-03-05.14_03_43.367_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -21.92042   9.54214 -38.56989  -2.31445 -34.65801   2.22329       (-1.610,-3.925) (-0.613,-28.601) (-17.875,-7.932)      9.02326
1    -21.89909   9.53097 -38.54917  -2.34076 -34.62725   2.21313       (-1.589,-3.930) (-0.624,-28.612) (-17.898,-7.942)      9.04688
2    -21.87776   9.51981 -38.52845  -2.36707 -34.59648   2.20296       (-1.568,-3.935) (-0.635,-28.623) (-17.921,-7.952)      9.07059
3    -21.85644   9.50865 -38.50774  -2.39338 -34.56572   2.19280       (-1.546,-3.940) (-0.646,-28.634) (-17.944,-7.962)      9.09439
4    -21.83511   9.49748 -38.48702  -2.41970 -34.53496   2.18263       (-1.525,-3.945) (-0.658,-28.645) (-17.967,-7.972)      9.11827
5    -21.81378   9.48632 -38.46631  -2.44601 -34.50419   2.17247       (-1.504,-3.950) (-0.669,-28.655) (-17.990,-7.983)      9.14224
6    -21.79245   9.47515 -38.44559  -2.47232 -34.47343   2.16230       (-1.482,-3.955) (-0.680,-28.666) (-18.013,-7.993)      9.1663
7    -21.77112   9.46399 -38.42488  -2.49864 -34.44266   2.15214       (-1.461,-3.960) (-0.691,-28.677) (-18.036,-8.003)      9.19044
8    -21.74979   9.45283 -38.40416  -2.52495 -34.41190   2.14197       (-1.440,-3.965) (-0.702,-28.688) (-18.059,-8.013)      9.21466
9    -21.72846   9.44166 -38.38345  -2.55126 -34.38114   2.13181       (-1.418,-3.970) (-0.713,-28.699) (-18.082,-8.023)      9.23897
10    -21.70713   9.43050 -38.36273  -2.57757 -34.35037   2.12164       (-1.397,-3.975) (-0.724,-28.710) (-18.105,-8.033)      9.26335
11    -21.68580   9.41934 -38.34202  -2.60389 -34.31961   2.11148       (-1.376,-3.980) (-0.736,-28.721) (-18.128,-8.044)      9.28782
12    -21.66448   9.40817 -38.32130  -2.63020 -34.28884   2.10131       (-1.354,-3.985) (-0.747,-28.732) (-18.150,-8.054)      9.31237
13    -21.64315   9.39701 -38.30059  -2.65651 -34.25808   2.09115       (-1.333,-3.990) (-0.758,-28.743) (-18.173,-8.064)      9.337
14    -21.62182   9.38584 -38.27987  -2.68283 -34.22732   2.08098       (-1.312,-3.995) (-0.769,-28.754) (-18.196,-8.074)      9.36172
15    -21.60049   9.37468 -38.25915  -2.70914 -34.19655   2.07082       (-1.291,-4.000) (-0.780,-28.764) (-18.219,-8.084)      9.38651
16    -21.57916   9.36352 -38.23844  -2.73545 -34.16579   2.06065       (-1.269,-4.005) (-0.791,-28.775) (-18.242,-8.094)      9.41137
17    -21.55783   9.35235 -38.21772  -2.76176 -34.13503   2.05048       (-1.248,-4.010) (-0.803,-28.786) (-18.265,-8.105)      9.43632
18    -21.53650   9.34119 -38.19701  -2.78808 -34.10426   2.04032       (-1.227,-4.015) (-0.814,-28.797) (-18.288,-8.115)      9.46134
