Fol_.37_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -2994.08328 -164.58833 -1462.05653 662.37620 -931.10950 -3089.24528       (-268.733,-72.838) (-393.643,-229.055) (-2929.617,-2695.602)      4.68743e-13
1    -1589.12308 -282.66952 -2218.60674 283.36193 -569.18929 -2886.31626       (-1871.793,-1934.552) (-282.670,-285.135) (-0.692,-2603.647)      1746.19
2    -1586.39500 -282.89880 -2220.07577 282.62598 -568.48653 -2885.92222       (-1869.021,-282.626) (-1937.450,-285.861) (-0.273,-2603.296)      1430.55
3    -1583.66692 -283.12808 -2221.54480 281.89003 -567.78378 -2885.52819       (-1865.557,-281.890) (-1939.655,-285.894) (-1.238,-2603.638)      1427.43
Fol_.37_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -2989.73858 -161.60633 -1468.14623 667.56112 -925.62551 -3091.48263       (-258.064,-46.740) (-409.497,-247.890) (-2903.455,-2681.986)      4.98799e-13
1    -2987.00417 -161.85447 -1469.58298 666.84611 -924.94709 -3091.07272       (-258.101,-50.855) (-408.745,-246.891) (-2901.968,-2682.328)      4.5632
2    -2984.26976 -162.10261 -1471.01972 666.13109 -924.26868 -3090.66282       (-258.138,-54.969) (-407.993,-245.891) (-2900.481,-2682.669)      9.1264
3    -2981.53536 -162.35075 -1472.45647 665.41607 -923.59027 -3090.25291       (-258.174,-59.084) (-407.242,-244.891) (-2898.995,-2683.011)      13.6896
4    -2978.80095 -162.59888 -1473.89321 664.70106 -922.91185 -3089.84300       (-258.211,-63.199) (-406.490,-243.891) (-2897.508,-2683.353)      18.2528
5    -2976.06654 -162.84702 -1475.32996 663.98604 -922.23344 -3089.43310       (-258.247,-67.313) (-405.739,-242.892) (-2896.022,-2683.694)      22.816
6    -2973.33213 -163.09516 -1476.76670 663.27103 -921.55502 -3089.02319       (-258.284,-71.428) (-404.987,-241.892) (-2894.535,-2684.036)      27.3792
7    -2970.59772 -163.34330 -1478.20345 662.55601 -920.87661 -3088.61328       (-258.321,-75.543) (-404.235,-240.892) (-2893.049,-2684.378)      31.9424
8    -2967.86331 -163.59144 -1479.64019 661.84099 -920.19820 -3088.20338       (-258.357,-79.657) (-403.484,-239.892) (-2891.562,-2684.720)      36.5056
9    -2965.12890 -163.83958 -1481.07694 661.12598 -919.51978 -3087.79347       (-258.394,-83.772) (-402.732,-238.893) (-2890.076,-2685.061)      41.0688
10    -2962.39450 -164.08772 -1482.51368 660.41096 -918.84137 -3087.38356       (-258.430,-87.887) (-401.981,-237.893) (-2888.589,-2685.403)      45.632
11    -2959.66009 -164.33585 -1483.95043 659.69594 -918.16296 -3086.97366       (-258.467,-92.001) (-401.229,-236.893) (-2887.103,-2685.745)      50.1952
12    -2956.92568 -164.58399 -1485.38717 658.98093 -917.48454 -3086.56375       (-258.504,-96.116) (-400.477,-235.893) (-2885.616,-2686.086)      54.7584
13    -2954.19127 -164.83213 -1486.82392 658.26591 -916.80613 -3086.15384       (-258.540,-100.231) (-399.726,-234.894) (-2884.130,-2686.428)      59.3216
14    -2951.45686 -165.08027 -1488.26066 657.55090 -916.12772 -3085.74394       (-258.577,-104.345) (-398.974,-233.894) (-2882.643,-2686.770)      63.8848
15    -2948.72245 -165.32841 -1489.69741 656.83588 -915.44930 -3085.33403       (-258.613,-108.460) (-398.222,-232.894) (-2881.157,-2687.112)      68.448
16    -2945.98804 -165.57655 -1491.13415 656.12086 -914.77089 -3084.92412       (-258.650,-112.575) (-397.471,-231.894) (-2879.670,-2687.453)      73.0112
17    -2943.25364 -165.82469 -1492.57090 655.40585 -914.09248 -3084.51422       (-258.687,-116.689) (-396.719,-230.895) (-2878.184,-2687.795)      77.5744
18    -2940.51923 -166.07282 -1494.00764 654.69083 -913.41406 -3084.10431       (-258.723,-120.804) (-395.968,-229.895) (-2876.697,-2688.137)      82.1376
19    -2937.78482 -166.32096 -1495.44439 653.97582 -912.73565 -3083.69440       (-258.760,-124.919) (-395.216,-228.895) (-2875.211,-2688.478)      86.7008
20    -2935.05041 -166.56910 -1496.88113 653.26080 -912.05724 -3083.28450       (-258.796,-129.033) (-394.464,-227.895) (-2873.724,-2688.820)      91.264
21    -2932.31600 -166.81724 -1498.31788 652.54578 -911.37882 -3082.87459       (-258.833,-133.148) (-393.713,-226.896) (-2872.238,-2689.162)      95.8272
22    -2929.58159 -167.06538 -1499.75462 651.83077 -910.70041 -3082.46468       (-258.870,-137.263) (-392.961,-225.896) (-2870.751,-2689.504)      100.39
23    -2926.84718 -167.31352 -1501.19137 651.11575 -910.02200 -3082.05478       (-258.906,-141.377) (-392.210,-224.896) (-2869.265,-2689.845)      104.954
24    -2924.11278 -167.56165 -1502.62811 650.40074 -909.34358 -3081.64487       (-258.943,-145.492) (-391.458,-223.896) (-2867.778,-2690.187)      109.517
25    -2921.37837 -167.80979 -1504.06486 649.68572 -908.66517 -3081.23496       (-258.979,-149.607) (-390.706,-222.896) (-2866.292,-2690.529)      114.08
