Fol_2018-02-25.13_35_08.58_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -306.93040 -187.39219 143.22407 -863.30690 -182.67787 -251.90385       (-163.706,-44.168) (-720.083,-39.454) (-143.224,-395.128)      8.03887e-14
1    -306.78703 -187.92541 142.93734 -862.48694 -182.53451 -252.04722       (-163.850,-44.988) (-719.550,-39.597) (-142.937,-394.985)      1.04907
2    -306.64366 -188.45864 142.65060 -861.66699 -182.39114 -252.19059       (-163.993,-45.808) (-719.016,-39.741) (-142.651,-394.841)      2.09813
3    -306.50030 -188.99186 142.36387 -860.84703 -182.24777 -252.33395       (-164.136,-46.628) (-718.483,-39.884) (-142.364,-394.698)      3.1472
4    -306.35693 -189.52509 142.07713 -860.02707 -182.10440 -252.47732       (-164.280,-47.448) (-717.950,-40.027) (-142.077,-394.554)      4.19626
5    -306.21356 -190.05831 141.79040 -859.20711 -181.96104 -252.62069       (-164.423,-48.268) (-717.417,-40.171) (-141.790,-394.411)      5.24533
6    -306.07019 -190.59153 141.50366 -858.38715 -181.81767 -252.76406       (-164.567,-49.088) (-716.883,-40.314) (-141.504,-394.268)      6.2944
7    -305.92683 -191.12476 141.21693 -857.56719 -181.67430 -252.90742       (-164.710,-49.908) (-716.350,-40.457) (-141.217,-394.124)      7.34346
8    -305.78346 -191.65798 140.93019 -856.74723 -181.53093 -253.05079       (-164.853,-50.728) (-715.817,-40.601) (-140.930,-393.981)      8.39253
9    -305.64009 -192.19121 140.64346 -855.92727 -181.38757 -253.19416       (-164.997,-51.548) (-715.284,-40.744) (-140.643,-393.838)      9.44159
10    -305.49672 -192.72443 140.35672 -855.10732 -181.24420 -253.33753       (-165.140,-52.368) (-714.751,-40.887) (-140.357,-393.694)      10.4907
11    -305.35336 -193.25765 140.06999 -854.28736 -181.10083 -253.48089       (-165.283,-53.188) (-714.217,-41.031) (-140.070,-393.551)      11.5397
12    -305.20999 -193.79088 139.78325 -853.46740 -180.95747 -253.62426       (-165.427,-54.008) (-713.684,-41.174) (-139.783,-393.408)      12.5888
13    -305.06662 -194.32410 139.49652 -852.64744 -180.81410 -253.76763       (-165.570,-54.828) (-713.151,-41.318) (-139.497,-393.264)      13.6379
14    -304.92325 -194.85732 139.20978 -851.82748 -180.67073 -253.91100       (-165.713,-55.648) (-712.618,-41.461) (-139.210,-393.121)      14.6869
15    -304.77989 -195.39055 138.92305 -851.00752 -180.52736 -254.05436       (-165.857,-56.467) (-712.084,-41.604) (-138.923,-392.977)      15.736
16    -304.63652 -195.92377 138.63631 -850.18756 -180.38400 -254.19773       (-166.000,-57.287) (-711.551,-41.748) (-138.636,-392.834)      16.7851
17    -304.49315 -196.45700 138.34958 -849.36760 -180.24063 -254.34110       (-166.144,-58.107) (-711.018,-41.891) (-138.350,-392.691)      17.8341
18    -304.34978 -196.99022 138.06284 -848.54765 -180.09726 -254.48447       (-166.287,-58.927) (-710.485,-42.034) (-138.063,-392.547)      18.8832
19    -304.20642 -197.52344 137.77611 -847.72769 -179.95389 -254.62783       (-166.430,-59.747) (-709.952,-42.178) (-137.776,-392.404)      19.9323
20    -304.06305 -198.05667 137.48937 -846.90773 -179.81053 -254.77120       (-166.574,-60.567) (-709.418,-42.321) (-137.489,-392.261)      20.9813
21    -303.91968 -198.58989 137.20264 -846.08777 -179.66716 -254.91457       (-166.717,-61.387) (-708.885,-42.465) (-137.203,-392.117)      22.0304
22    -303.77631 -199.12312 136.91590 -845.26781 -179.52379 -255.05793       (-166.860,-62.207) (-708.352,-42.608) (-136.916,-391.974)      23.0795
23    -303.63295 -199.65634 136.62917 -844.44785 -179.38042 -255.20130       (-167.004,-63.027) (-707.819,-42.751) (-136.629,-391.830)      24.1285
24    -303.48958 -200.18956 136.34243 -843.62789 -179.23706 -255.34467       (-167.147,-63.847) (-707.285,-42.895) (-136.342,-391.687)      25.1776
25    -303.34621 -200.72279 136.05570 -842.80793 -179.09369 -255.48804       (-167.291,-64.667) (-706.752,-43.038) (-136.056,-391.544)      26.2267
26    -303.20284 -201.25601 135.76896 -841.98798 -178.95032 -255.63140       (-167.434,-65.487) (-706.219,-43.181) (-135.769,-391.400)      27.2757
27    -303.05948 -201.78923 135.48223 -841.16802 -178.80695 -255.77477       (-167.577,-66.307) (-705.686,-43.325) (-135.482,-391.257)      28.3248
28    -302.91611 -202.32246 135.19550 -840.34806 -178.66359 -255.91814       (-167.721,-67.127) (-705.153,-43.468) (-135.195,-391.114)      29.3738
29    -302.77274 -202.85568 134.90876 -839.52810 -178.52022 -256.06151       (-167.864,-67.947) (-704.619,-43.611) (-134.909,-390.970)      30.4229
30    -302.62937 -203.38891 134.62203 -838.70814 -178.37685 -256.20487       (-168.007,-68.767) (-704.086,-43.755) (-134.622,-390.827)      31.472
31    -302.48601 -203.92213 134.33529 -837.88818 -178.23348 -256.34824       (-168.151,-69.587) (-703.553,-43.898) (-134.335,-390.684)      32.521
32    -302.34264 -204.45535 134.04856 -837.06822 -178.09012 -256.49161       (-168.294,-70.407) (-703.020,-44.042) (-134.049,-390.540)      33.5701
33    -302.19927 -204.98858 133.76182 -836.24826 -177.94675 -256.63498       (-168.437,-71.227) (-702.486,-44.185) (-133.762,-390.397)      34.6192
34    -302.05591 -205.52180 133.47509 -835.42831 -177.80338 -256.77834       (-168.581,-72.047) (-701.953,-44.328) (-133.475,-390.253)      35.6682
35    -301.91254 -206.05503 133.18835 -834.60835 -177.66001 -256.92171       (-168.724,-72.867) (-701.420,-44.472) (-133.188,-390.110)      36.7173
36    -301.76917 -206.58825 132.90162 -833.78839 -177.51665 -257.06508       (-168.868,-73.687) (-700.887,-44.615) (-132.902,-389.967)      37.7664
37    -301.62580 -207.12147 132.61488 -832.96843 -177.37328 -257.20845       (-169.011,-74.507) (-700.354,-44.758) (-132.615,-389.823)      38.8154
38    -301.48244 -207.65470 132.32815 -832.14847 -177.22991 -257.35181       (-169.154,-75.327) (-699.820,-44.902) (-132.328,-389.680)      39.8645
39    -301.33907 -208.18792 132.04141 -831.32851 -177.08654 -257.49518       (-169.298,-76.147) (-699.287,-45.045) (-132.041,-389.537)      40.9136
40    -301.19570 -208.72115 131.75468 -830.50855 -176.94318 -257.63855       (-169.441,-76.966) (-698.754,-45.189) (-131.755,-389.393)      41.9626
41    -301.05233 -209.25437 131.46794 -829.68859 -176.79981 -257.78192       (-169.584,-77.786) (-698.221,-45.332) (-131.468,-389.250)      43.0117
42    -300.90897 -209.78759 131.18121 -828.86864 -176.65644 -257.92528       (-169.728,-78.606) (-697.687,-45.475) (-131.181,-389.106)      44.0608
43    -300.76560 -210.32082 130.89447 -828.04868 -176.51307 -258.06865       (-169.871,-79.426) (-697.154,-45.619) (-130.894,-388.963)      45.1098
44    -300.62223 -210.85404 130.60774 -827.22872 -176.36971 -258.21202       (-170.014,-80.246) (-696.621,-45.762) (-130.608,-388.820)      46.1589
45    -300.47886 -211.38726 130.32100 -826.40876 -176.22634 -258.35539       (-170.158,-81.066) (-696.088,-45.905) (-130.321,-388.676)      47.208
46    -300.33550 -211.92049 130.03427 -825.58880 -176.08297 -258.49875       (-170.301,-81.886) (-695.555,-46.049) (-130.034,-388.533)      48.257
47    -300.19213 -212.45371 129.74753 -824.76884 -175.93960 -258.64212       (-170.445,-82.706) (-695.021,-46.192) (-129.748,-388.390)      49.3061
48    -300.04876 -212.98694 129.46080 -823.94888 -175.79624 -258.78549       (-170.588,-83.526) (-694.488,-46.335) (-129.461,-388.246)      50.3552
49    -299.90539 -213.52016 129.17406 -823.12892 -175.65287 -258.92886       (-170.731,-84.346) (-693.955,-46.479) (-129.174,-388.103)      51.4042
50    -299.76203 -214.05338 128.88733 -822.30897 -175.50950 -259.07222       (-170.875,-85.166) (-693.422,-46.622) (-128.887,-387.960)      52.4533
51    -299.61866 -214.58661 128.60059 -821.48901 -175.36614 -259.21559       (-171.018,-85.986) (-692.888,-46.766) (-128.601,-387.816)      53.5024
52    -299.47529 -215.11983 128.31386 -820.66905 -175.22277 -259.35896       (-171.161,-86.806) (-692.355,-46.909) (-128.314,-387.673)      54.5514
53    -299.33192 -215.65306 128.02712 -819.84909 -175.07940 -259.50233       (-171.305,-87.626) (-691.822,-47.052) (-128.027,-387.529)      55.6005
54    -299.18856 -216.18628 127.74039 -819.02913 -174.93603 -259.64569       (-171.448,-88.446) (-691.289,-47.196) (-127.740,-387.386)      56.6496
55    -299.04519 -216.71950 127.45365 -818.20917 -174.79267 -259.78906       (-171.592,-89.266) (-690.756,-47.339) (-127.454,-387.243)      57.6986
56    -298.90182 -217.25273 127.16692 -817.38921 -174.64930 -259.93243       (-171.735,-90.086) (-690.222,-47.482) (-127.167,-387.099)      58.7477
57    -298.75845 -217.78595 126.88018 -816.56925 -174.50593 -260.07580       (-171.878,-90.906) (-689.689,-47.626) (-126.880,-386.956)      59.7968
58    -298.61509 -218.31917 126.59345 -815.74930 -174.36256 -260.21916       (-172.022,-91.726) (-689.156,-47.769) (-126.593,-386.813)      60.8458
59    -298.47172 -218.85240 126.30671 -814.92934 -174.21920 -260.36253       (-172.165,-92.546) (-688.623,-47.912) (-126.307,-386.669)      61.8949
60    -298.32835 -219.38562 126.01998 -814.10938 -174.07583 -260.50590       (-172.308,-93.366) (-688.089,-48.056) (-126.020,-386.526)      62.944
61    -298.18498 -219.91885 125.73324 -813.28942 -173.93246 -260.64927       (-172.452,-94.186) (-687.556,-48.199) (-125.733,-386.383)      63.993
62    -298.04162 -220.45207 125.44651 -812.46946 -173.78909 -260.79263       (-172.595,-95.006) (-687.023,-48.343) (-125.447,-386.239)      65.0421
63    -297.89825 -220.98529 125.15977 -811.64950 -173.64573 -260.93600       (-172.738,-95.826) (-686.490,-48.486) (-125.160,-386.096)      66.0912
64    -297.75488 -221.51852 124.87304 -810.82954 -173.50236 -261.07937       (-172.882,-96.645) (-685.957,-48.629) (-124.873,-385.952)      67.1402
65    -297.61151 -222.05174 124.58630 -810.00958 -173.35899 -261.22273       (-173.025,-97.465) (-685.423,-48.773) (-124.586,-385.809)      68.1893
66    -297.46815 -222.58497 124.29957 -809.18963 -173.21562 -261.36610       (-173.169,-98.285) (-684.890,-48.916) (-124.300,-385.666)      69.2384
67    -297.32478 -223.11819 124.01283 -808.36967 -173.07226 -261.50947       (-173.312,-99.105) (-684.357,-49.059) (-124.013,-385.522)      70.2874
68    -297.18141 -223.65141 123.72610 -807.54971 -172.92889 -261.65284       (-173.455,-99.925) (-683.824,-49.203) (-123.726,-385.379)      71.3365
69    -297.03804 -224.18464 123.43937 -806.72975 -172.78552 -261.79620       (-173.599,-100.745) (-683.290,-49.346) (-123.439,-385.236)      72.3856
70    -296.89468 -224.71786 123.15263 -805.90979 -172.64215 -261.93957       (-173.742,-101.565) (-682.757,-49.490) (-123.153,-385.092)      73.4346
71    -296.75131 -225.25108 122.86590 -805.08983 -172.49879 -262.08294       (-173.885,-102.385) (-682.224,-49.633) (-122.866,-384.949)      74.4837
