2BOUNDS_2018-03-07.14_22_39.85_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -33.34498  -4.61933 -30.18572  19.78850 -58.05234 -24.93581       (-42.584,-10.245) (-4.619,-18.170) (-0.153,-15.697)      1.46482e-14
1    -33.35423  -4.61933 -30.15566  19.75843 -58.01242 -24.92656       (-42.593,-10.275) (-4.619,-18.250) (-0.123,-15.688)      0.0918239
2    -33.36348  -4.61933 -30.12559  19.72837 -57.97249 -24.91731       (-42.602,-10.305) (-4.619,-18.331) (-0.092,-15.679)      0.183648
3    -33.37273  -4.61933 -30.09553  19.69831 -57.93257 -24.90807       (-42.611,-10.335) (-4.619,-18.411) (-0.062,-15.669)      0.275472
4    -33.38198  -4.61933 -30.06547  19.66824 -57.89265 -24.89882       (-42.621,-10.365) (-4.619,-18.491) (-0.032,-15.660)      0.367296
5    -33.39122  -4.61933 -30.03540  19.63818 -57.85273 -24.88957       (-42.630,-10.395) (-4.619,-18.572) (-0.002,-15.651)      0.45912
6    -33.40047  -4.61933 -30.00534  19.60812 -57.81281 -24.88032       (-42.611,-4.592) (-10.397,-18.624) (-0.028,-15.669)      0.51424
7    -33.40972  -4.61933 -29.97528  19.57805 -57.77288 -24.87107       (-42.591,-4.561) (-10.397,-18.675) (-0.058,-15.690)      0.57054
8    -33.41897  -4.61933 -29.94521  19.54799 -57.73296 -24.86183       (-42.570,-4.531) (-10.397,-18.725) (-0.088,-15.711)      0.630071
9    -33.42822  -4.61933 -29.91515  19.51793 -57.69304 -24.85258       (-42.549,-4.501) (-10.397,-18.775) (-0.118,-15.732)      0.692002
10    -33.43746  -4.61933 -29.88509  19.48786 -57.65312 -24.84333       (-42.528,-4.471) (-10.397,-18.825) (-0.148,-15.753)      0.755741
11    -33.44671  -4.61933 -29.85502  19.45780 -57.61319 -24.83408       (-42.507,-4.441) (-10.397,-18.876) (-0.178,-15.774)      0.820868
12    -33.45596  -4.61933 -29.82496  19.42774 -57.57327 -24.82483       (-42.486,-4.411) (-10.397,-18.926) (-0.208,-15.794)      0.887078
13    -33.46521  -4.61933 -29.79490  19.39767 -57.53335 -24.81559       (-42.466,-4.381) (-10.397,-18.976) (-0.238,-15.815)      0.954144
14    -33.47446  -4.61933 -29.76483  19.36761 -57.49343 -24.80634       (-42.445,-4.351) (-10.397,-19.026) (-0.268,-15.836)      1.0219
15    -33.48370  -4.61933 -29.73477  19.33755 -57.45351 -24.79709       (-42.424,-4.321) (-10.397,-19.077) (-0.298,-15.857)      1.09021
16    -33.49295  -4.61933 -29.70471  19.30749 -57.41358 -24.78784       (-42.403,-4.291) (-10.397,-19.127) (-0.328,-15.878)      1.15899
17    -33.50220  -4.61933 -29.67464  19.27742 -57.37366 -24.77859       (-42.382,-4.261) (-10.397,-19.177) (-0.358,-15.898)      1.22815
18    -33.51145  -4.61933 -29.64458  19.24736 -57.33374 -24.76935       (-42.362,-4.231) (-10.397,-19.228) (-0.389,-15.919)      1.29763
19    -33.52069  -4.61933 -29.61452  19.21730 -57.29382 -24.76010       (-42.341,-4.201) (-10.397,-19.278) (-0.419,-15.940)      1.36738
20    -33.52994  -4.61933 -29.58445  19.18723 -57.25390 -24.75085       (-42.320,-4.171) (-10.397,-19.328) (-0.449,-15.961)      1.43737
21    -33.53919  -4.61933 -29.55439  19.15717 -57.21397 -24.74160       (-42.299,-4.141) (-10.397,-19.378) (-0.479,-15.982)      1.50756
22    -33.54844  -4.61933 -29.52433  19.12711 -57.17405 -24.73236       (-42.278,-4.111) (-10.397,-19.429) (-0.509,-16.002)      1.57792
23    -33.55769  -4.61933 -29.49427  19.09704 -57.13413 -24.72311       (-42.258,-4.080) (-10.397,-19.479) (-0.539,-16.023)      1.64843
24    -33.56693  -4.61933 -29.46420  19.06698 -57.09421 -24.71386       (-42.237,-4.050) (-10.397,-19.529) (-0.569,-16.044)      1.71908
25    -33.57618  -4.61933 -29.43414  19.03692 -57.05428 -24.70461       (-42.216,-4.020) (-10.397,-19.579) (-0.599,-16.065)      1.78985
26    -33.58543  -4.61933 -29.40408  19.00685 -57.01436 -24.69536       (-42.195,-3.990) (-10.397,-19.630) (-0.629,-16.086)      1.86071
27    -33.59468  -4.61933 -29.37401  18.97679 -56.97444 -24.68612       (-42.174,-3.960) (-10.397,-19.680) (-0.659,-16.107)      1.93167
28    -33.60393  -4.61933 -29.34395  18.94673 -56.93452 -24.67687       (-42.153,-3.930) (-10.397,-19.730) (-0.689,-16.127)      2.00272
29    -33.61317  -4.61933 -29.31389  18.91666 -56.89460 -24.66762       (-42.133,-3.900) (-10.397,-19.780) (-0.719,-16.148)      2.07384
30    -33.62242  -4.61933 -29.28382  18.88660 -56.85467 -24.65837       (-42.112,-3.870) (-10.397,-19.831) (-0.749,-16.169)      2.14502
