Fol_2018-02-25.13_34_44.33_.txt     Output is probe cell, reduced cell, NCDist distance between
0    5895.14887 -6850.76441 -6672.64238 5887.65727 -7360.45786 -6109.37802       (-5895.149,-7.492) (-955.616,-777.494) (-1465.309,-214.229)      1.28622e-12
1    5883.34677 -6844.86336 -6667.42983 5881.75622 -7353.86831 -6103.47697       (-5883.347,-1.591) (-961.517,-784.083) (-1470.522,-220.130)      17.7299
2    5871.54467 -6838.96231 -6662.21729 5875.85517 -7347.27875 -6097.57592       (-4.311,-5875.855) (-786.362,-1471.424) (-963.107,-221.721)      27.1997
3    5859.74257 -6833.06126 -6657.00474 5869.95412 -7340.68920 -6091.67487       (-10.212,-5869.954) (-787.051,-1470.735) (-963.107,-221.721)      34.3687
4    5847.94047 -6827.16021 -6651.79220 5864.05307 -7334.09965 -6085.77382       (-16.113,-5864.053) (-787.739,-1470.047) (-963.107,-221.721)      41.9973
5    5836.13837 -6821.25916 -6646.57965 5858.15202 -7327.51009 -6079.87277       (-22.014,-5858.152) (-788.428,-1469.358) (-963.107,-221.721)      49.8751
6    5824.33627 -6815.35811 -6641.36710 5852.25097 -7320.92054 -6073.97172       (-27.915,-5852.251) (-789.116,-1468.670) (-963.107,-221.721)      57.9005
7    5812.53417 -6809.45706 -6636.15456 5846.34992 -7314.33098 -6068.07067       (-33.816,-5846.350) (-789.805,-1467.981) (-963.107,-221.721)      66.0196
8    5800.73207 -6803.55601 -6630.94201 5840.44887 -7307.74143 -6062.16962       (-39.717,-5840.449) (-790.493,-1467.293) (-963.107,-221.721)      74.2017
9    5788.92997 -6797.65496 -6625.72947 5834.54782 -7301.15188 -6056.26857       (-45.618,-5834.548) (-791.182,-1466.604) (-963.107,-221.721)      82.4281
10    5777.12787 -6791.75391 -6620.51692 5828.64677 -7294.56232 -6050.36752       (-51.519,-5828.647) (-791.870,-1465.916) (-963.107,-221.721)      90.6867
11    5765.32577 -6785.85286 -6615.30437 5822.74572 -7287.97277 -6044.46647       (-57.420,-5822.746) (-792.559,-1465.227) (-963.107,-221.721)      98.9694
