2BOUNDS_2018-03-07.14_33_27.324_.txt     Output is probe cell, reduced cell, NCDist distance between
0     13.27374 -11.24995  -1.01901 -10.18404 -31.64721 -20.33509       (-5.038,-6.010) (-0.925,-7.061) (-6.212,-5.193)      1.77636e-15
1     13.25541 -11.23961  -1.02421 -10.17986 -31.62260 -20.31993       (-5.049,-6.037) (-0.969,-7.065) (-6.191,-5.167)      0.0633244
2     13.23708 -11.22928  -1.02941 -10.17569 -31.59799 -20.30478       (-5.060,-6.065) (-1.013,-7.068) (-6.169,-5.140)      0.126649
3     13.21875 -11.21894  -1.03461 -10.17151 -31.57338 -20.28962       (-5.071,-6.093) (-1.057,-7.071) (-6.148,-5.113)      0.189973
4     13.20042 -11.20861  -1.03981 -10.16733 -31.54877 -20.27446       (-5.082,-6.121) (-1.101,-7.074) (-6.126,-5.087)      0.253298
5     13.18209 -11.19827  -1.04501 -10.16315 -31.52416 -20.25931       (-5.093,-6.148) (-1.145,-7.077) (-6.105,-5.060)      0.268718
6     13.16377 -11.18794  -1.05021 -10.15897 -31.49955 -20.24415       (-5.105,-6.176) (-1.189,-7.080) (-6.083,-5.033)      0.290792
7     13.14544 -11.17760  -1.05540 -10.15479 -31.47494 -20.22899       (-5.116,-6.204) (-1.233,-7.084) (-6.062,-5.006)      0.323931
8     13.12711 -11.16727  -1.06060 -10.15061 -31.45033 -20.21384       (-5.127,-6.231) (-1.277,-7.087) (-6.040,-4.980)      0.365133
9     13.10878 -11.15693  -1.06580 -10.14644 -31.42572 -20.19868       (-5.138,-6.259) (-1.321,-7.090) (-6.019,-4.953)      0.411986
10     13.09045 -11.14660  -1.07100 -10.14226 -31.40111 -20.18352       (-5.149,-6.287) (-1.365,-7.093) (-5.997,-4.926)      0.462778
11     13.07212 -11.13626  -1.07620 -10.13808 -31.37650 -20.16837       (-5.160,-6.315) (-1.409,-7.096) (-5.976,-4.900)      0.516347
12     13.05379 -11.12593  -1.08140 -10.13390 -31.35189 -20.15321       (-5.172,-6.342) (-1.453,-7.099) (-5.954,-4.873)      0.571913
13     13.03546 -11.11559  -1.08660 -10.12972 -31.32728 -20.13805       (-5.183,-6.370) (-1.497,-7.103) (-5.933,-4.846)      0.628948
14     13.01713 -11.10526  -1.09179 -10.12554 -31.30267 -20.12290       (-5.194,-6.398) (-1.541,-7.106) (-5.911,-4.820)      0.687085
15     12.99880 -11.09492  -1.09699 -10.12136 -31.27806 -20.10774       (-5.205,-6.425) (-1.585,-7.109) (-5.890,-4.793)      0.746067
16     12.98047 -11.08459  -1.10219 -10.11719 -31.25345 -20.09258       (-5.216,-6.453) (-1.629,-7.112) (-5.868,-4.766)      0.805709
17     12.96214 -11.07425  -1.10739 -10.11301 -31.22884 -20.07742       (-5.227,-6.481) (-1.672,-7.115) (-5.847,-4.739)      0.865874
18     12.94381 -11.06392  -1.11259 -10.10883 -31.20423 -20.06227       (-5.239,-6.509) (-1.716,-7.118) (-5.825,-4.713)      0.92646
19     12.92548 -11.05358  -1.11779 -10.10465 -31.17962 -20.04711       (-5.250,-6.536) (-1.760,-7.122) (-5.804,-4.686)      0.98739
20     12.90715 -11.04325  -1.12299 -10.10047 -31.15501 -20.03195       (-5.261,-6.564) (-1.804,-7.125) (-5.782,-4.659)      1.0486
