2BOUNDS_2018-03-07.14_42_22.561_.txt     Output is probe cell, reduced cell, NCDist distance between
0     13.37198   3.75764 -18.89891 -42.65962 -33.36738 -26.52882       (-14.166,-1.669) (-22.896,-5.426) (-3.411,-2.304)      3.45363e-14
1     13.35518   3.73096 -18.89418 -42.61923 -33.33941 -26.50393       (-14.421,-1.749) (-23.222,-5.480) (-3.227,-2.188)      0.478053
2     13.33838   3.70428 -18.88944 -42.57883 -33.31144 -26.47905       (-14.677,-1.830) (-23.549,-5.534) (-3.044,-2.072)      0.956105
3     13.32158   3.67760 -18.88470 -42.53844 -33.28347 -26.45416       (-14.932,-1.911) (-23.875,-5.588) (-2.860,-1.956)      1.43416
4     13.30479   3.65092 -18.87996 -42.49804 -33.25550 -26.42928       (-15.187,-1.991) (-24.202,-5.642) (-2.676,-1.840)      1.91221
5     13.28799   3.62424 -18.87522 -42.45764 -33.22753 -26.40439       (-15.443,-2.072) (-24.528,-5.696) (-2.492,-1.724)      2.39026
6     13.27119   3.59756 -18.87049 -42.41725 -33.19956 -26.37951       (-15.698,-2.153) (-24.855,-5.750) (-2.308,-1.608)      2.86832
7     13.25439   3.57088 -18.86575 -42.37685 -33.17159 -26.35462       (-15.954,-2.233) (-25.181,-5.804) (-2.125,-1.492)      3.34637
8     13.23759   3.54420 -18.86101 -42.33646 -33.14363 -26.32974       (-16.209,-2.314) (-25.508,-5.858) (-1.941,-1.376)      3.82442
9     13.22079   3.51752 -18.85627 -42.29606 -33.11566 -26.30485       (-16.465,-2.395) (-25.834,-5.912) (-1.757,-1.259)      4.30247
10     13.20399   3.49084 -18.85153 -42.25566 -33.08769 -26.27997       (-16.720,-2.475) (-26.161,-5.966) (-1.573,-1.143)      4.78053
11     13.18719   3.46416 -18.84680 -42.21527 -33.05972 -26.25508       (-16.976,-2.556) (-26.487,-6.020) (-1.390,-1.027)      5.25858
12     13.17039   3.43748 -18.84206 -42.17487 -33.03175 -26.23020       (-17.231,-2.637) (-26.814,-6.074) (-1.206,-0.911)      5.73663
13     13.15359   3.41080 -18.83732 -42.13448 -33.00378 -26.20531       (-17.487,-2.717) (-27.141,-6.128) (-1.022,-0.795)      6.21468
14     13.13679   3.38412 -18.83258 -42.09408 -32.97581 -26.18043       (-17.742,-2.798) (-27.467,-6.182) (-0.838,-0.679)      6.69274
