2BOUNDS_2018-03-07.14_58_58.969_.txt     Output is probe cell, reduced cell, NCDist distance between
0      4.63287  -7.82675   1.25285 -36.54489 -46.85583   0.28010       (-0.915,-19.577) (-8.145,-1.195) (-0.804,-13.322)      0
1      4.62731  -7.82707   1.25079 -36.52790 -46.81012   0.26649       (-0.973,-19.729) (-8.381,-1.239) (-0.721,-13.187)      0.330686
2      4.62176  -7.82739   1.24873 -36.51092 -46.76441   0.25287       (-1.031,-19.882) (-8.617,-1.284) (-0.638,-13.052)      0.661371
3      4.61621  -7.82771   1.24667 -36.49393 -46.71871   0.23926       (-1.089,-20.034) (-8.853,-1.328) (-0.555,-12.917)      0.992057
4      4.61066  -7.82803   1.24461 -36.47695 -46.67300   0.22564       (-1.147,-20.187) (-9.088,-1.373) (-0.472,-12.782)      1.32274
5      4.60510  -7.82835   1.24255 -36.45996 -46.62729   0.21202       (-1.205,-20.340) (-9.324,-1.417) (-0.389,-12.647)      1.65343
6      4.59955  -7.82867   1.24049 -36.44298 -46.58159   0.19841       (-1.263,-20.492) (-9.560,-1.462) (-0.305,-12.512)      1.98411
7      4.59400  -7.82898   1.23843 -36.42599 -46.53588   0.18479       (-1.322,-20.645) (-9.796,-1.506) (-0.222,-12.377)      2.3148
8      4.58844  -7.82930   1.23637 -36.40901 -46.49017   0.17118       (-1.380,-20.797) (-10.031,-1.551) (-0.139,-12.242)      2.64549
9      4.58289  -7.82962   1.23431 -36.39202 -46.44447   0.15756       (-1.438,-20.950) (-10.267,-1.595) (-0.056,-12.107)      2.97617
10      4.57734  -7.82994   1.23225 -36.37504 -46.39876   0.14394       (-1.469,-10.475) (-21.075,-1.613) (-0.027,-12.000)      3.25408
11      4.57178  -7.83026   1.23019 -36.35805 -46.35305   0.13033       (-1.444,-10.628) (-21.144,-1.574) (-0.111,-11.948)      3.38934
12      4.56623  -7.83058   1.22813 -36.34107 -46.30735   0.11671       (-1.419,-10.781) (-21.214,-1.535) (-0.194,-11.896)      3.53071
13      4.56068  -7.83090   1.22608 -36.32408 -46.26164   0.10310       (-1.394,-10.933) (-21.283,-1.497) (-0.277,-11.844)      3.67747
14      4.55512  -7.83122   1.22402 -36.30710 -46.21593   0.08948       (-1.369,-11.086) (-21.352,-1.458) (-0.360,-11.792)      3.829
15      4.54957  -7.83154   1.22196 -36.29011 -46.17022   0.07586       (-1.343,-11.238) (-21.422,-1.419) (-0.443,-11.740)      3.98476
16      4.54402  -7.83186   1.21990 -36.27313 -46.12452   0.06225       (-1.318,-11.391) (-21.491,-1.381) (-0.526,-11.689)      4.14428
17      4.53847  -7.83217   1.21784 -36.25614 -46.07881   0.04863       (-1.293,-11.543) (-21.560,-1.342) (-0.610,-11.637)      4.30713
18      4.53291  -7.83249   1.21578 -36.23916 -46.03310   0.03502       (-1.268,-11.696) (-21.630,-1.303) (-0.693,-11.585)      4.39416
19      4.52736  -7.83281   1.21372 -36.22217 -45.98740   0.02140       (-1.243,-11.848) (-21.699,-1.265) (-0.776,-11.533)      4.31784
20      4.52181  -7.83313   1.21166 -36.20519 -45.94169   0.00778       (-1.218,-12.001) (-21.769,-1.226) (-0.859,-11.481)      4.24953
21      4.51625  -7.83345   1.20960 -36.18820 -45.89598  -0.00583       (-1.193,-12.153) (-21.838,-1.187) (-0.942,-11.430)      4.18962
22      4.51070  -7.83377   1.20754 -36.17122 -45.85028  -0.01945       (-1.168,-12.306) (-21.907,-1.149) (-1.026,-11.378)      4.13846
23      4.50515  -7.83409   1.20548 -36.15423 -45.80457  -0.03306       (-1.143,-12.459) (-21.977,-1.110) (-1.109,-11.326)      4.0964
24      4.49959  -7.83441   1.20342 -36.13725 -45.75886  -0.04668       (-1.118,-12.611) (-22.046,-1.071) (-1.192,-11.274)      4.0637
25      4.49404  -7.83473   1.20136 -36.12026 -45.71316  -0.06030       (-1.093,-12.764) (-22.115,-1.033) (-1.275,-11.222)      4.04061
26      4.48849  -7.83505   1.19930 -36.10328 -45.66745  -0.07391       (-1.068,-12.916) (-22.185,-0.994) (-1.358,-11.170)      4.02728
27      4.48294  -7.83536   1.19724 -36.08629 -45.62174  -0.08753       (-1.043,-13.069) (-22.254,-0.955) (-1.442,-11.119)      4.02381
28      4.47738  -7.83568   1.19518 -36.06931 -45.57604  -0.10114       (-1.018,-13.221) (-22.323,-0.917) (-1.525,-11.067)      4.03023
29      4.47183  -7.83600   1.19313 -36.05232 -45.53033  -0.11476       (-0.993,-13.374) (-22.393,-0.878) (-1.608,-11.015)      4.04649
30      4.46628  -7.83632   1.19107 -36.03534 -45.48462  -0.12838       (-0.968,-13.526) (-22.462,-0.839) (-1.691,-10.963)      4.07247
31      4.46072  -7.83664   1.18901 -36.01835 -45.43892  -0.14199       (-0.943,-13.679) (-22.532,-0.801) (-1.774,-10.911)      4.10799
32      4.45517  -7.83696   1.18695 -36.00137 -45.39321  -0.15561       (-0.918,-13.832) (-22.601,-0.762) (-1.857,-10.859)      4.1528
33      4.44962  -7.83728   1.18489 -35.98438 -45.34750  -0.16922       (-0.893,-13.984) (-22.670,-0.724) (-1.941,-10.808)      4.2066
34      4.44406  -7.83760   1.18283 -35.96740 -45.30179  -0.18284       (-0.868,-14.137) (-22.740,-0.685) (-2.024,-10.756)      4.26906
35      4.43851  -7.83792   1.18077 -35.95041 -45.25609  -0.19646       (-0.843,-14.289) (-22.809,-0.646) (-2.107,-10.704)      4.33981
36      4.43296  -7.83824   1.17871 -35.93343 -45.21038  -0.21007       (-0.818,-14.442) (-22.878,-0.608) (-2.190,-10.652)      4.41844
37      4.42741  -7.83855   1.17665 -35.91644 -45.16467  -0.22369       (-0.793,-14.594) (-22.948,-0.569) (-2.273,-10.600)      4.50453
38      4.42185  -7.83887   1.17459 -35.89945 -45.11897  -0.23730       (-0.768,-14.747) (-23.017,-0.530) (-2.357,-10.549)      4.59769
39      4.41630  -7.83919   1.17253 -35.88247 -45.07326  -0.25092       (-0.742,-14.899) (-23.086,-0.492) (-2.440,-10.497)      4.69747
40      4.41075  -7.83951   1.17047 -35.86548 -45.02755  -0.26454       (-0.717,-15.052) (-23.156,-0.453) (-2.523,-10.445)      4.80347
41      4.40519  -7.83983   1.16841 -35.84850 -44.98185  -0.27815       (-0.692,-15.204) (-23.225,-0.414) (-2.606,-10.393)      4.91529
42      4.39964  -7.84015   1.16635 -35.83151 -44.93614  -0.29177       (-0.667,-15.357) (-23.295,-0.376) (-2.689,-10.341)      5.03254
43      4.39409  -7.84047   1.16429 -35.81453 -44.89043  -0.30538       (-0.642,-15.510) (-23.364,-0.337) (-2.773,-10.289)      5.15484
44      4.38853  -7.84079   1.16223 -35.79754 -44.84473  -0.31900       (-0.617,-15.662) (-23.433,-0.298) (-2.856,-10.238)      5.28185
45      4.38298  -7.84111   1.16017 -35.78056 -44.79902  -0.33262       (-0.592,-15.815) (-23.503,-0.260) (-2.939,-10.186)      5.41324
46      4.37743  -7.84143   1.15812 -35.76357 -44.75331  -0.34623       (-0.567,-15.967) (-23.572,-0.221) (-3.022,-10.134)      5.54869
47      4.37188  -7.84175   1.15606 -35.74659 -44.70761  -0.35985       (-0.542,-16.120) (-23.641,-0.182) (-3.105,-10.082)      5.68792
48      4.36632  -7.84206   1.15400 -35.72960 -44.66190  -0.37346       (-0.517,-16.272) (-23.711,-0.144) (-3.188,-10.030)      5.83065
49      4.36077  -7.84238   1.15194 -35.71262 -44.61619  -0.38708       (-0.492,-16.425) (-23.780,-0.105) (-3.272,-9.978)      5.97664
50      4.35522  -7.84270   1.14988 -35.69563 -44.57049  -0.40070       (-0.467,-16.577) (-23.849,-0.066) (-3.355,-9.927)      6.12564
51      4.34966  -7.84302   1.14782 -35.67865 -44.52478  -0.41431       (-0.442,-16.730) (-23.919,-0.028) (-3.438,-9.875)      6.27745
52      4.34411  -7.84334   1.14576 -35.66166 -44.47907  -0.42793       (-3.510,-16.872) (-23.999,-0.011) (-0.406,-9.812)      6.4272
53      4.33856  -7.84366   1.14370 -35.64468 -44.43336  -0.44154       (-3.555,-16.985) (-24.107,-0.050) (-0.342,-9.722)      6.56811
54      4.33300  -7.84398   1.14164 -35.62769 -44.38766  -0.45516       (-3.599,-17.099) (-24.215,-0.088) (-0.279,-9.631)      6.71208
55      4.32745  -7.84430   1.13958 -35.61071 -44.34195  -0.46878       (-3.644,-17.213) (-24.323,-0.127) (-0.215,-9.541)      6.85891
56      4.32190  -7.84462   1.13752 -35.59372 -44.29624  -0.48239       (-3.688,-17.327) (-24.431,-0.166) (-0.151,-9.450)      7.00842
57      4.31635  -7.84494   1.13546 -35.57674 -44.25054  -0.49601       (-3.733,-17.441) (-24.539,-0.204) (-0.087,-9.360)      7.16045
58      4.31079  -7.84525   1.13340 -35.55975 -44.20483  -0.50962       (-3.777,-17.555) (-24.647,-0.243) (-0.024,-9.269)      7.31484
59      4.30524  -7.84557   1.13134 -35.54277 -44.15912  -0.52324       (-3.782,-24.715) (-17.629,-0.242) (-0.040,-9.219)      7.39303
60      4.29969  -7.84589   1.12928 -35.52578 -44.11342  -0.53686       (-3.763,-24.760) (-17.679,-0.217) (-0.104,-9.192)      7.43199
61      4.29413  -7.84621   1.12722 -35.50880 -44.06771  -0.55047       (-3.744,-24.804) (-17.729,-0.192) (-0.167,-9.165)      7.47212
62      4.28858  -7.84653   1.12516 -35.49181 -44.02200  -0.56409       (-3.724,-24.848) (-17.779,-0.167) (-0.231,-9.138)      7.5134
