10PERCENT_2018-03-07.11_27_23.681_.txt     Output is probe cell, reduced cell, NCDist distance between
42    -11.89748   4.07135 -16.67972   5.63207 -56.77745   0.06039       (-2.667,-2.727) (-2.905,-42.786) (-1.344,-1.028)      1.20327
43    -11.88543   4.06437 -16.66576   5.62508 -56.76227   0.05707       (-2.656,-2.713) (-2.912,-42.799) (-1.351,-1.044)      1.23192
44    -11.87337   4.05738 -16.65179   5.61810 -56.74709   0.05376       (-2.645,-2.699) (-2.919,-42.812) (-1.358,-1.059)      1.26057
45    -11.86132   4.05040 -16.63782   5.61112 -56.73191   0.05044       (-2.635,-2.685) (-2.926,-42.824) (-1.365,-1.075)      1.28922
46    -11.84926   4.04342 -16.62386   5.60413 -56.71673   0.04712       (-2.624,-2.671) (-2.933,-42.837) (-1.372,-1.091)      1.31786
47    -11.83721   4.03643 -16.60989   5.59715 -56.70155   0.04380       (-2.613,-2.657) (-2.940,-42.850) (-1.379,-1.107)      1.34651
48    -11.82515   4.02945 -16.59592   5.59017 -56.68637   0.04049       (-2.603,-2.643) (-2.947,-42.863) (-1.386,-1.123)      1.37516
49    -11.81310   4.02247 -16.58196   5.58318 -56.67119   0.03717       (-2.592,-2.629) (-2.954,-42.875) (-1.393,-1.139)      1.40381
50    -11.80104   4.01548 -16.56799   5.57620 -56.65601   0.03385       (-2.582,-2.615) (-2.961,-42.888) (-1.400,-1.155)      1.43246
51    -11.78898   4.00850 -16.55403   5.56922 -56.64083   0.03054       (-2.571,-2.601) (-2.968,-42.901) (-1.407,-1.171)      1.46111
52    -11.77693   4.00152 -16.54006   5.56223 -56.62565   0.02722       (-2.560,-2.587) (-2.975,-42.914) (-1.414,-1.186)      1.48976
53    -11.76487   3.99453 -16.52609   5.55525 -56.61047   0.02390       (-2.550,-2.573) (-2.982,-42.926) (-1.421,-1.202)      1.51841
54    -11.75282   3.98755 -16.51213   5.54827 -56.59529   0.02059       (-2.539,-2.560) (-2.989,-42.939) (-1.428,-1.218)      1.54706
55    -11.74076   3.98057 -16.49816   5.54128 -56.58011   0.01727       (-2.528,-2.546) (-2.996,-42.952) (-1.435,-1.234)      1.57571
56    -11.72871   3.97358 -16.48419   5.53430 -56.56493   0.01395       (-2.518,-2.532) (-3.003,-42.965) (-1.442,-1.250)      1.60436
57    -11.71665   3.96660 -16.47023   5.52732 -56.54975   0.01063       (-2.507,-2.518) (-3.010,-42.978) (-1.449,-1.266)      1.63301
58    -11.70460   3.95962 -16.45626   5.52033 -56.53457   0.00732       (-2.496,-2.504) (-3.017,-42.990) (-1.456,-1.282)      1.66166
59    -11.69254   3.95263 -16.44229   5.51335 -56.51939   0.00400       (-2.486,-2.490) (-3.024,-43.003) (-1.463,-1.298)      1.6903
