Fol_.47_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -111.10960 3661.01211 362.91478 -7079.44041 -924.11874 -10481.53928       (-198.289,-1922.475) (-770.124,-164.626) (-309.399,-1420.978)      0
1    -111.19686 3656.57653 362.24179 -7074.27828 -923.35849 -10472.46965       (-198.875,-1928.735) (-764.483,-163.367) (-310.072,-1431.475)      13.5491
2    -111.28413 3652.14096 361.56881 -7069.11616 -922.59824 -10463.40002       (-199.461,-1934.995) (-758.843,-162.108) (-310.745,-1441.972)      27.0982
3    -111.37140 3647.70539 360.89582 -7063.95403 -921.83798 -10454.33039       (-200.046,-1941.255) (-753.202,-160.849) (-311.418,-1452.469)      40.6473
4    -111.45866 3643.26982 360.22284 -7058.79190 -921.07773 -10445.26076       (-200.632,-1947.515) (-747.561,-159.591) (-312.091,-1462.966)      54.1965
5    -111.54593 3638.83425 359.54985 -7053.62977 -920.31748 -10436.19112       (-201.218,-1953.775) (-741.921,-158.332) (-312.764,-1473.464)      67.7456
6    -111.63320 3634.39868 358.87686 -7048.46764 -919.55722 -10427.12149       (-201.803,-1960.035) (-736.280,-157.073) (-313.437,-1483.961)      81.2947
7    -111.72046 3629.96310 358.20388 -7043.30552 -918.79697 -10418.05186       (-202.389,-1966.295) (-730.639,-155.815) (-314.110,-1494.458)      94.8438
8    -111.80773 3625.52753 357.53089 -7038.14339 -918.03672 -10408.98223       (-202.975,-1972.556) (-724.999,-154.556) (-314.783,-1504.955)      108.393
9    -111.89500 3621.09196 356.85790 -7032.98126 -917.27646 -10399.91260       (-203.561,-1978.816) (-719.358,-153.297) (-315.456,-1515.452)      121.942
10    -111.98227 3616.65639 356.18492 -7027.81913 -916.51621 -10390.84297       (-204.146,-1985.076) (-713.717,-152.039) (-316.129,-1525.950)      135.491
11    -112.06953 3612.22082 355.51193 -7022.65700 -915.75596 -10381.77334       (-204.732,-1991.336) (-708.076,-150.780) (-316.802,-1536.447)      149.04
12    -112.15680 3607.78524 354.83894 -7017.49488 -914.99570 -10372.70371       (-205.318,-1997.596) (-702.436,-149.521) (-317.475,-1546.944)      162.589
13    -112.24407 3603.34967 354.16596 -7012.33275 -914.23545 -10363.63407       (-205.904,-2003.856) (-696.795,-148.262) (-318.148,-1557.441)      176.138
14    -112.33133 3598.91410 353.49297 -7007.17062 -913.47520 -10354.56444       (-206.489,-2010.116) (-691.154,-147.004) (-318.821,-1567.938)      189.688
15    -112.41860 3594.47853 352.81998 -7002.00849 -912.71494 -10345.49481       (-207.075,-2016.376) (-685.514,-145.745) (-319.494,-1578.436)      203.237
16    -112.50587 3590.04296 352.14700 -6996.84636 -911.95469 -10336.42518       (-207.661,-2022.637) (-679.873,-144.486) (-320.167,-1588.933)      216.786
17    -112.59313 3585.60738 351.47401 -6991.68424 -911.19444 -10327.35555       (-208.246,-2028.897) (-674.232,-143.228) (-320.840,-1599.430)      230.335
18    -112.68040 3581.17181 350.80102 -6986.52211 -910.43418 -10318.28592       (-208.832,-2035.157) (-668.591,-141.969) (-321.513,-1609.927)      243.884
19    -112.76767 3576.73624 350.12804 -6981.35998 -909.67393 -10309.21629       (-209.418,-2041.417) (-662.951,-140.710) (-322.186,-1620.425)      257.433
20    -112.85493 3572.30067 349.45505 -6976.19785 -908.91367 -10300.14665       (-210.004,-2047.677) (-657.310,-139.451) (-322.859,-1630.922)      270.982
21    -112.94220 3567.86510 348.78206 -6971.03572 -908.15342 -10291.07702       (-210.589,-2053.937) (-651.669,-138.193) (-323.531,-1641.419)      284.531
22    -113.02947 3563.42953 348.10908 -6965.87360 -907.39317 -10282.00739       (-211.175,-2060.197) (-646.029,-136.934) (-324.204,-1651.916)      298.081
23    -113.11673 3558.99395 347.43609 -6960.71147 -906.63291 -10272.93776       (-211.761,-2066.457) (-640.388,-135.675) (-324.877,-1662.413)      311.63
24    -113.20400 3554.55838 346.76310 -6955.54934 -905.87266 -10263.86813       (-212.346,-2072.718) (-634.747,-134.417) (-325.550,-1672.911)      325.179
25    -113.29127 3550.12281 346.09012 -6950.38721 -905.11241 -10254.79850       (-212.932,-2078.978) (-629.106,-133.158) (-326.223,-1683.408)      338.728
26    -113.37853 3545.68724 345.41713 -6945.22508 -904.35215 -10245.72887       (-213.518,-2085.238) (-623.466,-131.899) (-326.896,-1693.905)      352.277
