10PERCENT_2018-03-07.11_26_44.230_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -26.14150 -16.91716  14.69673  -9.79653 -25.20287 -39.60417       (-52.080,-2.680) (-7.117,-12.727) (-2.220,-3.865)      0
1    -26.11920 -16.90735  14.67933  -9.78895 -25.19038 -39.61665       (-52.068,-2.662) (-7.127,-12.739) (-2.228,-3.887)      0.0355736
2    -26.09690 -16.89754  14.66194  -9.78136 -25.17789 -39.62914       (-52.055,-2.645) (-7.136,-12.752) (-2.236,-3.909)      0.0711472
3    -26.07460 -16.88773  14.64454  -9.77378 -25.16541 -39.64163       (-52.043,-2.628) (-7.146,-12.764) (-2.243,-3.932)      0.106721
4    -26.05230 -16.87792  14.62715  -9.76620 -25.15292 -39.65412       (-52.030,-2.610) (-7.156,-12.777) (-2.251,-3.954)      0.142294
5    -26.03000 -16.86811  14.60976  -9.75861 -25.14043 -39.66661       (-52.018,-2.593) (-7.166,-12.789) (-2.258,-3.976)      0.177868
6    -26.00771 -16.85830  14.59236  -9.75103 -25.12794 -39.67910       (-52.006,-2.575) (-7.176,-12.802) (-2.266,-3.999)      0.213442
7    -25.98541 -16.84849  14.57497  -9.74345 -25.11545 -39.69159       (-51.993,-2.558) (-7.185,-12.814) (-2.274,-4.021)      0.249015
8    -25.96311 -16.83868  14.55757  -9.73586 -25.10296 -39.70408       (-51.981,-2.541) (-7.195,-12.826) (-2.281,-4.043)      0.284589
9    -25.94081 -16.82887  14.54018  -9.72828 -25.09047 -39.71656       (-51.968,-2.523) (-7.205,-12.839) (-2.289,-4.066)      0.320163
10    -25.91851 -16.81906  14.52279  -9.72070 -25.07798 -39.72905       (-51.956,-2.506) (-7.215,-12.851) (-2.296,-4.088)      0.355736
11    -25.89621 -16.80925  14.50539  -9.71311 -25.06550 -39.74154       (-51.943,-2.488) (-7.225,-12.864) (-2.304,-4.110)      0.39131
12    -25.87391 -16.79944  14.48800  -9.70553 -25.05301 -39.75403       (-51.931,-2.471) (-7.234,-12.876) (-2.311,-4.132)      0.426883
13    -25.85161 -16.78963  14.47060  -9.69794 -25.04052 -39.76652       (-51.918,-2.454) (-7.244,-12.889) (-2.319,-4.155)      0.462457
14    -25.82931 -16.77982  14.45321  -9.69036 -25.02803 -39.77901       (-51.906,-2.436) (-7.254,-12.901) (-2.327,-4.177)      0.498031
15    -25.80701 -16.77001  14.43582  -9.68278 -25.01554 -39.79150       (-51.893,-2.419) (-7.264,-12.914) (-2.334,-4.199)      0.533604
16    -25.78472 -16.76020  14.41842  -9.67519 -25.00305 -39.80399       (-51.881,-2.401) (-7.274,-12.926) (-2.342,-4.222)      0.569178
17    -25.76242 -16.75039  14.40103  -9.66761 -24.99056 -39.81648       (-51.868,-2.384) (-7.284,-12.939) (-2.349,-4.244)      0.604752
18    -25.74012 -16.74058  14.38364  -9.66003 -24.97807 -39.82896       (-51.856,-2.367) (-7.293,-12.951) (-2.357,-4.266)      0.640325
19    -25.71782 -16.73077  14.36624  -9.65244 -24.96559 -39.84145       (-51.843,-2.349) (-7.303,-12.964) (-2.365,-4.289)      0.675899
20    -25.69552 -16.72096  14.34885  -9.64486 -24.95310 -39.85394       (-51.831,-2.332) (-7.313,-12.976) (-2.372,-4.311)      0.711472
21    -25.67322 -16.71115  14.33145  -9.63727 -24.94061 -39.86643       (-51.818,-2.314) (-7.323,-12.989) (-2.380,-4.333)      0.747046
22    -25.65092 -16.70134  14.31406  -9.62969 -24.92812 -39.87892       (-51.806,-2.297) (-7.333,-13.001) (-2.387,-4.355)      0.78262
23    -25.62862 -16.69153  14.29667  -9.62211 -24.91563 -39.89141       (-51.793,-2.280) (-7.342,-13.014) (-2.395,-4.378)      0.818193
24    -25.60632 -16.68172  14.27927  -9.61452 -24.90314 -39.90390       (-51.781,-2.262) (-7.352,-13.026) (-2.402,-4.400)      0.853767
25    -25.58403 -16.67191  14.26188  -9.60694 -24.89065 -39.91639       (-51.768,-2.245) (-7.362,-13.039) (-2.410,-4.422)      0.88934
26    -25.56173 -16.66210  14.24448  -9.59936 -24.87816 -39.92887       (-51.756,-2.228) (-7.372,-13.051) (-2.418,-4.445)      0.924914
27    -25.53943 -16.65229  14.22709  -9.59177 -24.86568 -39.94136       (-51.743,-2.210) (-7.382,-13.064) (-2.425,-4.467)      0.960488
28    -25.51713 -16.64248  14.20970  -9.58419 -24.85319 -39.95385       (-51.731,-2.193) (-7.391,-13.076) (-2.433,-4.489)      0.996061
29    -25.49483 -16.63267  14.19230  -9.57661 -24.84070 -39.96634       (-51.718,-2.175) (-7.401,-13.089) (-2.440,-4.511)      1.03163
30    -25.47253 -16.62286  14.17491  -9.56902 -24.82821 -39.97883       (-51.706,-2.158) (-7.411,-13.101) (-2.448,-4.534)      1.06721
31    -25.45023 -16.61305  14.15752  -9.56144 -24.81572 -39.99132       (-51.693,-2.141) (-7.421,-13.114) (-2.456,-4.556)      1.10278
32    -25.42793 -16.60324  14.14012  -9.55385 -24.80323 -40.00381       (-51.681,-2.123) (-7.431,-13.126) (-2.463,-4.578)      1.13836
33    -25.40563 -16.59343  14.12273  -9.54627 -24.79074 -40.01630       (-51.668,-2.106) (-7.441,-13.139) (-2.471,-4.601)      1.17393
34    -25.38333 -16.58362  14.10533  -9.53869 -24.77825 -40.02878       (-51.656,-2.088) (-7.450,-13.151) (-2.478,-4.623)      1.2095
35    -25.36104 -16.57381  14.08794  -9.53110 -24.76577 -40.04127       (-51.643,-2.071) (-7.460,-13.164) (-2.486,-4.645)      1.24508
36    -25.33874 -16.56399  14.07055  -9.52352 -24.75328 -40.05376       (-51.631,-2.054) (-7.470,-13.176) (-2.493,-4.668)      1.28065
37    -25.31644 -16.55418  14.05315  -9.51594 -24.74079 -40.06625       (-51.618,-2.036) (-7.480,-13.189) (-2.501,-4.690)      1.31622
38    -25.29414 -16.54437  14.03576  -9.50835 -24.72830 -40.07874       (-51.606,-2.019) (-7.490,-13.201) (-2.509,-4.712)      1.3518
39    -25.27184 -16.53456  14.01836  -9.50077 -24.71581 -40.09123       (-51.593,-2.001) (-7.499,-13.214) (-2.516,-4.734)      1.38737
40    -25.24954 -16.52475  14.00097  -9.49318 -24.70332 -40.10372       (-51.581,-1.984) (-7.509,-13.226) (-2.524,-4.757)      1.42294
