10PERCENT_2018-03-07.11_27_50.968_.txt     Output is probe cell, reduced cell, NCDist distance between
0      0.08739   0.75478   1.26300  -6.83949  -2.05230  -9.90371       (-1.857,-0.087) (-0.474,-0.580) (-0.141,-8.394)      1.77636e-15
1      0.08544   0.75355   1.26159  -6.83273  -2.05082  -9.90220       (-1.858,-0.085) (-0.472,-0.583) (-0.146,-8.395)      0.00644871
2      0.08350   0.75232   1.26019  -6.82597  -2.04935  -9.90069       (-1.859,-0.083) (-0.471,-0.585) (-0.151,-8.396)      0.0128974
3      0.08155   0.75109   1.25878  -6.81921  -2.04788  -9.89918       (-1.860,-0.082) (-0.470,-0.588) (-0.156,-8.397)      0.0193461
4      0.07961   0.74986   1.25738  -6.81245  -2.04640  -9.89767       (-1.861,-0.080) (-0.468,-0.591) (-0.161,-8.398)      0.0257948
5      0.07766   0.74863   1.25597  -6.80569  -2.04493  -9.89615       (-1.862,-0.078) (-0.467,-0.593) (-0.167,-8.399)      0.0322435
6      0.07571   0.74740   1.25457  -6.79893  -2.04345  -9.89464       (-1.864,-0.076) (-0.466,-0.596) (-0.172,-8.400)      0.0386923
7      0.07377   0.74617   1.25316  -6.79218  -2.04198  -9.89313       (-1.865,-0.074) (-0.464,-0.599) (-0.177,-8.401)      0.045141
8      0.07182   0.74494   1.25176  -6.78542  -2.04051  -9.89162       (-1.866,-0.072) (-0.463,-0.601) (-0.182,-8.402)      0.0515897
9      0.06988   0.74371   1.25035  -6.77866  -2.03903  -9.89011       (-1.867,-0.070) (-0.462,-0.604) (-0.187,-8.403)      0.0580384
10      0.06793   0.74248   1.24895  -6.77190  -2.03756  -9.88860       (-1.868,-0.068) (-0.460,-0.607) (-0.192,-8.404)      0.0644871
11      0.06598   0.74125   1.24754  -6.76514  -2.03608  -9.88709       (-1.870,-0.066) (-0.459,-0.609) (-0.198,-8.405)      0.0709358
12      0.06404   0.74002   1.24614  -6.75838  -2.03461  -9.88558       (-1.871,-0.064) (-0.458,-0.612) (-0.203,-8.406)      0.0773845
13      0.06209   0.73879   1.24473  -6.75162  -2.03314  -9.88407       (-1.872,-0.062) (-0.456,-0.615) (-0.208,-8.406)      0.0838332
14      0.06015   0.73756   1.24333  -6.74486  -2.03166  -9.88256       (-1.873,-0.060) (-0.455,-0.617) (-0.213,-8.407)      0.0902819
15      0.05820   0.73633   1.24192  -6.73811  -2.03019  -9.88104       (-1.874,-0.058) (-0.454,-0.620) (-0.218,-8.408)      0.0967306
16      0.05625   0.73510   1.24052  -6.73135  -2.02872  -9.87953       (-1.875,-0.056) (-0.452,-0.623) (-0.223,-8.409)      0.103179
17      0.05431   0.73387   1.23911  -6.72459  -2.02724  -9.87802       (-1.877,-0.054) (-0.451,-0.625) (-0.229,-8.410)      0.109628
18      0.05236   0.73264   1.23770  -6.71783  -2.02577  -9.87651       (-1.878,-0.052) (-0.450,-0.628) (-0.234,-8.411)      0.116077
19      0.05042   0.73141   1.23630  -6.71107  -2.02429  -9.87500       (-1.879,-0.050) (-0.448,-0.631) (-0.239,-8.412)      0.122525
20      0.04847   0.73018   1.23489  -6.70431  -2.02282  -9.87349       (-1.880,-0.048) (-0.447,-0.633) (-0.244,-8.413)      0.128974
21      0.04653   0.72895   1.23349  -6.69755  -2.02135  -9.87198       (-1.881,-0.047) (-0.446,-0.636) (-0.249,-8.414)      0.135423
22      0.04458   0.72772   1.23208  -6.69079  -2.01987  -9.87047       (-1.883,-0.045) (-0.444,-0.639) (-0.254,-8.415)      0.141872
23      0.04263   0.72649   1.23068  -6.68403  -2.01840  -9.86896       (-1.884,-0.043) (-0.443,-0.641) (-0.259,-8.416)      0.14832
24      0.04069   0.72526   1.22927  -6.67728  -2.01693  -9.86744       (-1.885,-0.041) (-0.442,-0.644) (-0.265,-8.417)      0.154769
25      0.03874   0.72403   1.22787  -6.67052  -2.01545  -9.86593       (-1.886,-0.039) (-0.440,-0.647) (-0.270,-8.418)      0.161218
