Fol_2018-04-30.17_39_41.3_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -3.67265   3.39537 -46.43027   6.41118 -61.82637 -26.20528       (-0.277,-23.699) (-23.087,-45.886) (-9.529,-3.118)      0
1     -3.66705   3.35828 -46.42477   6.25017 -61.44125 -26.17379       (-0.309,-24.158) (-23.124,-45.891) (-9.300,-3.050)      0.520382
2     -3.66144   3.32118 -46.41927   6.08915 -61.05612 -26.14229       (-0.340,-24.618) (-23.161,-45.897) (-9.070,-2.981)      1.04076
3     -3.65584   3.28408 -46.41377   5.92814 -60.67100 -26.11079       (-0.372,-25.077) (-23.198,-45.902) (-8.840,-2.912)      0
4     -3.65024   3.24698 -46.40827   5.76712 -60.28587 -26.07930       (-0.403,-25.536) (-23.236,-45.908) (-8.611,-2.844)      0
5     -3.64464   3.20989 -46.40278   5.60611 -59.90075 -26.04780       (-0.435,-25.996) (-23.273,-45.913) (-8.381,-2.775)      0
6     -3.63904   3.17279 -46.39728   5.44510 -59.51562 -26.01631       (-0.466,-26.455) (-23.310,-45.919) (-8.152,-2.707)      0
7     -3.63344   3.13569 -46.39178   5.28408 -59.13050 -25.98481       (-0.498,-26.914) (-23.347,-45.924) (-7.922,-2.638)      0
8     -3.62783   3.09859 -46.38628   5.12307 -58.74537 -25.95331       (-0.529,-27.374) (-23.384,-45.930) (-7.692,-2.569)      0
9     -3.62223   3.06150 -46.38078   4.96205 -58.36025 -25.92182       (-0.561,-27.833) (-23.421,-45.935) (-7.463,-2.501)      0
10     -3.61663   3.02440 -46.37528   4.80104 -57.97513 -25.89032       (-0.592,-28.292) (-23.458,-45.941) (-7.233,-2.432)      0
11     -3.61103   2.98730 -46.36978   4.64002 -57.59000 -25.85883       (-0.624,-28.752) (-23.495,-45.946) (-7.004,-2.364)      0
12     -3.60543   2.95020 -46.36429   4.47901 -57.20488 -25.82733       (-0.655,-29.211) (-23.532,-45.952) (-6.774,-2.295)      0
13     -3.59983   2.91311 -46.35879   4.31799 -56.81975 -25.79583       (-0.687,-29.670) (-23.569,-45.957) (-6.544,-2.226)      0
14     -3.59423   2.87601 -46.35329   4.15698 -56.43463 -25.76434       (-0.718,-30.130) (-23.607,-45.963) (-6.315,-2.158)      0
15     -3.58862   2.83891 -46.34779   3.99596 -56.04950 -25.73284       (-0.750,-30.589) (-23.644,-45.968) (-6.085,-2.089)      0
16     -3.58302   2.80181 -46.34229   3.83495 -55.66438 -25.70135       (-0.781,-31.048) (-23.681,-45.974) (-5.856,-2.021)      0
17     -3.57742   2.76472 -46.33679   3.67393 -55.27925 -25.66985       (-0.813,-31.507) (-23.718,-45.979) (-5.626,-1.952)      0
18     -3.57182   2.72762 -46.33129   3.51292 -54.89413 -25.63835       (-0.844,-31.967) (-23.755,-45.985) (-5.396,-1.883)      0
19     -3.56622   2.69052 -46.32579   3.35190 -54.50901 -25.60686       (-0.876,-32.426) (-23.792,-45.990) (-5.167,-1.815)      0
20     -3.56062   2.65342 -46.32030   3.19089 -54.12388 -25.57536       (-0.907,-32.885) (-23.829,-45.996) (-4.937,-1.746)      0
21     -3.55502   2.61633 -46.31480   3.02987 -53.73876 -25.54387       (-0.939,-33.345) (-23.866,-46.001) (-4.708,-1.678)      0
22     -3.54941   2.57923 -46.30930   2.86886 -53.35363 -25.51237       (-0.970,-33.804) (-23.903,-46.007) (-4.478,-1.609)      0
23     -3.54381   2.54213 -46.30380   2.70784 -52.96851 -25.48087       (-1.002,-34.263) (-23.940,-46.012) (-4.248,-1.540)      0
24     -3.53821   2.50503 -46.29830   2.54683 -52.58338 -25.44938       (-1.033,-34.723) (-23.978,-46.018) (-4.019,-1.472)      0
25     -3.53261   2.46794 -46.29280   2.38581 -52.19826 -25.41788       (-35.182,-1.065) (-24.015,-46.023) (-1.403,-3.789)      0
26     -3.52701   2.43084 -46.28730   2.22480 -51.81314 -25.38639       (-35.641,-1.096) (-24.052,-46.029) (-1.335,-3.559)      0
27     -3.52141   2.39374 -46.28181   2.06378 -51.42801 -25.35489       (-36.101,-1.128) (-24.089,-46.034) (-1.266,-3.330)      0
28     -3.51581   2.35664 -46.27631   1.90277 -51.04289 -25.32339       (-36.560,-1.159) (-24.126,-46.040) (-1.197,-3.100)      0
