Fol_2018-03-05.09_12_29.28_.txt     Output is probe cell, reduced cell, NCDist distance between
42    -10.23896   1.85548   7.98292 -35.56435  -9.04454 -37.42471       (-8.966,-1.062) (-6.921,-8.777) (-3.318,-26.792)      2.54847
43    -10.23637   1.84530   7.97201 -35.52776  -9.04571 -37.41224       (-8.995,-1.074) (-6.898,-8.744) (-3.338,-26.823)      2.61135
44    -10.23379   1.83512   7.96110 -35.49118  -9.04689 -37.39978       (-9.023,-1.086) (-6.875,-8.710) (-3.358,-26.854)      2.67423
45    -10.23120   1.82494   7.95019 -35.45459  -9.04807 -37.38731       (-9.052,-1.098) (-6.852,-8.677) (-3.379,-26.885)      2.73712
46    -10.22862   1.81476   7.93928 -35.41801  -9.04924 -37.37485       (-9.081,-1.110) (-6.829,-8.644) (-3.399,-26.916)      2.80001
47    -10.22603   1.80458   7.92836 -35.38143  -9.05042 -37.36238       (-9.109,-1.122) (-6.806,-8.611) (-3.420,-26.947)      2.86291
48    -10.22345   1.79440   7.91745 -35.34484  -9.05160 -37.34992       (-9.138,-1.134) (-6.783,-8.578) (-3.440,-26.978)      2.92581
49    -10.22086   1.78422   7.90654 -35.30826  -9.05277 -37.33745       (-9.166,-1.146) (-6.760,-8.545) (-3.461,-27.009)      2.98871
50    -10.21828   1.77404   7.89563 -35.27168  -9.05395 -37.32498       (-9.195,-1.158) (-6.737,-8.511) (-3.481,-27.040)      3.05162
51    -10.21569   1.76386   7.88471 -35.23509  -9.05513 -37.31252       (-9.224,-1.170) (-6.714,-8.478) (-3.501,-27.071)      3.11452
52    -10.21311   1.75368   7.87380 -35.19851  -9.05630 -37.30005       (-9.252,-1.183) (-6.691,-8.445) (-3.522,-27.101)      3.17744
53    -10.21052   1.74350   7.86289 -35.16193  -9.05748 -37.28759       (-9.281,-1.195) (-6.668,-8.412) (-3.542,-27.132)      3.24035
54    -10.20793   1.73332   7.85198 -35.12534  -9.05865 -37.27512       (-9.309,-1.207) (-6.645,-8.379) (-3.563,-27.163)      3.30326
55    -10.20535   1.72313   7.84106 -35.08876  -9.05983 -37.26265       (-9.338,-1.219) (-6.622,-8.345) (-3.583,-27.194)      3.36618
56    -10.20276   1.71295   7.83015 -35.05218  -9.06101 -37.25019       (-9.367,-1.231) (-6.599,-8.312) (-3.603,-27.225)      3.4291
57    -10.20018   1.70277   7.81924 -35.01559  -9.06218 -37.23772       (-9.395,-1.243) (-6.576,-8.279) (-3.624,-27.256)      3.49202
58    -10.19759   1.69259   7.80833 -34.97901  -9.06336 -37.22526       (-9.424,-1.255) (-6.553,-8.246) (-3.644,-27.287)      3.55495
59    -10.19501   1.68241   7.79741 -34.94243  -9.06454 -37.21279       (-9.452,-1.267) (-6.530,-8.213) (-3.665,-27.318)      3.61787
60    -10.19242   1.67223   7.78650 -34.90584  -9.06571 -37.20032       (-9.481,-1.279) (-6.507,-8.180) (-3.685,-27.349)      3.6808
61    -10.18984   1.66205   7.77559 -34.86926  -9.06689 -37.18786       (-9.510,-1.291) (-6.484,-8.146) (-3.706,-27.379)      3.74373
62    -10.18725   1.65187   7.76468 -34.83267  -9.06807 -37.17539       (-9.538,-1.303) (-6.461,-8.113) (-3.726,-27.410)      3.80666
