Fol_.3_.txt     Output is probe cell, reduced cell, NCDist distance between
0    231.34572 1060.95548 146.53256 -5284.47493 -763.67401 -1681.70577       (-213.627,-154.450) (-7.259,-131.346) (-224.087,-26.713)      0
1    230.90030 1059.88620 146.16157 -5279.33977 -763.04105 -1680.04912       (-221.199,-155.079) (-5.481,-128.480) (-225.419,-29.882)      8.99643
2    230.45488 1058.81692 145.79058 -5274.20461 -762.40808 -1678.39248       (-228.771,-155.708) (-3.704,-125.613) (-226.751,-33.052)      17.9929
3    230.00946 1057.74763 145.41959 -5269.06945 -761.77512 -1676.73583       (-236.344,-156.337) (-1.926,-122.747) (-228.083,-36.222)      26.9893
4    229.56405 1056.67835 145.04860 -5263.93429 -761.14216 -1675.07918       (-243.916,-156.965) (-0.149,-119.881) (-229.416,-39.392)      35.9857
5    229.11863 1055.60907 144.67761 -5258.79913 -760.50920 -1673.42253       (-40.933,-155.965) (-118.643,-1.629) (-249.859,-229.119)      42.2259
6    228.67321 1054.53978 144.30662 -5253.66397 -759.87624 -1671.76588       (-42.325,-154.817) (-117.554,-3.407) (-255.654,-228.673)      48.3242
7    228.22779 1053.47050 143.93563 -5248.52881 -759.24328 -1670.10923       (-43.718,-153.668) (-116.465,-5.184) (-261.449,-228.228)      54.4995
8    227.78237 1052.40121 143.56464 -5243.39365 -758.61032 -1668.45258       (-45.110,-152.519) (-115.377,-6.962) (-267.244,-227.782)      60.7283
9    227.33696 1051.33193 143.19365 -5238.25849 -757.97736 -1666.79593       (-46.502,-151.370) (-114.288,-8.739) (-273.039,-227.337)      66.9957
10    226.89154 1050.26265 142.82266 -5233.12333 -757.34440 -1665.13928       (-47.895,-150.222) (-113.199,-10.517) (-278.834,-226.892)      73.2918
11    226.44612 1049.19336 142.45167 -5227.98817 -756.71144 -1663.48263       (-49.287,-149.073) (-112.110,-12.294) (-284.628,-226.446)      79.6097
12    226.00070 1048.12408 142.08068 -5222.85301 -756.07848 -1661.82598       (-50.679,-147.924) (-111.021,-14.072) (-290.423,-226.001)      85.9447
13    225.55529 1047.05480 141.70969 -5217.71785 -755.44552 -1660.16933       (-52.072,-146.776) (-109.932,-15.850) (-296.218,-225.555)      92.2932
14    225.10987 1045.98551 141.33870 -5212.58269 -754.81256 -1658.51268       (-53.464,-145.627) (-108.843,-17.627) (-302.013,-225.110)      98.6527
15    224.66445 1044.91623 140.96770 -5207.44753 -754.17960 -1656.85603       (-54.856,-144.478) (-107.755,-19.405) (-307.808,-224.664)      105.021
16    224.21903 1043.84695 140.59671 -5202.31237 -753.54664 -1655.19938       (-56.249,-143.329) (-106.666,-21.182) (-313.602,-224.219)      111.397
17    223.77362 1042.77766 140.22572 -5197.17721 -752.91367 -1653.54273       (-57.641,-142.181) (-105.577,-22.960) (-319.397,-223.774)      117.779
18    223.32820 1041.70838 139.85473 -5192.04205 -752.28071 -1651.88608       (-59.033,-141.032) (-104.488,-24.738) (-325.192,-223.328)      124.166
19    222.88278 1040.63909 139.48374 -5186.90689 -751.64775 -1650.22943       (-60.426,-139.883) (-103.399,-26.515) (-330.987,-222.883)      130.558
20    222.43736 1039.56981 139.11275 -5181.77173 -751.01479 -1648.57278       (-61.818,-138.735) (-102.310,-28.293) (-336.782,-222.437)      136.954
21    221.99194 1038.50053 138.74176 -5176.63657 -750.38183 -1646.91613       (-63.210,-137.586) (-101.222,-30.070) (-342.577,-221.992)      143.352
22    221.54653 1037.43124 138.37077 -5171.50141 -749.74887 -1645.25948       (-64.603,-136.437) (-100.133,-31.848) (-348.371,-221.547)      149.754
