Fol_2018-03-05.09_12_23.21_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -31.18696   2.36813 -20.90175   1.86110 -52.92296 -71.21737       (-71.217,-12.443) (-2.368,-49.201) (-1.861,-26.451)      0
1    -31.18222   2.36339 -20.89328   1.85737 -52.91923 -71.21737       (-71.217,-12.452) (-2.363,-49.204) (-1.857,-26.455)      0.012017
2    -31.17748   2.35865 -20.88481   1.85364 -52.91550 -71.21737       (-71.217,-12.460) (-2.359,-49.208) (-1.854,-26.460)      0.024034
3    -31.17274   2.35391 -20.87635   1.84992 -52.91178 -71.21737       (-71.217,-12.469) (-2.354,-49.212) (-1.850,-26.465)      0.0360509
4    -31.16800   2.34916 -20.86788   1.84619 -52.90805 -71.21737       (-71.217,-12.477) (-2.349,-49.216) (-1.846,-26.470)      0.0480679
5    -31.16326   2.34442 -20.85941   1.84247 -52.90433 -71.21737       (-71.217,-12.486) (-2.344,-49.219) (-1.842,-26.474)      0.0600849
6    -31.15852   2.33968 -20.85095   1.83874 -52.90060 -71.21737       (-71.217,-12.494) (-2.340,-49.223) (-1.839,-26.479)      0.0721019
7    -31.15378   2.33494 -20.84248   1.83501 -52.89687 -71.21737       (-71.217,-12.503) (-2.335,-49.227) (-1.835,-26.484)      0.0841188
8    -31.14904   2.33020 -20.83401   1.83129 -52.89315 -71.21737       (-71.217,-12.511) (-2.330,-49.231) (-1.831,-26.489)      0.0961358
9    -31.14430   2.32546 -20.82554   1.82756 -52.88942 -71.21737       (-71.217,-12.519) (-2.325,-49.234) (-1.828,-26.493)      0.108153
10    -31.13955   2.32072 -20.81708   1.82384 -52.88570 -71.21737       (-71.217,-12.528) (-2.321,-49.238) (-1.824,-26.498)      0.12017
11    -31.13481   2.31598 -20.80861   1.82011 -52.88197 -71.21737       (-71.217,-12.536) (-2.316,-49.242) (-1.820,-26.503)      0.132187
12    -31.13007   2.31124 -20.80014   1.81638 -52.87824 -71.21737       (-71.217,-12.545) (-2.311,-49.245) (-1.816,-26.508)      0.144204
13    -31.12533   2.30650 -20.79168   1.81266 -52.87452 -71.21737       (-71.217,-12.553) (-2.306,-49.249) (-1.813,-26.512)      0.156221
14    -31.12059   2.30175 -20.78321   1.80893 -52.87079 -71.21737       (-71.217,-12.562) (-2.302,-49.253) (-1.809,-26.517)      0.168238
15    -31.11585   2.29701 -20.77474   1.80521 -52.86707 -71.21737       (-71.217,-12.570) (-2.297,-49.257) (-1.805,-26.522)      0.180255
16    -31.11111   2.29227 -20.76628   1.80148 -52.86334 -71.21737       (-71.217,-12.579) (-2.292,-49.260) (-1.801,-26.527)      0.192272
17    -31.10637   2.28753 -20.75781   1.79776 -52.85961 -71.21737       (-71.217,-12.587) (-2.288,-49.264) (-1.798,-26.531)      0.204289
18    -31.10163   2.28279 -20.74934   1.79403 -52.85589 -71.21737       (-71.217,-12.596) (-2.283,-49.268) (-1.794,-26.536)      0.216306
19    -31.09689   2.27805 -20.74088   1.79030 -52.85216 -71.21737       (-71.217,-12.604) (-2.278,-49.272) (-1.790,-26.541)      0.228323
20    -31.09214   2.27331 -20.73241   1.78658 -52.84844 -71.21737       (-71.217,-12.613) (-2.273,-49.275) (-1.787,-26.546)      0.24034
21    -31.08740   2.26857 -20.72394   1.78285 -52.84471 -71.21737       (-71.217,-12.621) (-2.269,-49.279) (-1.783,-26.550)      0.252357
22    -31.08266   2.26383 -20.71547   1.77913 -52.84098 -71.21737       (-71.217,-12.630) (-2.264,-49.283) (-1.779,-26.555)      0.264373
23    -31.07792   2.25909 -20.70701   1.77540 -52.83726 -71.21737       (-71.217,-12.638) (-2.259,-49.286) (-1.775,-26.560)      0.27639
24    -31.07318   2.25434 -20.69854   1.77167 -52.83353 -71.21737       (-71.217,-12.647) (-2.254,-49.290) (-1.772,-26.564)      0.288407
25    -31.06844   2.24960 -20.69007   1.76795 -52.82981 -71.21737       (-71.217,-12.655) (-2.250,-49.294) (-1.768,-26.569)      0.300424
26    -31.06370   2.24486 -20.68161   1.76422 -52.82608 -71.21737       (-71.217,-12.663) (-2.245,-49.298) (-1.764,-26.574)      0.312441
27    -31.05896   2.24012 -20.67314   1.76050 -52.82236 -71.21737       (-71.217,-12.672) (-2.240,-49.301) (-1.760,-26.579)      0.324458
28    -31.05422   2.23538 -20.66467   1.75677 -52.81863 -71.21737       (-71.217,-12.680) (-2.235,-49.305) (-1.757,-26.583)      0.336475
29    -31.04948   2.23064 -20.65621   1.75304 -52.81490 -71.21737       (-71.217,-12.689) (-2.231,-49.309) (-1.753,-26.588)      0.348492
30    -31.04473   2.22590 -20.64774   1.74932 -52.81118 -71.21737       (-71.217,-12.697) (-2.226,-49.313) (-1.749,-26.593)      0.360509
31    -31.03999   2.22116 -20.63927   1.74559 -52.80745 -71.21737       (-71.217,-12.706) (-2.221,-49.316) (-1.746,-26.598)      0.372526
32    -31.03525   2.21642 -20.63081   1.74187 -52.80373 -71.21737       (-71.217,-12.714) (-2.216,-49.320) (-1.742,-26.602)      0.384543
33    -31.03051   2.21168 -20.62234   1.73814 -52.80000 -71.21737       (-71.217,-12.723) (-2.212,-49.324) (-1.738,-26.607)      0.39656
34    -31.02577   2.20693 -20.61387   1.73441 -52.79627 -71.21737       (-71.217,-12.731) (-2.207,-49.327) (-1.734,-26.612)      0.408577
35    -31.02103   2.20219 -20.60540   1.73069 -52.79255 -71.21737       (-71.217,-12.740) (-2.202,-49.331) (-1.731,-26.617)      0.420594
36    -31.01629   2.19745 -20.59694   1.72696 -52.78882 -71.21737       (-71.217,-12.748) (-2.197,-49.335) (-1.727,-26.621)      0.432611
37    -31.01155   2.19271 -20.58847   1.72324 -52.78510 -71.21737       (-71.217,-12.757) (-2.193,-49.339) (-1.723,-26.626)      0.444628
38    -31.00681   2.18797 -20.58000   1.71951 -52.78137 -71.21737       (-71.217,-12.765) (-2.188,-49.342) (-1.720,-26.631)      0.456645
39    -31.00207   2.18323 -20.57154   1.71578 -52.77764 -71.21737       (-71.217,-12.774) (-2.183,-49.346) (-1.716,-26.636)      0.468662
40    -30.99732   2.17849 -20.56307   1.71206 -52.77392 -71.21737       (-71.217,-12.782) (-2.178,-49.350) (-1.712,-26.640)      0.480679
41    -30.99258   2.17375 -20.55460   1.70833 -52.77019 -71.21737       (-71.217,-12.790) (-2.174,-49.354) (-1.708,-26.645)      0.492696
42    -30.98784   2.16901 -20.54614   1.70461 -52.76647 -71.21737       (-71.217,-12.799) (-2.169,-49.357) (-1.705,-26.650)      0.504713
43    -30.98310   2.16427 -20.53767   1.70088 -52.76274 -71.21737       (-71.217,-12.807) (-2.164,-49.361) (-1.701,-26.655)      0.51673
44    -30.97836   2.15952 -20.52920   1.69716 -52.75901 -71.21737       (-71.217,-12.816) (-2.160,-49.365) (-1.697,-26.659)      0.528747
45    -30.97362   2.15478 -20.52074   1.69343 -52.75529 -71.21737       (-71.217,-12.824) (-2.155,-49.368) (-1.693,-26.664)      0.540764
46    -30.96888   2.15004 -20.51227   1.68970 -52.75156 -71.21737       (-71.217,-12.833) (-2.150,-49.372) (-1.690,-26.669)      0.552781
47    -30.96414   2.14530 -20.50380   1.68598 -52.74784 -71.21737       (-71.217,-12.841) (-2.145,-49.376) (-1.686,-26.674)      0.564798
48    -30.95940   2.14056 -20.49533   1.68225 -52.74411 -71.21737       (-71.217,-12.850) (-2.141,-49.380) (-1.682,-26.678)      0.576815
49    -30.95466   2.13582 -20.48687   1.67853 -52.74039 -71.21737       (-71.217,-12.858) (-2.136,-49.383) (-1.679,-26.683)      0.588832
50    -30.94991   2.13108 -20.47840   1.67480 -52.73666 -71.21737       (-71.217,-12.867) (-2.131,-49.387) (-1.675,-26.688)      0.600849
