10PERCENT_2018-03-07.11_27_22.668_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -34.47510 -50.42253   0.67970   4.95154   1.72560 -28.92354       (-39.840,-30.344) (-1.046,-4.272) (-0.680,-16.249)      1.84604e-14
1    -34.48047 -50.37310   0.67834   4.91621   1.71960 -28.91085       (-39.862,-30.363) (-1.041,-4.238) (-0.678,-16.318)      0.0821459
2    -34.48584 -50.32368   0.67697   4.88087   1.71360 -28.89816       (-39.885,-30.382) (-1.037,-4.204) (-0.677,-16.386)      0.164292
3    -34.49121 -50.27425   0.67561   4.84554   1.70759 -28.88547       (-39.908,-30.400) (-1.032,-4.170) (-0.676,-16.455)      0.246438
4    -34.49658 -50.22482   0.67425   4.81021   1.70159 -28.87279       (-39.930,-30.419) (-1.027,-4.136) (-0.674,-16.523)      0.328584
5    -34.50195 -50.17540   0.67289   4.77488   1.69559 -28.86010       (-39.953,-30.438) (-1.023,-4.102) (-0.673,-16.592)      0.410729
6    -34.50732 -50.12597   0.67153   4.73955   1.68958 -28.84741       (-39.975,-30.457) (-1.018,-4.068) (-0.672,-16.661)      0.492875
7    -34.51269 -50.07655   0.67017   4.70422   1.68358 -28.83472       (-39.998,-30.475) (-1.013,-4.034) (-0.670,-16.729)      0.575021
8    -34.51806 -50.02712   0.66881   4.66889   1.67758 -28.82204       (-40.021,-30.494) (-1.009,-4.000) (-0.669,-16.798)      0.657167
9    -34.52343 -49.97769   0.66745   4.63356   1.67157 -28.80935       (-40.043,-30.513) (-1.004,-3.966) (-0.667,-16.867)      0.739313
10    -34.52880 -49.92827   0.66609   4.59823   1.66557 -28.79666       (-40.066,-30.532) (-0.999,-3.932) (-0.666,-16.935)      0.821459
11    -34.53417 -49.87884   0.66473   4.56289   1.65957 -28.78398       (-40.088,-30.550) (-0.995,-3.898) (-0.665,-17.004)      0.903605
12    -34.53954 -49.82942   0.66337   4.52756   1.65356 -28.77129       (-40.111,-30.569) (-0.990,-3.864) (-0.663,-17.072)      0.985751
13    -34.54491 -49.77999   0.66201   4.49223   1.64756 -28.75860       (-40.134,-30.588) (-0.986,-3.830) (-0.662,-17.141)      1.0679
14    -34.55028 -49.73056   0.66065   4.45690   1.64156 -28.74591       (-40.156,-30.607) (-0.981,-3.796) (-0.661,-17.210)      1.15004
15    -34.55565 -49.68114   0.65928   4.42157   1.63555 -28.73323       (-40.179,-30.625) (-0.976,-3.762) (-0.659,-17.278)      1.23219
16    -34.56102 -49.63171   0.65792   4.38624   1.62955 -28.72054       (-40.201,-30.644) (-0.972,-3.728) (-0.658,-17.347)      1.31433
17    -34.56639 -49.58229   0.65656   4.35091   1.62355 -28.70785       (-40.224,-30.663) (-0.967,-3.694) (-0.657,-17.416)      1.39648
18    -34.57176 -49.53286   0.65520   4.31558   1.61754 -28.69516       (-40.247,-30.681) (-0.962,-3.660) (-0.655,-17.484)      1.47863
19    -34.57713 -49.48343   0.65384   4.28025   1.61154 -28.68248       (-40.269,-30.700) (-0.958,-3.626) (-0.654,-17.553)      1.56077
20    -34.58250 -49.43401   0.65248   4.24491   1.60554 -28.66979       (-40.292,-30.719) (-0.953,-3.592) (-0.652,-17.621)      1.64292
21    -34.58787 -49.38458   0.65112   4.20958   1.59953 -28.65710       (-40.314,-30.738) (-0.948,-3.558) (-0.651,-17.690)      1.72506
22    -34.59324 -49.33516   0.64976   4.17425   1.59353 -28.64442       (-40.337,-30.756) (-0.944,-3.524) (-0.650,-17.759)      1.80721
23    -34.59861 -49.28573   0.64840   4.13892   1.58752 -28.63173       (-40.359,-30.775) (-0.939,-3.491) (-0.648,-17.827)      1.88936
24    -34.60398 -49.23630   0.64704   4.10359   1.58152 -28.61904       (-40.382,-30.794) (-0.934,-3.457) (-0.647,-17.896)      1.9715
25    -34.60935 -49.18688   0.64568   4.06826   1.57552 -28.60635       (-40.405,-30.813) (-0.930,-3.423) (-0.646,-17.964)      2.05365
26    -34.61472 -49.13745   0.64432   4.03293   1.56951 -28.59367       (-40.427,-30.831) (-0.925,-3.389) (-0.644,-18.033)      2.13579
27    -34.62009 -49.08803   0.64296   3.99760   1.56351 -28.58098       (-40.450,-30.850) (-0.921,-3.355) (-0.643,-18.102)      2.21794
28    -34.62546 -49.03860   0.64159   3.96227   1.55751 -28.56829       (-40.472,-30.869) (-0.916,-3.321) (-0.642,-18.170)      2.30008
29    -34.63083 -48.98917   0.64023   3.92694   1.55150 -28.55560       (-40.495,-30.888) (-0.911,-3.287) (-0.640,-18.239)      2.38223
30    -34.63620 -48.93975   0.63887   3.89160   1.54550 -28.54292       (-40.518,-30.906) (-0.907,-3.253) (-0.639,-18.308)      2.46438
31    -34.64157 -48.89032   0.63751   3.85627   1.53950 -28.53023       (-40.540,-30.925) (-0.902,-3.219) (-0.638,-18.376)      2.54652
32    -34.64694 -48.84089   0.63615   3.82094   1.53349 -28.51754       (-40.563,-30.944) (-0.897,-3.185) (-0.636,-18.445)      2.62867
33    -34.65231 -48.79147   0.63479   3.78561   1.52749 -28.50486       (-40.585,-30.963) (-0.893,-3.151) (-0.635,-18.513)      2.71081
34    -34.65768 -48.74204   0.63343   3.75028   1.52149 -28.49217       (-40.608,-30.981) (-0.888,-3.117) (-0.633,-18.582)      2.79296
35    -34.66305 -48.69262   0.63207   3.71495   1.51548 -28.47948       (-40.631,-31.000) (-0.883,-3.083) (-0.632,-18.651)      2.87511
36    -34.66842 -48.64319   0.63071   3.67962   1.50948 -28.46679       (-40.653,-31.019) (-0.879,-3.049) (-0.631,-18.719)      2.95725
37    -34.67379 -48.59376   0.62935   3.64429   1.50348 -28.45411       (-40.676,-31.037) (-0.874,-3.015) (-0.629,-18.788)      3.0394
38    -34.67916 -48.54434   0.62799   3.60896   1.49747 -28.44142       (-40.698,-31.056) (-0.869,-2.981) (-0.628,-18.857)      3.12154
39    -34.68453 -48.49491   0.62663   3.57362   1.49147 -28.42873       (-40.721,-31.075) (-0.865,-2.947) (-0.627,-18.925)      3.20369
40    -34.68990 -48.44549   0.62527   3.53829   1.48547 -28.41604       (-40.744,-31.094) (-0.860,-2.913) (-0.625,-18.994)      3.28584
41    -34.69527 -48.39606   0.62391   3.50296   1.47946 -28.40336       (-40.766,-31.112) (-0.856,-2.879) (-0.624,-19.062)      3.36798
42    -34.70064 -48.34663   0.62254   3.46763   1.47346 -28.39067       (-40.789,-31.131) (-0.851,-2.845) (-0.623,-19.131)      3.45013
43    -34.70601 -48.29721   0.62118   3.43230   1.46746 -28.37798       (-40.811,-31.150) (-0.846,-2.811) (-0.621,-19.200)      3.53227
44    -34.71138 -48.24778   0.61982   3.39697   1.46145 -28.36530       (-40.834,-31.169) (-0.842,-2.777) (-0.620,-19.268)      3.61442
