Fol_.2_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -641.74496  96.10741 -416.67232 -56.55917 -993.05381 248.95274       (-48.375,-104.934) (-200.577,-446.773) (-176.082,-47.732)      2.84217e-14
1    -641.15100  95.81043 -416.43149 -56.60759 -992.50698 248.65575       (-47.781,-104.389) (-200.874,-447.414) (-177.029,-48.029)      1.4611
2    -640.55703  95.51344 -416.19066 -56.65602 -991.96015 248.35877       (-47.187,-103.843) (-201.171,-448.055) (-177.976,-48.326)      2.92219
3    -639.96307  95.21646 -415.94983 -56.70444 -991.41332 248.06179       (-46.593,-103.298) (-201.468,-448.696) (-178.923,-48.623)      4.38329
4    -639.36910  94.91948 -415.70900 -56.75286 -990.86650 247.76481       (-45.999,-102.752) (-201.765,-449.337) (-179.871,-48.920)      5.84439
5    -638.77514  94.62250 -415.46817 -56.80129 -990.31967 247.46783       (-45.406,-102.207) (-202.062,-449.979) (-180.818,-49.217)      7.30548
6    -638.18118  94.32552 -415.22734 -56.84971 -989.77284 247.17084       (-44.812,-101.661) (-202.359,-450.620) (-181.765,-49.514)      8.76658
7    -637.58721  94.02854 -414.98651 -56.89814 -989.22601 246.87386       (-44.218,-101.116) (-202.656,-451.261) (-182.712,-49.811)      10.2277
8    -636.99325  93.73155 -414.74568 -56.94656 -988.67919 246.57688       (-43.624,-100.570) (-202.953,-451.902) (-183.659,-50.108)      11.6888
9    -636.39929  93.43457 -414.50484 -56.99498 -988.13236 246.27990       (-43.030,-100.025) (-203.250,-452.543) (-184.606,-50.405)      13.1499
10    -635.80532  93.13759 -414.26401 -57.04341 -987.58553 245.98292       (-42.436,-99.479) (-203.547,-453.184) (-185.553,-50.702)      14.611
11    -635.21136  92.84061 -414.02318 -57.09183 -987.03870 245.68594       (-41.842,-98.934) (-203.844,-453.825) (-186.500,-50.999)      16.0721
12    -634.61740  92.54363 -413.78235 -57.14025 -986.49188 245.38895       (-41.248,-98.388) (-204.141,-454.466) (-187.447,-51.296)      17.5332
13    -634.02343  92.24665 -413.54152 -57.18868 -985.94505 245.09197       (-40.654,-97.842) (-204.438,-455.107) (-188.394,-51.593)      18.9943
14    -633.42947  91.94966 -413.30069 -57.23710 -985.39822 244.79499       (-40.060,-97.297) (-204.735,-455.748) (-189.342,-51.890)      20.4553
15    -632.83551  91.65268 -413.05986 -57.28553 -984.85139 244.49801       (-39.466,-96.751) (-205.032,-456.390) (-190.289,-52.187)      21.9164
16    -632.24154  91.35570 -412.81903 -57.33395 -984.30457 244.20103       (-38.872,-96.206) (-205.329,-457.031) (-191.236,-52.484)      23.3775
17    -631.64758  91.05872 -412.57820 -57.38237 -983.75774 243.90404       (-38.278,-95.660) (-205.626,-457.672) (-192.183,-52.781)      24.8386
18    -631.05361  90.76174 -412.33737 -57.43080 -983.21091 243.60706       (-37.684,-95.115) (-205.923,-458.313) (-193.130,-53.078)      26.2997
19    -630.45965  90.46475 -412.09653 -57.47922 -982.66408 243.31008       (-37.090,-94.569) (-206.220,-458.954) (-194.077,-53.375)      27.7608
20    -629.86569  90.16777 -411.85570 -57.52764 -982.11725 243.01310       (-36.496,-94.024) (-206.517,-459.595) (-195.024,-53.672)      29.2219
21    -629.27172  89.87079 -411.61487 -57.57607 -981.57043 242.71612       (-35.902,-93.478) (-206.814,-460.236) (-195.971,-53.969)      30.683
22    -628.67776  89.57381 -411.37404 -57.62449 -981.02360 242.41914       (-35.308,-92.933) (-207.111,-460.877) (-196.918,-54.266)      32.1441
23    -628.08380  89.27683 -411.13321 -57.67292 -980.47677 242.12215       (-34.714,-92.387) (-207.408,-461.518) (-197.865,-54.563)      33.6052
24    -627.48983  88.97985 -410.89238 -57.72134 -979.92994 241.82517       (-34.120,-91.842) (-207.705,-462.159) (-198.812,-54.860)      35.0663
25    -626.89587  88.68286 -410.65155 -57.76976 -979.38312 241.52819       (-33.526,-91.296) (-208.002,-462.800) (-199.760,-55.157)      36.5274
26    -626.30191  88.38588 -410.41072 -57.81819 -978.83629 241.23121       (-32.932,-90.750) (-208.299,-463.442) (-200.707,-55.454)      37.9885
27    -625.70794  88.08890 -410.16989 -57.86661 -978.28946 240.93423       (-32.338,-90.205) (-208.596,-464.083) (-201.654,-55.751)      39.4496
28    -625.11398  87.79192 -409.92906 -57.91503 -977.74263 240.63725       (-31.744,-89.659) (-208.893,-464.724) (-202.601,-56.048)      40.9107
29    -624.52001  87.49494 -409.68822 -57.96346 -977.19581 240.34026       (-31.150,-89.114) (-209.190,-465.365) (-203.548,-56.345)      42.3718
30    -623.92605  87.19795 -409.44739 -58.01188 -976.64898 240.04328       (-30.556,-88.568) (-209.487,-466.006) (-204.495,-56.642)      43.8329
31    -623.33209  86.90097 -409.20656 -58.06031 -976.10215 239.74630       (-29.962,-88.023) (-209.784,-466.647) (-205.442,-56.939)      45.294
32    -622.73812  86.60399 -408.96573 -58.10873 -975.55532 239.44932       (-29.368,-87.477) (-210.081,-467.288) (-206.389,-57.235)      46.7551
33    -622.14416  86.30701 -408.72490 -58.15715 -975.00850 239.15234       (-28.775,-86.932) (-210.378,-467.929) (-207.336,-57.532)      48.2162
34    -621.55020  86.01003 -408.48407 -58.20558 -974.46167 238.85535       (-28.181,-86.386) (-210.675,-468.570) (-208.283,-57.829)      49.6773
35    -620.95623  85.71305 -408.24324 -58.25400 -973.91484 238.55837       (-27.587,-85.841) (-210.972,-469.211) (-209.231,-58.126)      51.1384
36    -620.36227  85.41606 -408.00241 -58.30242 -973.36801 238.26139       (-26.993,-85.295) (-211.269,-469.853) (-210.178,-58.423)      52.5995
37    -619.76831  85.11908 -407.76158 -58.35085 -972.82118 237.96441       (-26.399,-84.750) (-211.566,-470.494) (-211.125,-58.720)      54.0606
38    -619.17434  84.82210 -407.52075 -58.39927 -972.27436 237.66743       (-25.805,-84.204) (-211.863,-471.135) (-212.072,-59.017)      55.5217
39    -618.58038  84.52512 -407.27991 -58.44770 -971.72753 237.37045       (-25.211,-83.658) (-212.160,-471.776) (-213.019,-59.314)      56.9828
40    -617.98642  84.22814 -407.03908 -58.49612 -971.18070 237.07346       (-24.617,-83.113) (-212.457,-472.417) (-213.966,-59.611)      58.4439
41    -617.39245  83.93115 -406.79825 -58.54454 -970.63387 236.77648       (-24.023,-82.567) (-212.754,-473.058) (-214.913,-59.908)      59.905
42    -616.79849  83.63417 -406.55742 -58.59297 -970.08705 236.47950       (-23.429,-82.022) (-213.051,-473.699) (-215.860,-60.205)      61.366
43    -616.20452  83.33719 -406.31659 -58.64139 -969.54022 236.18252       (-22.835,-81.476) (-213.348,-474.340) (-216.807,-60.502)      62.8271
44    -615.61056  83.04021 -406.07576 -58.68981 -968.99339 235.88554       (-22.241,-80.931) (-213.645,-474.981) (-217.754,-60.799)      64.2882
45    -615.01660  82.74323 -405.83493 -58.73824 -968.44656 235.58855       (-21.647,-80.385) (-213.942,-475.622) (-218.702,-61.096)      65.7493
46    -614.42263  82.44625 -405.59410 -58.78666 -967.89974 235.29157       (-21.053,-79.840) (-214.239,-476.264) (-219.649,-61.393)      67.2104
47    -613.82867  82.14926 -405.35327 -58.83509 -967.35291 234.99459       (-20.459,-79.294) (-214.536,-476.905) (-220.596,-61.690)      68.6715
48    -613.23471  81.85228 -405.11244 -58.88351 -966.80608 234.69761       (-19.865,-78.749) (-214.833,-477.546) (-221.543,-61.987)      70.1326
49    -612.64074  81.55530 -404.87161 -58.93193 -966.25925 234.40063       (-19.271,-78.203) (-215.130,-478.187) (-222.490,-62.284)      71.5937
50    -612.04678  81.25832 -404.63077 -58.98036 -965.71243 234.10365       (-18.677,-77.658) (-215.426,-478.828) (-223.437,-62.581)      73.0548
51    -611.45282  80.96134 -404.38994 -59.02878 -965.16560 233.80666       (-18.083,-77.112) (-215.723,-479.469) (-224.384,-62.878)      74.5159
52    -610.85885  80.66435 -404.14911 -59.07720 -964.61877 233.50968       (-17.489,-76.566) (-216.020,-480.110) (-225.331,-63.175)      75.977
53    -610.26489  80.36737 -403.90828 -59.12563 -964.07194 233.21270       (-16.895,-76.021) (-216.317,-480.751) (-226.278,-63.472)      77.4381
54    -609.67092  80.07039 -403.66745 -59.17405 -963.52512 232.91572       (-16.301,-75.475) (-216.614,-481.392) (-227.225,-63.769)      78.8992
55    -609.07696  79.77341 -403.42662 -59.22248 -962.97829 232.61874       (-15.707,-74.930) (-216.911,-482.033) (-228.172,-64.066)      80.3603
56    -608.48300  79.47643 -403.18579 -59.27090 -962.43146 232.32175       (-15.113,-74.384) (-217.208,-482.675) (-229.120,-64.363)      81.8214
57    -607.88903  79.17945 -402.94496 -59.31932 -961.88463 232.02477       (-14.519,-73.839) (-217.505,-483.316) (-230.067,-64.660)      83.2825
58    -607.29507  78.88246 -402.70413 -59.36775 -961.33780 231.72779       (-13.925,-73.293) (-217.802,-483.957) (-231.014,-64.957)      84.7436
59    -606.70111  78.58548 -402.46330 -59.41617 -960.79098 231.43081       (-13.331,-72.748) (-218.099,-484.598) (-231.961,-65.254)      86.2047
60    -606.10714  78.28850 -402.22246 -59.46459 -960.24415 231.13383       (-12.738,-72.202) (-218.396,-485.239) (-232.908,-65.551)      87.6658
61    -605.51318  77.99152 -401.98163 -59.51302 -959.69732 230.83685       (-12.144,-71.657) (-218.693,-485.880) (-233.855,-65.848)      89.1269
