Fol_2018-02-25.13_35_27.79_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -751.63564 636.63437 -754.85764 -1567.58426 726.42955 -740.64776       (-28.428,-841.155) (-89.795,-726.430) (-25.206,-14.218)      0
1    -750.91171 635.90721 -754.12726 -1566.85710 724.97524 -739.92060       (-29.152,-841.882) (-89.068,-724.975) (-25.936,-14.945)      2.18147
2    -750.18778 635.18005 -753.39688 -1566.12995 723.52093 -739.19345       (-29.876,-842.609) (-88.341,-723.521) (-26.667,-15.673)      4.36295
3    -749.46385 634.45290 -752.66650 -1565.40279 722.06661 -738.46629       (-30.600,-843.336) (-87.614,-722.067) (-27.397,-16.400)      6.54442
4    -748.73992 633.72574 -751.93611 -1564.67563 720.61230 -737.73913       (-31.324,-844.063) (-86.887,-720.612) (-28.128,-17.127)      8.7259
5    -748.01599 632.99858 -751.20573 -1563.94848 719.15798 -737.01198       (-32.048,-844.790) (-86.159,-719.158) (-28.858,-17.854)      10.9074
6    -747.29206 632.27143 -750.47535 -1563.22132 717.70367 -736.28482       (-32.772,-845.518) (-85.432,-717.704) (-29.588,-18.581)      13.0888
7    -746.56812 631.54427 -749.74497 -1562.49416 716.24936 -735.55766       (-33.496,-846.245) (-84.705,-716.249) (-30.319,-19.308)      15.2703
8    -745.84419 630.81711 -749.01459 -1561.76701 714.79504 -734.83051       (-34.220,-846.972) (-83.978,-714.795) (-31.049,-20.035)      17.4518
9    -745.12026 630.08996 -748.28420 -1561.03985 713.34073 -734.10335       (-34.943,-847.699) (-83.251,-713.341) (-31.780,-20.763)      19.6333
10    -744.39633 629.36280 -747.55382 -1560.31269 711.88642 -733.37619       (-35.667,-848.426) (-82.524,-711.886) (-32.510,-21.490)      21.8147
11    -743.67240 628.63564 -746.82344 -1559.58554 710.43210 -732.64904       (-36.391,-849.153) (-81.796,-710.432) (-33.240,-22.217)      23.9962
12    -742.94847 627.90849 -746.09306 -1558.85838 708.97779 -731.92188       (-37.115,-849.881) (-81.069,-708.978) (-33.971,-22.944)      26.1777
13    -742.22454 627.18133 -745.36268 -1558.13122 707.52348 -731.19472       (-37.839,-850.608) (-80.342,-707.523) (-34.701,-23.671)      28.3592
14    -741.50060 626.45417 -744.63230 -1557.40407 706.06916 -730.46757       (-38.563,-851.335) (-79.615,-706.069) (-35.431,-24.398)      30.5406
