2BOUNDS_2018-03-07.14_46_21.669_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -45.83688 -18.52108   2.88661   0.90307   1.86025 -37.96052       (-33.337,-11.845) (-0.903,-37.246) (-1.984,-0.957)      7.11929e-15
1    -45.79196 -18.50345   2.87187   0.90018   1.82110 -37.95589       (-33.414,-11.860) (-0.900,-37.306) (-1.972,-0.921)      0.105534
2    -45.74703 -18.48581   2.85712   0.89730   1.78195 -37.95126       (-33.490,-11.874) (-0.897,-37.366) (-1.960,-0.885)      0.207805
3    -45.70211 -18.46818   2.84238   0.89441   1.74281 -37.94663       (-33.567,-11.889) (-0.894,-37.426) (-1.948,-0.848)      0.308643
4    -45.65718 -18.45054   2.82763   0.89152   1.70366 -37.94201       (-33.643,-11.904) (-0.892,-37.486) (-1.936,-0.812)      0.411841
5    -45.61226 -18.43291   2.81288   0.88863   1.66452 -37.93738       (-33.720,-11.919) (-0.889,-37.546) (-1.924,-0.776)      0.515985
6    -45.56734 -18.41527   2.79814   0.88574   1.62537 -37.93275       (-33.796,-11.933) (-0.886,-37.606) (-1.912,-0.740)      0.620599
7    -45.52241 -18.39763   2.78339   0.88285   1.58623 -37.92812       (-33.873,-11.948) (-0.883,-37.666) (-1.901,-0.703)      0.725479
8    -45.47749 -18.38000   2.76864   0.87996   1.54708 -37.92349       (-33.949,-11.963) (-0.880,-37.726) (-1.889,-0.667)      0.830526
9    -45.43256 -18.36236   2.75390   0.87707   1.50794 -37.91886       (-34.026,-11.977) (-0.877,-37.786) (-1.877,-0.631)      0.935682
10    -45.38764 -18.34473   2.73915   0.87418   1.46879 -37.91424       (-34.102,-11.992) (-0.874,-37.846) (-1.865,-0.595)      1.04091
11    -45.34271 -18.32709   2.72441   0.87129   1.42964 -37.90961       (-34.179,-12.007) (-0.871,-37.906) (-1.853,-0.558)      1.1462
12    -45.29779 -18.30946   2.70966   0.86840   1.39050 -37.90498       (-34.256,-12.022) (-0.868,-37.966) (-1.841,-0.522)      1.25153
13    -45.25286 -18.29182   2.69491   0.86551   1.35135 -37.90035       (-34.332,-12.036) (-0.866,-38.026) (-1.829,-0.486)      1.35689
14    -45.20794 -18.27418   2.68017   0.86262   1.31221 -37.89572       (-34.409,-12.051) (-0.863,-38.086) (-1.818,-0.450)      1.46228
15    -45.16301 -18.25655   2.66542   0.85973   1.27306 -37.89110       (-34.485,-12.066) (-0.860,-38.146) (-1.806,-0.413)      1.56769
16    -45.11809 -18.23891   2.65068   0.85684   1.23392 -37.88647       (-34.562,-12.081) (-0.857,-38.206) (-1.794,-0.377)      1.67311
17    -45.07316 -18.22128   2.63593   0.85395   1.19477 -37.88184       (-34.638,-12.095) (-0.854,-38.266) (-1.782,-0.341)      1.77854
18    -45.02824 -18.20364   2.62118   0.85106   1.15562 -37.87721       (-34.715,-12.110) (-0.851,-38.326) (-1.770,-0.305)      1.88399
19    -44.98331 -18.18601   2.60644   0.84817   1.11648 -37.87258       (-34.791,-12.125) (-0.848,-38.386) (-1.758,-0.268)      1.98945
20    -44.93839 -18.16837   2.59169   0.84528   1.07733 -37.86795       (-34.868,-12.140) (-0.845,-38.446) (-1.746,-0.232)      2.09491
21    -44.89347 -18.15074   2.57694   0.84239   1.03819 -37.86333       (-34.945,-12.154) (-0.842,-38.506) (-1.735,-0.196)      2.20038
22    -44.84854 -18.13310   2.56220   0.83951   0.99904 -37.85870       (-35.021,-12.169) (-0.840,-38.566) (-1.723,-0.160)      2.30586
23    -44.80362 -18.11546   2.54745   0.83662   0.95990 -37.85407       (-35.098,-12.184) (-0.837,-38.626) (-1.711,-0.123)      2.41134
24    -44.75869 -18.09783   2.53271   0.83373   0.92075 -37.84944       (-35.174,-12.199) (-0.834,-38.686) (-1.699,-0.087)      2.51683
25    -44.71377 -18.08019   2.51796   0.83084   0.88161 -37.84481       (-35.251,-12.213) (-0.831,-38.745) (-1.687,-0.051)      2.62232
26    -44.66884 -18.06256   2.50321   0.82795   0.84246 -37.84019       (-35.327,-12.228) (-0.828,-38.805) (-1.675,-0.015)      2.72781
27    -44.62392 -18.04492   2.48847   0.82506   0.80331 -37.83556       (-0.022,-1.685) (-12.221,-0.803) (-35.382,-38.844)      2.80075
28    -44.57899 -18.02729   2.47372   0.82217   0.76417 -37.83093       (-0.058,-1.710) (-12.200,-0.764) (-35.422,-38.867)      2.85293
29    -44.53407 -18.00965   2.45898   0.81928   0.72502 -37.82630       (-0.094,-1.734) (-12.178,-0.725) (-35.463,-38.891)      2.90628
30    -44.48914 -17.99201   2.44423   0.81639   0.68588 -37.82167       (-0.131,-1.758) (-12.157,-0.686) (-35.503,-38.915)      2.96072
31    -44.44422 -17.97438   2.42948   0.81350   0.64673 -37.81704       (-0.167,-1.783) (-12.135,-0.647) (-35.543,-38.939)      3.01619
32    -44.39929 -17.95674   2.41474   0.81061   0.60759 -37.81242       (-0.203,-1.807) (-12.114,-0.608) (-35.584,-38.962)      3.07265
33    -44.35437 -17.93911   2.39999   0.80772   0.56844 -37.80779       (-0.239,-1.832) (-12.092,-0.568) (-35.624,-38.986)      3.13003
34    -44.30945 -17.92147   2.38524   0.80483   0.52929 -37.80316       (-0.276,-1.856) (-12.071,-0.529) (-35.664,-39.010)      3.1883
35    -44.26452 -17.90384   2.37050   0.80194   0.49015 -37.79853       (-0.312,-1.880) (-12.049,-0.490) (-35.704,-39.033)      3.24739
36    -44.21960 -17.88620   2.35575   0.79905   0.45100 -37.79390       (-0.348,-1.905) (-12.028,-0.451) (-35.745,-39.057)      3.30727
37    -44.17467 -17.86856   2.34101   0.79616   0.41186 -37.78928       (-0.384,-1.929) (-12.006,-0.412) (-35.785,-39.081)      3.36789
38    -44.12975 -17.85093   2.32626   0.79327   0.37271 -37.78465       (-0.421,-1.954) (-11.985,-0.373) (-35.825,-39.105)      3.42922
39    -44.08482 -17.83329   2.31151   0.79038   0.33357 -37.78002       (-0.457,-1.978) (-11.963,-0.334) (-35.866,-39.128)      3.49122
40    -44.03990 -17.81566   2.29677   0.78749   0.29442 -37.77539       (-0.493,-2.002) (-11.942,-0.294) (-35.906,-39.152)      3.55384
41    -43.99497 -17.79802   2.28202   0.78460   0.25528 -37.77076       (-0.529,-2.027) (-11.920,-0.255) (-35.946,-39.176)      3.61707
42    -43.95005 -17.78039   2.26728   0.78172   0.21613 -37.76613       (-0.566,-2.051) (-11.899,-0.216) (-35.987,-39.199)      3.68087
43    -43.90512 -17.76275   2.25253   0.77883   0.17698 -37.76151       (-0.602,-2.076) (-11.877,-0.177) (-36.027,-39.223)      3.7452
44    -43.86020 -17.74512   2.23778   0.77594   0.13784 -37.75688       (-0.638,-2.100) (-11.856,-0.138) (-36.067,-39.247)      3.81005
45    -43.81527 -17.72748   2.22304   0.77305   0.09869 -37.75225       (-0.674,-2.124) (-11.834,-0.099) (-36.107,-39.271)      3.87538
46    -43.77035 -17.70984   2.20829   0.77016   0.05955 -37.74762       (-0.711,-2.149) (-11.812,-0.060) (-36.148,-39.294)      3.94118
47    -43.72542 -17.69221   2.19355   0.76727   0.02040 -37.74299       (-0.747,-2.173) (-11.791,-0.020) (-36.188,-39.318)      4.00742
48    -43.68050 -17.67457   2.17880   0.76438  -0.01874 -37.73836       (-36.210,-2.179) (-11.788,-0.019) (-0.764,-39.323)      4.03324
49    -43.63558 -17.65694   2.16405   0.76149  -0.05789 -37.73374       (-36.211,-2.164) (-11.806,-0.058) (-0.761,-39.307)      4.0151
50    -43.59065 -17.63930   2.14931   0.75860  -0.09704 -37.72911       (-36.212,-2.149) (-11.823,-0.097) (-0.759,-39.292)      3.99745
51    -43.54573 -17.62167   2.13456   0.75571  -0.13618 -37.72448       (-36.213,-2.135) (-11.841,-0.136) (-0.756,-39.277)      3.9803
52    -43.50080 -17.60403   2.11981   0.75282  -0.17533 -37.71985       (-36.214,-2.120) (-11.859,-0.175) (-0.753,-39.261)      3.96366
53    -43.45588 -17.58639   2.10507   0.74993  -0.21447 -37.71522       (-36.215,-2.105) (-11.876,-0.214) (-0.750,-39.246)      3.94754
54    -43.41095 -17.56876   2.09032   0.74704  -0.25362 -37.71060       (-36.217,-2.090) (-11.894,-0.254) (-0.747,-39.230)      3.93193
55    -43.36603 -17.55112   2.07558   0.74415  -0.29276 -37.70597       (-36.218,-2.076) (-11.912,-0.293) (-0.744,-39.215)      3.91686
56    -43.32110 -17.53349   2.06083   0.74126  -0.33191 -37.70134       (-36.219,-2.061) (-11.929,-0.332) (-0.741,-39.199)      3.90232
57    -43.27618 -17.51585   2.04608   0.73837  -0.37105 -37.69671       (-36.220,-2.046) (-11.947,-0.371) (-0.738,-39.184)      3.88831
58    -43.23125 -17.49822   2.03134   0.73548  -0.41020 -37.69208       (-36.221,-2.031) (-11.965,-0.410) (-0.735,-39.169)      3.87485
59    -43.18633 -17.48058   2.01659   0.73259  -0.44935 -37.68745       (-36.222,-2.017) (-11.982,-0.449) (-0.733,-39.153)      3.86195
60    -43.14140 -17.46294   2.00185   0.72970  -0.48849 -37.68283       (-36.223,-2.002) (-12.000,-0.488) (-0.730,-39.138)      3.84959
61    -43.09648 -17.44531   1.98710   0.72681  -0.52764 -37.67820       (-36.225,-1.987) (-12.017,-0.528) (-0.727,-39.122)      3.83781
62    -43.05156 -17.42767   1.97235   0.72393  -0.56678 -37.67357       (-36.226,-1.972) (-12.035,-0.567) (-0.724,-39.107)      3.82658
63    -43.00663 -17.41004   1.95761   0.72104  -0.60593 -37.66894       (-36.227,-1.958) (-12.053,-0.606) (-0.721,-39.091)      3.81593
64    -42.96171 -17.39240   1.94286   0.71815  -0.64507 -37.66431       (-36.228,-1.943) (-12.070,-0.645) (-0.718,-39.076)      3.80586
65    -42.91678 -17.37477   1.92811   0.71526  -0.68422 -37.65969       (-36.229,-1.928) (-12.088,-0.684) (-0.715,-39.061)      3.79637
66    -42.87186 -17.35713   1.91337   0.71237  -0.72337 -37.65506       (-36.230,-1.913) (-12.106,-0.723) (-0.712,-39.045)      3.78746
67    -42.82693 -17.33950   1.89862   0.70948  -0.76251 -37.65043       (-36.231,-1.899) (-12.123,-0.763) (-0.709,-39.030)      3.77915
68    -42.78201 -17.32186   1.88388   0.70659  -0.80166 -37.64580       (-36.233,-1.884) (-12.141,-0.802) (-0.707,-39.014)      3.77142
69    -42.73708 -17.30422   1.86913   0.70370  -0.84080 -37.64117       (-36.234,-1.869) (-12.159,-0.841) (-0.704,-38.999)      3.7643
70    -42.69216 -17.28659   1.85438   0.70081  -0.87995 -37.63654       (-36.235,-1.854) (-12.176,-0.880) (-0.701,-38.983)      3.75778
71    -42.64723 -17.26895   1.83964   0.69792  -0.91909 -37.63192       (-36.236,-1.840) (-12.194,-0.919) (-0.698,-38.968)      3.75186
72    -42.60231 -17.25132   1.82489   0.69503  -0.95824 -37.62729       (-36.237,-1.825) (-12.211,-0.958) (-0.695,-38.953)      3.74654
73    -42.55738 -17.23368   1.81015   0.69214  -0.99738 -37.62266       (-36.238,-1.810) (-12.229,-0.997) (-0.692,-38.937)      3.74184
74    -42.51246 -17.21605   1.79540   0.68925  -1.03653 -37.61803       (-36.240,-1.795) (-12.247,-1.037) (-0.689,-38.922)      3.73775
75    -42.46754 -17.19841   1.78065   0.68636  -1.07568 -37.61340       (-36.241,-1.781) (-12.264,-1.076) (-0.686,-38.906)      3.73427
76    -42.42261 -17.18077   1.76591   0.68347  -1.11482 -37.60878       (-36.242,-1.766) (-12.282,-1.115) (-0.683,-38.891)      3.73141
77    -42.37769 -17.16314   1.75116   0.68058  -1.15397 -37.60415       (-36.243,-1.751) (-12.300,-1.154) (-0.681,-38.875)      3.72916
78    -42.33276 -17.14550   1.73641   0.67769  -1.19311 -37.59952       (-36.244,-1.736) (-12.317,-1.193) (-0.678,-38.860)      3.72754
79    -42.28784 -17.12787   1.72167   0.67480  -1.23226 -37.59489       (-36.245,-1.722) (-12.335,-1.232) (-0.675,-38.844)      3.72653
