Fol_2018-03-05.14_01_57.16_.txt     Output is probe cell, reduced cell, NCDist distance between
41    -15.08465 -17.09138  -8.08883 -47.52684  12.49009 -16.09243       (-4.401,-34.227) (-4.475,-0.799) (-23.582,-1.807)      8.78345
42    -15.08928 -17.07678  -8.11037 -47.48247  12.47618 -16.07895       (-4.366,-34.341) (-4.605,-0.763) (-23.661,-1.753)      8.9695
43    -15.09391 -17.06218  -8.13191 -47.43810  12.46227 -16.06548       (-4.330,-34.454) (-4.734,-0.727) (-23.740,-1.699)      9.15629
44    -15.09854 -17.04758  -8.15345 -47.39373  12.44836 -16.05201       (-4.295,-34.568) (-4.864,-0.691) (-23.819,-1.645)      9.34377
45    -15.10317 -17.03298  -8.17499 -47.34936  12.43445 -16.03854       (-4.259,-34.682) (-4.994,-0.655) (-23.897,-1.591)      9.53191
46    -15.10780 -17.01838  -8.19653 -47.30498  12.42054 -16.02506       (-4.224,-34.796) (-5.123,-0.619) (-23.976,-1.537)      9.72066
47    -15.11243 -17.00378  -8.21807 -47.26061  12.40663 -16.01159       (-4.189,-34.910) (-5.253,-0.584) (-24.055,-1.483)      9.91
48    -15.11706 -16.98918  -8.23961 -47.21624  12.39272 -15.99812       (-4.153,-35.024) (-5.382,-0.548) (-24.133,-1.429)      10.0999
49    -15.12169 -16.97459  -8.26115 -47.17187  12.37881 -15.98464       (-4.118,-35.137) (-5.512,-0.512) (-24.212,-1.375)      10.2903
50    -15.12632 -16.95999  -8.28269 -47.12750  12.36490 -15.97117       (-4.082,-35.251) (-5.641,-0.476) (-24.291,-1.321)      10.4812
51    -15.13095 -16.94539  -8.30424 -47.08313  12.35100 -15.95770       (-4.047,-35.365) (-5.771,-0.440) (-24.370,-1.267)      10.6725
52    -15.13558 -16.93079  -8.32578 -47.03876  12.33709 -15.94423       (-4.011,-35.479) (-5.900,-0.404) (-24.448,-1.213)      10.8643
53    -15.14021 -16.91619  -8.34732 -46.99439  12.32318 -15.93075       (-3.976,-35.593) (-6.030,-0.368) (-24.527,-1.159)      11.0565
54    -15.14484 -16.90159  -8.36886 -46.95002  12.30927 -15.91728       (-3.940,-35.707) (-6.159,-0.332) (-24.606,-1.105)      11.2491
55    -15.14947 -16.88699  -8.39040 -46.90565  12.29536 -15.90381       (-3.905,-35.821) (-6.289,-0.297) (-24.684,-1.051)      11.4421
56    -15.15410 -16.87239  -8.41194 -46.86128  12.28145 -15.89033       (-3.870,-35.934) (-6.418,-0.261) (-24.763,-0.997)      11.6355
57    -15.15873 -16.85779  -8.43348 -46.81691  12.26754 -15.87686       (-3.834,-36.048) (-6.548,-0.225) (-24.842,-0.943)      11.8291
58    -15.16336 -16.84319  -8.45502 -46.77254  12.25363 -15.86339       (-3.799,-36.162) (-6.677,-0.189) (-24.920,-0.889)      12.0211
59    -15.16799 -16.82859  -8.47656 -46.72817  12.23972 -15.84992       (-3.763,-36.276) (-6.807,-0.153) (-24.999,-0.835)      12.1338
60    -15.17262 -16.81399  -8.49810 -46.68380  12.22581 -15.83644       (-3.728,-36.390) (-6.936,-0.117) (-25.078,-0.781)      12.2489
61    -15.17725 -16.79939  -8.51964 -46.63943  12.21191 -15.82297       (-3.692,-36.504) (-7.066,-0.081) (-25.157,-0.727)      12.3662
62    -15.18188 -16.78479  -8.54118 -46.59506  12.19800 -15.80950       (-3.657,-36.617) (-7.195,-0.045) (-25.235,-0.673)      12.4857
63    -15.18651 -16.77019  -8.56272 -46.55069  12.18409 -15.79602       (-3.621,-36.731) (-7.325,-0.009) (-25.314,-0.619)      12.6074
64    -15.19114 -16.75559  -8.58426 -46.50632  12.17018 -15.78255       (-25.366,-36.819) (-7.481,-0.026) (-3.559,-0.538)      12.658
65    -15.19577 -16.74099  -8.60580 -46.46194  12.15627 -15.76908       (-25.409,-36.897) (-7.646,-0.062) (-3.488,-0.449)      12.7172
66    -15.20041 -16.72639  -8.62734 -46.41757  12.14236 -15.75561       (-25.452,-36.975) (-7.812,-0.098) (-3.417,-0.359)      12.7801
67    -15.20504 -16.71179  -8.64888 -46.37320  12.12845 -15.74213       (-25.495,-37.052) (-7.977,-0.134) (-3.345,-0.269)      12.8464
68    -15.20967 -16.69719  -8.67042 -46.32883  12.11454 -15.72866       (-25.538,-37.130) (-8.142,-0.170) (-3.274,-0.179)      12.9163
69    -15.21430 -16.68259  -8.69196 -46.28446  12.10063 -15.71519       (-25.580,-37.208) (-8.308,-0.206) (-3.203,-0.089)      12.9897
70    -15.21893 -16.66799  -8.71350 -46.24009  12.08672 -15.70171       (-8.472,-37.286) (-25.623,-0.241) (-3.132,-0.001)      12.5096
71    -15.22356 -16.65340  -8.73505 -46.19572  12.07281 -15.68824       (-8.548,-37.274) (-25.575,-0.187) (-3.151,-0.091)      12.4964
72    -15.22819 -16.63880  -8.75659 -46.15135  12.05891 -15.67477       (-8.624,-37.262) (-25.528,-0.133) (-3.169,-0.181)      12.4847
73    -15.23282 -16.62420  -8.77813 -46.10698  12.04500 -15.66130       (-8.699,-37.250) (-25.481,-0.079) (-3.188,-0.270)      12.4746
74    -15.23745 -16.60960  -8.79967 -46.06261  12.03109 -15.64782       (-8.775,-37.238) (-25.434,-0.025) (-3.206,-0.360)      12.466
75    -15.24208 -16.59500  -8.82121 -46.01824  12.01718 -15.63435       (-3.196,-37.197) (-25.416,-0.029) (-8.821,-0.421)      13.0218
76    -15.24671 -16.58040  -8.84275 -45.97387  12.00327 -15.62088       (-3.161,-37.131) (-25.423,-0.083) (-8.843,-0.457)      12.9605
77    -15.25134 -16.56580  -8.86429 -45.92950  11.98936 -15.60740       (-3.125,-37.065) (-25.430,-0.137) (-8.864,-0.493)      12.8997
78    -15.25597 -16.55120  -8.88583 -45.88513  11.97545 -15.59393       (-3.090,-36.999) (-25.437,-0.191) (-8.886,-0.529)      12.8394
79    -15.26060 -16.53660  -8.90737 -45.84076  11.96154 -15.58046       (-3.054,-36.933) (-25.444,-0.245) (-8.907,-0.565)      12.7796
80    -15.26523 -16.52200  -8.92891 -45.79639  11.94763 -15.56699       (-3.019,-36.867) (-25.451,-0.299) (-8.929,-0.601)      12.7204
81    -15.26986 -16.50740  -8.95045 -45.75202  11.93372 -15.55351       (-2.983,-36.802) (-25.458,-0.353) (-8.950,-0.637)      12.6617
82    -15.27449 -16.49280  -8.97199 -45.70765  11.91981 -15.54004       (-2.948,-36.736) (-25.465,-0.407) (-8.972,-0.672)      12.6036
83    -15.27912 -16.47820  -8.99353 -45.66328  11.90591 -15.52657       (-2.912,-36.670) (-25.472,-0.461) (-8.994,-0.708)      12.546
84    -15.28375 -16.46360  -9.01507 -45.61891  11.89200 -15.51309       (-2.877,-36.604) (-25.479,-0.515) (-9.015,-0.744)      12.4889
85    -15.28838 -16.44900  -9.03661 -45.57453  11.87809 -15.49962       (-2.841,-36.538) (-25.486,-0.569) (-9.037,-0.780)      12.4324
86    -15.29301 -16.43440  -9.05815 -45.53016  11.86418 -15.48615       (-2.806,-36.472) (-25.493,-0.623) (-9.058,-0.816)      12.3765
87    -15.29764 -16.41980  -9.07969 -45.48579  11.85027 -15.47268       (-2.771,-36.406) (-25.499,-0.677) (-9.080,-0.852)      12.3212
88    -15.30227 -16.40520  -9.10123 -45.44142  11.83636 -15.45920       (-2.735,-36.340) (-25.506,-0.731) (-9.101,-0.888)      12.2665
89    -15.30690 -16.39060  -9.12277 -45.39705  11.82245 -15.44573       (-2.700,-36.274) (-25.513,-0.785) (-9.123,-0.924)      12.2124
90    -15.31153 -16.37600  -9.14431 -45.35268  11.80854 -15.43226       (-2.664,-36.208) (-25.520,-0.839) (-9.144,-0.959)      12.1589
91    -15.31616 -16.36140  -9.16586 -45.30831  11.79463 -15.41878       (-2.629,-36.142) (-25.527,-0.893) (-9.166,-0.995)      12.106
92    -15.32079 -16.34681  -9.18740 -45.26394  11.78072 -15.40531       (-2.593,-36.077) (-25.534,-0.947) (-9.187,-1.031)      12.0537
93    -15.32542 -16.33221  -9.20894 -45.21957  11.76681 -15.39184       (-2.558,-36.011) (-25.541,-1.001) (-9.209,-1.067)      12.0021
94    -15.33005 -16.31761  -9.23048 -45.17520  11.75291 -15.37837       (-2.522,-35.945) (-25.548,-1.055) (-9.230,-1.103)      11.9511
95    -15.33468 -16.30301  -9.25202 -45.13083  11.73900 -15.36489       (-2.487,-35.879) (-25.555,-1.109) (-9.252,-1.139)      11.9007
96    -15.33931 -16.28841  -9.27356 -45.08646  11.72509 -15.35142       (-2.452,-35.813) (-25.562,-1.163) (-9.274,-1.175)      11.851
97    -15.34394 -16.27381  -9.29510 -45.04209  11.71118 -15.33795       (-2.416,-35.747) (-25.569,-1.217) (-9.295,-1.211)      11.802
98    -15.34857 -16.25921  -9.31664 -44.99772  11.69727 -15.32447       (-2.381,-35.681) (-25.576,-1.271) (-9.317,-1.247)      11.7536
99    -15.35320 -16.24461  -9.33818 -44.95335  11.68336 -15.31100       (-2.345,-35.615) (-25.583,-1.325) (-9.338,-1.282)      11.706
100    -15.35783 -16.23001  -9.35972 -44.90898  11.66945 -15.29753       (-2.310,-35.549) (-25.590,-1.379) (-9.360,-1.318)      11.659
101    -15.36246 -16.21541  -9.38126 -44.86461  11.65554 -15.28406       (-2.274,-35.483) (-25.597,-1.433) (-9.381,-1.354)      11.6127
102    -15.36709 -16.20081  -9.40280 -44.82024  11.64163 -15.27058       (-2.239,-35.417) (-25.604,-1.487) (-9.403,-1.390)      11.5671
103    -15.37172 -16.18621  -9.42434 -44.77587  11.62772 -15.25711       (-2.203,-35.352) (-25.611,-1.541) (-9.424,-1.426)      11.5222
104    -15.37635 -16.17161  -9.44588 -44.73150  11.61382 -15.24364       (-2.168,-35.286) (-25.617,-1.595) (-9.446,-1.462)      11.4781
105    -15.38098 -16.15701  -9.46742 -44.68712  11.59991 -15.23016       (-2.132,-35.220) (-25.624,-1.649) (-9.467,-1.498)      11.4347
106    -15.38561 -16.14241  -9.48896 -44.64275  11.58600 -15.21669       (-2.097,-35.154) (-25.631,-1.703) (-9.489,-1.534)      11.392
107    -15.39024 -16.12781  -9.51050 -44.59838  11.57209 -15.20322       (-2.062,-35.088) (-25.638,-1.757) (-9.511,-1.570)      11.3501
108    -15.39487 -16.11321  -9.53204 -44.55401  11.55818 -15.18975       (-2.026,-35.022) (-25.645,-1.811) (-9.532,-1.605)      11.3089
109    -15.39950 -16.09861  -9.55358 -44.50964  11.54427 -15.17627       (-1.991,-34.956) (-25.652,-1.865) (-9.554,-1.641)      11.2685
110    -15.40413 -16.08401  -9.57512 -44.46527  11.53036 -15.16280       (-1.955,-34.890) (-25.659,-1.919) (-9.575,-1.677)      11.2289
111    -15.40876 -16.06941  -9.59667 -44.42090  11.51645 -15.14933       (-1.920,-34.824) (-25.666,-1.973) (-9.597,-1.713)      11.19
112    -15.41339 -16.05481  -9.61821 -44.37653  11.50254 -15.13585       (-1.884,-34.758) (-25.673,-2.027) (-9.618,-1.749)      11.152
113    -15.41802 -16.04021  -9.63975 -44.33216  11.48863 -15.12238       (-1.849,-34.692) (-25.680,-2.081) (-9.640,-1.785)      11.1147
114    -15.42265 -16.02562  -9.66129 -44.28779  11.47472 -15.10891       (-1.813,-34.627) (-25.687,-2.134) (-9.661,-1.821)      11.0783
115    -15.42728 -16.01102  -9.68283 -44.24342  11.46082 -15.09544       (-1.778,-34.561) (-25.694,-2.188) (-9.683,-1.857)      11.0426
116    -15.43191 -15.99642  -9.70437 -44.19905  11.44691 -15.08196       (-1.743,-34.495) (-25.701,-2.242) (-9.704,-1.893)      11.0078
117    -15.43654 -15.98182  -9.72591 -44.15468  11.43300 -15.06849       (-1.707,-34.429) (-25.708,-2.296) (-9.726,-1.928)      10.9738
118    -15.44117 -15.96722  -9.74745 -44.11031  11.41909 -15.05502       (-1.672,-34.363) (-25.715,-2.350) (-9.747,-1.964)      10.9407
119    -15.44581 -15.95262  -9.76899 -44.06594  11.40518 -15.04154       (-1.636,-34.297) (-25.722,-2.404) (-9.769,-2.000)      10.9084
120    -15.45044 -15.93802  -9.79053 -44.02157  11.39127 -15.02807       (-1.601,-34.231) (-25.729,-2.458) (-9.791,-2.036)      10.8769
121    -15.45507 -15.92342  -9.81207 -43.97720  11.37736 -15.01460       (-1.565,-34.165) (-25.735,-2.512) (-9.812,-2.072)      10.8463
122    -15.45970 -15.90882  -9.83361 -43.93283  11.36345 -15.00113       (-1.530,-34.099) (-25.742,-2.566) (-9.834,-2.108)      10.8166
123    -15.46433 -15.89422  -9.85515 -43.88846  11.34954 -14.98765       (-1.494,-34.033) (-25.749,-2.620) (-9.855,-2.144)      10.7877
124    -15.46896 -15.87962  -9.87669 -43.84408  11.33563 -14.97418       (-1.459,-33.967) (-25.756,-2.674) (-9.877,-2.180)      10.7598
125    -15.47359 -15.86502  -9.89823 -43.79971  11.32172 -14.96071       (-1.423,-33.901) (-25.763,-2.728) (-9.898,-2.215)      10.7327
126    -15.47822 -15.85042  -9.91977 -43.75534  11.30782 -14.94723       (-1.388,-33.836) (-25.770,-2.782) (-9.920,-2.251)      10.7065
127    -15.48285 -15.83582  -9.94131 -43.71097  11.29391 -14.93376       (-1.353,-33.770) (-25.777,-2.836) (-9.941,-2.287)      10.6812
128    -15.48748 -15.82122  -9.96285 -43.66660  11.28000 -14.92029       (-1.317,-33.704) (-25.784,-2.890) (-9.963,-2.323)      10.6568
129    -15.49211 -15.80662  -9.98439 -43.62223  11.26609 -14.90682       (-1.282,-33.638) (-25.791,-2.944) (-9.984,-2.359)      10.6334
130    -15.49674 -15.79202 -10.00593 -43.57786  11.25218 -14.89334       (-1.246,-33.572) (-25.798,-2.998) (-10.006,-2.395)      10.6108
131    -15.50137 -15.77742 -10.02748 -43.53349  11.23827 -14.87987       (-1.211,-33.506) (-25.805,-3.052) (-10.027,-2.431)      10.5892
132    -15.50600 -15.76282 -10.04902 -43.48912  11.22436 -14.86640       (-1.175,-33.440) (-25.812,-3.106) (-10.049,-2.467)      10.5685
133    -15.51063 -15.74822 -10.07056 -43.44475  11.21045 -14.85292       (-1.140,-33.374) (-25.819,-3.160) (-10.071,-2.503)      10.5488
134    -15.51526 -15.73362 -10.09210 -43.40038  11.19654 -14.83945       (-1.104,-33.308) (-25.826,-3.214) (-10.092,-2.538)      10.53
135    -15.51989 -15.71903 -10.11364 -43.35601  11.18263 -14.82598       (-1.069,-33.242) (-25.833,-3.268) (-10.114,-2.574)      10.5121
136    -15.52452 -15.70443 -10.13518 -43.31164  11.16873 -14.81251       (-1.034,-33.176) (-25.840,-3.322) (-10.135,-2.610)      10.4952
137    -15.52915 -15.68983 -10.15672 -43.26727  11.15482 -14.79903       (-0.998,-33.111) (-25.847,-3.376) (-10.157,-2.646)      10.4793
138    -15.53378 -15.67523 -10.17826 -43.22290  11.14091 -14.78556       (-0.963,-33.045) (-25.853,-3.430) (-10.178,-2.682)      10.4643
139    -15.53841 -15.66063 -10.19980 -43.17853  11.12700 -14.77209       (-0.927,-32.979) (-25.860,-3.484) (-10.200,-2.718)      10.4503
140    -15.54304 -15.64603 -10.22134 -43.13416  11.11309 -14.75861       (-0.892,-32.913) (-25.867,-3.538) (-10.221,-2.754)      10.4372
141    -15.54767 -15.63143 -10.24288 -43.08979  11.09918 -14.74514       (-0.856,-32.847) (-25.874,-3.592) (-10.243,-2.790)      10.4251
142    -15.55230 -15.61683 -10.26442 -43.04542  11.08527 -14.73167       (-0.821,-32.781) (-25.881,-3.646) (-10.264,-2.826)      10.414
143    -15.55693 -15.60223 -10.28596 -43.00105  11.07136 -14.71820       (-0.785,-32.715) (-25.888,-3.700) (-10.286,-2.861)      10.4039
144    -15.56156 -15.58763 -10.30750 -42.95667  11.05745 -14.70472       (-0.750,-32.649) (-25.895,-3.754) (-10.308,-2.897)      10.3948
145    -15.56619 -15.57303 -10.32904 -42.91230  11.04354 -14.69125       (-0.715,-32.583) (-25.902,-3.808) (-10.329,-2.933)      10.3866
146    -15.57082 -15.55843 -10.35058 -42.86793  11.02963 -14.67778       (-0.679,-32.517) (-25.909,-3.862) (-10.351,-2.969)      10.3795
147    -15.57545 -15.54383 -10.37212 -42.82356  11.01573 -14.66430       (-0.644,-32.451) (-25.916,-3.916) (-10.372,-3.005)      10.3733
148    -15.58008 -15.52923 -10.39366 -42.77919  11.00182 -14.65083       (-0.608,-32.386) (-25.923,-3.970) (-10.394,-3.041)      10.3681
149    -15.58471 -15.51463 -10.41520 -42.73482  10.98791 -14.63736       (-0.573,-32.320) (-25.930,-4.024) (-10.415,-3.077)      10.3639
150    -15.58934 -15.50003 -10.43674 -42.69045  10.97400 -14.62389       (-0.537,-32.254) (-25.937,-4.078) (-10.437,-3.113)      10.3607
151    -15.59397 -15.48543 -10.45829 -42.64608  10.96009 -14.61041       (-0.502,-32.188) (-25.944,-4.132) (-10.458,-3.149)      10.3585
152    -15.59860 -15.47083 -10.47983 -42.60171  10.94618 -14.59694       (-0.466,-32.122) (-25.951,-4.186) (-10.480,-3.184)      10.3573
153    -15.60323 -15.45623 -10.50137 -42.55734  10.93227 -14.58347       (-0.431,-32.056) (-25.958,-4.240) (-10.501,-3.220)      10.3571
154    -15.60786 -15.44163 -10.52291 -42.51297  10.91836 -14.56999       (-0.395,-31.990) (-25.965,-4.294) (-10.523,-3.256)      10.3579
155    -15.61249 -15.42703 -10.54445 -42.46860  10.90445 -14.55652       (-0.360,-31.924) (-25.971,-4.348) (-10.544,-3.292)      10.3597
156    -15.61712 -15.41244 -10.56599 -42.42423  10.89054 -14.54305       (-0.325,-31.858) (-25.978,-4.402) (-10.566,-3.328)      10.3624
157    -15.62175 -15.39784 -10.58753 -42.37986  10.87663 -14.52958       (-0.289,-31.792) (-25.985,-4.456) (-10.588,-3.364)      10.3662
