Fol_2018-03-05.09_12_37.39_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -13.02154 -21.62394   8.19790 -48.28332 -27.99082   4.32526       (-4.824,-13.426) (-40.085,-19.793) (-8.198,-3.873)      6.15348e-15
1    -13.01334 -21.64242   8.18149 -48.24843 -27.98261   4.31705       (-4.832,-13.461) (-40.067,-19.801) (-8.181,-3.864)      0.0450595
2    -13.00513 -21.66090   8.16508 -48.21354 -27.97440   4.30884       (-4.840,-13.496) (-40.048,-19.809) (-8.165,-3.856)      0.0901189
3    -12.99692 -21.67938   8.14867 -48.17864 -27.96620   4.30064       (-4.848,-13.531) (-40.030,-19.818) (-8.149,-3.848)      0.135178
4    -12.98872 -21.69786   8.13226 -48.14375 -27.95799   4.29243       (-4.856,-13.566) (-40.011,-19.826) (-8.132,-3.840)      0.180238
5    -12.98051 -21.71634   8.11584 -48.10886 -27.94978   4.28423       (-4.865,-13.600) (-39.993,-19.834) (-8.116,-3.832)      0.225297
6    -12.97230 -21.73481   8.09943 -48.07397 -27.94158   4.27602       (-4.873,-13.635) (-39.975,-19.842) (-8.099,-3.823)      0.270357
7    -12.96410 -21.75329   8.08302 -48.03908 -27.93337   4.26781       (-4.881,-13.670) (-39.956,-19.850) (-8.083,-3.815)      0.315416
8    -12.95589 -21.77177   8.06661 -48.00418 -27.92517   4.25961       (-4.889,-13.705) (-39.938,-19.859) (-8.067,-3.807)      0.360476
9    -12.94769 -21.79025   8.05019 -47.96929 -27.91696   4.25140       (-4.897,-13.740) (-39.919,-19.867) (-8.050,-3.799)      0.405535
10    -12.93948 -21.80873   8.03378 -47.93440 -27.90875   4.24319       (-4.906,-13.775) (-39.901,-19.875) (-8.034,-3.791)      0.450595
11    -12.93127 -21.82721   8.01737 -47.89951 -27.90055   4.23499       (-4.914,-13.810) (-39.882,-19.883) (-8.017,-3.782)      0.495654
12    -12.92307 -21.84569   8.00096 -47.86461 -27.89234   4.22678       (-4.922,-13.845) (-39.864,-19.891) (-8.001,-3.774)      0.540714
13    -12.91486 -21.86417   7.98455 -47.82972 -27.88414   4.21858       (-4.930,-13.880) (-39.845,-19.900) (-7.985,-3.766)      0.585773
14    -12.90666 -21.88265   7.96813 -47.79483 -27.87593   4.21037       (-4.939,-13.915) (-39.827,-19.908) (-7.968,-3.758)      0.630832
15    -12.89845 -21.90113   7.95172 -47.75994 -27.86772   4.20216       (-4.947,-13.949) (-39.808,-19.916) (-7.952,-3.750)      0.675892
16    -12.89024 -21.91961   7.93531 -47.72505 -27.85952   4.19396       (-4.955,-13.984) (-39.790,-19.924) (-7.935,-3.741)      0.720951
17    -12.88204 -21.93809   7.91890 -47.69015 -27.85131   4.18575       (-4.963,-14.019) (-39.771,-19.932) (-7.919,-3.733)      0.766011
18    -12.87383 -21.95657   7.90248 -47.65526 -27.84311   4.17755       (-4.971,-14.054) (-39.753,-19.941) (-7.902,-3.725)      0.81107
19    -12.86563 -21.97505   7.88607 -47.62037 -27.83490   4.16934       (-4.980,-14.089) (-39.734,-19.949) (-7.886,-3.717)      0.85613
20    -12.85742 -21.99353   7.86966 -47.58548 -27.82669   4.16113       (-4.988,-14.124) (-39.716,-19.957) (-7.870,-3.709)      0.901189
21    -12.84921 -22.01201   7.85325 -47.55059 -27.81849   4.15293       (-4.996,-14.159) (-39.697,-19.965) (-7.853,-3.700)      0.946249
22    -12.84101 -22.03049   7.83684 -47.51569 -27.81028   4.14472       (-5.004,-14.194) (-39.679,-19.973) (-7.837,-3.692)      0.991308
23    -12.83280 -22.04897   7.82042 -47.48080 -27.80207   4.13652       (-5.012,-14.229) (-39.660,-19.982) (-7.820,-3.684)      1.03637
24    -12.82459 -22.06745   7.80401 -47.44591 -27.79387   4.12831       (-5.021,-14.263) (-39.642,-19.990) (-7.804,-3.676)      1.08143
25    -12.81639 -22.08593   7.78760 -47.41102 -27.78566   4.12010       (-5.029,-14.298) (-39.623,-19.998) (-7.788,-3.667)      1.12649
26    -12.80818 -22.10441   7.77119 -47.37612 -27.77746   4.11190       (-5.037,-14.333) (-39.605,-20.006) (-7.771,-3.659)      1.17155
27    -12.79998 -22.12289   7.75477 -47.34123 -27.76925   4.10369       (-5.045,-14.368) (-39.586,-20.014) (-7.755,-3.651)      1.21661
28    -12.79177 -22.14137   7.73836 -47.30634 -27.76104   4.09548       (-5.053,-14.403) (-39.568,-20.023) (-7.738,-3.643)      1.26166
29    -12.78356 -22.15985   7.72195 -47.27145 -27.75284   4.08728       (-5.062,-14.438) (-39.549,-20.031) (-7.722,-3.635)      1.30672
30    -12.77536 -22.17833   7.70554 -47.23656 -27.74463   4.07907       (-5.070,-14.473) (-39.531,-20.039) (-7.706,-3.626)      1.35178
31    -12.76715 -22.19681   7.68913 -47.20166 -27.73643   4.07087       (-5.078,-14.508) (-39.513,-20.047) (-7.689,-3.618)      1.39684
32    -12.75895 -22.21529   7.67271 -47.16677 -27.72822   4.06266       (-5.086,-14.543) (-39.494,-20.056) (-7.673,-3.610)      1.4419
