Fol_.35_.txt     Output is probe cell, reduced cell, NCDist distance between
0      1.95886  71.15877 428.21078 -3246.62082 -685.03801 -828.85337       (-1905.115,-1.959) (-171.384,-67.241) (-81.526,-686.536)      1.60777e-13
1      0.04988  70.91598 427.70054 -3243.37291 -684.41960 -828.71091       (-1904.177,-0.050) (-170.981,-70.816) (-85.638,-686.879)      5.87301
2     -1.85911  70.67320 427.19029 -3240.12500 -683.80118 -828.56845       (-1905.098,-1.859) (-87.891,-72.532) (-168.720,-685.363)      9.56827
3     -3.76809  70.43041 426.68004 -3236.87709 -683.18277 -828.42599       (-1906.070,-3.768) (-90.093,-74.198) (-166.409,-683.797)      13.7027
4     -5.67707  70.18763 426.16980 -3233.62918 -682.56435 -828.28353       (-1907.041,-5.677) (-92.296,-75.865) (-164.098,-682.231)      17.9998
5     -7.58605  69.94484 425.65955 -3230.38127 -681.94594 -828.14107       (-1908.012,-7.586) (-94.499,-77.531) (-161.787,-680.665)      22.3661
6     -9.49504  69.70206 425.14930 -3227.13336 -681.32752 -827.99861       (-1908.984,-9.495) (-96.702,-79.197) (-159.476,-679.099)      26.7678
7    -11.40402  69.45927 424.63906 -3223.88545 -680.70911 -827.85615       (-1909.955,-11.404) (-98.905,-80.863) (-157.165,-677.534)      31.1898
8    -13.31300  69.21649 424.12881 -3220.63754 -680.09069 -827.71369       (-1910.926,-13.313) (-101.108,-82.529) (-154.854,-675.968)      35.6245
9    -15.22198  68.97370 423.61856 -3217.38963 -679.47227 -827.57123       (-1911.897,-15.222) (-103.311,-84.196) (-152.543,-674.402)      40.0679
10    -17.13097  68.73092 423.10831 -3214.14172 -678.85386 -827.42877       (-1912.869,-17.131) (-105.514,-85.862) (-150.232,-672.836)      44.5172
11    -19.03995  68.48813 422.59807 -3210.89381 -678.23544 -827.28631       (-1913.840,-19.040) (-107.717,-87.528) (-147.921,-671.270)      48.9708
12    -20.94893  68.24534 422.08782 -3207.64590 -677.61703 -827.14385       (-1914.811,-20.949) (-109.920,-89.194) (-145.610,-669.704)      53.4278
13    -22.85791  68.00256 421.57757 -3204.39799 -676.99861 -827.00139       (-1915.783,-22.858) (-112.122,-90.860) (-143.299,-668.138)      57.8872
14    -24.76690  67.75977 421.06733 -3201.15008 -676.38020 -826.85893       (-1916.754,-24.767) (-114.325,-92.527) (-140.988,-666.572)      62.3486
15    -26.67588  67.51699 420.55708 -3197.90217 -675.76178 -826.71647       (-1917.725,-26.676) (-116.528,-94.193) (-138.676,-665.007)      66.8116
16    -28.58486  67.27420 420.04683 -3194.65426 -675.14337 -826.57401       (-1918.696,-28.585) (-118.731,-95.859) (-136.365,-663.441)      71.2759
17    -30.49384  67.03142 419.53659 -3191.40635 -674.52495 -826.43155       (-1919.668,-30.494) (-120.934,-97.525) (-134.054,-661.875)      75.7412
18    -32.40282  66.78863 419.02634 -3188.15844 -673.90654 -826.28909       (-1920.639,-32.403) (-123.137,-99.191) (-131.743,-660.309)      80.2074
19    -34.31181  66.54585 418.51609 -3184.91053 -673.28812 -826.14663       (-1921.610,-34.312) (-125.340,-100.858) (-129.432,-658.743)      84.6743
20    -36.22079  66.30306 418.00584 -3181.66262 -672.66971 -826.00417       (-1922.582,-36.221) (-127.543,-102.524) (-127.121,-657.177)      87.1018
21    -38.12977  66.06028 417.49560 -3178.41471 -672.05129 -825.86171       (-1923.553,-38.130) (-129.746,-104.190) (-124.810,-655.611)      87.0465
22    -40.03875  65.81749 416.98535 -3175.16680 -671.43287 -825.71925       (-1924.524,-40.039) (-131.948,-105.856) (-122.499,-654.046)      87.2209
23    -41.94774  65.57471 416.47510 -3171.91889 -670.81446 -825.57679       (-1925.496,-41.948) (-134.151,-107.522) (-120.188,-652.480)      87.6236
24    -43.85672  65.33192 415.96486 -3168.67098 -670.19604 -825.43433       (-1926.467,-43.857) (-136.354,-109.189) (-117.877,-650.914)      88.2515
25    -45.76570  65.08914 415.45461 -3165.42307 -669.57763 -825.29187       (-1927.438,-45.766) (-138.557,-110.855) (-115.566,-649.348)      89.0998
26    -47.67468  64.84635 414.94436 -3162.17516 -668.95921 -825.14941       (-1928.409,-47.675) (-140.760,-112.521) (-113.255,-647.782)      90.1623
27    -49.58367  64.60357 414.43412 -3158.92725 -668.34080 -825.00695       (-1929.381,-49.584) (-142.963,-114.187) (-110.944,-646.216)      91.4315
28    -51.49265  64.36078 413.92387 -3155.67934 -667.72238 -824.86449       (-1930.352,-51.493) (-145.166,-115.853) (-108.633,-644.650)      92.899
29    -53.40163  64.11800 413.41362 -3152.43143 -667.10397 -824.72203       (-1931.323,-53.402) (-147.369,-117.520) (-106.322,-643.084)      94.5556
30    -55.31061  63.87521 412.90337 -3149.18352 -666.48555 -824.57957       (-1932.295,-55.311) (-149.572,-119.186) (-104.011,-641.519)      96.3914
31    -57.21960  63.63243 412.39313 -3145.93561 -665.86714 -824.43711       (-1933.266,-57.220) (-151.774,-120.852) (-101.700,-639.953)      98.3964
32    -59.12858  63.38964 411.88288 -3142.68770 -665.24872 -824.29465       (-1934.237,-59.129) (-153.977,-122.518) (-99.388,-638.387)      100.561
33    -61.03756  63.14686 411.37263 -3139.43979 -664.63031 -824.15219       (-1935.208,-61.038) (-156.180,-124.184) (-97.077,-636.821)      102.874
34    -62.94654  62.90407 410.86239 -3136.19188 -664.01189 -824.00973       (-1936.180,-62.947) (-158.383,-125.851) (-94.766,-635.255)      105.326
35    -64.85553  62.66129 410.35214 -3132.94397 -663.39347 -823.86727       (-1937.151,-64.856) (-160.586,-127.517) (-92.455,-633.689)      107.909
36    -66.76451  62.41850 409.84189 -3129.69606 -662.77506 -823.72481       (-1938.122,-66.765) (-162.789,-129.183) (-90.144,-632.123)      110.612
37    -68.67349  62.17572 409.33165 -3126.44815 -662.15664 -823.58235       (-1939.094,-68.673) (-164.992,-130.849) (-87.833,-630.557)      113.427
38    -70.58247  61.93293 408.82140 -3123.20024 -661.53823 -823.43989       (-1940.065,-70.582) (-167.195,-132.515) (-85.522,-628.992)      116.346
39    -72.49146  61.69015 408.31115 -3119.95233 -660.91981 -823.29743       (-1941.036,-72.491) (-169.398,-134.182) (-83.211,-627.426)      119.361
40    -74.40044  61.44736 407.80090 -3116.70442 -660.30140 -823.15497       (-1942.008,-74.400) (-171.601,-135.848) (-80.900,-625.860)      122.465
41    -76.30942  61.20458 407.29066 -3113.45651 -659.68298 -823.01251       (-1942.979,-76.309) (-173.803,-137.514) (-78.589,-624.294)      125.652
42    -78.21840  60.96179 406.78041 -3110.20860 -659.06457 -822.87005       (-1943.950,-78.218) (-176.006,-139.180) (-76.278,-622.728)      128.916
43    -80.12739  60.71901 406.27016 -3106.96069 -658.44615 -822.72759       (-1944.921,-80.127) (-178.209,-140.846) (-73.967,-621.162)      132.25
44    -82.03637  60.47622 405.75992 -3103.71278 -657.82774 -822.58513       (-1945.893,-82.036) (-180.412,-142.513) (-71.656,-619.596)      135.65
45    -83.94535  60.23344 405.24967 -3100.46487 -657.20932 -822.44267       (-1946.864,-83.945) (-182.615,-144.179) (-69.345,-618.030)      139.11
46    -85.85433  59.99065 404.73942 -3097.21696 -656.59091 -822.30021       (-1947.835,-85.854) (-184.818,-145.845) (-67.034,-616.465)      142.627
47    -87.76332  59.74787 404.22918 -3093.96905 -655.97249 -822.15775       (-1948.807,-87.763) (-187.021,-147.511) (-64.723,-614.899)      146.197
48    -89.67230  59.50508 403.71893 -3090.72114 -655.35407 -822.01529       (-1949.778,-89.672) (-189.224,-149.177) (-62.411,-613.333)      149.814
49    -91.58128  59.26230 403.20868 -3087.47323 -654.73566 -821.87283       (-1950.749,-91.581) (-191.427,-150.844) (-60.100,-611.767)      153.477
50    -93.49026  59.01951 402.69844 -3084.22532 -654.11724 -821.73037       (-1951.720,-93.490) (-193.629,-152.510) (-57.789,-610.201)      157.182
51    -95.39925  58.77673 402.18819 -3080.97741 -653.49883 -821.58791       (-1952.692,-95.399) (-195.832,-154.176) (-55.478,-608.635)      160.926
52    -97.30823  58.53394 401.67794 -3077.72950 -652.88041 -821.44545       (-1953.663,-97.308) (-198.035,-155.842) (-53.167,-607.069)      164.706
