10PERCENT_2018-03-07.11_27_49.963_.txt     Output is probe cell, reduced cell, NCDist distance between
0      3.74087   2.26153   1.38989 -11.54786  -6.77203 -25.45491       (-0.251,-9.871) (-0.725,-0.207) (-1.183,-5.781)      1.77636e-15
1      3.73640   2.25808   1.38825 -11.53650  -6.77104 -25.43931       (-0.258,-9.937) (-0.704,-0.185) (-1.203,-5.798)      0.0780075
2      3.73193   2.25463   1.38660 -11.52515  -6.77005 -25.42371       (-0.265,-10.004) (-0.683,-0.164) (-1.223,-5.815)      0.156015
3      3.72746   2.25119   1.38496 -11.51380  -6.76905 -25.40811       (-0.272,-10.071) (-0.661,-0.143) (-1.242,-5.831)      0.234022
4      3.72299   2.24774   1.38332 -11.50245  -6.76806 -25.39251       (-0.278,-10.137) (-0.640,-0.121) (-1.262,-5.848)      0.31203
5      3.71852   2.24429   1.38167 -11.49110  -6.76707 -25.37691       (-0.285,-10.204) (-0.619,-0.100) (-1.282,-5.865)      0.390037
6      3.71405   2.24084   1.38003 -11.47974  -6.76608 -25.36131       (-0.292,-10.271) (-0.597,-0.078) (-1.302,-5.882)      0.468045
7      3.70958   2.23740   1.37839 -11.46839  -6.76509 -25.34571       (-0.299,-10.338) (-0.576,-0.057) (-1.322,-5.898)      0.546052
8      3.70511   2.23395   1.37675 -11.45704  -6.76410 -25.33011       (-0.305,-10.404) (-0.555,-0.035) (-1.342,-5.915)      0.62406
9      3.70064   2.23050   1.37510 -11.44569  -6.76310 -25.31451       (-0.312,-10.471) (-0.533,-0.014) (-1.361,-5.932)      0.702067
10      3.69617   2.22705   1.37346 -11.43433  -6.76211 -25.29891       (-1.373,-10.530) (-0.520,-0.008) (-0.311,-5.940)      0.766975
11      3.69170   2.22360   1.37182 -11.42298  -6.76112 -25.28331       (-1.372,-10.575) (-0.520,-0.029) (-0.296,-5.936)      0.809883
12      3.68723   2.22016   1.37017 -11.41163  -6.76013 -25.26771       (-1.370,-10.620) (-0.520,-0.051) (-0.282,-5.931)      0.853857
13      3.68275   2.21671   1.36853 -11.40028  -6.75914 -25.25211       (-1.369,-10.666) (-0.520,-0.072) (-0.267,-5.926)      0.898739
14      3.67828   2.21326   1.36689 -11.38893  -6.75815 -25.23651       (-1.367,-10.711) (-0.521,-0.094) (-0.252,-5.921)      0.944401
15      3.67381   2.20981   1.36525 -11.37757  -6.75715 -25.22091       (-1.365,-10.756) (-0.521,-0.115) (-0.238,-5.917)      0.990734
16      3.66934   2.20636   1.36360 -11.36622  -6.75616 -25.20531       (-1.364,-10.801) (-0.521,-0.137) (-0.223,-5.912)      1.03765
17      3.66487   2.20292   1.36196 -11.35487  -6.75517 -25.18971       (-1.362,-10.847) (-0.521,-0.158) (-0.208,-5.907)      1.08507
18      3.66040   2.19947   1.36032 -11.34352  -6.75418 -25.17411       (-1.360,-10.892) (-0.521,-0.180) (-0.193,-5.902)      1.13293
19      3.65593   2.19602   1.35867 -11.33216  -6.75319 -25.15851       (-1.359,-10.937) (-0.521,-0.201) (-0.179,-5.897)      1.18119
20      3.65146   2.19257   1.35703 -11.32081  -6.75220 -25.14291       (-1.357,-10.982) (-0.521,-0.223) (-0.164,-5.893)      1.22978
21      3.64699   2.18912   1.35539 -11.30946  -6.75120 -25.12731       (-1.355,-11.028) (-0.522,-0.244) (-0.149,-5.888)      1.27868
22      3.64252   2.18568   1.35374 -11.29811  -6.75021 -25.11171       (-1.354,-11.073) (-0.522,-0.266) (-0.135,-5.883)      1.32785
23      3.63805   2.18223   1.35210 -11.28676  -6.74922 -25.09611       (-1.352,-11.118) (-0.522,-0.287) (-0.120,-5.878)      1.37726
24      3.63358   2.17878   1.35046 -11.27540  -6.74823 -25.08051       (-1.350,-11.163) (-0.522,-0.309) (-0.105,-5.874)      1.42689
25      3.62911   2.17533   1.34882 -11.26405  -6.74724 -25.06491       (-1.349,-11.209) (-0.522,-0.330) (-0.090,-5.869)      1.47671
26      3.62464   2.17189   1.34717 -11.25270  -6.74625 -25.04931       (-1.347,-11.254) (-0.522,-0.351) (-0.076,-5.864)      1.52671
27      3.62017   2.16844   1.34553 -11.24135  -6.74525 -25.03371       (-1.346,-11.299) (-0.523,-0.373) (-0.061,-5.859)      1.57686
28      3.61570   2.16499   1.34389 -11.22999  -6.74426 -25.01811       (-1.344,-11.344) (-0.523,-0.394) (-0.046,-5.854)      1.62716
29      3.61123   2.16154   1.34224 -11.21864  -6.74327 -25.00251       (-1.342,-11.389) (-0.523,-0.416) (-0.032,-5.850)      1.67759
30      3.60676   2.15809   1.34060 -11.20729  -6.74228 -24.98691       (-1.341,-11.435) (-0.523,-0.437) (-0.017,-5.845)      1.72814
31      3.60229   2.15465   1.33896 -11.19594  -6.74129 -24.97131       (-1.339,-11.480) (-0.523,-0.459) (-0.002,-5.840)      1.7788
32      3.59781   2.15120   1.33732 -11.18458  -6.74030 -24.95571       (-1.325,-0.511) (-11.513,-0.468) (-0.013,-5.848)      1.82266
33      3.59334   2.14775   1.33567 -11.17323  -6.73930 -24.94011       (-1.308,-0.496) (-11.543,-0.475) (-0.027,-5.858)      1.85231
34      3.58887   2.14430   1.33403 -11.16188  -6.73831 -24.92451       (-1.292,-0.482) (-11.574,-0.481) (-0.042,-5.868)      1.88243
35      3.58440   2.14085   1.33239 -11.15053  -6.73732 -24.90891       (-1.276,-0.467) (-11.604,-0.488) (-0.057,-5.878)      1.913
36      3.57993   2.13741   1.33074 -11.13918  -6.73633 -24.89331       (-1.259,-0.453) (-11.635,-0.495) (-0.071,-5.888)      1.94401
37      3.57546   2.13396   1.32910 -11.12782  -6.73534 -24.87771       (-1.243,-0.438) (-11.665,-0.502) (-0.086,-5.898)      1.97542
38      3.57099   2.13051   1.32746 -11.11647  -6.73435 -24.86211       (-1.227,-0.424) (-11.696,-0.508) (-0.101,-5.907)      2.00723
39      3.56652   2.12706   1.32582 -11.10512  -6.73335 -24.84651       (-1.210,-0.409) (-11.726,-0.515) (-0.116,-5.917)      2.03941
40      3.56205   2.12361   1.32417 -11.09377  -6.73236 -24.83091       (-1.194,-0.395) (-11.757,-0.522) (-0.130,-5.927)      2.07194
41      3.55758   2.12017   1.32253 -11.08241  -6.73137 -24.81531       (-1.178,-0.380) (-11.787,-0.529) (-0.145,-5.937)      2.10481
42      3.55311   2.11672   1.32089 -11.07106  -6.73038 -24.79971       (-1.161,-0.365) (-11.818,-0.535) (-0.160,-5.947)      2.13801
43      3.54864   2.11327   1.31924 -11.05971  -6.72939 -24.78411       (-1.145,-0.351) (-11.848,-0.542) (-0.174,-5.957)      2.17152
44      3.54417   2.10982   1.31760 -11.04836  -6.72840 -24.76852       (-1.129,-0.336) (-11.879,-0.549) (-0.189,-5.967)      2.20532
45      3.53970   2.10637   1.31596 -11.03701  -6.72740 -24.75292       (-1.112,-0.322) (-11.910,-0.556) (-0.204,-5.977)      2.2394
46      3.53523   2.10293   1.31432 -11.02565  -6.72641 -24.73732       (-1.096,-0.307) (-11.940,-0.563) (-0.219,-5.987)      2.27375
47      3.53076   2.09948   1.31267 -11.01430  -6.72542 -24.72172       (-1.079,-0.293) (-11.971,-0.569) (-0.233,-5.997)      2.30835
48      3.52629   2.09603   1.31103 -11.00295  -6.72443 -24.70612       (-1.063,-0.278) (-12.001,-0.576) (-0.248,-6.007)      2.3432
49      3.52182   2.09258   1.30939 -10.99160  -6.72344 -24.69052       (-1.047,-0.264) (-12.032,-0.583) (-0.263,-6.017)      2.37829
50      3.51734   2.08914   1.30774 -10.98024  -6.72245 -24.67492       (-1.030,-0.249) (-12.062,-0.590) (-0.277,-6.027)      2.4136
51      3.51287   2.08569   1.30610 -10.96889  -6.72145 -24.65932       (-1.014,-0.234) (-12.093,-0.596) (-0.292,-6.037)      2.44912
52      3.50840   2.08224   1.30446 -10.95754  -6.72046 -24.64372       (-0.998,-0.220) (-12.123,-0.603) (-0.307,-6.047)      2.48485
53      3.50393   2.07879   1.30281 -10.94619  -6.71947 -24.62812       (-0.981,-0.205) (-12.154,-0.610) (-0.322,-6.056)      2.52078
54      3.49946   2.07534   1.30117 -10.93484  -6.71848 -24.61252       (-0.965,-0.191) (-12.184,-0.617) (-0.336,-6.066)      2.5569
55      3.49499   2.07190   1.29953 -10.92348  -6.71749 -24.59692       (-0.949,-0.176) (-12.215,-0.623) (-0.351,-6.076)      2.59319
56      3.49052   2.06845   1.29789 -10.91213  -6.71650 -24.58132       (-0.932,-0.162) (-12.245,-0.630) (-0.366,-6.086)      2.62966
57      3.48605   2.06500   1.29624 -10.90078  -6.71550 -24.56572       (-0.916,-0.147) (-12.276,-0.637) (-0.380,-6.096)      2.66629
58      3.48158   2.06155   1.29460 -10.88943  -6.71451 -24.55012       (-0.900,-0.133) (-12.306,-0.644) (-0.395,-6.106)      2.70308
59      3.47711   2.05810   1.29296 -10.87807  -6.71352 -24.53452       (-0.883,-0.118) (-12.337,-0.650) (-0.410,-6.116)      2.74003
60      3.47264   2.05466   1.29131 -10.86672  -6.71253 -24.51892       (-0.867,-0.103) (-12.367,-0.657) (-0.425,-6.126)      2.77712
61      3.46817   2.05121   1.28967 -10.85537  -6.71154 -24.50332       (-0.850,-0.089) (-12.398,-0.664) (-0.439,-6.136)      2.81436
62      3.46370   2.04776   1.28803 -10.84402  -6.71055 -24.48772       (-0.834,-0.074) (-12.428,-0.671) (-0.454,-6.146)      2.85172
63      3.45923   2.04431   1.28639 -10.83266  -6.70955 -24.47212       (-0.818,-0.060) (-12.459,-0.678) (-0.469,-6.156)      2.88922
64      3.45476   2.04086   1.28474 -10.82131  -6.70856 -24.45652       (-0.801,-0.045) (-12.489,-0.684) (-0.483,-6.166)      2.91531
65      3.45029   2.03742   1.28310 -10.80996  -6.70757 -24.44092       (-0.785,-0.031) (-12.520,-0.691) (-0.498,-6.176)      2.94176
