2BOUNDS_2018-03-07.14_35_20.379_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -9.32919   2.36873   9.22460 -35.70241  -7.04456 -37.23570       (-0.818,-0.964) (-4.255,-9.769) (-12.729,-2.075)      1.77636e-15
1     -9.32964   2.36554   9.21329 -35.67093  -7.03847 -37.21117       (-0.863,-0.933) (-4.233,-9.829) (-12.817,-2.058)      0.122473
2     -9.33008   2.36235   9.20198 -35.63945  -7.03238 -37.18664       (-0.908,-0.902) (-4.211,-9.888) (-12.905,-2.041)      0.244945
3     -9.33052   2.35916   9.19066 -35.60797  -7.02630 -37.16211       (-0.953,-0.871) (-4.189,-9.947) (-12.993,-2.025)      0.367418
4     -9.33096   2.35597   9.17935 -35.57650  -7.02021 -37.13758       (-0.998,-0.840) (-4.167,-10.007) (-13.081,-2.008)      0.48989
5     -9.33140   2.35278   9.16804 -35.54502  -7.01412 -37.11305       (-1.042,-0.809) (-4.144,-10.066) (-13.169,-1.991)      0.612363
6     -9.33184   2.34959   9.15673 -35.51354  -7.00804 -37.08852       (-1.087,-0.778) (-4.122,-10.125) (-13.257,-1.974)      0.734835
7     -9.33228   2.34640   9.14542 -35.48206  -7.00195 -37.06399       (-1.132,-0.747) (-4.100,-10.185) (-13.345,-1.957)      0.857308
8     -9.33272   2.34321   9.13411 -35.45058  -6.99587 -37.03946       (-1.177,-0.716) (-4.078,-10.244) (-13.433,-1.940)      0.97978
9     -9.33316   2.34002   9.12280 -35.41910  -6.98978 -37.01493       (-1.222,-0.685) (-4.056,-10.303) (-13.520,-1.923)      1.10225
10     -9.33360   2.33683   9.11148 -35.38763  -6.98369 -36.99040       (-1.267,-0.654) (-4.033,-10.363) (-13.608,-1.906)      1.22473
11     -9.33404   2.33364   9.10017 -35.35615  -6.97761 -36.96587       (-1.312,-0.623) (-4.011,-10.422) (-13.696,-1.889)      1.3472
12     -9.33448   2.33045   9.08886 -35.32467  -6.97152 -36.94133       (-1.356,-0.592) (-3.989,-10.481) (-13.784,-1.872)      1.46967
13     -9.33492   2.32726   9.07755 -35.29319  -6.96543 -36.91680       (-1.401,-0.561) (-3.967,-10.541) (-13.872,-1.855)      1.59214
14     -9.33536   2.32407   9.06624 -35.26171  -6.95935 -36.89227       (-1.446,-0.530) (-3.945,-10.600) (-13.960,-1.838)      1.71462
15     -9.33580   2.32088   9.05493 -35.23023  -6.95326 -36.86774       (-1.491,-0.499) (-3.922,-10.659) (-14.048,-1.821)      1.83709
16     -9.33624   2.31769   9.04362 -35.19876  -6.94718 -36.84321       (-1.536,-0.468) (-3.900,-10.718) (-14.136,-1.804)      1.95956
17     -9.33668   2.31450   9.03231 -35.16728  -6.94109 -36.81868       (-1.581,-0.437) (-3.878,-10.778) (-14.224,-1.787)      2.08203
18     -9.33712   2.31131   9.02099 -35.13580  -6.93500 -36.79415       (-1.625,-0.406) (-3.856,-10.837) (-14.311,-1.770)      2.20451
19     -9.33756   2.30812   9.00968 -35.10432  -6.92892 -36.76962       (-1.670,-0.375) (-3.834,-10.896) (-14.399,-1.753)      2.32698
20     -9.33801   2.30493   8.99837 -35.07284  -6.92283 -36.74509       (-1.715,-0.344) (-3.811,-10.956) (-14.487,-1.736)      2.44945
21     -9.33845   2.30174   8.98706 -35.04136  -6.91674 -36.72056       (-1.760,-0.313) (-3.789,-11.015) (-14.575,-1.719)      2.57192
22     -9.33889   2.29855   8.97575 -35.00988  -6.91066 -36.69603       (-1.805,-0.281) (-3.767,-11.074) (-14.663,-1.702)      2.6944
23     -9.33933   2.29536   8.96444 -34.97841  -6.90457 -36.67150       (-1.850,-0.250) (-3.745,-11.134) (-14.751,-1.685)      2.81687
24     -9.33977   2.29217   8.95313 -34.94693  -6.89848 -36.64696       (-1.894,-0.219) (-3.723,-11.193) (-14.839,-1.668)      2.93934
25     -9.34021   2.28898   8.94181 -34.91545  -6.89240 -36.62243       (-1.939,-0.188) (-3.700,-11.252) (-14.927,-1.651)      3.06181
26     -9.34065   2.28579   8.93050 -34.88397  -6.88631 -36.59790       (-1.984,-0.157) (-3.678,-11.312) (-15.015,-1.634)      3.18429
27     -9.34109   2.28260   8.91919 -34.85249  -6.88023 -36.57337       (-2.029,-0.126) (-3.656,-11.371) (-15.102,-1.617)      3.30676
28     -9.34153   2.27941   8.90788 -34.82101  -6.87414 -36.54884       (-2.074,-0.095) (-3.634,-11.430) (-15.190,-1.600)      3.42923
