10PERCENT_2018-03-07.11_27_35.809_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -55.50853   1.99821 -14.95277   6.42378   1.15601 -50.81670       (-0.107,-17.938) (-15.788,-1.784) (-4.640,-21.025)      2.31609e-14
1    -55.45307   1.98040 -14.94245   6.39940   1.15306 -50.78688       (-0.163,-18.300) (-15.606,-1.654) (-4.746,-21.229)      0.486962
2    -55.39761   1.96260 -14.93213   6.37501   1.15012 -50.75706       (-0.220,-18.662) (-15.424,-1.524) (-4.851,-21.433)      0.973925
3    -55.34215   1.94480 -14.92180   6.35062   1.14718 -50.72724       (-0.276,-19.024) (-15.242,-1.393) (-4.957,-21.637)      1.46089
4    -55.28670   1.92699 -14.91148   6.32624   1.14424 -50.69742       (-0.332,-19.386) (-15.060,-1.263) (-5.063,-21.841)      1.94785
5    -55.23124   1.90919 -14.90116   6.30185   1.14129 -50.66760       (-0.388,-19.748) (-14.878,-1.133) (-5.169,-22.045)      2.43481
6    -55.17578   1.89138 -14.89083   6.27746   1.13835 -50.63778       (-0.445,-20.110) (-14.696,-1.002) (-5.275,-22.249)      2.92177
7    -55.12033   1.87358 -14.88051   6.25308   1.13541 -50.60795       (-0.501,-20.472) (-14.514,-0.872) (-5.381,-22.453)      3.40874
8    -55.06487   1.85578 -14.87019   6.22869   1.13246 -50.57813       (-0.557,-20.834) (-14.332,-0.742) (-5.487,-22.657)      3.8957
9    -55.00941   1.83797 -14.85986   6.20430   1.12952 -50.54831       (-0.613,-21.196) (-14.150,-0.611) (-5.593,-22.861)      4.38266
10    -54.95396   1.82017 -14.84954   6.17992   1.12658 -50.51849       (-0.670,-21.558) (-13.968,-0.481) (-5.699,-23.065)      4.86962
11    -54.89850   1.80237 -14.83922   6.15553   1.12363 -50.48867       (-0.726,-21.920) (-13.785,-0.351) (-5.805,-23.268)      5.35659
12    -54.84304   1.78456 -14.82889   6.13114   1.12069 -50.45885       (-0.782,-22.282) (-13.603,-0.220) (-5.911,-23.472)      5.84355
13    -54.78758   1.76676 -14.81857   6.10676   1.11775 -50.42903       (-0.838,-22.644) (-13.421,-0.090) (-6.017,-23.676)      6.33051
14    -54.73213   1.74895 -14.80825   6.08237   1.11480 -50.39921       (-6.082,-22.966) (-13.280,-0.040) (-0.854,-23.840)      6.74263
15    -54.67667   1.73115 -14.79792   6.05799   1.11186 -50.36939       (-6.058,-23.198) (-13.228,-0.170) (-0.780,-23.914)      6.98899
16    -54.62121   1.71335 -14.78760   6.03360   1.10892 -50.33956       (-6.034,-23.430) (-13.176,-0.301) (-0.706,-23.987)      7.23869
17    -54.56576   1.69554 -14.77727   6.00921   1.10597 -50.30974       (-6.009,-23.661) (-13.124,-0.431) (-0.632,-24.061)      7.45059
18    -54.51030   1.67774 -14.76695   5.98483   1.10303 -50.27992       (-5.985,-23.893) (-13.073,-0.561) (-0.558,-24.135)      7.58269
19    -54.45484   1.65993 -14.75663   5.96044   1.10009 -50.25010       (-5.960,-24.125) (-13.021,-0.692) (-0.484,-24.208)      7.72353
20    -54.39939   1.64213 -14.74630   5.93605   1.09714 -50.22028       (-5.936,-24.356) (-12.969,-0.822) (-0.410,-24.282)      7.87263
21    -54.34393   1.62433 -14.73598   5.91167   1.09420 -50.19046       (-5.912,-24.588) (-12.918,-0.952) (-0.336,-24.355)      8.02952
22    -54.28847   1.60652 -14.72566   5.88728   1.09126 -50.16064       (-5.887,-24.820) (-12.866,-1.083) (-0.262,-24.429)      8.19377
23    -54.23301   1.58872 -14.71533   5.86289   1.08832 -50.13082       (-5.863,-25.052) (-12.814,-1.213) (-0.188,-24.503)      8.36494
24    -54.17756   1.57092 -14.70501   5.83851   1.08537 -50.10099       (-5.839,-25.283) (-12.762,-1.343) (-0.114,-24.576)      8.54262
25    -54.12210   1.55311 -14.69469   5.81412   1.08243 -50.07117       (-5.814,-25.515) (-12.711,-1.474) (-0.040,-24.650)      8.7264
26    -54.06664   1.53531 -14.68436   5.78973   1.07949 -50.04135       (-5.755,-12.625) (-25.712,-1.570) (-0.034,-24.758)      8.93245
27    -54.01119   1.51750 -14.67404   5.76535   1.07654 -50.01153       (-5.657,-12.499) (-25.870,-1.626) (-0.108,-24.905)      9.16155
28    -53.95573   1.49970 -14.66372   5.74096   1.07360 -49.98171       (-5.559,-12.373) (-26.028,-1.682) (-0.182,-25.053)      9.39367
