2BOUNDS_2018-03-07.14_21_52.65_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -18.24987  19.92910 -32.42717 -20.71917 -12.80178 -30.37967       (-19.139,-0.889) (-13.288,-30.163) (-7.882,-0.790)      0
1    -18.26180  19.88999 -32.39550 -20.71173 -12.78986 -30.35715       (-19.068,-0.806) (-13.327,-30.245) (-8.033,-0.822)      0.209323
2    -18.27372  19.85088 -32.36383 -20.70429 -12.77794 -30.33463       (-18.997,-0.724) (-13.366,-30.328) (-8.183,-0.853)      0.418647
3    -18.28565  19.81178 -32.33216 -20.69685 -12.76601 -30.31211       (-18.927,-0.641) (-13.405,-30.411) (-8.333,-0.885)      0.62797
4    -18.29757  19.77267 -32.30049 -20.68942 -12.75409 -30.28959       (-18.856,-0.558) (-13.445,-30.493) (-8.483,-0.917)      0.837293
5    -18.30950  19.73356 -32.26882 -20.68198 -12.74216 -30.26707       (-18.785,-0.476) (-13.484,-30.576) (-8.634,-0.948)      1.04662
6    -18.32142  19.69445 -32.23716 -20.67454 -12.73024 -30.24455       (-18.714,-0.393) (-13.523,-30.659) (-8.784,-0.980)      1.25594
7    -18.33334  19.65535 -32.20549 -20.66710 -12.71831 -30.22203       (-18.644,-0.310) (-13.562,-30.741) (-8.934,-1.012)      1.46526
8    -18.34527  19.61624 -32.17382 -20.65966 -12.70639 -30.19951       (-18.573,-0.228) (-13.601,-30.824) (-9.085,-1.043)      1.67459
9    -18.35719  19.57713 -32.14215 -20.65222 -12.69446 -30.17699       (-18.502,-0.145) (-13.640,-30.907) (-9.235,-1.075)      1.88391
10    -18.36912  19.53802 -32.11048 -20.64479 -12.68254 -30.15447       (-18.431,-0.062) (-13.679,-30.990) (-9.385,-1.107)      2.09323
11    -18.38104  19.49892 -32.07881 -20.63735 -12.67061 -30.13195       (-18.381,-0.021) (-9.515,-31.052) (-13.698,-1.118)      2.21561
12    -18.39297  19.45981 -32.04714 -20.62991 -12.65869 -30.10943       (-18.393,-0.103) (-9.583,-31.052) (-13.654,-1.067)      2.28095
13    -18.40489  19.42070 -32.01547 -20.62247 -12.64677 -30.08691       (-18.405,-0.186) (-9.650,-31.052) (-13.611,-1.016)      2.35132
14    -18.41682  19.38160 -31.98381 -20.61503 -12.63484 -30.06439       (-18.417,-0.269) (-9.718,-31.052) (-13.567,-0.965)      2.42627
15    -18.42874  19.34249 -31.95214 -20.60759 -12.62292 -30.04187       (-18.429,-0.351) (-9.786,-31.052) (-13.523,-0.914)      2.50539
16    -18.44067  19.30338 -31.92047 -20.60015 -12.61099 -30.01935       (-18.441,-0.434) (-9.853,-31.052) (-13.480,-0.863)      2.5883
17    -18.45259  19.26427 -31.88880 -20.59272 -12.59907 -29.99683       (-18.453,-0.517) (-9.921,-31.052) (-13.436,-0.812)      2.67464
18    -18.46451  19.22517 -31.85713 -20.58528 -12.58714 -29.97431       (-18.465,-0.599) (-9.988,-31.052) (-13.393,-0.761)      2.7641
19    -18.47644  19.18606 -31.82546 -20.57784 -12.57522 -29.95179       (-18.476,-0.682) (-10.056,-31.052) (-13.349,-0.710)      2.85638
20    -18.48836  19.14695 -31.79379 -20.57040 -12.56329 -29.92927       (-18.488,-0.765) (-10.124,-31.052) (-13.305,-0.659)      2.95122
21    -18.50029  19.10785 -31.76212 -20.56296 -12.55137 -29.90675       (-18.500,-0.848) (-10.191,-31.052) (-13.262,-0.608)      3.04837
22    -18.51221  19.06874 -31.73046 -20.55552 -12.53944 -29.88423       (-18.512,-0.930) (-10.259,-31.052) (-13.218,-0.557)      3.14763
23    -18.52414  19.02963 -31.69879 -20.54809 -12.52752 -29.86171       (-18.524,-1.013) (-10.327,-31.052) (-13.175,-0.505)      3.2488
24    -18.53606  18.99052 -31.66712 -20.54065 -12.51560 -29.83919       (-18.536,-1.096) (-10.394,-31.052) (-13.131,-0.454)      3.35171
25    -18.54799  18.95142 -31.63545 -20.53321 -12.50367 -29.81667       (-18.548,-1.178) (-10.462,-31.052) (-13.087,-0.403)      3.4562
