10PERCENT_2018-03-07.11_27_46.926_.txt     Output is probe cell, reduced cell, NCDist distance between
0      9.52631   3.49729 -15.57053   2.05791 -42.84398 -32.91805       (-9.184,-3.497) (-13.024,-0.963) (-3.374,-5.555)      1.77636e-15
1      9.51581   3.48460 -15.56050   2.04281 -42.80460 -32.88848       (-9.234,-3.485) (-13.000,-1.021) (-3.403,-5.527)      0.0906844
2      9.50531   3.47190 -15.55048   2.02771 -42.76521 -32.85890       (-9.283,-3.472) (-12.977,-1.079) (-3.433,-5.500)      0.181369
3      9.49481   3.45921 -15.54045   2.01262 -42.72583 -32.82933       (-9.333,-3.459) (-12.954,-1.138) (-3.462,-5.472)      0.272053
4      9.48431   3.44652 -15.53042   1.99752 -42.68644 -32.79976       (-9.383,-3.447) (-12.931,-1.196) (-3.492,-5.444)      0.362738
5      9.47381   3.43382 -15.52040   1.98243 -42.64705 -32.77018       (-9.433,-3.434) (-12.908,-1.254) (-3.521,-5.416)      0.453422
6      9.46331   3.42113 -15.51037   1.96733 -42.60767 -32.74061       (-9.483,-3.421) (-12.884,-1.312) (-3.551,-5.388)      0.544106
7      9.45281   3.40844 -15.50035   1.95223 -42.56828 -32.71103       (-9.533,-3.408) (-12.861,-1.371) (-3.580,-5.361)      0.634791
8      9.44231   3.39574 -15.49032   1.93714 -42.52890 -32.68146       (-9.583,-3.396) (-12.838,-1.429) (-3.610,-5.333)      0.725475
9      9.43181   3.38305 -15.48030   1.92204 -42.48951 -32.65189       (-9.633,-3.383) (-12.815,-1.487) (-3.639,-5.305)      0.816159
10      9.42131   3.37035 -15.47027   1.90694 -42.45012 -32.62231       (-9.683,-3.370) (-12.792,-1.545) (-3.669,-5.277)      0.906844
11      9.41081   3.35766 -15.46025   1.89185 -42.41074 -32.59274       (-9.732,-3.358) (-12.768,-1.604) (-3.698,-5.250)      0.997528
12      9.40031   3.34497 -15.45022   1.87675 -42.37135 -32.56316       (-9.782,-3.345) (-12.745,-1.662) (-3.728,-5.222)      1.08821
13      9.38981   3.33227 -15.44020   1.86165 -42.33196 -32.53359       (-9.832,-3.332) (-12.722,-1.720) (-3.757,-5.194)      1.1789
14      9.37931   3.31958 -15.43017   1.84656 -42.29258 -32.50401       (-9.882,-3.320) (-12.699,-1.778) (-3.787,-5.166)      1.26958
15      9.36881   3.30689 -15.42015   1.83146 -42.25319 -32.47444       (-9.932,-3.307) (-12.676,-1.837) (-3.816,-5.138)      1.36027
16      9.35831   3.29419 -15.41012   1.81636 -42.21381 -32.44487       (-9.982,-3.294) (-12.653,-1.895) (-3.846,-5.111)      1.45095
17      9.34781   3.28150 -15.40009   1.80127 -42.17442 -32.41529       (-10.032,-3.281) (-12.629,-1.953) (-3.875,-5.083)      1.54163
18      9.33731   3.26881 -15.39007   1.78617 -42.13503 -32.38572       (-10.082,-3.269) (-12.606,-2.011) (-3.905,-5.055)      1.63232
19      9.32681   3.25611 -15.38004   1.77107 -42.09565 -32.35614       (-10.132,-3.256) (-12.583,-2.070) (-3.934,-5.027)      1.723
20      9.31631   3.24342 -15.37002   1.75598 -42.05626 -32.32657       (-10.181,-3.243) (-12.560,-2.128) (-3.964,-4.999)      1.81369
21      9.30581   3.23072 -15.35999   1.74088 -42.01688 -32.29700       (-10.231,-3.231) (-12.537,-2.186) (-3.993,-4.972)      1.90437
22      9.29531   3.21803 -15.34997   1.72578 -41.97749 -32.26742       (-10.281,-3.218) (-12.513,-2.244) (-4.023,-4.944)      1.99506
23      9.28481   3.20534 -15.33994   1.71069 -41.93810 -32.23785       (-10.331,-3.205) (-12.490,-2.303) (-4.052,-4.916)      2.08574
24      9.27431   3.19264 -15.32992   1.69559 -41.89872 -32.20827       (-10.381,-3.193) (-12.467,-2.361) (-4.082,-4.888)      2.17643
25      9.26381   3.17995 -15.31989   1.68049 -41.85933 -32.17870       (-10.431,-3.180) (-12.444,-2.419) (-4.111,-4.860)      2.26711
26      9.25332   3.16726 -15.30987   1.66540 -41.81995 -32.14913       (-10.481,-3.167) (-12.421,-2.477) (-4.141,-4.833)      2.35779
27      9.24282   3.15456 -15.29984   1.65030 -41.78056 -32.11955       (-10.531,-3.155) (-12.397,-2.536) (-4.170,-4.805)      2.44848
28      9.23232   3.14187 -15.28982   1.63520 -41.74117 -32.08998       (-10.581,-3.142) (-12.374,-2.594) (-4.200,-4.777)      2.53916
29      9.22182   3.12918 -15.27979   1.62011 -41.70179 -32.06040       (-10.630,-3.129) (-12.351,-2.652) (-4.229,-4.749)      2.62985
30      9.21132   3.11648 -15.26977   1.60501 -41.66240 -32.03083       (-10.680,-3.116) (-12.328,-2.710) (-4.259,-4.721)      2.72053
31      9.20082   3.10379 -15.25974   1.58991 -41.62302 -32.00126       (-10.730,-3.104) (-12.305,-2.769) (-4.288,-4.694)      2.81122
32      9.19032   3.09109 -15.24971   1.57482 -41.58363 -31.97168       (-10.780,-3.091) (-12.281,-2.827) (-4.318,-4.666)      2.9019
33      9.17982   3.07840 -15.23969   1.55972 -41.54424 -31.94211       (-10.830,-3.078) (-12.258,-2.885) (-4.347,-4.638)      2.99258
34      9.16932   3.06571 -15.22966   1.54462 -41.50486 -31.91253       (-10.880,-3.066) (-12.235,-2.943) (-4.377,-4.610)      3.08327
35      9.15882   3.05301 -15.21964   1.52953 -41.46547 -31.88296       (-10.930,-3.053) (-12.212,-3.002) (-4.406,-4.583)      3.17395
36      9.14832   3.04032 -15.20961   1.51443 -41.42608 -31.85339       (-10.980,-3.040) (-12.189,-3.060) (-4.436,-4.555)      3.26464
37      9.13782   3.02763 -15.19959   1.49933 -41.38670 -31.82381       (-11.030,-3.028) (-12.165,-3.118) (-4.465,-4.527)      3.35532
38      9.12732   3.01493 -15.18956   1.48424 -41.34731 -31.79424       (-11.079,-3.015) (-12.142,-3.176) (-4.495,-4.499)      3.44601
39      9.11682   3.00224 -15.17954   1.46914 -41.30793 -31.76466       (-11.129,-3.002) (-12.119,-3.235) (-4.524,-4.471)      3.53669
40      9.10632   2.98954 -15.16951   1.45404 -41.26854 -31.73509       (-11.179,-2.990) (-12.096,-3.293) (-4.554,-4.444)      3.62738
41      9.09582   2.97685 -15.15949   1.43895 -41.22915 -31.70552       (-11.229,-2.977) (-12.073,-3.351) (-4.583,-4.416)      3.71806
42      9.08532   2.96416 -15.14946   1.42385 -41.18977 -31.67594       (-11.279,-2.964) (-12.049,-3.409) (-4.613,-4.388)      3.80874
43      9.07482   2.95146 -15.13944   1.40875 -41.15038 -31.64637       (-11.329,-2.951) (-12.026,-3.468) (-4.642,-4.360)      3.89943
44      9.06432   2.93877 -15.12941   1.39366 -41.11100 -31.61679       (-11.379,-2.939) (-12.003,-3.526) (-4.672,-4.332)      3.99011
45      9.05382   2.92608 -15.11938   1.37856 -41.07161 -31.58722       (-11.429,-2.926) (-11.980,-3.584) (-4.701,-4.305)      4.0808
46      9.04332   2.91338 -15.10936   1.36346 -41.03222 -31.55764       (-11.479,-2.913) (-11.957,-3.642) (-4.731,-4.277)      4.16882
47      9.03282   2.90069 -15.09933   1.34837 -40.99284 -31.52807       (-11.528,-2.901) (-11.934,-3.701) (-4.760,-4.249)      4.15006
48      9.02232   2.88800 -15.08931   1.33327 -40.95345 -31.49850       (-11.578,-2.888) (-11.910,-3.759) (-4.790,-4.221)      4.13321
49      9.01182   2.87530 -15.07928   1.31817 -40.91407 -31.46892       (-11.628,-2.875) (-11.887,-3.817) (-4.819,-4.193)      4.11828
50      9.00132   2.86261 -15.06926   1.30308 -40.87468 -31.43935       (-11.678,-2.863) (-11.864,-3.875) (-4.849,-4.166)      4.10531
51      8.99082   2.84991 -15.05923   1.28798 -40.83529 -31.40977       (-11.728,-2.850) (-11.841,-3.934) (-4.878,-4.138)      4.0943
52      8.98032   2.83722 -15.04921   1.27288 -40.79591 -31.38020       (-11.778,-2.837) (-11.818,-3.992) (-4.908,-4.110)      4.08527
53      8.96982   2.82453 -15.03918   1.25779 -40.75652 -31.35063       (-11.828,-2.825) (-11.794,-4.050) (-4.937,-4.082)      4.07825
54      8.95933   2.81183 -15.02916   1.24269 -40.71714 -31.32105       (-11.878,-2.812) (-11.771,-4.108) (-4.967,-4.055)      4.07323
55      8.94883   2.79914 -15.01913   1.22760 -40.67775 -31.29148       (-11.927,-2.799) (-11.748,-4.167) (-4.996,-4.027)      4.07022
56      8.93833   2.78645 -15.00911   1.21250 -40.63836 -31.26190       (-11.977,-2.786) (-11.725,-4.225) (-5.026,-3.999)      4.06924
57      8.92783   2.77375 -14.99908   1.19740 -40.59898 -31.23233       (-12.027,-2.774) (-11.702,-4.283) (-5.055,-3.971)      4.07027
58      8.91733   2.76106 -14.98906   1.18231 -40.55959 -31.20276       (-12.077,-2.761) (-11.678,-4.341) (-5.085,-3.943)      4.07333
59      8.90683   2.74837 -14.97903   1.16721 -40.52021 -31.17318       (-12.127,-2.748) (-11.655,-4.400) (-5.114,-3.916)      4.07839
60      8.89633   2.73567 -14.96900   1.15211 -40.48082 -31.14361       (-12.177,-2.736) (-11.632,-4.458) (-5.144,-3.888)      4.08547
61      8.88583   2.72298 -14.95898   1.13702 -40.44143 -31.11403       (-12.227,-2.723) (-11.609,-4.516) (-5.173,-3.860)      4.09454
62      8.87533   2.71028 -14.94895   1.12192 -40.40205 -31.08446       (-12.277,-2.710) (-11.586,-4.574) (-5.203,-3.832)      4.1056
63      8.86483   2.69759 -14.93893   1.10682 -40.36266 -31.05489       (-12.327,-2.698) (-11.562,-4.633) (-5.232,-3.804)      4.11862
64      8.85433   2.68490 -14.92890   1.09173 -40.32327 -31.02531       (-12.376,-2.685) (-11.539,-4.691) (-5.262,-3.777)      4.13359
65      8.84383   2.67220 -14.91888   1.07663 -40.28389 -30.99574       (-12.426,-2.672) (-11.516,-4.749) (-5.291,-3.749)      4.1505
66      8.83333   2.65951 -14.90885   1.06153 -40.24450 -30.96616       (-12.476,-2.660) (-11.493,-4.807) (-5.321,-3.721)      4.1693
67      8.82283   2.64682 -14.89883   1.04644 -40.20512 -30.93659       (-12.526,-2.647) (-11.470,-4.866) (-5.350,-3.693)      4.18998
68      8.81233   2.63412 -14.88880   1.03134 -40.16573 -30.90702       (-12.576,-2.634) (-11.446,-4.924) (-5.380,-3.665)      4.21252
69      8.80183   2.62143 -14.87878   1.01624 -40.12634 -30.87744       (-12.626,-2.621) (-11.423,-4.982) (-5.409,-3.638)      4.23687
70      8.79133   2.60873 -14.86875   1.00115 -40.08696 -30.84787       (-12.676,-2.609) (-11.400,-5.040) (-5.439,-3.610)      4.26302
71      8.78083   2.59604 -14.85873   0.98605 -40.04757 -30.81829       (-12.726,-2.596) (-11.377,-5.099) (-5.469,-3.582)      4.29092
72      8.77033   2.58335 -14.84870   0.97095 -40.00819 -30.78872       (-12.776,-2.583) (-11.354,-5.157) (-5.498,-3.554)      4.32055
73      8.75983   2.57065 -14.83868   0.95586 -39.96880 -30.75915       (-12.825,-2.571) (-11.330,-5.215) (-5.528,-3.527)      4.35187
74      8.74933   2.55796 -14.82865   0.94076 -39.92941 -30.72957       (-12.875,-2.558) (-11.307,-5.273) (-5.557,-3.499)      4.38483
75      8.73883   2.54527 -14.81862   0.92566 -39.89003 -30.70000       (-12.925,-2.545) (-11.284,-5.331) (-5.587,-3.471)      4.41942
76      8.72833   2.53257 -14.80860   0.91057 -39.85064 -30.67042       (-12.975,-2.533) (-11.261,-5.390) (-5.616,-3.443)      4.45558
77      8.71783   2.51988 -14.79857   0.89547 -39.81126 -30.64085       (-13.025,-2.520) (-11.238,-5.448) (-5.646,-3.415)      4.49328
78      8.70733   2.50719 -14.78855   0.88037 -39.77187 -30.61128       (-13.075,-2.507) (-11.215,-5.506) (-5.675,-3.388)      4.53248
79      8.69683   2.49449 -14.77852   0.86528 -39.73248 -30.58170       (-13.125,-2.494) (-11.191,-5.564) (-5.705,-3.360)      4.57314
80      8.68633   2.48180 -14.76850   0.85018 -39.69310 -30.55213       (-13.175,-2.482) (-11.168,-5.623) (-5.734,-3.332)      4.61523
81      8.67583   2.46910 -14.75847   0.83508 -39.65371 -30.52255       (-13.225,-2.469) (-11.145,-5.681) (-5.764,-3.304)      4.62929
82      8.66534   2.45641 -14.74845   0.81999 -39.61433 -30.49298       (-13.274,-2.456) (-11.122,-5.739) (-5.793,-3.276)      4.63109
83      8.65484   2.44372 -14.73842   0.80489 -39.57494 -30.46340       (-13.324,-2.444) (-11.099,-5.797) (-5.823,-3.249)      4.63465
