2BOUNDS_2018-03-07.14_49_21.741_.txt     Output is probe cell, reduced cell, NCDist distance between
0      3.51044  10.73802   6.13007 -56.14013 -26.00909 -20.17511       (-18.911,-12.858) (-2.620,-0.224) (-0.891,-2.192)      1.77636e-15
1      3.50670  10.70834   6.12174 -56.08655 -25.99593 -20.15580       (-19.013,-12.861) (-2.615,-0.282) (-0.892,-2.153)      0.12314
2      3.50296  10.67867   6.11341 -56.03298 -25.98276 -20.13650       (-19.115,-12.863) (-2.610,-0.339) (-0.893,-2.113)      0.246281
3      3.49922  10.64899   6.10508 -55.97941 -25.96960 -20.11720       (-19.216,-12.866) (-2.606,-0.396) (-0.893,-2.074)      0.369421
4      3.49548  10.61931   6.09675 -55.92583 -25.95643 -20.09789       (-19.318,-12.869) (-2.601,-0.453) (-0.894,-2.035)      0.492562
5      3.49174  10.58963   6.08842 -55.87226 -25.94327 -20.07859       (-19.420,-12.871) (-2.597,-0.510) (-0.895,-1.996)      0.615702
6      3.48801  10.55995   6.08009 -55.81868 -25.93011 -20.05928       (-19.521,-12.874) (-2.592,-0.567) (-0.896,-1.957)      0.738843
7      3.48427  10.53027   6.07176 -55.76511 -25.91694 -20.03998       (-19.623,-12.877) (-2.587,-0.624) (-0.897,-1.917)      0.861983
8      3.48053  10.50059   6.06343 -55.71153 -25.90378 -20.02068       (-19.725,-12.879) (-2.583,-0.681) (-0.898,-1.878)      0.985124
9      3.47679  10.47091   6.05510 -55.65796 -25.89061 -20.00137       (-19.827,-12.882) (-2.578,-0.738) (-0.898,-1.839)      1.10826
10      3.47305  10.44123   6.04677 -55.60439 -25.87745 -19.98207       (-19.928,-12.885) (-2.574,-0.795) (-0.899,-1.800)      1.2314
11      3.46931  10.41156   6.03844 -55.55081 -25.86428 -19.96277       (-20.030,-12.887) (-2.569,-0.852) (-0.900,-1.761)      1.35454
12      3.46557  10.38188   6.03011 -55.49724 -25.85112 -19.94346       (-20.132,-12.890) (-2.565,-0.909) (-0.901,-1.721)      1.47769
13      3.46184  10.35220   6.02178 -55.44366 -25.83796 -19.92416       (-20.233,-12.893) (-2.560,-0.966) (-0.902,-1.682)      1.60083
14      3.45810  10.32252   6.01345 -55.39009 -25.82479 -19.90486       (-20.335,-12.895) (-2.555,-1.023) (-0.903,-1.643)      1.72397
15      3.45436  10.29284   6.00512 -55.33652 -25.81163 -19.88555       (-20.437,-12.898) (-2.551,-1.080) (-0.904,-1.604)      1.84711
16      3.45062  10.26316   5.99679 -55.28294 -25.79846 -19.86625       (-20.538,-12.900) (-2.546,-1.137) (-0.904,-1.565)      1.97025
17      3.44688  10.23348   5.98846 -55.22937 -25.78530 -19.84694       (-20.640,-12.903) (-2.542,-1.194) (-0.905,-1.525)      2.09339
18      3.44314  10.20380   5.98013 -55.17579 -25.77214 -19.82764       (-20.742,-12.906) (-2.537,-1.251) (-0.906,-1.486)      2.21653
19      3.43940  10.17412   5.97180 -55.12222 -25.75897 -19.80834       (-20.844,-12.908) (-2.532,-1.308) (-0.907,-1.447)      2.33967
20      3.43567  10.14444   5.96347 -55.06865 -25.74581 -19.78903       (-20.945,-12.911) (-2.528,-1.366) (-0.908,-1.408)      2.46281
21      3.43193  10.11477   5.95514 -55.01507 -25.73264 -19.76973       (-21.047,-12.914) (-2.523,-1.423) (-0.909,-1.369)      2.58595
22      3.42819  10.08509   5.94681 -54.96150 -25.71948 -19.75043       (-21.149,-12.916) (-2.519,-1.480) (-0.910,-1.329)      2.70909
23      3.42445  10.05541   5.93848 -54.90792 -25.70632 -19.73112       (-21.250,-12.919) (-2.514,-1.537) (-0.910,-1.290)      2.83223
24      3.42071  10.02573   5.93015 -54.85435 -25.69315 -19.71182       (-21.352,-12.922) (-2.509,-1.594) (-0.911,-1.251)      2.95537
25      3.41697   9.99605   5.92182 -54.80078 -25.67999 -19.69252       (-21.454,-12.924) (-2.505,-1.651) (-0.912,-1.212)      3.07851
26      3.41323   9.96637   5.91349 -54.74720 -25.66682 -19.67321       (-21.555,-12.927) (-2.500,-1.708) (-0.913,-1.173)      3.20165
27      3.40949   9.93669   5.90516 -54.69363 -25.65366 -19.65391       (-21.657,-12.930) (-2.496,-1.765) (-0.914,-1.133)      3.32479
28      3.40576   9.90701   5.89683 -54.64005 -25.64049 -19.63460       (-21.759,-12.932) (-2.491,-1.822) (-0.915,-1.094)      3.44596
29      3.40202   9.87733   5.88850 -54.58648 -25.62733 -19.61530       (-21.861,-12.935) (-2.486,-1.879) (-0.916,-1.055)      3.56282
30      3.39828   9.84766   5.88017 -54.53291 -25.61417 -19.59600       (-21.962,-12.937) (-2.482,-1.936) (-0.916,-1.016)      3.68008
31      3.39454   9.81798   5.87184 -54.47933 -25.60100 -19.57669       (-22.064,-12.940) (-2.477,-1.993) (-0.917,-0.977)      3.79773
32      3.39080   9.78830   5.86351 -54.42576 -25.58784 -19.55739       (-22.166,-12.943) (-2.473,-2.050) (-0.918,-0.937)      3.91571
33      3.38706   9.75862   5.85518 -54.37218 -25.57467 -19.53809       (-0.919,-0.898) (-22.267,-12.945) (-2.468,-2.107)      3.9692
34      3.38332   9.72894   5.84685 -54.31861 -25.56151 -19.51878       (-0.920,-0.859) (-22.369,-12.948) (-2.464,-2.164)      4.08612
35      3.37959   9.69926   5.83852 -54.26504 -25.54835 -19.49948       (-0.921,-0.820) (-22.471,-12.951) (-2.459,-2.221)      4.2034
36      3.37585   9.66958   5.83019 -54.21146 -25.53518 -19.48018       (-0.922,-0.780) (-22.572,-12.953) (-2.454,-2.278)      4.321
37      3.37211   9.63990   5.82186 -54.15789 -25.52202 -19.46087       (-0.922,-0.741) (-22.674,-12.956) (-2.450,-2.335)      4.4389
38      3.36837   9.61022   5.81353 -54.10431 -25.50885 -19.44157       (-0.923,-0.702) (-22.776,-12.959) (-2.445,-2.393)      4.52852
39      3.36463   9.58054   5.80520 -54.05074 -25.49569 -19.42227       (-0.924,-0.663) (-22.878,-12.961) (-2.441,-2.450)      4.61276
40      3.36089   9.55087   5.79687 -53.99716 -25.48253 -19.40296       (-0.925,-0.624) (-22.979,-12.964) (-2.436,-2.507)      4.69871
41      3.35715   9.52119   5.78854 -53.94359 -25.46936 -19.38366       (-0.926,-0.584) (-23.081,-12.967) (-2.431,-2.564)      4.78629
42      3.35342   9.49151   5.78021 -53.89002 -25.45620 -19.36435       (-0.927,-0.545) (-23.183,-12.969) (-2.427,-2.621)      4.87541
43      3.34968   9.46183   5.77188 -53.83644 -25.44303 -19.34505       (-0.927,-0.506) (-23.284,-12.972) (-2.422,-2.678)      4.96598
44      3.34594   9.43215   5.76355 -53.78287 -25.42987 -19.32575       (-0.928,-0.467) (-23.386,-12.974) (-2.418,-2.735)      5.05793
45      3.34220   9.40247   5.75522 -53.72929 -25.41670 -19.30644       (-0.929,-0.428) (-23.488,-12.977) (-2.413,-2.792)      5.15118
46      3.33846   9.37279   5.74689 -53.67572 -25.40354 -19.28714       (-0.930,-0.388) (-23.589,-12.980) (-2.408,-2.849)      5.24567
47      3.33472   9.34311   5.73856 -53.62215 -25.39038 -19.26784       (-0.931,-0.349) (-23.691,-12.982) (-2.404,-2.906)      5.34132
48      3.33098   9.31343   5.73023 -53.56857 -25.37721 -19.24853       (-0.932,-0.310) (-23.793,-12.985) (-2.399,-2.963)      5.43808
49      3.32724   9.28376   5.72190 -53.51500 -25.36405 -19.22923       (-0.933,-0.271) (-23.895,-12.988) (-2.395,-3.020)      5.53588
50      3.32351   9.25408   5.71357 -53.46142 -25.35088 -19.20993       (-0.933,-0.232) (-23.996,-12.990) (-2.390,-3.077)      5.63468
51      3.31977   9.22440   5.70524 -53.40785 -25.33772 -19.19062       (-0.934,-0.192) (-24.098,-12.993) (-2.385,-3.134)      5.73442
52      3.31603   9.19472   5.69691 -53.35428 -25.32456 -19.17132       (-0.935,-0.153) (-24.200,-12.996) (-2.381,-3.191)      5.83506
53      3.31229   9.16504   5.68858 -53.30070 -25.31139 -19.15201       (-0.936,-0.114) (-24.301,-12.998) (-2.376,-3.248)      5.93654
54      3.30855   9.13536   5.68025 -53.24713 -25.29823 -19.13271       (-0.937,-0.075) (-24.403,-13.001) (-2.372,-3.305)      6.03883
55      3.30481   9.10568   5.67192 -53.19355 -25.28506 -19.11341       (-0.938,-0.036) (-24.505,-13.004) (-2.367,-3.362)      6.14189
56      3.30107   9.07600   5.66359 -53.13998 -25.27190 -19.09410       (-0.942,-0.004) (-2.359,-13.003) (-24.603,-3.416)      5.83413    *****
57      3.29734   9.04632   5.65525 -53.08641 -25.25874 -19.07480       (-0.982,-0.043) (-2.315,-12.966) (-24.665,-3.434)      5.9023
58      3.29360   9.01664   5.64692 -53.03283 -25.24557 -19.05550       (-1.022,-0.082) (-2.271,-12.930) (-24.728,-3.452)      5.97146
59      3.28986   8.98697   5.63859 -52.97926 -25.23241 -19.03619       (-1.062,-0.121) (-2.228,-12.893) (-24.790,-3.470)      6.04159
60      3.28612   8.95729   5.63026 -52.92568 -25.21924 -19.01689       (-1.102,-0.160) (-2.184,-12.856) (-24.853,-3.487)      6.11266
61      3.28238   8.92761   5.62193 -52.87211 -25.20608 -18.99759       (-1.142,-0.200) (-2.140,-12.820) (-24.915,-3.505)      6.18462
62      3.27864   8.89793   5.61360 -52.81854 -25.19291 -18.97828       (-1.182,-0.239) (-2.096,-12.783) (-24.978,-3.523)      6.25746
63      3.27490   8.86825   5.60527 -52.76496 -25.17975 -18.95898       (-1.222,-0.278) (-2.052,-12.747) (-25.040,-3.541)      6.33113
64      3.27116   8.83857   5.59694 -52.71139 -25.16659 -18.93968       (-1.263,-0.317) (-2.009,-12.710) (-25.103,-3.559)      6.40562
65      3.26743   8.80889   5.58861 -52.65781 -25.15342 -18.92037       (-1.303,-0.356) (-1.965,-12.674) (-25.165,-3.577)      6.48089
66      3.26369   8.77921   5.58028 -52.60424 -25.14026 -18.90107       (-1.343,-0.396) (-1.921,-12.637) (-25.228,-3.594)      6.55691
67      3.25995   8.74953   5.57195 -52.55067 -25.12709 -18.88176       (-1.383,-0.435) (-1.877,-12.600) (-25.290,-3.612)      6.63367
68      3.25621   8.71986   5.56362 -52.49709 -25.11393 -18.86246       (-1.423,-0.474) (-1.833,-12.564) (-25.353,-3.630)      6.71112
69      3.25247   8.69018   5.55529 -52.44352 -25.10077 -18.84316       (-1.463,-0.513) (-1.790,-12.527) (-25.415,-3.648)      6.78926
70      3.24873   8.66050   5.54696 -52.38994 -25.08760 -18.82385       (-1.503,-0.552) (-1.746,-12.491) (-25.478,-3.666)      6.86806
71      3.24499   8.63082   5.53863 -52.33637 -25.07444 -18.80455       (-1.543,-0.592) (-1.702,-12.454) (-25.540,-3.684)      6.92349
72      3.24126   8.60114   5.53030 -52.28279 -25.06127 -18.78525       (-1.583,-0.631) (-1.658,-12.418) (-25.603,-3.702)      6.974
73      3.23752   8.57146   5.52197 -52.22922 -25.04811 -18.76594       (-1.623,-0.670) (-1.614,-12.381) (-25.665,-3.719)      7.02565
74      3.23378   8.54178   5.51364 -52.17565 -25.03495 -18.74664       (-1.663,-0.709) (-1.571,-12.345) (-25.728,-3.737)      7.07843
75      3.23004   8.51210   5.50531 -52.12207 -25.02178 -18.72734       (-1.703,-0.748) (-1.527,-12.308) (-25.790,-3.755)      7.13231
76      3.22630   8.48242   5.49698 -52.06850 -25.00862 -18.70803       (-1.743,-0.788) (-1.483,-12.271) (-25.853,-3.773)      7.18726
77      3.22256   8.45274   5.48865 -52.01492 -24.99545 -18.68873       (-1.783,-0.827) (-1.439,-12.235) (-25.915,-3.791)      7.24326
78      3.21882   8.42307   5.48032 -51.96135 -24.98229 -18.66942       (-1.823,-0.866) (-1.396,-12.198) (-25.978,-3.809)      7.30028
79      3.21509   8.39339   5.47199 -51.90778 -24.96912 -18.65012       (-1.863,-0.905) (-1.352,-12.162) (-26.040,-3.827)      7.35831
80      3.21135   8.36371   5.46366 -51.85420 -24.95596 -18.63082       (-1.903,-0.944) (-1.308,-12.125) (-26.103,-3.844)      7.41731
81      3.20761   8.33403   5.45533 -51.80063 -24.94280 -18.61151       (-1.943,-0.984) (-1.264,-12.089) (-26.165,-3.862)      7.47727
82      3.20387   8.30435   5.44700 -51.74705 -24.92963 -18.59221       (-1.984,-1.023) (-1.220,-12.052) (-26.228,-3.880)      7.53817
83      3.20013   8.27467   5.43867 -51.69348 -24.91647 -18.57291       (-2.024,-1.062) (-1.177,-12.016) (-26.290,-3.898)      7.59997
84      3.19639   8.24499   5.43034 -51.63991 -24.90330 -18.55360       (-2.064,-1.101) (-1.133,-11.979) (-26.353,-3.916)      7.66265
85      3.19265   8.21531   5.42201 -51.58633 -24.89014 -18.53430       (-2.104,-1.140) (-1.089,-11.942) (-26.415,-3.934)      7.72621
86      3.18891   8.18563   5.41368 -51.53276 -24.87698 -18.51500       (-2.144,-1.180) (-1.045,-11.906) (-26.478,-3.952)      7.79061
87      3.18518   8.15596   5.40535 -51.47918 -24.86381 -18.49569       (-2.184,-1.219) (-1.001,-11.869) (-26.540,-3.969)      7.85583
88      3.18144   8.12628   5.39702 -51.42561 -24.85065 -18.47639       (-2.224,-1.258) (-0.958,-11.833) (-26.603,-3.987)      7.92186
89      3.17770   8.09660   5.38869 -51.37204 -24.83748 -18.45708       (-2.264,-1.297) (-0.914,-11.796) (-26.665,-4.005)      7.98867
