Fol_2018-03-05.09_12_12.2_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -45.43311 -24.67750  -5.96251   5.66790 -26.96370 -35.30581       (-51.101,-5.668) (-0.295,-21.296) (-19.010,-29.638)      5.1022e-15
1    -45.43878 -24.65309  -5.97557   5.65656 -26.95803 -35.30014       (-51.095,-5.657) (-0.319,-21.301) (-18.997,-29.644)      0.0314898
2    -45.44445 -24.62869  -5.98863   5.64521 -26.95236 -35.29447       (-51.090,-5.645) (-0.343,-21.307) (-18.983,-29.649)      0.0629797
3    -45.45013 -24.60428  -6.00169   5.63386 -26.94668 -35.28879       (-51.084,-5.634) (-0.368,-21.313) (-18.970,-29.655)      0.0944695
4    -45.45580 -24.57987  -6.01475   5.62252 -26.94101 -35.28312       (-51.078,-5.623) (-0.392,-21.318) (-18.957,-29.661)      0.125959
5    -45.46147 -24.55547  -6.02781   5.61117 -26.93534 -35.27745       (-51.073,-5.611) (-0.417,-21.324) (-18.944,-29.666)      0.157449
6    -45.46715 -24.53106  -6.04087   5.59982 -26.92966 -35.27177       (-51.067,-5.600) (-0.441,-21.330) (-18.931,-29.672)      0.188939
7    -45.47282 -24.50665  -6.05393   5.58847 -26.92399 -35.26610       (-51.061,-5.588) (-0.465,-21.336) (-18.918,-29.678)      0.220429
8    -45.47850 -24.48224  -6.06699   5.57713 -26.91832 -35.26042       (-51.056,-5.577) (-0.490,-21.341) (-18.905,-29.683)      0.251919
9    -45.48417 -24.45784  -6.08005   5.56578 -26.91264 -35.25475       (-51.050,-5.566) (-0.514,-21.347) (-18.892,-29.689)      0.283409
10    -45.48984 -24.43343  -6.09311   5.55443 -26.90697 -35.24908       (-51.044,-5.554) (-0.539,-21.353) (-18.879,-29.695)      0.314898
11    -45.49552 -24.40902  -6.10617   5.54309 -26.90129 -35.24340       (-51.039,-5.543) (-0.563,-21.358) (-18.866,-29.700)      0.346388
12    -45.50119 -24.38461  -6.11923   5.53174 -26.89562 -35.23773       (-51.033,-5.532) (-0.587,-21.364) (-18.853,-29.706)      0.377878
13    -45.50686 -24.36021  -6.13229   5.52039 -26.88995 -35.23206       (-51.027,-5.520) (-0.612,-21.370) (-18.840,-29.712)      0.409368
