10PERCENT_2018-03-07.11_26_53.320_.txt     Output is probe cell, reduced cell, NCDist distance between
0     -2.76985 -36.12029  -7.32991 -10.86788   6.63455 -10.04702       (-1.307,-32.278) (-0.186,-0.290) (-0.006,-2.983)      4.80356e-15
1     -2.76727 -36.11644  -7.32556 -10.85729   6.62660 -10.03697       (-1.320,-32.420) (-0.148,-0.236) (-0.070,-3.012)      0.171805
2     -2.76468 -36.11260  -7.32121 -10.84670   6.61865 -10.02692       (-1.334,-32.561) (-0.110,-0.181) (-0.135,-3.041)      0.343611
3     -2.76210 -36.10875  -7.31686 -10.83611   6.61070 -10.01686       (-1.347,-32.702) (-0.072,-0.127) (-0.199,-3.070)      0.515416
4     -2.75951 -36.10491  -7.31251 -10.82552   6.60275 -10.00681       (-1.360,-32.843) (-0.034,-0.072) (-0.263,-3.099)      0.687221
5     -2.75692 -36.10106  -7.30816 -10.81494   6.59480  -9.99676       (-3.125,-32.981) (-0.022,-0.004) (-1.369,-0.324)      0.85226
6     -2.75434 -36.09721  -7.30381 -10.80435   6.58685  -9.98671       (-3.116,-33.084) (-0.005,-0.042) (-1.344,-0.350)      0.958841
7     -2.75175 -36.09337  -7.29945 -10.79376   6.57890  -9.97666       (-0.366,-33.176) (-0.011,-0.091) (-1.309,-3.096)      1.06019
8     -2.74917 -36.08952  -7.29510 -10.78317   6.57095  -9.96661       (-0.376,-33.263) (-0.027,-0.145) (-1.267,-3.070)      1.15331
9     -2.74658 -36.08568  -7.29075 -10.77258   6.56300  -9.95656       (-0.386,-33.350) (-0.044,-0.200) (-1.226,-3.045)      1.25007
10     -2.74399 -36.08183  -7.28640 -10.76199   6.55505  -9.94651       (-0.396,-33.437) (-0.060,-0.254) (-1.185,-3.020)      1.34968
11     -2.74141 -36.07799  -7.28205 -10.75140   6.54710  -9.93646       (-0.406,-33.523) (-0.076,-0.308) (-1.144,-2.994)      1.45155
12     -2.73882 -36.07414  -7.27770 -10.74082   6.53915  -9.92640       (-0.416,-33.610) (-0.093,-0.363) (-1.102,-2.969)      1.55524
13     -2.73624 -36.07029  -7.27335 -10.73023   6.53120  -9.91635       (-0.426,-33.697) (-0.109,-0.417) (-1.061,-2.944)      1.6604
14     -2.73365 -36.06645  -7.26899 -10.71964   6.52325  -9.90630       (-0.436,-33.784) (-0.125,-0.472) (-1.020,-2.919)      1.76678
15     -2.73106 -36.06260  -7.26464 -10.70905   6.51530  -9.89625       (-0.446,-33.871) (-0.142,-0.526) (-0.979,-2.893)      1.87417
16     -2.72848 -36.05876  -7.26029 -10.69846   6.50735  -9.88620       (-0.455,-33.958) (-0.158,-0.580) (-0.938,-2.868)      1.9824
17     -2.72589 -36.05491  -7.25594 -10.68787   6.49940  -9.87615       (-0.465,-34.044) (-0.174,-0.635) (-0.896,-2.843)      2.09135
18     -2.72331 -36.05107  -7.25159 -10.67729   6.49145  -9.86610       (-0.475,-34.131) (-0.191,-0.689) (-0.855,-2.817)      2.14892
19     -2.72072 -36.04722  -7.24724 -10.66670   6.48351  -9.85605       (-0.485,-34.218) (-0.207,-0.744) (-0.814,-2.792)      2.197
20     -2.71813 -36.04337  -7.24289 -10.65611   6.47556  -9.84599       (-0.495,-34.305) (-0.223,-0.798) (-0.773,-2.767)      2.24992
