Fol_2018-02-25.13_34_39.28_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -140.12078 -272.88907 -192.43194 -247.66900 -4295.38904  66.18149       (-206.708,-181.488) (-73.939,-4229.208) (-258.613,-66.181)      5.68434e-14
1    -140.18744 -272.68992 -192.49819 -247.60275 -4295.32279  66.04899       (-206.641,-181.554) (-74.138,-4229.274) (-258.547,-66.049)      0.27354
2    -140.25409 -272.49077 -192.56444 -247.53650 -4295.25654  65.91650       (-206.574,-181.620) (-74.338,-4229.340) (-258.481,-65.916)      0.547081
3    -140.32074 -272.29162 -192.63068 -247.47025 -4295.19030  65.78400       (-206.508,-181.686) (-74.537,-4229.406) (-258.415,-65.784)      0.820621
4    -140.38740 -272.09247 -192.69693 -247.40401 -4295.12405  65.65151       (-206.441,-181.752) (-74.736,-4229.473) (-258.348,-65.652)      1.09416
5    -140.45405 -271.89332 -192.76318 -247.33776 -4295.05780  65.51901       (-206.374,-181.819) (-74.935,-4229.539) (-258.282,-65.519)      1.3677
6    -140.52070 -271.69418 -192.82943 -247.27151 -4294.99155  65.38652       (-206.308,-181.885) (-75.134,-4229.605) (-258.216,-65.387)      1.64124
7    -140.58736 -271.49503 -192.89567 -247.20526 -4294.92531  65.25402       (-206.241,-181.951) (-75.333,-4229.671) (-258.150,-65.254)      1.91478
8    -140.65401 -271.29588 -192.96192 -247.13902 -4294.85906  65.12153       (-206.174,-182.017) (-75.532,-4229.738) (-258.083,-65.122)      2.18832
9    -140.72066 -271.09673 -193.02817 -247.07277 -4294.79281  64.98903       (-206.108,-182.084) (-75.732,-4229.804) (-258.017,-64.989)      2.46186
10    -140.78732 -270.89758 -193.09442 -247.00652 -4294.72656  64.85654       (-206.041,-182.150) (-75.931,-4229.870) (-257.951,-64.857)      2.7354
11    -140.85397 -270.69843 -193.16066 -246.94027 -4294.66032  64.72404       (-205.974,-182.216) (-76.130,-4229.936) (-257.885,-64.724)      3.00894
12    -140.92062 -270.49928 -193.22691 -246.87402 -4294.59407  64.59154       (-205.908,-182.282) (-76.329,-4230.003) (-257.818,-64.592)      3.28248
13    -140.98728 -270.30013 -193.29316 -246.80778 -4294.52782  64.45905       (-205.841,-182.349) (-76.528,-4230.069) (-257.752,-64.459)      3.55602
14    -141.05393 -270.10098 -193.35941 -246.74153 -4294.46157  64.32655       (-205.774,-182.415) (-76.727,-4230.135) (-257.686,-64.327)      3.82956
15    -141.12058 -269.90184 -193.42566 -246.67528 -4294.39532  64.19406       (-205.708,-182.481) (-76.927,-4230.201) (-257.620,-64.194)      4.10311
16    -141.18724 -269.70269 -193.49190 -246.60903 -4294.32908  64.06156       (-205.641,-182.547) (-77.126,-4230.268) (-257.553,-64.062)      4.37665
17    -141.25389 -269.50354 -193.55815 -246.54279 -4294.26283  63.92907       (-205.574,-182.614) (-77.325,-4230.334) (-257.487,-63.929)      4.65019
18    -141.32055 -269.30439 -193.62440 -246.47654 -4294.19658  63.79657       (-205.508,-182.680) (-77.524,-4230.400) (-257.421,-63.797)      4.92373
19    -141.38720 -269.10524 -193.69065 -246.41029 -4294.13033  63.66408       (-205.441,-182.746) (-77.723,-4230.466) (-257.355,-63.664)      5.19727
20    -141.45385 -268.90609 -193.75689 -246.34404 -4294.06409  63.53158       (-205.375,-182.812) (-77.922,-4230.533) (-257.288,-63.532)      5.47081
21    -141.52051 -268.70694 -193.82314 -246.27780 -4293.99784  63.39909       (-205.308,-182.879) (-78.121,-4230.599) (-257.222,-63.399)      5.74435
22    -141.58716 -268.50779 -193.88939 -246.21155 -4293.93159  63.26659       (-205.241,-182.945) (-78.321,-4230.665) (-257.156,-63.267)      6.01789
23    -141.65381 -268.30864 -193.95564 -246.14530 -4293.86534  63.13409       (-205.175,-183.011) (-78.520,-4230.731) (-257.090,-63.134)      6.29143
24    -141.72047 -268.10950 -194.02189 -246.07905 -4293.79909  63.00160       (-205.108,-183.077) (-78.719,-4230.797) (-257.023,-63.002)      6.56497
25    -141.78712 -267.91035 -194.08813 -246.01280 -4293.73285  62.86910       (-205.041,-183.144) (-78.918,-4230.864) (-256.957,-62.869)      6.83851
26    -141.85377 -267.71120 -194.15438 -245.94656 -4293.66660  62.73661       (-204.975,-183.210) (-79.117,-4230.930) (-256.891,-62.737)      7.11205
27    -141.92043 -267.51205 -194.22063 -245.88031 -4293.60035  62.60411       (-204.908,-183.276) (-79.316,-4230.996) (-256.825,-62.604)      7.38559
28    -141.98708 -267.31290 -194.28688 -245.81406 -4293.53410  62.47162       (-204.841,-183.342) (-79.515,-4231.062) (-256.758,-62.472)      7.65913
29    -142.05373 -267.11375 -194.35312 -245.74781 -4293.46786  62.33912       (-204.775,-183.409) (-79.715,-4231.129) (-256.692,-62.339)      7.93267
30    -142.12039 -266.91460 -194.41937 -245.68157 -4293.40161  62.20663       (-204.708,-183.475) (-79.914,-4231.195) (-256.626,-62.207)      8.20621
31    -142.18704 -266.71545 -194.48562 -245.61532 -4293.33536  62.07413       (-204.641,-183.541) (-80.113,-4231.261) (-256.560,-62.074)      8.47975
32    -142.25369 -266.51630 -194.55187 -245.54907 -4293.26911  61.94164       (-204.575,-183.607) (-80.312,-4231.327) (-256.494,-61.942)      8.75329
33    -142.32035 -266.31715 -194.61811 -245.48282 -4293.20286  61.80914       (-204.508,-183.674) (-80.511,-4231.394) (-256.427,-61.809)      9.02683
34    -142.38700 -266.11801 -194.68436 -245.41657 -4293.13662  61.67664       (-204.441,-183.740) (-80.710,-4231.460) (-256.361,-61.677)      9.30037
35    -142.45365 -265.91886 -194.75061 -245.35033 -4293.07037  61.54415       (-204.375,-183.806) (-80.910,-4231.526) (-256.295,-61.544)      9.57391
36    -142.52031 -265.71971 -194.81686 -245.28408 -4293.00412  61.41165       (-204.308,-183.872) (-81.109,-4231.592) (-256.229,-61.412)      9.84745
37    -142.58696 -265.52056 -194.88311 -245.21783 -4292.93787  61.27916       (-204.241,-183.939) (-81.308,-4231.659) (-256.162,-61.279)      10.121
38    -142.65361 -265.32141 -194.94935 -245.15158 -4292.87163  61.14666       (-204.175,-184.005) (-81.507,-4231.725) (-256.096,-61.147)      10.3945
39    -142.72027 -265.12226 -195.01560 -245.08534 -4292.80538  61.01417       (-204.108,-184.071) (-81.706,-4231.791) (-256.030,-61.014)      10.6681
40    -142.78692 -264.92311 -195.08185 -245.01909 -4292.73913  60.88167       (-204.041,-184.137) (-81.905,-4231.857) (-255.964,-60.882)      10.9416
41    -142.85357 -264.72396 -195.14810 -244.95284 -4292.67288  60.74918       (-203.975,-184.204) (-82.104,-4231.924) (-255.897,-60.749)      11.2152
42    -142.92023 -264.52481 -195.21434 -244.88659 -4292.60664  60.61668       (-203.908,-184.270) (-82.304,-4231.990) (-255.831,-60.617)      11.4887
43    -142.98688 -264.32567 -195.28059 -244.82035 -4292.54039  60.48418       (-203.841,-184.336) (-82.503,-4232.056) (-255.765,-60.484)      11.7622
44    -143.05353 -264.12652 -195.34684 -244.75410 -4292.47414  60.35169       (-203.775,-184.402) (-82.702,-4232.122) (-255.699,-60.352)      12.0358
45    -143.12019 -263.92737 -195.41309 -244.68785 -4292.40789  60.21919       (-203.708,-184.469) (-82.901,-4232.189) (-255.632,-60.219)      12.3093
46    -143.18684 -263.72822 -195.47934 -244.62160 -4292.34164  60.08670       (-203.642,-184.535) (-83.100,-4232.255) (-255.566,-60.087)      12.5829
47    -143.25350 -263.52907 -195.54558 -244.55535 -4292.27540  59.95420       (-203.575,-184.601) (-83.299,-4232.321) (-255.500,-59.954)      12.8564
48    -143.32015 -263.32992 -195.61183 -244.48911 -4292.20915  59.82171       (-203.508,-184.667) (-83.498,-4232.387) (-255.434,-59.822)      13.1299
49    -143.38680 -263.13077 -195.67808 -244.42286 -4292.14290  59.68921       (-203.442,-184.734) (-83.698,-4232.454) (-255.367,-59.689)      13.4035
50    -143.45346 -262.93162 -195.74433 -244.35661 -4292.07665  59.55672       (-203.375,-184.800) (-83.897,-4232.520) (-255.301,-59.557)      13.677
51    -143.52011 -262.73247 -195.81057 -244.29036 -4292.01041  59.42422       (-203.308,-184.866) (-84.096,-4232.586) (-255.235,-59.424)      13.9506
52    -143.58676 -262.53333 -195.87682 -244.22412 -4291.94416  59.29173       (-203.242,-184.932) (-84.295,-4232.652) (-255.169,-59.292)      14.2241
53    -143.65342 -262.33418 -195.94307 -244.15787 -4291.87791  59.15923       (-203.175,-184.999) (-84.494,-4232.719) (-255.102,-59.159)      14.4976
54    -143.72007 -262.13503 -196.00932 -244.09162 -4291.81166  59.02673       (-203.108,-185.065) (-84.693,-4232.785) (-255.036,-59.027)      14.7712
55    -143.78672 -261.93588 -196.07557 -244.02537 -4291.74541  58.89424       (-203.042,-185.131) (-84.892,-4232.851) (-254.970,-58.894)      15.0447
56    -143.85338 -261.73673 -196.14181 -243.95912 -4291.67917  58.76174       (-202.975,-185.197) (-85.092,-4232.917) (-254.904,-58.762)      15.3183
57    -143.92003 -261.53758 -196.20806 -243.89288 -4291.61292  58.62925       (-202.908,-185.264) (-85.291,-4232.984) (-254.837,-58.629)      15.5918
58    -143.98668 -261.33843 -196.27431 -243.82663 -4291.54667  58.49675       (-202.842,-185.330) (-85.490,-4233.050) (-254.771,-58.497)      15.8653
59    -144.05334 -261.13928 -196.34056 -243.76038 -4291.48042  58.36426       (-202.775,-185.396) (-85.689,-4233.116) (-254.705,-58.364)      16.1389
60    -144.11999 -260.94013 -196.40680 -243.69413 -4291.41418  58.23176       (-202.708,-185.462) (-85.888,-4233.182) (-254.639,-58.232)      16.4124
61    -144.18664 -260.74098 -196.47305 -243.62789 -4291.34793  58.09927       (-202.642,-185.529) (-86.087,-4233.249) (-254.572,-58.099)      16.686
62    -144.25330 -260.54184 -196.53930 -243.56164 -4291.28168  57.96677       (-202.575,-185.595) (-86.287,-4233.315) (-254.506,-57.967)      16.9595
63    -144.31995 -260.34269 -196.60555 -243.49539 -4291.21543  57.83428       (-202.508,-185.661) (-86.486,-4233.381) (-254.440,-57.834)      17.233
64    -144.38660 -260.14354 -196.67179 -243.42914 -4291.14918  57.70178       (-202.442,-185.727) (-86.685,-4233.447) (-254.374,-57.702)      17.5066
65    -144.45326 -259.94439 -196.73804 -243.36289 -4291.08294  57.56928       (-202.375,-185.794) (-86.884,-4233.514) (-254.307,-57.569)      17.7801
66    -144.51991 -259.74524 -196.80429 -243.29665 -4291.01669  57.43679       (-202.308,-185.860) (-87.083,-4233.580) (-254.241,-57.437)      18.0537
67    -144.58656 -259.54609 -196.87054 -243.23040 -4290.95044  57.30429       (-202.242,-185.926) (-87.282,-4233.646) (-254.175,-57.304)      18.3272
68    -144.65322 -259.34694 -196.93679 -243.16415 -4290.88419  57.17180       (-202.175,-185.992) (-87.481,-4233.712) (-254.109,-57.172)      18.6007
69    -144.71987 -259.14779 -197.00303 -243.09790 -4290.81795  57.03930       (-202.108,-186.059) (-87.681,-4233.779) (-254.042,-57.039)      18.8743
70    -144.78652 -258.94864 -197.06928 -243.03166 -4290.75170  56.90681       (-202.042,-186.125) (-87.880,-4233.845) (-253.976,-56.907)      19.1478
71    -144.85318 -258.74950 -197.13553 -242.96541 -4290.68545  56.77431       (-201.975,-186.191) (-88.079,-4233.911) (-253.910,-56.774)      19.4214
72    -144.91983 -258.55035 -197.20178 -242.89916 -4290.61920  56.64182       (-201.909,-186.257) (-88.278,-4233.977) (-253.844,-56.642)      19.6949
73    -144.98648 -258.35120 -197.26802 -242.83291 -4290.55296  56.50932       (-201.842,-186.324) (-88.477,-4234.044) (-253.777,-56.509)      19.9684
