2BOUNDS_2018-03-07.14_30_16.255_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -29.07947  -1.29732 -35.97337   5.34909 -16.11195 -13.85196       (-30.377,-26.573) (-1.297,-6.711) (-4.052,-12.555)      5.0243e-15
1    -29.08077  -1.29732 -35.94141   5.31714 -16.10254 -13.85066       (-30.378,-26.604) (-1.297,-6.766) (-4.020,-12.553)      0.070819
2    -29.08207  -1.29732 -35.90946   5.28519 -16.09313 -13.84936       (-30.379,-26.636) (-1.297,-6.820) (-3.988,-12.552)      0.141638
3    -29.08336  -1.29732 -35.87751   5.25323 -16.08372 -13.84806       (-30.381,-26.668) (-1.297,-6.875) (-3.956,-12.551)      0.212457
4    -29.08466  -1.29732 -35.84555   5.22128 -16.07431 -13.84677       (-30.382,-26.700) (-1.297,-6.929) (-3.924,-12.549)      0.283276
5    -29.08596  -1.29732 -35.81360   5.18933 -16.06490 -13.84547       (-30.383,-26.732) (-1.297,-6.984) (-3.892,-12.548)      0.354095
6    -29.08726  -1.29732 -35.78165   5.15737 -16.05549 -13.84417       (-30.385,-26.764) (-1.297,-7.038) (-3.860,-12.547)      0.424914
7    -29.08856  -1.29732 -35.74969   5.12542 -16.04608 -13.84287       (-30.386,-26.796) (-1.297,-7.093) (-3.828,-12.546)      0.495733
8    -29.08986  -1.29732 -35.71774   5.09347 -16.03666 -13.84157       (-30.387,-26.828) (-1.297,-7.147) (-3.796,-12.544)      0.566552
9    -29.09116  -1.29732 -35.68579   5.06151 -16.02725 -13.84027       (-30.388,-26.860) (-1.297,-7.202) (-3.764,-12.543)      0.637371
10    -29.09245  -1.29732 -35.65383   5.02956 -16.01784 -13.83897       (-30.390,-26.892) (-1.297,-7.256) (-3.732,-12.542)      0.70819
11    -29.09375  -1.29732 -35.62188   4.99761 -16.00843 -13.83767       (-30.391,-26.924) (-1.297,-7.311) (-3.700,-12.540)      0.779009
12    -29.09505  -1.29732 -35.58993   4.96565 -15.99902 -13.83638       (-30.392,-26.956) (-1.297,-7.365) (-3.668,-12.539)      0.849828
13    -29.09635  -1.29732 -35.55797   4.93370 -15.98961 -13.83508       (-30.394,-26.988) (-1.297,-7.420) (-3.636,-12.538)      0.920647
14    -29.09765  -1.29732 -35.52602   4.90175 -15.98020 -13.83378       (-30.395,-27.020) (-1.297,-7.474) (-3.604,-12.536)      0.991466
15    -29.09895  -1.29732 -35.49406   4.86979 -15.97079 -13.83248       (-30.396,-27.052) (-1.297,-7.529) (-3.572,-12.535)      1.06229
16    -29.10025  -1.29732 -35.46211   4.83784 -15.96138 -13.83118       (-30.398,-27.084) (-1.297,-7.583) (-3.541,-12.534)      1.1331
17    -29.10155  -1.29732 -35.43016   4.80588 -15.95197 -13.82988       (-30.399,-27.116) (-1.297,-7.638) (-3.509,-12.533)      1.20392
18    -29.10284  -1.29732 -35.39820   4.77393 -15.94256 -13.82858       (-30.400,-27.148) (-1.297,-7.692) (-3.477,-12.531)      1.27474
19    -29.10414  -1.29732 -35.36625   4.74198 -15.93315 -13.82729       (-30.401,-27.180) (-1.297,-7.747) (-3.445,-12.530)      1.34556
20    -29.10544  -1.29732 -35.33430   4.71002 -15.92374 -13.82599       (-30.403,-27.212) (-1.297,-7.801) (-3.413,-12.529)      1.41638
21    -29.10674  -1.29732 -35.30234   4.67807 -15.91433 -13.82469       (-30.404,-27.244) (-1.297,-7.856) (-3.381,-12.527)      1.4872
22    -29.10804  -1.29732 -35.27039   4.64612 -15.90492 -13.82339       (-30.405,-27.275) (-1.297,-7.910) (-3.349,-12.526)      1.55802
23    -29.10934  -1.29732 -35.23844   4.61416 -15.89551 -13.82209       (-30.407,-27.307) (-1.297,-7.965) (-3.317,-12.525)      1.62884
24    -29.11064  -1.29732 -35.20648   4.58221 -15.88610 -13.82079       (-30.408,-27.339) (-1.297,-8.019) (-3.285,-12.523)      1.69966
