10PERCENT_2018-03-07.11_27_30.752_.txt     Output is probe cell, reduced cell, NCDist distance between
0      8.25024   9.68384   7.17666 -40.40337 -34.56621 -26.24716       (-0.063,-8.736) (-1.308,-2.382) (-8.508,-6.942)      0
1      8.24192   9.67284   7.16096 -40.37167 -34.53399 -26.22783       (-0.071,-8.776) (-1.289,-2.370) (-8.520,-6.953)      0.049485
2      8.23360   9.66184   7.14526 -40.33997 -34.50178 -26.20851       (-0.079,-8.816) (-1.269,-2.358) (-8.532,-6.964)      0.0989699
3      8.22528   9.65083   7.12956 -40.30828 -34.46956 -26.18919       (-0.088,-8.856) (-1.250,-2.346) (-8.544,-6.975)      0.148455
4      8.21696   9.63983   7.11386 -40.27658 -34.43734 -26.16986       (-0.096,-8.896) (-1.231,-2.334) (-8.556,-6.986)      0.19794
5      8.20864   9.62883   7.09816 -40.24488 -34.40513 -26.15054       (-0.104,-8.936) (-1.211,-2.322) (-8.568,-6.997)      0.247425
6      8.20031   9.61783   7.08246 -40.21318 -34.37291 -26.13121       (-0.113,-8.976) (-1.192,-2.310) (-8.580,-7.008)      0.29691
7      8.19199   9.60682   7.06676 -40.18148 -34.34069 -26.11189       (-0.121,-9.016) (-1.173,-2.298) (-8.592,-7.019)      0.346395
8      8.18367   9.59582   7.05106 -40.14978 -34.30847 -26.09256       (-0.129,-9.056) (-1.153,-2.286) (-8.604,-7.030)      0.39588
9      8.17535   9.58482   7.03536 -40.11808 -34.27626 -26.07324       (-0.138,-9.096) (-1.134,-2.274) (-8.616,-7.041)      0.445365
10      8.16703   9.57382   7.01966 -40.08638 -34.24404 -26.05392       (-0.146,-9.136) (-1.115,-2.262) (-8.628,-7.052)      0.49485
11      8.15871   9.56281   7.00396 -40.05468 -34.21182 -26.03459       (-0.154,-9.175) (-1.095,-2.250) (-8.640,-7.063)      0.544334
12      8.15039   9.55181   6.98826 -40.02298 -34.17961 -26.01527       (-0.163,-9.215) (-1.076,-2.238) (-8.652,-7.074)      0.593819
13      8.14206   9.54081   6.97256 -39.99128 -34.14739 -25.99594       (-0.171,-9.255) (-1.057,-2.226) (-8.664,-7.085)      0.643304
14      8.13374   9.52980   6.95686 -39.95959 -34.11517 -25.97662       (-0.179,-9.295) (-1.037,-2.214) (-8.677,-7.096)      0.692789
15      8.12542   9.51880   6.94116 -39.92789 -34.08296 -25.95730       (-0.188,-9.335) (-1.018,-2.202) (-8.689,-7.107)      0.742274
16      8.11710   9.50780   6.92546 -39.89619 -34.05074 -25.93797       (-0.196,-9.375) (-0.999,-2.190) (-8.701,-7.118)      0.791759
17      8.10878   9.49680   6.90976 -39.86449 -34.01852 -25.91865       (-0.204,-9.415) (-0.979,-2.178) (-8.713,-7.129)      0.841244
18      8.10046   9.48579   6.89406 -39.83279 -33.98631 -25.89932       (-0.213,-9.455) (-0.960,-2.167) (-8.725,-7.140)      0.890729
19      8.09214   9.47479   6.87836 -39.80109 -33.95409 -25.88000       (-0.221,-9.495) (-0.941,-2.155) (-8.737,-7.151)      0.940214
20      8.08381   9.46379   6.86266 -39.76939 -33.92187 -25.86067       (-0.229,-9.535) (-0.921,-2.143) (-8.749,-7.162)      0.989699
21      8.07549   9.45278   6.84696 -39.73769 -33.88966 -25.84135       (-0.238,-9.575) (-0.902,-2.131) (-8.761,-7.173)      1.03918
22      8.06717   9.44178   6.83126 -39.70599 -33.85744 -25.82203       (-0.246,-9.615) (-0.883,-2.119) (-8.773,-7.184)      1.08867
23      8.05885   9.43078   6.81556 -39.67429 -33.82522 -25.80270       (-0.254,-9.655) (-0.863,-2.107) (-8.785,-7.195)      1.13815
24      8.05053   9.41978   6.79986 -39.64259 -33.79300 -25.78338       (-0.263,-9.695) (-0.844,-2.095) (-8.797,-7.206)      1.18764
25      8.04221   9.40877   6.78416 -39.61089 -33.76079 -25.76405       (-0.271,-9.735) (-0.825,-2.083) (-8.809,-7.217)      1.23712
26      8.03389   9.39777   6.76846 -39.57920 -33.72857 -25.74473       (-0.279,-9.775) (-0.806,-2.071) (-8.821,-7.228)      1.28661
27      8.02556   9.38677   6.75276 -39.54750 -33.69635 -25.72541       (-0.288,-9.815) (-0.786,-2.059) (-8.833,-7.239)      1.33609
28      8.01724   9.37576   6.73706 -39.51580 -33.66414 -25.70608       (-0.296,-9.855) (-0.767,-2.047) (-8.846,-7.250)      1.38558
29      8.00892   9.36476   6.72136 -39.48410 -33.63192 -25.68676       (-0.304,-9.895) (-0.748,-2.035) (-8.858,-7.261)      1.43506
30      8.00060   9.35376   6.70566 -39.45240 -33.59970 -25.66743       (-0.312,-9.935) (-0.728,-2.023) (-8.870,-7.272)      1.48455
31      7.99228   9.34276   6.68996 -39.42070 -33.56749 -25.64811       (-0.321,-9.975) (-0.709,-2.011) (-8.882,-7.283)      1.53403
