2BOUNDS_2018-03-07.14_21_09.48_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -35.25695 -22.25457 -18.44308 -32.65386  12.90434  -3.43773       (-5.539,-6.355) (-3.928,-7.366) (-27.891,-21.764)      0
1    -35.24344 -22.23623 -18.43098 -32.64909  12.88405  -3.43983       (-5.547,-6.424) (-3.897,-7.337) (-27.906,-21.779)      0.0832807
2    -35.22993 -22.21788 -18.41888 -32.64433  12.86376  -3.44194       (-5.555,-6.492) (-3.867,-7.309) (-27.921,-21.793)      0.166561
3    -35.21643 -22.19954 -18.40678 -32.63956  12.84347  -3.44404       (-5.563,-6.561) (-3.836,-7.280) (-27.936,-21.807)      0.249842
4    -35.20292 -22.18119 -18.39468 -32.63479  12.82318  -3.44614       (-5.571,-6.629) (-3.806,-7.252) (-27.951,-21.822)      0.333123
5    -35.18942 -22.16285 -18.38258 -32.63003  12.80289  -3.44825       (-5.580,-6.698) (-3.775,-7.223) (-27.966,-21.836)      0.416404
6    -35.17591 -22.14450 -18.37048 -32.62526  12.78260  -3.45035       (-5.588,-6.766) (-3.744,-7.195) (-27.981,-21.850)      0.499684
7    -35.16240 -22.12616 -18.35838 -32.62049  12.76231  -3.45245       (-5.596,-6.835) (-3.714,-7.166) (-27.996,-21.865)      0.582965
8    -35.14890 -22.10781 -18.34628 -32.61572  12.74202  -3.45456       (-5.604,-6.903) (-3.683,-7.138) (-28.011,-21.879)      0.666246
9    -35.13539 -22.08947 -18.33418 -32.61096  12.72173  -3.45666       (-5.612,-6.972) (-3.653,-7.109) (-28.026,-21.894)      0.749526
10    -35.12189 -22.07112 -18.32208 -32.60619  12.70144  -3.45876       (-5.621,-7.040) (-3.622,-7.081) (-28.041,-21.908)      0.832807
11    -35.10838 -22.05278 -18.30998 -32.60142  12.68115  -3.46087       (-5.629,-7.109) (-3.591,-7.052) (-28.056,-21.922)      0.851828
12    -35.09487 -22.03443 -18.29788 -32.59665  12.66086  -3.46297       (-5.637,-7.177) (-3.561,-7.024) (-28.071,-21.937)      0.830133
13    -35.08137 -22.01609 -18.28578 -32.59189  12.64057  -3.46507       (-5.645,-7.246) (-3.530,-6.995) (-28.086,-21.951)      0.816395
14    -35.06786 -21.99774 -18.27368 -32.58712  12.62028  -3.46718       (-5.653,-7.314) (-3.500,-6.967) (-28.101,-21.965)      0.81102
15    -35.05436 -21.97940 -18.26158 -32.58235  12.59999  -3.46928       (-5.662,-7.383) (-3.469,-6.938) (-28.116,-21.980)      0.814173
16    -35.04085 -21.96105 -18.24948 -32.57759  12.57970  -3.47138       (-5.670,-7.451) (-3.439,-6.910) (-28.131,-21.994)      0.825756
17    -35.02734 -21.94271 -18.23738 -32.57282  12.55941  -3.47348       (-5.678,-7.520) (-3.408,-6.881) (-28.146,-22.008)      0.845423
18    -35.01384 -21.92436 -18.22528 -32.56805  12.53912  -3.47559       (-5.686,-7.588) (-3.377,-6.853) (-28.161,-22.023)      0.872627
19    -35.00033 -21.90602 -18.21318 -32.56328  12.51883  -3.47769       (-5.694,-7.657) (-3.347,-6.824) (-28.176,-22.037)      0.90669
20    -34.98683 -21.88767 -18.20108 -32.55852  12.49854  -3.47979       (-5.703,-7.725) (-3.316,-6.796) (-28.191,-22.051)      0.946873
21    -34.97332 -21.86933 -18.18898 -32.55375  12.47825  -3.48190       (-5.711,-7.794) (-3.286,-6.768) (-28.206,-22.066)      0.992432
22    -34.95981 -21.85098 -18.17688 -32.54898  12.45796  -3.48400       (-5.719,-7.862) (-3.255,-6.739) (-28.221,-22.080)      1.04266
23    -34.94631 -21.83264 -18.16478 -32.54421  12.43767  -3.48610       (-5.727,-7.931) (-3.224,-6.711) (-28.236,-22.094)      1.09692
