2BOUNDS_2018-03-07.14_22_48.89_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -24.02539 -30.23211 -35.43700  -0.38714 -32.90932  18.18955       (-3.255,-0.172) (-6.074,-5.606) (-11.287,-0.081)      0
1    -24.00460 -30.20793 -35.41283  -0.38693 -32.88199  18.17126       (-3.153,-0.079) (-6.184,-5.681) (-11.415,-0.149)      0.240463
2    -23.98380 -30.18375 -35.38865  -0.38671 -32.85466  18.15297       (-3.065,-0.014) (-11.529,-5.742) (-6.281,-0.203)      0.407928
3    -23.96301 -30.15957 -35.36448  -0.38650 -32.82733  18.13468       (-3.056,-0.107) (-11.564,-5.725) (-6.299,-0.178)      0.465266
4    -23.94222 -30.13539 -35.34031  -0.38628 -32.79999  18.11639       (-3.047,-0.200) (-11.599,-5.707) (-6.317,-0.152)      0.537538
5    -23.92143 -30.11120 -35.31613  -0.38606 -32.77266  18.09810       (-3.037,-0.292) (-11.634,-5.689) (-6.334,-0.127)      0.613536
6    -23.90064 -30.08702 -35.29196  -0.38585 -32.74533  18.07982       (-3.028,-0.385) (-11.669,-5.671) (-6.352,-0.102)      0.667926
7    -23.87985 -30.06284 -35.26778  -0.38563 -32.71800  18.06153       (-3.019,-0.478) (-11.704,-5.653) (-6.369,-0.077)      0.733642
8    -23.85906 -30.03866 -35.24361  -0.38542 -32.69067  18.04324       (-3.010,-0.571) (-11.739,-5.635) (-6.387,-0.052)      0.807925
9    -23.83827 -30.01447 -35.21944  -0.38520 -32.66334  18.02495       (-3.001,-0.664) (-11.774,-5.617) (-6.405,-0.026)      0.88863
10    -23.81747 -29.99029 -35.19526  -0.38499 -32.63601  18.00666       (-2.992,-0.757) (-11.809,-5.600) (-6.422,-0.001)      0.974161
11    -23.79668 -29.96611 -35.17109  -0.38477 -32.60868  17.98837       (-11.819,-0.826) (-2.959,-5.558) (-6.464,-0.024)      1.04955
12    -23.77589 -29.94193 -35.14692  -0.38456 -32.58135  17.97008       (-11.829,-0.894) (-2.925,-5.515) (-6.507,-0.049)      1.12839
13    -23.75510 -29.91774 -35.12274  -0.38434 -32.55402  17.95179       (-11.839,-0.961) (-2.891,-5.471) (-6.550,-0.075)      1.21051
14    -23.73431 -29.89356 -35.09857  -0.38413 -32.52669  17.93350       (-11.848,-1.029) (-2.856,-5.428) (-6.593,-0.100)      1.29529
15    -23.71352 -29.86938 -35.07439  -0.38391 -32.49936  17.91521       (-11.858,-1.097) (-2.822,-5.385) (-6.636,-0.125)      1.38224
16    -23.69273 -29.84520 -35.05022  -0.38370 -32.47203  17.89692       (-11.868,-1.164) (-2.788,-5.342) (-6.679,-0.150)      1.47097
17    -23.67193 -29.82101 -35.02605  -0.38348 -32.44470  17.87864       (-11.877,-1.232) (-2.753,-5.299) (-6.721,-0.176)      1.56118
18    -23.65114 -29.79683 -35.00187  -0.38327 -32.41736  17.86035       (-11.887,-1.300) (-2.719,-5.256) (-6.764,-0.201)      1.65263
19    -23.63035 -29.77265 -34.97770  -0.38305 -32.39003  17.84206       (-11.897,-1.367) (-2.685,-5.213) (-6.807,-0.226)      1.74512
20    -23.60956 -29.74847 -34.95353  -0.38284 -32.36270  17.82377       (-11.906,-1.435) (-2.651,-5.170) (-6.850,-0.251)      1.83849
21    -23.58877 -29.72428 -34.92935  -0.38262 -32.33537  17.80548       (-11.916,-1.503) (-2.616,-5.127) (-6.893,-0.277)      1.93263
22    -23.56798 -29.70010 -34.90518  -0.38241 -32.30804  17.78719       (-11.926,-1.571) (-2.582,-5.084) (-6.936,-0.302)      2.02741
23    -23.54719 -29.67592 -34.88101  -0.38219 -32.28071  17.76890       (-11.936,-1.638) (-2.548,-5.041) (-6.979,-0.327)      2.12276
24    -23.52640 -29.65174 -34.85683  -0.38198 -32.25338  17.75061       (-11.945,-1.706) (-2.514,-4.997) (-7.021,-0.352)      2.2186
25    -23.50560 -29.62756 -34.83266  -0.38176 -32.22605  17.73232       (-11.955,-1.774) (-2.479,-4.954) (-7.064,-0.378)      2.31487
26    -23.48481 -29.60337 -34.80848  -0.38155 -32.19872  17.71403       (-11.965,-1.841) (-2.445,-4.911) (-7.107,-0.403)      2.41152
27    -23.46402 -29.57919 -34.78431  -0.38133 -32.17139  17.69574       (-11.974,-1.909) (-2.411,-4.868) (-7.150,-0.428)      2.50851
28    -23.44323 -29.55501 -34.76014  -0.38112 -32.14406  17.67746       (-11.984,-1.977) (-2.376,-4.825) (-7.193,-0.453)      2.60579
29    -23.42244 -29.53083 -34.73596  -0.38090 -32.11673  17.65917       (-11.994,-2.044) (-2.342,-4.782) (-7.236,-0.479)      2.70334
30    -23.40165 -29.50664 -34.71179  -0.38069 -32.08940  17.64088       (-12.003,-2.112) (-2.308,-4.739) (-7.279,-0.504)      2.80113
31    -23.38086 -29.48246 -34.68762  -0.38047 -32.06207  17.62259       (-12.013,-2.180) (-2.274,-4.696) (-7.322,-0.529)      2.89913
32    -23.36006 -29.45828 -34.66344  -0.38026 -32.03473  17.60430       (-12.023,-2.247) (-2.239,-4.653) (-7.364,-0.554)      2.99732
33    -23.33927 -29.43410 -34.63927  -0.38004 -32.00740  17.58601       (-12.032,-2.315) (-2.205,-4.610) (-7.407,-0.579)      3.09569
34    -23.31848 -29.40991 -34.61509  -0.37983 -31.98007  17.56772       (-12.042,-2.383) (-2.171,-4.567) (-7.450,-0.605)      3.19421
35    -23.29769 -29.38573 -34.59092  -0.37961 -31.95274  17.54943       (-12.052,-2.451) (-2.137,-4.523) (-7.493,-0.630)      3.29289
36    -23.27690 -29.36155 -34.56675  -0.37940 -31.92541  17.53114       (-12.061,-2.518) (-2.102,-4.480) (-7.536,-0.655)      3.39169
37    -23.25611 -29.33737 -34.54257  -0.37918 -31.89808  17.51285       (-12.071,-2.586) (-2.068,-4.437) (-7.579,-0.680)      3.49061
38    -23.23532 -29.31318 -34.51840  -0.37896 -31.87075  17.49456       (-12.081,-2.654) (-2.034,-4.394) (-7.622,-0.706)      3.58964
39    -23.21453 -29.28900 -34.49423  -0.37875 -31.84342  17.47628       (-12.090,-2.721) (-1.999,-4.351) (-7.664,-0.731)      3.68878
40    -23.19373 -29.26482 -34.47005  -0.37853 -31.81609  17.45799       (-12.100,-2.789) (-1.965,-4.308) (-7.707,-0.756)      3.788
41    -23.17294 -29.24064 -34.44588  -0.37832 -31.78876  17.43970       (-12.110,-2.857) (-1.931,-4.265) (-7.750,-0.781)      3.88732
42    -23.15215 -29.21645 -34.42170  -0.37810 -31.76143  17.42141       (-12.119,-2.924) (-1.897,-4.222) (-7.793,-0.807)      3.98671
43    -23.13136 -29.19227 -34.39753  -0.37789 -31.73410  17.40312       (-12.129,-2.992) (-1.862,-4.179) (-7.836,-0.832)      4.08618
44    -23.11057 -29.16809 -34.37336  -0.37767 -31.70677  17.38483       (-12.139,-3.060) (-1.828,-4.136) (-7.879,-0.857)      4.18572
45    -23.08978 -29.14391 -34.34918  -0.37746 -31.67944  17.36654       (-12.148,-3.127) (-1.794,-4.093) (-7.922,-0.882)      4.28532
46    -23.06899 -29.11973 -34.32501  -0.37724 -31.65210  17.34825       (-12.158,-3.195) (-1.760,-4.049) (-7.964,-0.908)      4.38498
47    -23.04819 -29.09554 -34.30084  -0.37703 -31.62477  17.32996       (-12.168,-3.263) (-1.725,-4.006) (-8.007,-0.933)      4.4847
48    -23.02740 -29.07136 -34.27666  -0.37681 -31.59744  17.31167       (-12.177,-3.331) (-1.691,-3.963) (-8.050,-0.958)      4.58446
49    -23.00661 -29.04718 -34.25249  -0.37660 -31.57011  17.29338       (-12.187,-3.398) (-1.657,-3.920) (-8.093,-0.983)      4.68428
50    -22.98582 -29.02300 -34.22831  -0.37638 -31.54278  17.27510       (-12.197,-3.466) (-1.622,-3.877) (-8.136,-1.009)      4.78414
51    -22.96503 -28.99881 -34.20414  -0.37617 -31.51545  17.25681       (-12.206,-3.534) (-1.588,-3.834) (-8.179,-1.034)      4.88405
52    -22.94424 -28.97463 -34.17997  -0.37595 -31.48812  17.23852       (-12.216,-3.601) (-1.554,-3.791) (-8.222,-1.059)      4.984
53    -22.92345 -28.95045 -34.15579  -0.37574 -31.46079  17.22023       (-12.226,-3.669) (-1.520,-3.748) (-8.265,-1.084)      5.08398
54    -22.90266 -28.92627 -34.13162  -0.37552 -31.43346  17.20194       (-12.235,-3.737) (-1.485,-3.705) (-8.307,-1.110)      5.184
55    -22.88186 -28.90208 -34.10745  -0.37531 -31.40613  17.18365       (-12.245,-3.804) (-1.451,-3.662) (-8.350,-1.135)      5.20816
56    -22.86107 -28.87790 -34.08327  -0.37509 -31.37880  17.16536       (-12.255,-3.872) (-1.417,-3.619) (-8.393,-1.160)      5.1948
57    -22.84028 -28.85372 -34.05910  -0.37488 -31.35147  17.14707       (-12.264,-3.940) (-1.383,-3.575) (-8.436,-1.185)      5.18337
