10PERCENT_2018-03-07.11_27_41.877_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -56.12821 -33.43401   0.78209   2.94724   4.81421 -35.19059       (-26.757,-45.718) (-4.032,-2.165) (-0.782,-20.450)      3.55271e-15
1    -56.09881 -33.40458   0.78052   2.89853   4.80723 -35.17584       (-26.827,-45.704) (-4.027,-2.118) (-0.781,-20.545)      0.127772
2    -56.06941 -33.37515   0.77896   2.84981   4.80024 -35.16108       (-26.897,-45.690) (-4.021,-2.071) (-0.779,-20.640)      0.255544
3    -56.04001 -33.34572   0.77739   2.80110   4.79325 -35.14633       (-26.966,-45.676) (-4.016,-2.024) (-0.777,-20.735)      0.383316
4    -56.01061 -33.31629   0.77583   2.75239   4.78627 -35.13157       (-27.036,-45.662) (-4.010,-1.977) (-0.776,-20.830)      0.511088
5    -55.98121 -33.28685   0.77426   2.70367   4.77928 -35.11682       (-27.105,-45.648) (-4.005,-1.929) (-0.774,-20.925)      0.63886
6    -55.95181 -33.25742   0.77269   2.65496   4.77229 -35.10206       (-27.175,-45.635) (-4.000,-1.882) (-0.773,-21.020)      0.766632
7    -55.92241 -33.22799   0.77113   2.60625   4.76531 -35.08730       (-27.244,-45.621) (-3.994,-1.835) (-0.771,-21.115)      0.894404
8    -55.89301 -33.19856   0.76956   2.55753   4.75832 -35.07255       (-27.314,-45.607) (-3.989,-1.788) (-0.770,-21.210)      1.02218
9    -55.86361 -33.16913   0.76800   2.50882   4.75134 -35.05779       (-27.383,-45.593) (-3.983,-1.741) (-0.768,-21.305)      1.14995
10    -55.83421 -33.13970   0.76643   2.46011   4.74435 -35.04304       (-27.453,-45.579) (-3.978,-1.694) (-0.766,-21.401)      1.27772
11    -55.80481 -33.11027   0.76487   2.41139   4.73736 -35.02828       (-27.523,-45.565) (-3.972,-1.647) (-0.765,-21.496)      1.40549
12    -55.77541 -33.08084   0.76330   2.36268   4.73038 -35.01353       (-27.592,-45.551) (-3.967,-1.599) (-0.763,-21.591)      1.53326
13    -55.74601 -33.05140   0.76173   2.31396   4.72339 -34.99877       (-27.662,-45.537) (-3.962,-1.552) (-0.762,-21.686)      1.66104
14    -55.71661 -33.02197   0.76017   2.26525   4.71640 -34.98402       (-27.731,-45.524) (-3.956,-1.505) (-0.760,-21.781)      1.78881
15    -55.68721 -32.99254   0.75860   2.21654   4.70942 -34.96926       (-27.801,-45.510) (-3.951,-1.458) (-0.759,-21.876)      1.91658
16    -55.65781 -32.96311   0.75704   2.16782   4.70243 -34.95450       (-27.870,-45.496) (-3.945,-1.411) (-0.757,-21.971)      2.04435
17    -55.62841 -32.93368   0.75547   2.11911   4.69544 -34.93975       (-27.940,-45.482) (-3.940,-1.364) (-0.755,-22.066)      2.17212
18    -55.59901 -32.90425   0.75391   2.07040   4.68846 -34.92499       (-28.010,-45.468) (-3.935,-1.316) (-0.754,-22.161)      2.2999
19    -55.56961 -32.87482   0.75234   2.02168   4.68147 -34.91024       (-28.079,-45.454) (-3.929,-1.269) (-0.752,-22.256)      2.42767
20    -55.54021 -32.84538   0.75077   1.97297   4.67449 -34.89548       (-28.149,-45.440) (-3.924,-1.222) (-0.751,-22.351)      2.55544
21    -55.51081 -32.81595   0.74921   1.92425   4.66750 -34.88073       (-28.218,-45.427) (-3.918,-1.175) (-0.749,-22.446)      2.68321
22    -55.48141 -32.78652   0.74764   1.87554   4.66051 -34.86597       (-28.288,-45.413) (-3.913,-1.128) (-0.748,-22.542)      2.81099
23    -55.45201 -32.75709   0.74608   1.82683   4.65353 -34.85122       (-28.357,-45.399) (-3.907,-1.081) (-0.746,-22.637)      2.93876
24    -55.42261 -32.72766   0.74451   1.77811   4.64654 -34.83646       (-28.427,-45.385) (-3.902,-1.034) (-0.745,-22.732)      3.06653
25    -55.39321 -32.69823   0.74295   1.72940   4.63955 -34.82170       (-28.496,-45.371) (-3.897,-0.986) (-0.743,-22.827)      3.1943
26    -55.36381 -32.66880   0.74138   1.68069   4.63257 -34.80695       (-28.566,-45.357) (-3.891,-0.939) (-0.741,-22.922)      3.32207
27    -55.33441 -32.63937   0.73981   1.63197   4.62558 -34.79219       (-28.636,-45.343) (-3.886,-0.892) (-0.740,-23.017)      3.44985
28    -55.30501 -32.60993   0.73825   1.58326   4.61859 -34.77744       (-28.705,-45.330) (-3.880,-0.845) (-0.738,-23.112)      3.57762
29    -55.27561 -32.58050   0.73668   1.53455   4.61161 -34.76268       (-28.775,-45.316) (-3.875,-0.798) (-0.737,-23.207)      3.70539
30    -55.24621 -32.55107   0.73512   1.48583   4.60462 -34.74793       (-28.844,-45.302) (-3.870,-0.751) (-0.735,-23.302)      3.83316
31    -55.21681 -32.52164   0.73355   1.43712   4.59764 -34.73317       (-28.914,-45.288) (-3.864,-0.704) (-0.734,-23.397)      3.96093
32    -55.18741 -32.49221   0.73199   1.38840   4.59065 -34.71841       (-28.983,-45.274) (-3.859,-0.656) (-0.732,-23.492)      4.08871
33    -55.15801 -32.46278   0.73042   1.33969   4.58366 -34.70366       (-29.053,-45.260) (-3.853,-0.609) (-0.730,-23.587)      4.21648
34    -55.12861 -32.43335   0.72885   1.29098   4.57668 -34.68890       (-29.123,-45.246) (-3.848,-0.562) (-0.729,-23.682)      4.34425
35    -55.09921 -32.40391   0.72729   1.24226   4.56969 -34.67415       (-29.192,-45.233) (-3.842,-0.515) (-0.727,-23.778)      4.47202
36    -55.06981 -32.37448   0.72572   1.19355   4.56270 -34.65939       (-29.262,-45.219) (-3.837,-0.468) (-0.726,-23.873)      4.59979
37    -55.04041 -32.34505   0.72416   1.14484   4.55572 -34.64464       (-29.331,-45.205) (-3.832,-0.421) (-0.724,-23.968)      4.72757
38    -55.01100 -32.31562   0.72259   1.09612   4.54873 -34.62988       (-29.401,-45.191) (-3.826,-0.374) (-0.723,-24.063)      4.85534
39    -54.98160 -32.28619   0.72103   1.04741   4.54174 -34.61513       (-29.470,-45.177) (-3.821,-0.326) (-0.721,-24.158)      4.98311
40    -54.95220 -32.25676   0.71946   0.99870   4.53476 -34.60037       (-29.540,-45.163) (-3.815,-0.279) (-0.719,-24.253)      5.11088
41    -54.92280 -32.22733   0.71789   0.94998   4.52777 -34.58561       (-29.609,-45.149) (-3.810,-0.232) (-0.718,-24.348)      5.23865
42    -54.89340 -32.19790   0.71633   0.90127   4.52079 -34.57086       (-29.679,-45.136) (-3.804,-0.185) (-0.716,-24.443)      5.36643
43    -54.86400 -32.16846   0.71476   0.85255   4.51380 -34.55610       (-29.749,-45.122) (-3.799,-0.138) (-0.715,-24.538)      5.4942
44    -54.83460 -32.13903   0.71320   0.80384   4.50681 -34.54135       (-29.818,-45.108) (-3.794,-0.091) (-0.713,-24.633)      5.62197
45    -54.80520 -32.10960   0.71163   0.75513   4.49983 -34.52659       (-29.888,-45.094) (-3.788,-0.043) (-0.712,-24.728)      5.74974
46    -54.77580 -32.08017   0.71007   0.70641   4.49284 -34.51184       (-24.820,-29.954) (-0.706,-45.076) (-0.004,-3.786)      5.8731
47    -54.74640 -32.05074   0.70850   0.65770   4.48585 -34.49708       (-24.868,-29.976) (-0.658,-45.015) (-0.051,-3.828)      5.94458
48    -54.71700 -32.02131   0.70693   0.60899   4.47887 -34.48233       (-24.916,-29.998) (-0.609,-44.954) (-0.098,-3.870)      6.01734
49    -54.68760 -31.99188   0.70537   0.56027   4.47188 -34.46757       (-24.964,-30.021) (-0.560,-44.893) (-0.145,-3.912)      6.09134
50    -54.65820 -31.96245   0.70380   0.51156   4.46489 -34.45281       (-25.011,-30.043) (-0.512,-44.832) (-0.192,-3.953)      6.16655
51    -54.62880 -31.93301   0.70224   0.46285   4.45791 -34.43806       (-25.059,-30.066) (-0.463,-44.771) (-0.239,-3.995)      6.2429
52    -54.59940 -31.90358   0.70067   0.41413   4.45092 -34.42330       (-25.107,-30.088) (-0.414,-44.710) (-0.287,-4.037)      6.32037
53    -54.57000 -31.87415   0.69910   0.36542   4.44394 -34.40855       (-25.155,-30.111) (-0.365,-44.649) (-0.334,-4.079)      6.39891
54    -54.54060 -31.84472   0.69754   0.31670   4.43695 -34.39379       (-25.203,-30.133) (-0.317,-44.588) (-0.381,-4.120)      6.47849
55    -54.51120 -31.81529   0.69597   0.26799   4.42996 -34.37904       (-25.251,-30.155) (-0.268,-44.527) (-0.428,-4.162)      6.55906
56    -54.48180 -31.78586   0.69441   0.21928   4.42298 -34.36428       (-25.299,-30.178) (-0.219,-44.466) (-0.475,-4.204)      6.64058
57    -54.45240 -31.75643   0.69284   0.17056   4.41599 -34.34953       (-25.347,-30.200) (-0.171,-44.405) (-0.522,-4.245)      6.72304
58    -54.42300 -31.72699   0.69128   0.12185   4.40900 -34.33477       (-25.395,-30.223) (-0.122,-44.344) (-0.569,-4.287)      6.80638
59    -54.39360 -31.69756   0.68971   0.07314   4.40202 -34.32001       (-25.443,-30.245) (-0.073,-44.283) (-0.617,-4.329)      6.89058
60    -54.36420 -31.66813   0.68814   0.02442   4.39503 -34.30526       (-25.491,-30.267) (-0.024,-44.222) (-0.664,-4.371)      6.97561
61    -54.33480 -31.63870   0.68658  -0.02429   4.38805 -34.29050       (-4.388,-30.266) (-0.024,-44.186) (-0.687,-25.514)      11.9477    *****
62    -54.30540 -31.60927   0.68501  -0.07300   4.38106 -34.27575       (-4.381,-30.239) (-0.073,-44.173) (-0.685,-25.514)      11.9166
63    -54.27600 -31.57984   0.68345  -0.12172   4.37407 -34.26099       (-4.374,-30.213) (-0.122,-44.161) (-0.683,-25.513)      11.8856
64    -54.24660 -31.55041   0.68188  -0.17043   4.36709 -34.24624       (-4.367,-30.187) (-0.170,-44.149) (-0.682,-25.512)      11.8548
65    -54.21720 -31.52098   0.68032  -0.21915   4.36010 -34.23148       (-4.360,-30.160) (-0.219,-44.136) (-0.680,-25.511)      11.8242
66    -54.18780 -31.49154   0.67875  -0.26786   4.35311 -34.21673       (-4.353,-30.134) (-0.268,-44.124) (-0.679,-25.510)      11.7938
67    -54.15840 -31.46211   0.67718  -0.31657   4.34613 -34.20197       (-4.346,-30.108) (-0.317,-44.112) (-0.677,-25.510)      11.7637
68    -54.12900 -31.43268   0.67562  -0.36529   4.33914 -34.18721       (-4.339,-30.081) (-0.365,-44.099) (-0.676,-25.509)      11.7337
69    -54.09960 -31.40325   0.67405  -0.41400   4.33215 -34.17246       (-4.332,-30.055) (-0.414,-44.087) (-0.674,-25.508)      11.7039
70    -54.07020 -31.37382   0.67249  -0.46271   4.32517 -34.15770       (-4.325,-30.029) (-0.463,-44.075) (-0.672,-25.507)      11.6743
71    -54.04080 -31.34439   0.67092  -0.51143   4.31818 -34.14295       (-4.318,-30.003) (-0.511,-44.063) (-0.671,-25.507)      11.6449
72    -54.01140 -31.31496   0.66936  -0.56014   4.31120 -34.12819       (-4.311,-29.976) (-0.560,-44.050) (-0.669,-25.506)      11.6158
73    -53.98200 -31.28552   0.66779  -0.60886   4.30421 -34.11344       (-4.304,-29.950) (-0.609,-44.038) (-0.668,-25.505)      11.5868
74    -53.95260 -31.25609   0.66622  -0.65757   4.29722 -34.09868       (-4.297,-29.924) (-0.658,-44.026) (-0.666,-25.504)      11.5581
75    -53.92320 -31.22666   0.66466  -0.70628   4.29024 -34.08393       (-4.290,-29.897) (-0.706,-44.013) (-0.665,-25.503)      11.5295
76    -53.89380 -31.19723   0.66309  -0.75500   4.28325 -34.06917       (-4.283,-29.871) (-0.755,-44.001) (-0.663,-25.503)      11.5012
77    -53.86440 -31.16780   0.66153  -0.80371   4.27626 -34.05441       (-4.276,-29.845) (-0.804,-43.989) (-0.662,-25.502)      11.4731
78    -53.83500 -31.13837   0.65996  -0.85242   4.26928 -34.03966       (-4.269,-29.818) (-0.852,-43.977) (-0.660,-25.501)      11.4452
