Fol_2018-02-25.13_34_17.5_.txt     Output is probe cell, reduced cell, NCDist distance between
0    105.78387 -190.79506 -256.05243  77.58194 -188.52521 -785.16588       (-105.784,-28.202) (-85.011,-150.269) (-82.741,-679.382)      0
1    105.57210 -190.68917 -255.87894  77.47605 -188.48692 -785.05999       (-105.572,-28.096) (-85.117,-150.307) (-82.915,-679.488)      0.331741
2    105.36032 -190.58328 -255.70546  77.37016 -188.44862 -784.95410       (-105.360,-27.990) (-85.223,-150.345) (-83.088,-679.594)      0.663481
3    105.14854 -190.47739 -255.53197  77.26427 -188.41033 -784.84821       (-105.149,-27.884) (-85.329,-150.383) (-83.262,-679.700)      0.995222
4    104.93676 -190.37150 -255.35849  77.15838 -188.37203 -784.74232       (-104.937,-27.778) (-85.435,-150.422) (-83.435,-679.806)      1.32696
5    104.72498 -190.26561 -255.18500  77.05249 -188.33374 -784.63643       (-104.725,-27.672) (-85.541,-150.460) (-83.609,-679.911)      1.6587
6    104.51320 -190.15972 -255.01152  76.94660 -188.29544 -784.53054       (-104.513,-27.567) (-85.647,-150.498) (-83.782,-680.017)      1.99044
7    104.30142 -190.05383 -254.83804  76.84071 -188.25715 -784.42465       (-104.301,-27.461) (-85.752,-150.537) (-83.956,-680.123)      2.32218
8    104.08964 -189.94794 -254.66455  76.73482 -188.21885 -784.31876       (-104.090,-27.355) (-85.858,-150.575) (-84.129,-680.229)      2.65393
9    103.87786 -189.84205 -254.49107  76.62894 -188.18056 -784.21287       (-103.878,-27.249) (-85.964,-150.613) (-84.303,-680.335)      2.98567
10    103.66608 -189.73616 -254.31758  76.52305 -188.14226 -784.10698       (-103.666,-27.143) (-86.070,-150.652) (-84.476,-680.441)      3.31741
11    103.45430 -189.63027 -254.14410  76.41716 -188.10397 -784.00109       (-103.454,-27.037) (-86.176,-150.690) (-84.650,-680.547)      3.64915
12    103.24252 -189.52438 -253.97061  76.31127 -188.06567 -783.89520       (-103.243,-26.931) (-86.282,-150.728) (-84.823,-680.653)      3.98089
13    103.03074 -189.41849 -253.79713  76.20538 -188.02738 -783.78931       (-103.031,-26.825) (-86.388,-150.766) (-84.997,-680.759)      4.31263
