2BOUNDS_2018-03-07.14_43_21.587_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -17.61504  12.14640 -30.37079 -65.99147  14.50283 -13.24805       (-1.102,-50.234) (-14.613,-13.248) (-4.367,-1.255)      1.42109e-14
1    -17.59851  12.11961 -30.34476 -65.97570  14.47505 -13.23605       (-1.116,-50.262) (-14.631,-13.236) (-4.362,-1.239)      0.0413589
2    -17.58198  12.09282 -30.31873 -65.95992  14.44727 -13.22404       (-1.131,-50.289) (-14.648,-13.224) (-4.358,-1.223)      0.0827178
3    -17.56545  12.06604 -30.29270 -65.94415  14.41949 -13.21204       (-1.146,-50.317) (-14.666,-13.212) (-4.353,-1.207)      0.124077
4    -17.54892  12.03925 -30.26667 -65.92838  14.39171 -13.20003       (-1.161,-50.345) (-14.683,-13.200) (-4.349,-1.192)      0.165436
5    -17.53239  12.01247 -30.24064 -65.91260  14.36393 -13.18803       (-1.176,-50.373) (-14.701,-13.188) (-4.344,-1.176)      0.206795
6    -17.51586  11.98568 -30.21461 -65.89683  14.33616 -13.17602       (-1.190,-50.401) (-14.718,-13.176) (-4.340,-1.160)      0.248154
7    -17.49933  11.95889 -30.18858 -65.88106  14.30838 -13.16401       (-1.205,-50.428) (-14.736,-13.164) (-4.335,-1.144)      0.289512
8    -17.48280  11.93211 -30.16255 -65.86528  14.28060 -13.15201       (-1.220,-50.456) (-14.753,-13.152) (-4.331,-1.129)      0.330871
9    -17.46627  11.90532 -30.13652 -65.84951  14.25282 -13.14000       (-1.235,-50.484) (-14.771,-13.140) (-4.326,-1.113)      0.37223
10    -17.44974  11.87853 -30.11049 -65.83374  14.22504 -13.12800       (-1.249,-50.512) (-14.788,-13.128) (-4.322,-1.097)      0.413589
11    -17.43321  11.85175 -30.08446 -65.81796  14.19726 -13.11599       (-1.264,-50.539) (-14.806,-13.116) (-4.317,-1.081)      0.454948
12    -17.41668  11.82496 -30.05843 -65.80219  14.16948 -13.10399       (-1.279,-50.567) (-14.823,-13.104) (-4.313,-1.065)      0.496307
