2BOUNDS_2018-03-07.14_28_53.228_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -45.27043 -59.59053  -5.22518 -25.02113  16.19983 -14.84845       (-10.975,-6.119) (-1.351,-7.121) (-16.200,-51.138)      0
1    -45.27631 -59.53224  -5.22608 -25.01230  16.17649 -14.84458       (-10.950,-6.172) (-1.332,-7.199) (-16.176,-51.144)      0.102167
2    -45.28218 -59.47394  -5.22697 -25.00347  16.15314 -14.84070       (-10.926,-6.225) (-1.312,-7.277) (-16.153,-51.150)      0.204333
3    -45.28805 -59.41564  -5.22787 -24.99464  16.12980 -14.83682       (-10.902,-6.279) (-1.293,-7.354) (-16.130,-51.156)      0.3065
4    -45.29393 -59.35734  -5.22876 -24.98581  16.10646 -14.83294       (-10.878,-6.332) (-1.274,-7.432) (-16.106,-51.161)      0.408666
5    -45.29980 -59.29905  -5.22965 -24.97698  16.08311 -14.82907       (-10.853,-6.386) (-1.254,-7.510) (-16.083,-51.167)      0.510833
6    -45.30567 -59.24075  -5.23055 -24.96815  16.05977 -14.82519       (-10.829,-6.439) (-1.235,-7.587) (-16.060,-51.173)      0.613
7    -45.31155 -59.18245  -5.23144 -24.95932  16.03642 -14.82131       (-10.805,-6.493) (-1.215,-7.665) (-16.036,-51.179)      0.715166
8    -45.31742 -59.12415  -5.23234 -24.95049  16.01308 -14.81743       (-10.781,-6.546) (-1.196,-7.743) (-16.013,-51.184)      0.817333
9    -45.32330 -59.06586  -5.23323 -24.94166  15.98973 -14.81356       (-10.757,-6.600) (-1.176,-7.821) (-15.990,-51.190)      0.9195
10    -45.32917 -59.00756  -5.23412 -24.93283  15.96639 -14.80968       (-10.732,-6.653) (-1.157,-7.898) (-15.966,-51.196)      1.02167
11    -45.33504 -58.94926  -5.23502 -24.92400  15.94304 -14.80580       (-10.708,-6.706) (-1.137,-7.976) (-15.943,-51.202)      1.12383
12    -45.34092 -58.89096  -5.23591 -24.91517  15.91970 -14.80192       (-10.684,-6.760) (-1.118,-8.054) (-15.920,-51.208)      1.226
13    -45.34679 -58.83267  -5.23681 -24.90634  15.89636 -14.79804       (-10.660,-6.813) (-1.098,-8.131) (-15.896,-51.213)      1.32817
14    -45.35266 -58.77437  -5.23770 -24.89751  15.87301 -14.79417       (-10.635,-6.867) (-1.079,-8.209) (-15.873,-51.219)      1.43033
15    -45.35854 -58.71607  -5.23860 -24.88868  15.84967 -14.79029       (-10.611,-6.920) (-1.059,-8.287) (-15.850,-51.225)      1.5325
16    -45.36441 -58.65777  -5.23949 -24.87985  15.82632 -14.78641       (-10.587,-6.974) (-1.040,-8.364) (-15.826,-51.231)      1.63467
17    -45.37029 -58.59948  -5.24038 -24.87102  15.80298 -14.78253       (-10.563,-7.027) (-1.020,-8.442) (-15.803,-51.236)      1.73683
18    -45.37616 -58.54118  -5.24128 -24.86219  15.77963 -14.77866       (-10.538,-7.081) (-1.001,-8.520) (-15.780,-51.242)      1.839
19    -45.38203 -58.48288  -5.24217 -24.85336  15.75629 -14.77478       (-10.514,-7.134) (-0.982,-8.598) (-15.756,-51.248)      1.94117
20    -45.38791 -58.42458  -5.24307 -24.84453  15.73294 -14.77090       (-10.490,-7.187) (-0.962,-8.675) (-15.733,-51.254)      2.04333
21    -45.39378 -58.36629  -5.24396 -24.83570  15.70960 -14.76702       (-10.466,-7.241) (-0.943,-8.753) (-15.710,-51.259)      2.1455
22    -45.39965 -58.30799  -5.24486 -24.82687  15.68625 -14.76315       (-10.441,-7.294) (-0.923,-8.831) (-15.686,-51.265)      2.24767
23    -45.40553 -58.24969  -5.24575 -24.81804  15.66291 -14.75927       (-10.417,-7.348) (-0.904,-8.908) (-15.663,-51.271)      2.34983
24    -45.41140 -58.19139  -5.24664 -24.80921  15.63957 -14.75539       (-10.393,-7.401) (-0.884,-8.986) (-15.640,-51.277)      2.452
25    -45.41728 -58.13310  -5.24754 -24.80037  15.61622 -14.75151       (-10.369,-7.455) (-0.865,-9.064) (-15.616,-51.283)      2.55417
26    -45.42315 -58.07480  -5.24843 -24.79154  15.59288 -14.74763       (-10.344,-7.508) (-0.845,-9.141) (-15.593,-51.288)      2.65633
27    -45.42902 -58.01650  -5.24933 -24.78271  15.56953 -14.74376       (-10.320,-7.562) (-0.826,-9.219) (-15.570,-51.294)      2.7585
28    -45.43490 -57.95820  -5.25022 -24.77388  15.54619 -14.73988       (-10.296,-7.615) (-0.806,-9.297) (-15.546,-51.300)      2.86067
29    -45.44077 -57.89991  -5.25112 -24.76505  15.52284 -14.73600       (-10.272,-7.669) (-0.787,-9.374) (-15.523,-51.306)      2.96283
30    -45.44664 -57.84161  -5.25201 -24.75622  15.49950 -14.73212       (-10.247,-7.722) (-0.767,-9.452) (-15.499,-51.311)      3.065
31    -45.45252 -57.78331  -5.25290 -24.74739  15.47615 -14.72825       (-10.223,-7.775) (-0.748,-9.530) (-15.476,-51.317)      3.16717
32    -45.45839 -57.72501  -5.25380 -24.73856  15.45281 -14.72437       (-10.199,-7.829) (-0.728,-9.608) (-15.453,-51.323)      3.26933
33    -45.46427 -57.66672  -5.25469 -24.72973  15.42947 -14.72049       (-10.175,-7.882) (-0.709,-9.685) (-15.429,-51.329)      3.3715
34    -45.47014 -57.60842  -5.25559 -24.72090  15.40612 -14.71661       (-10.151,-7.936) (-0.690,-9.763) (-15.406,-51.334)      3.47367
35    -45.47601 -57.55012  -5.25648 -24.71207  15.38278 -14.71274       (-10.126,-7.989) (-0.670,-9.841) (-15.383,-51.340)      3.57583
36    -45.48189 -57.49183  -5.25738 -24.70324  15.35943 -14.70886       (-10.102,-8.043) (-0.651,-9.918) (-15.359,-51.346)      3.678
37    -45.48776 -57.43353  -5.25827 -24.69441  15.33609 -14.70498       (-10.078,-8.096) (-0.631,-9.996) (-15.336,-51.352)      3.78016
