Fol_2018-02-25.13_34_54.43_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -123.35617 -1804.89893 -50.16235 -1241.40108  13.11071 -165.30538       (-37.052,-1228.290) (-1818.010,-13.111) (-110.245,-152.195)      7.10543e-15
1    -123.26978 -1804.91205 -50.22249 -1241.38795  13.08446 -165.29226       (-37.138,-1228.303) (-1817.997,-13.084) (-110.185,-152.208)      0.110843
2    -123.18339 -1804.92517 -50.28264 -1241.37483  13.05821 -165.27913       (-37.224,-1228.317) (-1817.983,-13.058) (-110.125,-152.221)      0.221687
3    -123.09700 -1804.93830 -50.34278 -1241.36171  13.03197 -165.26601       (-37.311,-1228.330) (-1817.970,-13.032) (-110.065,-152.234)      0.33253
4    -123.01061 -1804.95142 -50.40292 -1241.34858  13.00572 -165.25289       (-37.397,-1228.343) (-1817.957,-13.006) (-110.005,-152.247)      0.443373
5    -122.92422 -1804.96455 -50.46307 -1241.33546  12.97947 -165.23976       (-37.484,-1228.356) (-1817.944,-12.979) (-109.945,-152.260)      0.554217
6    -122.83783 -1804.97767 -50.52321 -1241.32234  12.95322 -165.22664       (-37.570,-1228.369) (-1817.931,-12.953) (-109.885,-152.273)      0.66506
7    -122.75144 -1804.99079 -50.58335 -1241.30921  12.92698 -165.21351       (-37.656,-1228.382) (-1817.918,-12.927) (-109.824,-152.287)      0.775903
8    -122.66505 -1805.00392 -50.64349 -1241.29609  12.90073 -165.20039       (-37.743,-1228.395) (-1817.905,-12.901) (-109.764,-152.300)      0.886747
9    -122.57865 -1805.01704 -50.70364 -1241.28296  12.87448 -165.18727       (-37.829,-1228.408) (-1817.892,-12.874) (-109.704,-152.313)      0.99759
10    -122.49226 -1805.03016 -50.76378 -1241.26984  12.84823 -165.17414       (-37.916,-1228.422) (-1817.878,-12.848) (-109.644,-152.326)      1.10843
11    -122.40587 -1805.04329 -50.82392 -1241.25672  12.82198 -165.16102       (-38.002,-1228.435) (-1817.865,-12.822) (-109.584,-152.339)      1.21928
12    -122.31948 -1805.05641 -50.88407 -1241.24359  12.79574 -165.14790       (-38.088,-1228.448) (-1817.852,-12.796) (-109.524,-152.352)      1.33012
13    -122.23309 -1805.06954 -50.94421 -1241.23047  12.76949 -165.13477       (-38.175,-1228.461) (-1817.839,-12.769) (-109.464,-152.365)      1.44096
14    -122.14670 -1805.08266 -51.00435 -1241.21734  12.74324 -165.12165       (-38.261,-1228.474) (-1817.826,-12.743) (-109.403,-152.378)      1.55181
15    -122.06031 -1805.09578 -51.06450 -1241.20422  12.71699 -165.10852       (-38.348,-1228.487) (-1817.813,-12.717) (-109.343,-152.392)      1.66265
16    -121.97392 -1805.10891 -51.12464 -1241.19110  12.69075 -165.09540       (-38.434,-1228.500) (-1817.800,-12.691) (-109.283,-152.405)      1.77349
17    -121.88753 -1805.12203 -51.18478 -1241.17797  12.66450 -165.08228       (-38.520,-1228.513) (-1817.787,-12.664) (-109.223,-152.418)      1.88434
18    -121.80114 -1805.13516 -51.24493 -1241.16485  12.63825 -165.06915       (-38.607,-1228.527) (-1817.773,-12.638) (-109.163,-152.431)      1.99518
19    -121.71474 -1805.14828 -51.30507 -1241.15173  12.61200 -165.05603       (-38.693,-1228.540) (-1817.760,-12.612) (-109.103,-152.444)      2.10602
20    -121.62835 -1805.16140 -51.36521 -1241.13860  12.58576 -165.04290       (-38.779,-1228.553) (-1817.747,-12.586) (-109.043,-152.457)      2.21687
21    -121.54196 -1805.17453 -51.42536 -1241.12548  12.55951 -165.02978       (-38.866,-1228.566) (-1817.734,-12.560) (-108.982,-152.470)      2.32771
22    -121.45557 -1805.18765 -51.48550 -1241.11235  12.53326 -165.01666       (-38.952,-1228.579) (-1817.721,-12.533) (-108.922,-152.483)      2.43855
23    -121.36918 -1805.20077 -51.54564 -1241.09923  12.50701 -165.00353       (-39.039,-1228.592) (-1817.708,-12.507) (-108.862,-152.497)      2.5494
24    -121.28279 -1805.21390 -51.60579 -1241.08611  12.48076 -164.99041       (-39.125,-1228.605) (-1817.695,-12.481) (-108.802,-152.510)      2.66024
25    -121.19640 -1805.22702 -51.66593 -1241.07298  12.45452 -164.97729       (-39.211,-1228.618) (-1817.682,-12.455) (-108.742,-152.523)      2.77108
26    -121.11001 -1805.24015 -51.72607 -1241.05986  12.42827 -164.96416       (-39.298,-1228.632) (-1817.668,-12.428) (-108.682,-152.536)      2.88193
27    -121.02362 -1805.25327 -51.78622 -1241.04673  12.40202 -164.95104       (-39.384,-1228.645) (-1817.655,-12.402) (-108.622,-152.549)      2.99277
