Fol_.33_.txt     Output is probe cell, reduced cell, NCDist distance between
0    968.35276 3444.98380 1210.31382 -11274.77190 -2797.45323 -6994.88279       (-107.605,-379.515) (-1689.576,-269.221) (-241.961,-534.546)      0
1    967.11395 3441.29317 1208.72240 -11265.17710 -2795.18805 -6987.98862       (-106.154,-378.495) (-1692.054,-271.589) (-241.608,-538.448)      5.5
2    965.87513 3437.60253 1207.13098 -11255.58231 -2792.92288 -6981.09445       (-104.703,-377.474) (-1694.531,-273.958) (-241.256,-542.351)      11
3    964.63632 3433.91190 1205.53956 -11245.98752 -2790.65771 -6974.20028       (-103.251,-376.453) (-1697.008,-276.327) (-240.903,-546.253)      16.5
4    963.39751 3430.22126 1203.94813 -11236.39273 -2788.39253 -6967.30610       (-101.800,-375.433) (-1699.485,-278.696) (-240.551,-550.156)      22
5    962.15870 3426.53063 1202.35671 -11226.79794 -2786.12736 -6960.41193       (-100.349,-374.412) (-1701.962,-281.065) (-240.198,-554.058)      27.5
6    960.91989 3422.83999 1200.76529 -11217.20315 -2783.86219 -6953.51776       (-98.897,-373.391) (-1704.439,-283.434) (-239.845,-557.961)      33
7    959.68107 3419.14935 1199.17387 -11207.60836 -2781.59702 -6946.62359       (-97.446,-372.371) (-1706.916,-285.803) (-239.493,-561.863)      38.5
8    958.44226 3415.45872 1197.58245 -11198.01357 -2779.33184 -6939.72942       (-95.995,-371.350) (-1709.393,-288.172) (-239.140,-565.766)      44
9    957.20345 3411.76808 1195.99103 -11188.41878 -2777.06667 -6932.83524       (-94.544,-370.329) (-1711.870,-290.541) (-238.788,-569.669)      49.5
10    955.96464 3408.07745 1194.39961 -11178.82399 -2774.80150 -6925.94107       (-93.092,-369.309) (-1714.348,-292.910) (-238.435,-573.571)      55
11    954.72583 3404.38681 1192.80819 -11169.22920 -2772.53633 -6919.04690       (-91.641,-368.288) (-1716.825,-295.279) (-238.082,-577.474)      60.5
12    953.48701 3400.69618 1191.21677 -11159.63441 -2770.27115 -6912.15273       (-90.190,-367.267) (-1719.302,-297.648) (-237.730,-581.376)      66
