Fol_2018-02-25.13_35_32.84_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -9889.09461 3546.20140 -9985.17906 1727.89846 -16581.16065 2941.23685       (-171.329,-193.006) (-144.545,-7226.894) (-682.782,-3085.782)      9.09495e-13
1    -9879.87908 3535.41752 -9975.37708 1723.07996 -16564.70758 2938.12117       (-210.065,-162.656) (-129.077,-7295.954) (-760.652,-3067.198)      117.64
2    -9870.66355 3524.63364 -9965.57511 1718.26147 -16548.25452 2935.00549       (-248.800,-132.307) (-113.609,-7365.015) (-838.521,-3048.615)      235.28
3    -9861.44802 3513.84977 -9955.77313 1713.44297 -16531.80145 2931.88981       (-287.536,-101.958) (-98.141,-7434.076) (-916.390,-3030.031)      352.92
4    -9852.23250 3503.06589 -9945.97116 1708.62447 -16515.34838 2928.77413       (-326.272,-71.608) (-82.673,-7503.136) (-994.260,-3011.448)      470.56
5    -9843.01697 3492.28201 -9936.16918 1703.80597 -16498.89531 2925.65844       (-365.007,-41.259) (-67.205,-7572.197) (-1072.129,-2992.864)      588.2
6    -9833.80144 3481.49813 -9926.36720 1698.98747 -16482.44224 2922.54276       (-403.743,-10.909) (-51.738,-7641.258) (-1149.999,-2974.280)      705.84
7    -9824.58591 3470.71425 -9916.56523 1694.16897 -16465.98917 2919.42708       (-461.918,-19.440) (-1208.428,-7690.878) (-16.830,-2936.257)      812.299
8    -9815.37038 3459.93037 -9906.76325 1689.35047 -16449.53610 2916.31140       (-502.015,-1226.961) (-20.802,-7700.602) (-28.988,-2916.311)      844.302
9    -9806.15485 3449.14649 -9896.96128 1684.53197 -16433.08303 2913.19572       (-525.283,-1228.664) (-5.334,-7693.496) (-74.805,-2913.196)      840.957
10    -9796.93933 3438.36261 -9887.15930 1679.71347 -16416.62997 2910.08003       (-2899.946,-1220.232) (-10.134,-7696.524) (-110.488,-538.417)      838.79
11    -9787.72380 3427.57873 -9877.35733 1674.89498 -16400.17690 2906.96435       (-2881.362,-1206.467) (-25.602,-7704.886) (-140.837,-546.216)      837.806
12    -9778.50827 3416.79485 -9867.55535 1670.07648 -16383.72383 2903.84867       (-2862.779,-1192.702) (-41.070,-7713.248) (-171.187,-554.016)      839
13    -9769.29274 3406.01097 -9857.75338 1665.25798 -16367.27076 2900.73299       (-2844.195,-1178.937) (-56.538,-7721.610) (-201.536,-561.816)      842.363
14    -9760.07721 3395.22710 -9847.95140 1660.43948 -16350.81769 2897.61731       (-2825.612,-1165.172) (-72.006,-7729.971) (-231.886,-569.616)      847.869
15    -9750.86169 3384.44322 -9838.14943 1655.62098 -16334.36462 2894.50162       (-2807.028,-1151.407) (-87.474,-7738.333) (-262.235,-577.415)      855.476
16    -9741.64616 3373.65934 -9828.34745 1650.80248 -16317.91155 2891.38594       (-2788.444,-1137.642) (-102.942,-7746.695) (-292.584,-585.215)      865.129
17    -9732.43063 3362.87546 -9818.54548 1645.98398 -16301.45849 2888.27026       (-2769.861,-1123.877) (-118.409,-7755.057) (-322.934,-593.015)      876.761
18    -9723.21510 3352.09158 -9808.74350 1641.16548 -16285.00542 2885.15458       (-2751.277,-1110.112) (-133.877,-7763.419) (-353.283,-600.814)      890.294
19    -9713.99957 3341.30770 -9798.94152 1636.34698 -16268.55235 2882.03890       (-2732.694,-1096.347) (-149.345,-7771.781) (-383.633,-608.614)      905.643
20    -9704.78405 3330.52382 -9789.13955 1631.52849 -16252.09928 2878.92322       (-2714.110,-1082.582) (-164.813,-7780.143) (-413.982,-616.414)      922.716
21    -9695.56852 3319.73994 -9779.33757 1626.70999 -16235.64621 2875.80753       (-2695.526,-1068.816) (-180.281,-7788.505) (-444.331,-624.214)      941.421
22    -9686.35299 3308.95606 -9769.53560 1621.89149 -16219.19314 2872.69185       (-2676.943,-1055.051) (-195.749,-7796.867) (-474.681,-632.013)      961.663
23    -9677.13746 3298.17218 -9759.73362 1617.07299 -16202.74007 2869.57617       (-2658.359,-1041.286) (-211.217,-7805.228) (-505.030,-639.813)      983.345
24    -9667.92193 3287.38831 -9749.93165 1612.25449 -16186.28700 2866.46049       (-2639.776,-1027.521) (-226.685,-7813.590) (-535.379,-647.613)      1006.38
25    -9658.70641 3276.60443 -9740.12967 1607.43599 -16169.83394 2863.34481       (-2621.192,-1013.756) (-242.153,-7821.952) (-565.729,-655.412)      1030.66
26    -9649.49088 3265.82055 -9730.32770 1602.61749 -16153.38087 2860.22912       (-2602.608,-999.991) (-257.621,-7830.314) (-596.078,-663.212)      1056.12
27    -9640.27535 3255.03667 -9720.52572 1597.79899 -16136.92780 2857.11344       (-2584.025,-986.226) (-273.089,-7838.676) (-626.428,-671.012)      1082.67
28    -9631.05982 3244.25279 -9710.72375 1592.98049 -16120.47473 2853.99776       (-2565.441,-972.461) (-288.556,-7847.038) (-656.777,-678.812)      1110.23
29    -9621.84429 3233.46891 -9700.92177 1588.16200 -16104.02166 2850.88208       (-2546.858,-958.696) (-304.024,-7855.400) (-687.126,-686.611)      1138.72
30    -9612.62876 3222.68503 -9691.11980 1583.34350 -16087.56859 2847.76640       (-2528.274,-944.931) (-319.492,-7863.762) (-717.476,-694.411)      1168.09
31    -9603.41324 3211.90115 -9681.31782 1578.52500 -16071.11552 2844.65071       (-2509.690,-931.165) (-334.960,-7872.124) (-747.825,-702.211)      1198.25
32    -9594.19771 3201.11727 -9671.51584 1573.70650 -16054.66246 2841.53503       (-2491.107,-917.400) (-350.428,-7880.485) (-778.174,-710.010)      1229.17
33    -9584.98218 3190.33339 -9661.71387 1568.88800 -16038.20939 2838.41935       (-2472.523,-903.635) (-365.896,-7888.847) (-808.524,-717.810)      1260.77
34    -9575.76665 3179.54952 -9651.91189 1564.06950 -16021.75632 2835.30367       (-2453.940,-889.870) (-381.364,-7897.209) (-838.873,-725.610)      1293.01
35    -9566.55112 3168.76564 -9642.10992 1559.25100 -16005.30325 2832.18799       (-2435.356,-876.105) (-396.832,-7905.571) (-869.223,-733.410)      1325.85
36    -9557.33560 3157.98176 -9632.30794 1554.43250 -15988.85018 2829.07230       (-2416.773,-862.340) (-412.300,-7913.933) (-899.572,-741.209)      1359.24
37    -9548.12007 3147.19788 -9622.50597 1549.61400 -15972.39711 2825.95662       (-2398.189,-848.575) (-427.768,-7922.295) (-929.921,-749.009)      1393.14
38    -9538.90454 3136.41400 -9612.70399 1544.79551 -15955.94404 2822.84094       (-2379.605,-834.810) (-443.236,-7930.657) (-960.271,-756.809)      1427.51
39    -9529.68901 3125.63012 -9602.90202 1539.97701 -15939.49097 2819.72526       (-2361.022,-821.045) (-458.704,-7939.019) (-990.620,-764.608)      1462.32
40    -9520.47348 3114.84624 -9593.10004 1535.15851 -15923.03791 2816.60958       (-2342.438,-807.280) (-474.171,-7947.381) (-1020.969,-772.408)      1497.54
41    -9511.25796 3104.06236 -9583.29807 1530.34001 -15906.58484 2813.49389       (-2323.855,-793.515) (-489.639,-7955.742) (-1051.319,-780.208)      1533.15
42    -9502.04243 3093.27848 -9573.49609 1525.52151 -15890.13177 2810.37821       (-2305.271,-779.749) (-505.107,-7964.104) (-1081.668,-788.008)      1567.93
43    -9492.82690 3082.49460 -9563.69412 1520.70301 -15873.67870 2807.26253       (-2286.687,-765.984) (-520.575,-7972.466) (-1112.018,-795.807)      1593.53
44    -9483.61137 3071.71073 -9553.89214 1515.88451 -15857.22563 2804.14685       (-2268.104,-752.219) (-536.043,-7980.828) (-1142.367,-803.607)      1619.85
45    -9474.39584 3060.92685 -9544.09016 1511.06601 -15840.77256 2801.03117       (-2249.520,-738.454) (-551.511,-7989.190) (-1172.716,-811.407)      1646.87
46    -9465.18032 3050.14297 -9534.28819 1506.24752 -15824.31949 2797.91549       (-2230.937,-724.689) (-566.979,-7997.552) (-1203.066,-819.206)      1674.54
47    -9455.96479 3039.35909 -9524.48621 1501.42902 -15807.86643 2794.79980       (-2212.353,-710.924) (-582.447,-8005.914) (-1233.415,-827.006)      1702.83
48    -9446.74926 3028.57521 -9514.68424 1496.61052 -15791.41336 2791.68412       (-2193.769,-697.159) (-597.915,-8014.276) (-1263.764,-834.806)      1731.71
49    -9437.53373 3017.79133 -9504.88226 1491.79202 -15774.96029 2788.56844       (-2175.186,-683.394) (-613.383,-8022.638) (-1294.114,-842.606)      1761.15
50    -9428.31820 3007.00745 -9495.08029 1486.97352 -15758.50722 2785.45276       (-2156.602,-669.629) (-628.851,-8030.999) (-1324.463,-850.405)      1791.14
51    -9419.10267 2996.22357 -9485.27831 1482.15502 -15742.05415 2782.33708       (-2138.019,-655.864) (-644.318,-8039.361) (-1354.813,-858.205)      1821.63
52    -9409.88715 2985.43969 -9475.47634 1477.33652 -15725.60108 2779.22139       (-2119.435,-642.099) (-659.786,-8047.723) (-1385.162,-866.005)      1852.6
53    -9400.67162 2974.65581 -9465.67436 1472.51802 -15709.14801 2776.10571       (-2100.851,-628.333) (-675.254,-8056.085) (-1415.511,-873.804)      1884.04
54    -9391.45609 2963.87194 -9455.87239 1467.69952 -15692.69494 2772.99003       (-2082.268,-614.568) (-690.722,-8064.447) (-1445.861,-881.604)      1915.91
55    -9382.24056 2953.08806 -9446.07041 1462.88103 -15676.24188 2769.87435       (-2063.684,-600.803) (-706.190,-8072.809) (-1476.210,-889.404)      1948.2
56    -9373.02503 2942.30418 -9436.26844 1458.06253 -15659.78881 2766.75867       (-2045.101,-587.038) (-721.658,-8081.171) (-1506.559,-897.204)      1980.88
57    -9363.80951 2931.52030 -9426.46646 1453.24403 -15643.33574 2763.64298       (-2026.517,-573.273) (-737.126,-8089.533) (-1536.909,-905.003)      2013.94
58    -9354.59398 2920.73642 -9416.66448 1448.42553 -15626.88267 2760.52730       (-2007.933,-559.508) (-752.594,-8097.895) (-1567.258,-912.803)      2047.36
59    -9345.37845 2909.95254 -9406.86251 1443.60703 -15610.42960 2757.41162       (-1989.350,-545.743) (-768.062,-8106.256) (-1597.608,-920.603)      2081.11
60    -9336.16292 2899.16866 -9397.06053 1438.78853 -15593.97653 2754.29594       (-1970.766,-531.978) (-783.530,-8114.618) (-1627.957,-928.402)      2115.2
61    -9326.94739 2888.38478 -9387.25856 1433.97003 -15577.52346 2751.18026       (-1952.183,-518.213) (-798.998,-8122.980) (-1658.306,-936.202)      2149.59
62    -9317.73187 2877.60090 -9377.45658 1429.15153 -15561.07039 2748.06457       (-1933.599,-504.448) (-814.465,-8131.342) (-1688.656,-944.002)      2184.27
63    -9308.51634 2866.81702 -9367.65461 1424.33303 -15544.61733 2744.94889       (-1915.015,-490.682) (-829.933,-8139.704) (-1719.005,-951.802)      2219.24
64    -9299.30081 2856.03315 -9357.85263 1419.51454 -15528.16426 2741.83321       (-1896.432,-476.917) (-845.401,-8148.066) (-1749.354,-959.601)      2254.48
65    -9290.08528 2845.24927 -9348.05066 1414.69604 -15511.71119 2738.71753       (-1877.848,-463.152) (-860.869,-8156.428) (-1779.704,-967.401)      2289.97
66    -9280.86975 2834.46539 -9338.24868 1409.87754 -15495.25812 2735.60185       (-1859.265,-449.387) (-876.337,-8164.790) (-1810.053,-975.201)      2325.7
67    -9271.65423 2823.68151 -9328.44671 1405.05904 -15478.80505 2732.48616       (-1840.681,-435.622) (-891.805,-8173.152) (-1840.403,-983.000)      2356.92
68    -9262.43870 2812.89763 -9318.64473 1400.24054 -15462.35198 2729.37048       (-1822.098,-421.857) (-907.273,-8181.513) (-1870.752,-990.800)      2343.33
69    -9253.22317 2802.11375 -9308.84276 1395.42204 -15445.89891 2726.25480       (-1803.514,-408.092) (-922.741,-8189.875) (-1901.101,-998.600)      2330.45
70    -9244.00764 2791.32987 -9299.04078 1390.60354 -15429.44585 2723.13912       (-1784.930,-394.327) (-938.209,-8198.237) (-1931.451,-1006.400)      2318.28
