Fol_2018-02-25.13_34_12.0_.txt     Output is probe cell, reduced cell, NCDist distance between
0    -3213.34364 -297.06391 -769.08679 -1152.17166 549.38160 -778.56430       (-219.705,-602.790) (-846.446,-549.382) (-2663.962,-229.183)      1.13687e-13
1    -3210.34700 -297.61384 -770.98356 -1151.62172 548.28174 -778.01437       (-222.702,-603.340) (-845.896,-548.282) (-2662.065,-229.733)      3.83335
2    -3207.35037 -298.16378 -772.88033 -1151.07179 547.18188 -777.46444       (-225.698,-603.890) (-845.346,-547.182) (-2660.168,-230.283)      7.66669
3    -3204.35373 -298.71371 -774.77710 -1150.52186 546.08201 -776.91451       (-228.695,-604.440) (-844.796,-546.082) (-2658.272,-230.832)      11.5
4    -3201.35710 -299.26364 -776.67388 -1149.97193 544.98215 -776.36458       (-231.692,-604.990) (-844.246,-544.982) (-2656.375,-231.382)      15.3334
5    -3198.36046 -299.81357 -778.57065 -1149.42200 543.88229 -775.81465       (-234.688,-605.540) (-843.696,-543.882) (-2654.478,-231.932)      19.1667
6    -3195.36383 -300.36350 -780.46742 -1148.87207 542.78243 -775.26471       (-237.685,-606.090) (-843.146,-542.782) (-2652.581,-232.482)      23.0001
7    -3192.36719 -300.91343 -782.36419 -1148.32213 541.68256 -774.71478       (-240.682,-606.640) (-842.596,-541.683) (-2650.685,-233.032)      26.8334
8    -3189.37056 -301.46336 -784.26096 -1147.77220 540.58270 -774.16485       (-243.678,-607.190) (-842.046,-540.583) (-2648.788,-233.582)      30.6668
9    -3186.37392 -302.01330 -786.15774 -1147.22227 539.48284 -773.61492       (-246.675,-607.739) (-841.496,-539.483) (-2646.891,-234.132)      34.5001
10    -3183.37729 -302.56323 -788.05451 -1146.67234 538.38297 -773.06499       (-249.672,-608.289) (-840.946,-538.383) (-2644.994,-234.682)      38.3335
11    -3180.38065 -303.11316 -789.95128 -1146.12241 537.28311 -772.51506       (-252.668,-608.839) (-840.396,-537.283) (-2643.098,-235.232)      42.1668
