10PERCENT_2018-03-07.11_27_05.454_.txt     Output is probe cell, reduced cell, NCDist distance between
0      0.91291 -14.61998  11.78903 -30.27815 -21.48771 -27.93105       (-0.219,-1.132) (-4.650,-2.784) (-15.314,-24.973)      0
1      0.91178 -14.61000  11.76190 -30.24897 -21.46899 -27.92809       (-0.120,-1.032) (-4.797,-2.847) (-15.402,-25.073)      0.251809
2      0.91065 -14.60002  11.73477 -30.21980 -21.45027 -27.92513       (-0.020,-0.931) (-4.944,-2.910) (-15.490,-25.173)      0.503619
3      0.90951 -14.59004  11.70764 -30.19062 -21.43155 -27.92216       (-0.910,-0.079) (-15.500,-5.012) (-2.893,-25.194)      0.603877
4      0.90838 -14.58006  11.68051 -30.16145 -21.41282 -27.91920       (-0.908,-0.179) (-15.488,-5.059) (-2.857,-25.194)      0.678621
5      0.90725 -14.57008  11.65338 -30.13227 -21.39410 -27.91624       (-0.907,-0.278) (-15.477,-5.106) (-2.820,-25.195)      0.763957
6      0.90611 -14.56010  11.62625 -30.10310 -21.37538 -27.91328       (-0.906,-0.378) (-15.466,-5.154) (-2.783,-25.195)      0.856727
7      0.90498 -14.55012  11.59912 -30.07392 -21.35666 -27.91032       (-0.905,-0.478) (-15.455,-5.201) (-2.747,-25.195)      0.954765
8      0.90384 -14.54014  11.57199 -30.04475 -21.33793 -27.90736       (-0.904,-0.577) (-15.444,-5.248) (-2.710,-25.196)      1.05661
9      0.90271 -14.53016  11.54486 -30.01557 -21.31921 -27.90440       (-0.903,-0.677) (-15.433,-5.296) (-2.673,-25.196)      1.16125
10      0.90158 -14.52018  11.51773 -29.98640 -21.30049 -27.90144       (-0.902,-0.776) (-15.422,-5.343) (-2.637,-25.197)      1.26801
11      0.90044 -14.51020  11.49060 -29.95722 -21.28177 -27.89848       (-0.900,-0.876) (-15.411,-5.390) (-2.600,-25.197)      1.37638
12      0.89931 -14.50022  11.46347 -29.92805 -21.26304 -27.89552       (-0.899,-0.975) (-15.400,-5.438) (-2.563,-25.198)      1.48602
13      0.89818 -14.49024  11.43634 -29.89887 -21.24432 -27.89255       (-0.898,-1.075) (-15.388,-5.485) (-2.527,-25.198)      1.59666
14      0.89704 -14.48026  11.40922 -29.86970 -21.22560 -27.88959       (-0.897,-1.174) (-15.377,-5.532) (-2.490,-25.198)      1.70811
15      0.89591 -14.47028  11.38209 -29.84052 -21.20688 -27.88663       (-0.896,-1.274) (-15.366,-5.580) (-2.453,-25.199)      1.82022
16      0.89478 -14.46030  11.35496 -29.81135 -21.18815 -27.88367       (-0.895,-1.374) (-15.355,-5.627) (-2.417,-25.199)      1.93288
17      0.89364 -14.45032  11.32783 -29.78217 -21.16943 -27.88071       (-0.894,-1.473) (-15.344,-5.674) (-2.380,-25.200)      2.04599
18      0.89251 -14.44034  11.30070 -29.75300 -21.15071 -27.87775       (-0.893,-1.573) (-15.333,-5.722) (-2.343,-25.200)      2.15948
19      0.89138 -14.43036  11.27357 -29.72382 -21.13199 -27.87479       (-0.891,-1.672) (-15.322,-5.769) (-2.307,-25.201)      2.27331
20      0.89024 -14.42038  11.24644 -29.69465 -21.11326 -27.87183       (-0.890,-1.772) (-15.311,-5.816) (-2.270,-25.201)      2.38741
21      0.88911 -14.41040  11.21931 -29.66547 -21.09454 -27.86887       (-0.889,-1.871) (-15.300,-5.864) (-2.233,-25.202)      2.50175
22      0.88798 -14.40042  11.19218 -29.63630 -21.07582 -27.86590       (-0.888,-1.971) (-15.288,-5.911) (-2.197,-25.202)      2.6163
23      0.88684 -14.39044  11.16505 -29.60712 -21.05710 -27.86294       (-0.887,-2.070) (-15.277,-5.959) (-2.160,-25.202)      2.73104
24      0.88571 -14.38046  11.13792 -29.57794 -21.03837 -27.85998       (-0.886,-2.170) (-15.266,-6.006) (-2.123,-25.203)      2.84594
25      0.88458 -14.37048  11.11079 -29.54877 -21.01965 -27.85702       (-0.885,-2.270) (-15.255,-6.053) (-2.087,-25.203)      2.96098
26      0.88344 -14.36050  11.08366 -29.51959 -21.00093 -27.85406       (-0.883,-2.369) (-15.244,-6.101) (-2.050,-25.204)      3.07614
27      0.88231 -14.35052  11.05653 -29.49042 -20.98220 -27.85110       (-0.882,-2.469) (-15.233,-6.148) (-2.013,-25.204)      3.19142
28      0.88118 -14.34054  11.02940 -29.46124 -20.96348 -27.84814       (-0.881,-2.568) (-15.222,-6.195) (-1.976,-25.205)      3.3068
29      0.88004 -14.33056  11.00227 -29.43207 -20.94476 -27.84518       (-0.880,-2.668) (-15.211,-6.243) (-1.940,-25.205)      3.42227
30      0.87891 -14.32058  10.97514 -29.40289 -20.92604 -27.84222       (-0.879,-2.767) (-15.199,-6.290) (-1.903,-25.205)      3.53782
